STD_YM,STD_YMD,HDONG_CD,HDONG_NM,MAN_0004,MAN_0509,MAN_1014,MAN_1519,MAN_2024,MAN_2529,MAN_3034,MAN_3539,MAN_4044,MAN_4549,MAN_5054,MAN_5559,MAN_6064,MAN_6569,MAN_70U,WMAN_0004,WMAN_0509,WMAN_1014,WMAN_1519,WMAN_2024,WMAN_2529,WMAN_3034,WMAN_3539,WMAN_4044,WMAN_4549,WMAN_5054,WMAN_5559,WMAN_6064,WMAN_6569,WMAN_70U
201804,20180401,1111051500,청운효자동,0.05,78.93,403.26,642.66,984.24,1792.3,1936.1,2060.54,1787.98,2369.93,2348.95,2123.78,1895.67,1269.41,1165.64,0,142.94,545.1,613.65,1038.43,1437.8,1356.08,1598.14,1495.53,1768.21,1611.47,1433.06,1212.56,549.45,811.56
201804,20180401,1111053000,사직동,1.25,262.54,1207.22,2177.88,4076.89,6887.72,6786.94,6873.7,5920.97,7406.48,6956,7294.07,6913.8,4451.94,4743.49,0,395.09,1444.38,2502.5,5515,6892.47,5743.1,5817.91,5429.89,6104.03,4998.93,4826.11,4207.45,2160.84,2972.08
201804,20180401,1111054000,삼청동,0,78.07,255.24,331.09,654.32,1264.86,1375.14,1445.4,1237.07,1658.35,1402.99,1360.18,1235.66,844.41,845.55,0,91,370.64,374.54,963.64,1400.28,1183.11,1234.88,1157.69,1186.72,985.11,844.26,744.6,359.03,421.64
201804,20180401,1111055000,부암동,0,228.5,753.31,981.54,1615.77,2732,3390.58,4288.35,3857.72,4912.69,4756.22,4692.38,3879.63,2450.29,2366.21,0,252.55,960.79,1035.17,1790.47,2153.73,2431.23,3028.24,2944.28,3532.23,3075.55,2785.22,2223.72,1118.48,1498.65
201804,20180401,1111056000,평창동,0,354.38,1500.63,1963.08,2593.07,4927.24,5718.38,6997.92,6618.99,9064.13,9493.46,9873.77,8831.06,5233.51,5432.39,0.11,434.63,1759.63,2356.09,3088.76,3775.91,4598.39,5661.53,5526.94,7075.02,6899.55,6886.22,5336.01,2629.75,3820.41
201804,20180401,1111057000,무악동,0.18,39.69,204.43,377.5,509.92,766.21,786.83,868.99,832.5,1077.11,1051.22,1024.64,986.7,694.34,726.72,0,53.91,241.66,348.36,647.95,726.12,698.17,769.8,777.93,885,790.96,796.02,663.07,335.06,505
201804,20180401,1111058000,교남동,0.1,71.96,296.03,424.87,644.91,1135.05,1332.61,1431.27,1346.62,1758.06,1682.43,1794.55,1600.24,1068.01,1014.99,0,93.08,366.67,521.01,875.65,1275.23,1195.05,1293.85,1149.73,1336.16,1236.98,1233.81,1005.98,511.36,659.94
201804,20180401,1111060000,가회동,0,37.87,196.3,535.94,472.73,893.54,937.81,1051.83,856.7,1095.21,952.35,935.34,905.26,576.97,532.1,0,46.75,168.67,326.65,618.57,832.24,729.24,812.86,741.41,824.36,773.96,600.2,496.99,239.37,318.38
201804,20180401,1111061500,종로1.2.3.4가동,0,513.62,2338.1,5480.67,13268.22,22024.63,19405.86,17433.96,15041.36,17976.14,17116.38,18766.31,18975.31,13415.7,16621.62,0,807.7,3009.33,6734.37,17999.32,21204.75,15427.8,14043.25,12047.71,13552.38,12382.49,12825.69,11133.73,6688.62,8386.44
201804,20180401,1111063000,종로5.6가동,0,110.6,521.4,1783.97,4146.69,5968.6,4939.16,4641.93,3904.82,4755.8,4918.99,5710.48,5847.51,3883.64,4675.49,0,160.59,619.46,1917.75,5217.32,5638.02,4030.7,3685.25,3086.76,3643.56,3525.47,3880.52,3341.49,2045.79,2427.11
201804,20180401,1111064000,이화동,0,105.25,436.49,1302.85,3341.51,4938.03,3803.46,3105.04,2513.91,2978.43,2605.37,2751.77,2633.41,1735.48,1874.99,0,125.4,482.87,1724.34,5085.16,5175.51,3519.28,3136.41,2421.41,2625.92,2320.97,2283.68,1925.62,1176.8,1436.31
201804,20180401,1111065000,혜화동,0,165.65,718.89,1741.96,3934.77,5789.92,4392.22,4271.59,3801.47,4726.26,4174.39,4437.07,4234.72,2664.9,2586.89,0,229.23,1054.47,2257.61,5667.67,5434.38,3796.09,3842.03,3504.49,3698.25,3050.29,3118.78,2447.26,1456.74,1864.33
201804,20180401,1111067000,창신1동,0,80.96,315.65,805.39,1885.79,2591.53,2233.44,2272,1882.6,2393.21,2409.08,2829.96,3016.41,2167,2945.33,2.4,100.33,336.79,840.57,2107.01,2229.1,1713.07,1796.58,1534.94,1767.25,1724.08,1872.71,1626.44,1079.53,1394.47
201804,20180401,1111068000,창신2동,0,14.45,79.54,241.08,591.11,764.86,584.68,566.71,473.65,623.36,647.09,670.77,691.8,502.21,722.01,0,16.91,82.25,254.63,658.91,629.73,438.7,451.03,373.65,454,444.68,503.43,417.36,291.86,372.35
201804,20180401,1111069000,창신3동,0,14.61,68,160.76,417.77,454.52,381.81,399.87,324.16,410.32,374.19,348.12,368.53,226.76,244.5,0,17.46,65.6,206.79,448.94,448.48,293.04,288.47,257.37,281.07,241.23,259.76,216.12,129.93,170.71
201804,20180401,1111070000,숭인1동,0,39.51,158.44,420.93,1045.74,1266.47,1064.29,1089.26,908.9,1140.16,1139.28,1225.92,1337.7,940.18,1336.01,0,41.88,179.82,475.74,1189.61,1113.23,796.51,818.52,733.96,830.07,791.76,842.29,730.37,509.45,696.26
201804,20180401,1111071000,숭인2동,0.02,92.57,437.47,1155.37,2761.97,3833.82,3200.85,3097.67,2593.29,3335.24,3646.81,4211.6,4312.61,3081.97,4261.21,0,116.87,463.6,1227.88,3240.4,3136.6,2342.97,2339.76,2058.31,2295.57,2496.34,2591.54,2300.54,1550.3,2070.33
201804,20180401,1135056000,월계1동,0,161.02,840.71,1726.62,2910.29,3302.51,3204.27,4161.59,3780.46,4371.77,3960.42,4325.99,4186.14,3010.7,3268.48,0,192.28,768.07,1400.61,2540.78,2428.51,2455.18,3162.63,2877.48,3249.07,2821.35,2864.24,2452.31,1622.23,2012.52
201804,20180401,1135057000,월계2동,0,149,803.96,1136.53,1580.35,2092.22,2448.8,3271.09,3131.64,3904.47,3438.9,3578.39,3493.5,2409.55,2687.51,0,215.55,777.34,1059.95,1425.49,1550.69,1711.12,2387.51,2363.21,2713.98,2430.24,2497.5,2037.3,1294.53,1679.6
201804,20180401,1135058000,월계3동,0,268.76,1244.42,1745.48,2722.09,3867.41,4892.06,6278.31,6027.42,6737.35,6079.08,6060.15,5516.16,3802.17,3779.1,0,310.59,1119.58,1791.19,2667.07,3087.49,3531.72,4858.73,4296.47,4830.31,3994.64,4116.01,3175.99,1906.94,2263.67
201804,20180401,1135059500,공릉1동,0,404.64,1965.14,3250.21,5964.32,8006.5,8486.9,10389.81,9236.12,10536.34,10146.2,10693.09,10002.34,6297.79,5686.36,0.07,441.82,1938.03,3310.6,6269.87,6427.53,6433.46,7491.36,6810.12,7733.11,6991.21,7421.88,5547.44,3060.46,3472.09
201804,20180401,1135060000,공릉2동,0,477.1,2217.96,3859.7,7741.7,6249.86,6419.47,8664.91,8509.74,11176.89,9922.08,9635.03,8988.88,5338.53,4560.6,0,549.89,2336.66,4555.69,6547.68,4624.87,4879.6,6881.48,6834.83,7907.76,6501.63,6472.6,4786.71,2592.84,2826.57
201804,20180401,1135061100,하계1동,0,186.29,1188.58,2429.34,2942.25,3359.55,3192.67,3742.56,4072.03,5959.09,5492.15,5265.11,4662.04,2939.63,2422.96,0,227.96,1309.38,2339.75,2829.36,2496.12,2486.68,3353.63,4194.97,5411.6,4332.88,4097.98,2850.74,1517.06,1679
201804,20180401,1135061200,하계2동,0,154.78,855.41,1431.99,1877.49,2519.92,2839.27,3260.75,3391.62,4223.12,3831.88,3852.45,3635.2,2319.71,2385.8,0,178.02,976.65,1523.73,2051.29,2174.58,2136.56,2764.08,2808.59,3557.62,2924.49,3000.93,2192.89,1238.8,1446.4
201804,20180401,1135061900,중계본동,0,91.35,655.81,1170.47,731.84,912.52,811.92,1269.43,1574.18,3075.03,2685.17,2529.34,2015.94,1031.48,818.36,0,123.65,566.89,1179.92,755.89,635.75,690.39,1002.7,1720.91,2449.56,1640.2,1431.05,898.99,371.17,489.49
201804,20180401,1135062100,중계1동,0,118.86,1001.66,1880.6,1137.63,1392.42,1433,1948.31,2630.18,4475.39,3490.5,2911.85,2470.31,1558.59,1285.86,0,165.11,905.37,1973.01,1215.72,1047.13,1077.21,1726.84,2543.8,3648.43,2118.48,1792.06,1175.48,602.6,764.17
201804,20180401,1135062400,중계4동,0,121.5,600.85,1196.17,1004.77,1369.2,1329.24,1857.1,2011.77,3093.92,2768.21,2924.76,2494.26,1607.82,1508.86,0,141.84,581.3,1040.85,1038.92,1012.01,1047.97,1387.28,1669.14,2480.05,1886.32,2037.48,1441.96,789.55,950.31
201804,20180401,1135062500,중계2.3동,0,271.44,1584.02,2314.34,2960.31,3862.24,3913.97,4959.41,4950.61,6435.51,5459.2,5402.03,5217.45,3507.88,3122.49,0,350.22,1717.63,2453.16,3194.18,3365.15,3199.84,4230.41,4385.61,5467.5,4079.97,4080.47,3084.26,1792.64,2201.34
201804,20180401,1135063000,상계1동,0,399.73,1564.71,2138.51,2660.47,4323.45,5493.53,7336.25,6670,8251.8,8375.94,9537.02,8789.3,5201.98,4676.51,0,449.64,1695.56,1855.01,2904.38,4031.6,4347.97,5617.01,5323.23,6072.12,6191.04,6495.45,4753.57,2511.84,2667.87
201804,20180401,1135064000,상계2동,0,196.21,1063.53,2802.32,3744.9,4444.92,3935.3,4521.06,3961.9,5240.41,4991.86,5380.1,5144,3427.16,2899.36,0,213.07,1405.1,2856.68,4022.63,3853.12,3229.9,3669.76,3665.56,4612.09,4041.12,3928.69,3145.62,1705.12,1919.71
201804,20180401,1135066500,상계3.4동,0,153.25,713.84,1252.03,1335.48,1974.79,1920.19,2772.93,2819.34,4354.16,4501.33,5085.99,4221.91,2755.31,2620.93,0,195.77,738.31,992.35,1483.24,1510.19,1637.68,2266.34,2205.38,3273.12,3088.1,3618.61,2513.22,1474.12,1762.03
201804,20180401,1135067000,상계5동,0,86.02,428.3,885.67,871.87,1307.69,1297.59,1668,1769.03,2249.3,2261.82,2352.62,2094.15,1327.01,1181.16,0,126.53,449.93,787.57,1019.27,1109.6,988,1347.54,1151.33,1897.69,1624.89,1558.57,1237.8,716.25,866.97
201804,20180401,1135069500,상계6.7동,0,448.06,2110.84,3558.27,4551.58,7031.56,7767.91,9804.62,9012.36,10672.9,10168.63,10468.18,9798.27,6231.43,5377.78,0,523.72,2319.88,3347.13,5270.64,6108.17,6409.31,7651.37,7027.4,8434.69,7229.81,7142.85,5570.58,2943.75,3373.86
201804,20180401,1135070000,상계8동,0,138.21,696.97,1080.94,1101.41,1728.73,2742.19,3598.13,2652.86,3156.66,2915.58,2986.79,2754.11,1693.9,1565.27,0,145.05,672.66,870.6,1135.23,1596.19,2424.11,2731.31,2183.28,2641.05,2060.8,2131.3,1801.81,895.8,868.89
201804,20180401,1135071000,상계9동,0,65.26,413.47,773.92,771.37,1113.7,1409.58,1844.88,1581.07,1901.9,1886.68,1868.34,1912.52,1129.74,985.45,0,86.24,408.73,642.12,856.5,1026.49,1214.85,1396.66,1276.58,1639.67,1337.13,1400.52,1051.35,568.93,609.32
201804,20180401,1135072000,상계10동,0.01,92.25,450.03,956.93,1098.39,1586.82,1766.08,2107.64,1844.39,2323.39,2336.94,2367.3,2186.51,1358.11,1138.57,0,93.7,481.36,821.04,1234.48,1281.96,1370.41,1643.19,1526.95,1883.87,1507.11,1546.71,1221.18,564.27,638.19
201804,20180402,1111051500,청운효자동,0,52.83,400.93,1342.24,1410.78,2563.21,2746.47,3117.1,3076.14,3680.74,3136.91,3040.41,2595.22,1682.6,1533.41,0.03,88.79,493.2,1161.23,1994.49,1505.49,1652.3,1995.12,1964.12,2383.13,1885.18,1644.23,1287.37,673.21,920.7
201804,20180402,1111053000,사직동,0.02,80.23,792.99,2994.41,5187.61,10128.24,12332.68,16356.17,14828.4,17584.88,14356.14,13019.05,11187.91,6887.51,7574.95,0.15,122.18,847.39,3786.22,9586.46,11757.9,11241.47,11203,9917.99,10068.47,7350.02,6817.27,5467.94,2875.42,4144.51
201804,20180402,1111054000,삼청동,0,15.05,105.18,439.73,640.41,1247.96,1772.21,2248.41,2159.73,2709.29,2128.86,2207.19,1842.43,1265.13,1259.78,1.33,16.11,120.96,612.37,1113.42,1381.7,1426.17,1378.04,1340.71,1427.1,1099.62,1029.76,819.26,394.3,521.58
201804,20180402,1111055000,부암동,0,90.56,422.64,1678.49,2860.01,3652.23,3646.82,5452.95,5237.98,6746.38,6366.9,6282.86,5358.85,3214.49,2924.49,0,112.53,390.27,1981.58,3819.23,1881.04,2047.2,2762.52,2881.91,3557.71,3086.19,2751.39,2084.11,1080.74,1593.08
201804,20180402,1111056000,평창동,0,132.47,732.29,2603.28,3675.73,5034.07,5604.95,8222.98,7926.74,9879.48,9313.11,9878.63,8714.51,5392.62,5800.29,0,212.1,659.75,4053.41,4424.8,3679.69,3844.75,4675.69,5000.39,6608.63,6000.24,5989.95,4444.14,2579.24,3849.59
