OPER_DT,BOR_CD,ADMD_CD,AMT_IND,LCLS_10_P,LCLS_20_P,LCLS_30_P,LCLS_40_P,LCLS_50_P,LCLS_60_P,LCLS_70_P,LCLS_80_P
20180401,1111,11110515,73.7%,27.9%,30.0%,33.5%,1.6%,5.4%,0.0%,1.3%,0.4%
20180401,1111,11110530,125.8%,23.7%,25.8%,35.0%,4.6%,9.3%,0.5%,0.2%,0.9%
20180401,1111,11110540,67.4%,25.4%,24.7%,32.4%,6.5%,9.0%,,1.3%,0.7%
20180401,1111,11110550,101.1%,41.6%,21.8%,28.3%,2.7%,3.7%,0.6%,1.2%,0.2%
20180401,1111,11110560,101.3%,31.1%,26.7%,26.2%,1.5%,13.5%,,0.7%,0.2%
20180401,1111,11110570,194.4%,34.2%,20.7%,36.0%,2.2%,4.9%,1.2%,0.4%,0.5%
20180401,1111,11110580,88.0%,33.6%,26.1%,24.7%,7.7%,4.6%,1.0%,1.9%,0.3%
20180401,1111,11110600,74.1%,23.8%,21.0%,41.3%,1.7%,9.0%,1.0%,2.1%,0.1%
20180401,1111,11110615,125.5%,27.5%,21.0%,38.7%,2.4%,7.6%,0.6%,1.7%,0.5%
20180401,1111,11110630,75.7%,25.3%,22.1%,39.8%,2.2%,4.6%,1.0%,1.9%,3.2%
20180401,1111,11110640,118.2%,22.3%,21.8%,37.5%,4.6%,11.0%,0.4%,2.0%,0.5%
20180401,1111,11110650,97.9%,31.7%,20.7%,34.2%,2.6%,8.1%,0.4%,2.2%,0.1%
20180401,1111,11110670,88.9%,33.6%,20.9%,36.1%,1.1%,3.6%,2.1%,2.6%,0.1%
20180401,1111,11110680,122.5%,42.5%,17.6%,28.0%,2.1%,4.6%,2.9%,2.3%,
20180401,1111,11110690,28.5%,15.0%,34.7%,45.7%,0.2%,0.6%,,3.7%,0.2%
20180401,1111,11110700,100.7%,35.2%,18.6%,33.9%,6.4%,4.3%,0.2%,1.4%,0.1%
20180401,1111,11110710,116.8%,27.5%,20.0%,40.1%,5.0%,5.6%,0.4%,0.9%,0.3%
20180401,1135,11350560,85.6%,33.2%,21.0%,36.3%,2.9%,4.9%,0.8%,0.7%,0.3%
20180401,1135,11350570,85.7%,34.0%,21.8%,36.7%,1.1%,4.1%,0.5%,1.3%,0.5%
20180401,1135,11350580,107.8%,24.9%,29.0%,38.6%,1.9%,4.4%,0.1%,0.3%,0.8%
20180401,1135,11350595,67.2%,31.9%,20.7%,36.2%,3.3%,5.0%,1.0%,1.4%,0.5%
20180401,1135,11350600,85.4%,31.7%,25.3%,33.1%,2.1%,5.0%,0.6%,1.7%,0.6%
20180401,1135,11350611,128.3%,29.8%,25.7%,33.4%,3.2%,5.9%,0.7%,0.9%,0.5%
20180401,1135,11350612,145.0%,31.5%,29.3%,32.4%,1.1%,4.9%,0.2%,0.4%,0.2%
20180401,1135,11350619,118.3%,29.7%,26.4%,36.3%,1.8%,3.3%,0.6%,1.3%,0.6%
20180401,1135,11350621,75.4%,26.3%,22.3%,41.2%,3.3%,4.0%,0.2%,1.6%,1.1%
20180401,1135,11350624,94.6%,20.8%,27.0%,42.2%,4.4%,4.3%,0.3%,0.4%,0.6%
20180401,1135,11350625,130.7%,32.5%,21.2%,39.1%,1.5%,3.5%,0.7%,0.9%,0.6%
20180401,1135,11350630,79.2%,26.7%,23.9%,39.3%,2.7%,5.1%,0.9%,1.1%,0.4%
20180401,1135,11350640,147.1%,29.5%,25.1%,36.7%,2.2%,5.0%,0.1%,0.9%,0.5%
20180401,1135,11350665,61.1%,34.9%,23.0%,29.9%,2.5%,6.7%,0.1%,1.0%,1.9%
20180401,1135,11350670,81.8%,31.6%,20.1%,37.8%,2.7%,3.9%,1.0%,0.9%,2.1%
20180401,1135,11350695,106.5%,28.0%,26.1%,35.9%,3.6%,4.6%,0.9%,0.5%,0.4%
20180401,1135,11350700,120.6%,33.9%,18.9%,39.9%,1.5%,4.8%,0.3%,0.2%,0.7%
20180401,1135,11350710,86.8%,27.7%,24.0%,37.9%,3.7%,4.0%,1.2%,0.5%,1.1%
20180401,1135,11350720,75.3%,31.3%,21.7%,39.9%,1.3%,4.6%,0.3%,0.6%,0.2%
20180402,1111,11110515,86.4%,27.0%,24.6%,40.5%,3.7%,3.1%,0.1%,0.3%,0.7%
20180402,1111,11110530,147.9%,25.3%,21.8%,39.7%,2.3%,8.2%,0.7%,1.2%,0.8%
20180402,1111,11110540,78.6%,19.5%,26.9%,39.6%,2.3%,6.5%,,5.0%,0.1%
20180402,1111,11110550,198.1%,41.0%,19.3%,31.6%,2.7%,3.3%,0.4%,1.5%,0.2%
20180402,1111,11110560,68.4%,31.8%,19.3%,31.1%,4.1%,7.0%,4.4%,2.3%,
20180402,1111,11110570,199.8%,27.5%,22.4%,37.7%,4.0%,7.0%,0.5%,0.7%,0.1%
20180402,1111,11110580,78.0%,34.8%,17.7%,30.7%,7.4%,8.2%,,0.8%,0.3%
20180402,1111,11110600,85.6%,24.8%,21.5%,41.0%,2.5%,8.6%,0.2%,0.2%,1.1%
20180402,1111,11110615,177.0%,27.3%,19.4%,42.6%,2.8%,5.9%,0.3%,1.5%,0.1%
20180402,1111,11110630,92.4%,24.6%,16.7%,48.0%,2.6%,6.1%,0.3%,1.1%,0.5%
20180402,1111,11110640,93.6%,27.6%,20.7%,37.5%,5.0%,6.6%,0.8%,1.7%,0.1%
20180402,1111,11110650,112.2%,32.7%,19.3%,35.0%,4.2%,4.8%,1.6%,2.2%,0.1%
20180402,1111,11110670,82.5%,38.8%,12.3%,39.6%,2.7%,5.9%,0.3%,0.3%,0.2%
20180402,1111,11110680,97.0%,46.0%,13.3%,33.5%,1.3%,4.1%,1.0%,0.8%,
20180402,1111,11110690,62.0%,26.5%,21.2%,45.5%,0.3%,6.1%,,,0.4%
20180402,1111,11110700,104.1%,38.0%,17.3%,34.9%,3.9%,4.5%,0.8%,0.6%,0.0%
