DATE,COUNT
20180413,1
20180418,65
20180423,7
20180424,0
20180428,159
20180502,0
20180503,0
20180504,0
20180515,22
20180517,1
20180523,51
20180524,0
20180527,0
20180602,0
20180603,0
20180606,1
20180608,0
20180616,0
20180617,0
20180618,21
20180623,64
20180630,9
20180702,0
20180703,0
20180714,21
20180722,26
20180723,0
20180726,0
20180727,23
20180728,17
20180801,0
20180804,20
20180806,0
20180811,16
20180816,14
20180818,13
20180821,13
20180822,0
20180823,1
20180825,15
20180826,0
20180829,0
20180901,18
20180904,0
20180905,31
20180908,12
20180910,12
20180911,0
20180914,0
20180915,14
20180920,21
20180922,15
20180923,15
20180924,5
20180925,7
20180926,10
20180929,12
20180930,19
20181001,16
20181004,17
20181005,0
20181006,4
20181010,9
20181013,15
20181014,37
20181020,71
20181021,120
20181027,30
20181110,1
20181120,0
20181216,48
20190105,98
20190110,308
20190118,1
20190122,40
20190130,1
20190131,0
20190210,0
20190211,63
20190219,28
20190220,0
20190303,1
20190305,72
20190311,3
20190312,0
20190322,1
20190323,1
20190324,1
20190329,4
