ADMD_CD,AMT_IND,LCLS_10_P,LCLS_20_P,LCLS_30_P,LCLS_40_P,LCLS_50_P,LCLS_60_P,LCLS_70_P,LCLS_80_P
buam,-17.34914821,-18.49979027,-13.12390408,-20.16539726,-14.68751294,-10.66008951,1.520498735,-17.74531098,-16.89547146
changsin1,0.294846446,-5.012081514,15.38070428,-3.807002384,-0.852971075,16.07689852,27.7810754,-9.29947191,-23.87458025
changsin3,-20.45206332,-27.69182784,-19.67740862,-19.50672888,-5.637005947,-8.482397707,-23.83665171,2.351439921,-22.21302413
cheongunhyoja,-5.409753491,-7.00101738,1.190443065,-11.43206432,0.123511578,22.76063344,-11.35645514,-5.740932049,-15.47217782
gahoe,-4.482284849,-1.679916207,-0.839522385,-8.656206403,-15.51800922,1.513548265,-6.836465729,-7.420302029,2.419377503
gongneung1,-3.98529951,-4.039389536,1.764306994,-8.263365096,-3.830477152,6.207032237,-15.54478859,-4.299582059,19.69215243
gongneung2,-0.387695363,-0.670457532,1.778781751,-1.254965577,-2.617913089,1.078573324,-7.96431996,-4.873075636,-4.627309954
gyonam,-0.589580286,-1.677760676,-0.050447391,-2.871525535,4.782245406,11.47206539,-7.904229867,7.761396881,22.1266218
hagye1,-4.282775806,-2.739463659,-3.6539997,-6.799943682,-7.790045019,3.170351818,-10.37607962,8.275693206,-2.478152441
hyehwa,-2.626378326,-6.064711408,0.118548309,-3.64224438,-0.587802552,10.80938923,-0.902924734,-3.728223044,-5.445572306
ihwa,1.182626743,-10.34170463,8.909432816,-0.064776044,3.10345094,27.34060721,12.8666038,-0.600646851,50.00056645
jongno1234,-14.52721528,-15.0493597,-9.330581081,-19.78240347,-13.20515768,0.468870342,-12.59858785,-6.077246241,6.61929886
jongno56,-15.04739356,-16.45690356,-6.176775963,-19.87564831,-8.463995919,-0.688043439,-2.156925713,-11.29825692,70.9701436
junggye23,-4.169539479,-2.767942343,-0.122505169,-9.338046052,26.24035665,6.116770692,-9.230580937,4.377818948,-11.01782167
junggyebon,-4.31833276,-2.466327585,-6.911334219,-5.354456898,0.845380477,3.275682961,11.57696091,-3.441322247,-6.187011754
pyeongchang,-6.398063965,-3.337822355,-8.172209409,-11.33424865,-0.894802807,3.677571039,-0.081997995,3.541056086,-18.78751896
sajik,-10.04722486,-14.89264316,-2.214469888,-15.42481237,12.70402772,3.518385514,21.0375309,-5.587372046,20.89132459
sanggye1,-4.281666296,1.104589584,-3.429069606,-9.176885781,-8.582801496,3.331304455,-12.23715178,0.5062647,-7.575496817
sanggye10,-12.3315797,-6.351027268,-9.296294674,-20.82253209,1.458610439,-2.911514093,3.429607754,-2.245925671,-7.877464084
sanggye2,-4.585347237,-4.692950825,2.992961449,-9.914262787,1.464931026,0.63846034,-3.742143497,-4.930664339,-3.615443191
sanggye34,-11.0296515,-11.39687643,-6.738771272,-12.73654166,-15.49358421,-4.30155262,-16.00341988,-17.82085425,-37.54124169
sanggye5,-4.497369487,-0.180222454,0.557087532,-12.11069693,1.474904627,3.837586289,-13.1399857,-0.795727042,-10.91045685
sanggye67,-4.367742084,-3.863522094,0.963153736,-8.178199001,-14.42716911,6.008843704,-1.554669391,7.049390742,-8.553352047
sungin2,1.422296535,-2.848014669,9.523140203,1.870888366,-10.34255079,9.412587931,-7.73113962,-5.071957765,30.36103831
wolgye1,-5.19817789,-4.818688839,0.15819889,-9.436043539,-3.171986121,0.722677482,4.148537404,0.271308859,-3.009459236
wolgye3,-0.385685913,0.858307571,1.555059401,-3.844115557,22.01648759,2.233649481,-19.69153788,3.111153731,-12.8230206
