STD_YMD,dong,TMST
20180401,cheongunhyoja,1519.399
20180401,sajik,5456.912
20180401,samcheong,1054.261
20180401,buam,2905.49
20180401,pyeongchang,5768.784
20180401,muak,757.692
20180401,gyonam,1181.507
20180401,gahoe,729.516
20180401,jongno1234,14775.795
20180401,jongno56,4126.276
20180401,ihwa,2815.156
20180401,hyehwa,3710.951
20180401,changsin1,1998.053
20180401,changsin2,523.487
20180401,changsin3,313.318
20180401,sungin1,952.56
20180401,sungin2,2843.83
20180401,wolgye1,3085.694
20180401,wolgye2,2427.839
20180401,wolgye3,4207.005
20180401,gongneung1,7267.306
20180401,gongneung2,6752.214
20180401,hagye1,3624.139
20180401,hagye2,2731.432
20180401,junggyebon,1388.708
20180401,junggye1,2020.471
20180401,junggye4,1724.645
20180401,junggye23,4065.092
20180401,sanggye1,5430.459
20180401,sanggye2,3917.65
20180401,sanggye34,2634.954
20180401,sanggye5,1444.335
20180401,sanggye67,7098.105
20180401,sanggye8,2123.596
20180401,sanggye9,1298.816
20180401,sanggye10,1559.458
20180402,cheongunhyoja,2084.3
20180402,sajik,9520.631
20180402,samcheong,1363.364
20180402,buam,3498.455
20180402,pyeongchang,5788.789
20180402,muak,1042.958
20180402,gyonam,1781.08
20180402,gahoe,1367.715
20180402,jongno1234,28435.037
20180402,jongno56,8113.453
20180402,ihwa,4374.92
20180402,hyehwa,4988.442
20180402,changsin1,2994.423
20180402,changsin2,785.152
20180402,changsin3,520.83
20180402,sungin1,1340.207
20180402,sungin2,4499.954
20180402,wolgye1,3807.172
20180402,wolgye2,2833.132
20180402,wolgye3,4813.579
20180402,gongneung1,8771.744
20180402,gongneung2,8551.656
20180402,hagye1,4380.333
20180402,hagye2,3251.742
20180402,junggyebon,1329.891
20180402,junggye1,1915.107
20180402,junggye4,1813.815
20180402,junggye23,4529.229
20180402,sanggye1,5349.115
20180402,sanggye2,4242.074
20180402,sanggye34,2623.467
20180402,sanggye5,1575.576
20180402,sanggye67,8576.346
20180402,sanggye8,2491.536
20180402,sanggye9,1544.844
20180402,sanggye10,1833.838
20180403,cheongunhyoja,2116.51
20180403,sajik,9822.063
20180403,samcheong,1478.094
20180403,buam,3689.38
20180403,pyeongchang,5998.395
20180403,muak,1128.034
20180403,gyonam,1893.333
20180403,gahoe,1488.953
20180403,jongno1234,29660.658
20180403,jongno56,8411.41
20180403,ihwa,4675.328
20180403,hyehwa,5330.048
20180403,changsin1,3161.467
20180403,changsin2,839.228
20180403,changsin3,526.898
20180403,sungin1,1387.495
20180403,sungin2,4652.044
20180403,wolgye1,3892.767
20180403,wolgye2,2928.028
20180403,wolgye3,4899.743
20180403,gongneung1,9034.141
20180403,gongneung2,8861.007
20180403,hagye1,4720.63
20180403,hagye2,3383.579
20180403,junggyebon,1377.872
20180403,junggye1,1932.36
20180403,junggye4,1905.613
20180403,junggye23,4671.116
20180403,sanggye1,5595.015
20180403,sanggye2,4219.134
20180403,sanggye34,2638.878
20180403,sanggye5,1586.726
20180403,sanggye67,8732.492
20180403,sanggye8,2577.228
20180403,sanggye9,1559.06
20180403,sanggye10,1924.013
20180404,cheongunhyoja,2171.694
20180404,sajik,10124.564
20180404,samcheong,1491.644
20180404,buam,3635.26
20180404,pyeongchang,5972.335
20180404,muak,1141.808
20180404,gyonam,1881.585
20180404,gahoe,1462.192
20180404,jongno1234,29619.215
20180404,jongno56,8329.643
20180404,ihwa,4726.913
20180404,hyehwa,5275.93
20180404,changsin1,3116.203
20180404,changsin2,820.259
20180404,changsin3,568.831
20180404,sungin1,1402.805
20180404,sungin2,4682.754
20180404,wolgye1,3847.204
20180404,wolgye2,2806.633
20180404,wolgye3,4801.005
20180404,gongneung1,8976.74
20180404,gongneung2,8401.77
20180404,hagye1,4426.775
20180404,hagye2,3310.988
20180404,junggyebon,1389.243
20180404,junggye1,1931.45
20180404,junggye4,1895.222
20180404,junggye23,4706.642
20180404,sanggye1,5553.724
20180404,sanggye2,4224.074
20180404,sanggye34,2556.217
20180404,sanggye5,1582.607
20180404,sanggye67,8683.179
20180404,sanggye8,2604.062
20180404,sanggye9,1585.995
20180404,sanggye10,1938.531
20180405,cheongunhyoja,2045.958
20180405,sajik,9842.482
20180405,samcheong,1455.591
20180405,buam,3582.741
20180405,pyeongchang,5686.742
20180405,muak,1107.211
20180405,gyonam,1854.39
20180405,gahoe,1411.368
20180405,jongno1234,28859.575
20180405,jongno56,7910.401
20180405,ihwa,4485.343
20180405,hyehwa,5181.796
20180405,changsin1,2960.545
20180405,changsin2,815.289
20180405,changsin3,495.545
20180405,sungin1,1300.787
20180405,sungin2,4359.486
20180405,wolgye1,3771.707
20180405,wolgye2,2585.696
20180405,wolgye3,4516.46
20180405,gongneung1,8854.321
20180405,gongneung2,8049.654
20180405,hagye1,4122.678
20180405,hagye2,3051.162
20180405,junggyebon,1333.049
20180405,junggye1,1881.834
20180405,junggye4,1799.865
20180405,junggye23,4327.992
20180405,sanggye1,5477.242
20180405,sanggye2,4145.583
20180405,sanggye34,2407.317
20180405,sanggye5,1518.786
20180405,sanggye67,8408.725
20180405,sanggye8,2454.389
20180405,sanggye9,1561.901
20180405,sanggye10,1905.475
20180406,cheongunhyoja,2012.877
20180406,sajik,9670.591
20180406,samcheong,1451.846
20180406,buam,3557.739
20180406,pyeongchang,5928.715
20180406,muak,1057.465
20180406,gyonam,1805.749
20180406,gahoe,1397.654
20180406,jongno1234,29131.658
20180406,jongno56,8192.086
20180406,ihwa,4602.447
20180406,hyehwa,5069.069
20180406,changsin1,2959.845
20180406,changsin2,802.695
20180406,changsin3,491.492
20180406,sungin1,1312.026
20180406,sungin2,4432.139
20180406,wolgye1,3714.768
20180406,wolgye2,2603.413
20180406,wolgye3,4564.718
20180406,gongneung1,8704.172
20180406,gongneung2,7823.602
20180406,hagye1,4140.043
20180406,hagye2,3050.742
20180406,junggyebon,1413.407
20180406,junggye1,1937.815
20180406,junggye4,1847.031
20180406,junggye23,4288.32
20180406,sanggye1,5496.629
20180406,sanggye2,4371.088
20180406,sanggye34,2475.401
20180406,sanggye5,1576.564
20180406,sanggye67,8350.696
20180406,sanggye8,2482.71
20180406,sanggye9,1575.779
20180406,sanggye10,1942.126
20180407,cheongunhyoja,1869.016
20180407,sajik,7481.76
20180407,samcheong,1435.48
20180407,buam,3895.262
20180407,pyeongchang,6704.571
20180407,muak,994.147
20180407,gyonam,1523.677
20180407,gahoe,977.794
20180407,jongno1234,22595.586
20180407,jongno56,6563.929
20180407,ihwa,3879.642
20180407,hyehwa,4703.812
20180407,changsin1,2648.494
20180407,changsin2,705.128
20180407,changsin3,411.279
20180407,sungin1,1242.089
20180407,sungin2,3673.989
20180407,wolgye1,3803.629
20180407,wolgye2,2529.92
20180407,wolgye3,4923.668
20180407,gongneung1,9041.284
20180407,gongneung2,7671.83
20180407,hagye1,3979.543
20180407,hagye2,3106.98
20180407,junggyebon,1593.229
20180407,junggye1,2216.263
20180407,junggye4,1848.896
20180407,junggye23,4498.239
20180407,sanggye1,6398.805
20180407,sanggye2,4760.889
20180407,sanggye34,2768.303
20180407,sanggye5,1603.69
20180407,sanggye67,8336.338
20180407,sanggye8,2507.111
20180407,sanggye9,1542.454
