STD_YM,STD_YMD,HDONG_CD,HDONG_NM,TMST_00,TMST_01,TMST_02,TMST_03,TMST_04,TMST_05,TMST_06,TMST_07,TMST_08,TMST_09,TMST_10,TMST_11,TMST_12,TMST_13,TMST_14,TMST_15,TMST_16,TMST_17,TMST_18,TMST_19,TMST_20,TMST_21,TMST_22,TMST_23
201812,20181201,1111051500,청운효자동,642.55,455.73,414.54,227.71,331.21,569.6,1131.41,1330.43,2194.26,2995.43,3697.59,3919.25,3982.17,3710.89,3933.5,3759.76,3157.67,2975.7,2466.36,1927.97,1886.17,1624.86,1364.47,886.88
201812,20181201,1111053000,사직동,1989.62,1117.74,920.46,663.3,895.08,2398.36,3698.89,4723.16,7416.02,9149.22,10133.82,12954.4,13193.89,13084.4,12843.17,11507.75,14456.17,16353.81,9028.86,7085.47,5795.49,5372.8,4005.26,2200.68
201812,20181201,1111054000,삼청동,556.65,448.04,316.44,319.86,307.25,434.04,766.08,1082.18,1843.63,2388.37,2487.65,2869.45,2963.52,3108.43,3193.22,2938.72,2783.52,2460.37,1911.12,1622.07,1414.19,1189.6,938.44,685.73
201812,20181201,1111055000,부암동,1351.65,941.03,689.84,541.93,781.81,1345.56,1767.78,2105,3667.85,4602.42,5194.59,6228.47,5801.7,6459.02,5815.29,5964.31,6729.42,7531.9,6075.17,3708.6,3612.32,3876.96,3138.44,1679.66
201812,20181201,1111056000,평창동,2771.54,1923.37,1486.19,1368.7,1792.8,2783.91,3928.87,4354.05,6497.21,8100.69,9582.95,10289.94,10383.87,10508.43,10485.44,10654.69,12557.96,13120.33,11513.17,6496.89,6749.95,6815.41,5787.06,3494.95
201812,20181201,1111057000,무악동,392.93,359.83,172.63,142.68,271.92,450.06,540.71,774.61,1286.32,1534.83,1215.48,1324.03,1370.59,1538.63,1361.98,1309.54,1443.56,1619.76,1162.28,1027.61,1021.01,1103.65,982.92,599.8
201812,20181201,1111058000,교남동,766.25,497.45,385.53,316.29,437.83,680.25,897.58,1414.17,1957.8,2384.65,2496.61,2822.02,2788.27,2894.31,2832.31,2369.09,3198.71,2917.58,2287.8,2027.07,1837.34,1860.07,1421.31,990.6
201812,20181201,1111060000,가회동,178.14,179.59,103.83,93.29,142.75,254.81,412.88,553.99,1112.19,1471.07,1636.93,1781.09,1892.78,1837.6,2000.09,1584.17,1574.33,1212.17,1095.23,771.39,631.2,669.92,507.39,242.98
201812,20181201,1111061500,종로1.2.3.4가동,4305.62,3274.71,2610.15,1954.44,2855.26,6960.92,9983.77,13830.04,23053.15,29637.38,33993.05,39498.28,41520.12,42390.9,41339.06,39937.57,43326.87,41377.85,29312.63,20822.8,17366.66,15390.99,12746.27,7235.12
201812,20181201,1111063000,종로5.6가동,1423.83,996.67,851.16,829.81,959.01,2335.6,3570.78,5375.54,8088.73,9729.96,10589.47,11394.96,12621.17,13038.63,13228.53,13055.36,13294.27,13052.82,8819.99,5769.32,5944.18,5232.03,5233.32,2606.4
