Date,pm10,pm25,COUNT_T,TMST,retail
20180401,67.466,32.029,234.0,1181.507,0.88
20180402,66.791,25.959,371.0,1781.08,0.78
20180403,64.901,21.774,251.0,1893.333,0.828
20180404,12.638,7.269,352.0,1881.585,0.73
20180405,9.552,5.542,293.0,1854.39,0.732
20180406,70.601,17.718,627.0,1805.749,0.676
20180407,36.88,14.823,207.0,1523.677,0.891
20180408,18.957,8.767,199.0,1106.53,0.918
20180409,36.794,22.74,407.0,1793.051,0.639
20180410,38.401,15.734,278.0,1894.532,0.78
20180411,62.531,25.289,357.0,1889.323,0.728
20180412,44.509,15.245,236.0,1901.673,0.889
20180413,26.197,9.211,223.0,1946.584,0.947
20180414,20.308,10.033,95.0,1441.534,0.758
20180416,24.452,14.534,318.0,1792.741,0.877
20180417,48.379,26.218,350.0,1869.128,0.828
20180418,63.208,29.197,436.0,1943.87,0.853
20180419,75.882,36.671,361.0,1962.724,0.764
20180420,99.234,52.572,361.0,1994.12,0.799
20180421,57.944,30.754,159.0,1585.246,0.955
20180422,36.551,20.024,198.0,1140.747,0.867
20180423,10.606,6.314,179.0,1664.752,0.682
20180424,11.652,5.405,259.0,1847.282,0.844
20180425,28.612,19.931,298.0,1987.41,0.848
20180426,42.416,28.884,258.0,1963.908,0.85
20180427,52.324,37.323,165.0,2033.652,0.87
20180428,58.251,36.981,159.0,1638.253,0.922
20180429,64.562,37.667,196.0,1328.967,0.797
20180430,81.34,58.951,358.0,1818.993,0.854
20180501,71.973,55.538,257.0,1402.308,0.786
20180502,52.532,43.039,226.0,1823.089,0.748
20180503,27.971,14.299,210.0,1917.119,0.904
20180504,53.854,19.107,171.0,2001.885,0.902
20180505,48.247,22.623,70.0,1415.48,0.84
20180506,16.426,8.629,38.0,1166.85,0.855
20180507,38.603,19.509,101.0,1268.011,0.944
20180508,25.747,9.567,265.0,1867.027,0.974
20180509,27.092,9.703,209.0,1897.524,0.764
20180510,52.434,31.386,244.0,1922.063,0.802
20180511,86.7,61.074,192.0,1928.99,0.958
20180512,41.602,26.031,56.0,1490.348,1.038
20180513,24.268,18.616,130.0,1282.448,1.003
20180514,106.536,87.169,313.0,1965.993,0.732
20180515,82.606,60.584,273.0,2022.387,0.868
20180516,40.902,28.836,228.0,1806.35,0.927
20180517,22.14,12.967,185.0,1846.602,0.786
20180518,16.225,9.863,107.0,1908.812,0.891
20180519,16.672,8.227,91.0,1659.206,0.999
20180520,14.585,7.758,104.0,1325.468,0.849
