Date,pm10,pm25,COUNT_T,TMST,retail
20180401,66.686,34.669,234.0,7098.105,1.065
20180402,69.812,28.942,371.0,8576.346,0.99
20180403,68.658,23.273,251.0,8732.492,0.975
20180404,15.407,9.337,352.0,8683.179,0.911
20180405,10.701,4.487,293.0,8408.725,0.78
20180406,76.628,28.488,627.0,8350.696,0.974
20180407,40.705,19.576,207.0,8336.338,1.103
20180408,23.383,11.443,199.0,6536.991,1.022
20180409,39.616,27.086,407.0,8295.261,0.879
20180410,45.365,19.04,278.0,8505.82,0.96
20180411,64.278,27.605,357.0,8550.225,0.886
20180412,37.85,12.871,236.0,8653.873,1.0
20180413,28.256,12.35,223.0,8824.787,1.027
20180414,22.684,12.012,95.0,7875.241,1.08
20180416,29.803,18.871,318.0,8274.565,0.914
20180417,58.644,29.179,350.0,8531.662,0.925
20180418,71.287,30.542,436.0,8798.327,0.943
20180419,82.922,37.002,361.0,8776.238,0.957
20180420,99.431,51.973,361.0,8977.545,1.085
20180421,61.846,34.815,159.0,8579.058,1.258
20180422,40.692,25.333,198.0,6589.866,1.115
20180423,11.822,7.821,179.0,8215.731,0.835
20180424,11.574,5.859,259.0,8567.985,0.963
20180425,30.005,21.177,298.0,8944.84,0.999
20180426,44.849,32.504,258.0,8905.932,1.041
20180427,52.194,35.892,165.0,9095.533,1.138
20180428,60.263,41.351,159.0,8819.932,1.218
20180429,59.967,37.342,196.0,7257.011,1.123
20180430,86.684,67.037,358.0,8863.592,1.067
20180501,85.347,69.805,257.0,8813.185,1.062
20180502,56.103,43.711,226.0,9209.975,0.888
20180503,27.967,10.742,210.0,9653.758,0.93
20180504,53.981,15.572,171.0,10301.332,1.033
20180505,49.735,20.863,70.0,9162.352,1.145
20180506,16.82,7.65,38.0,8109.702,1.023
20180507,39.51,16.902,101.0,9299.763,1.022
20180508,18.849,5.819,265.0,10014.616,0.965
20180509,22.605,6.845,209.0,9771.163,0.927
20180510,45.859,21.114,244.0,9642.932,0.947
20180511,88.097,56.144,192.0,9769.946,1.046
20180512,36.778,22.605,56.0,8698.217,1.158
20180513,25.753,15.64,130.0,7487.983,1.168
20180514,95.408,67.126,313.0,9369.445,1.007
20180515,79.017,54.749,273.0,9500.676,1.084
20180516,38.501,25.089,228.0,8890.552,0.887
20180517,20.703,8.524,185.0,8874.594,0.867
20180518,14.162,4.336,107.0,9692.719,1.012
20180519,16.26,4.208,91.0,9610.423,1.16
20180520,14.819,4.912,104.0,7635.627,1.128
20180521,23.201,9.069,148.0,9665.292,1.063
20180522,50.184,30.821,94.0,7745.61,0.986
20180523,52.718,13.251,318.0,9445.849,0.936
20180524,90.862,23.276,377.0,9617.11,0.985
20180525,81.145,32.182,235.0,9381.773,1.027
20180526,74.122,35.484,119.0,9099.189,1.246
20180527,69.999,31.179,116.0,7281.169,1.198
20180528,44.722,21.732,177.0,9169.932,1.024
20180530,42.385,26.381,269.0,9387.098,1.053
20180531,32.083,16.817,204.0,9415.45,1.058
20180602,31.999,16.328,68.0,9266.945,1.306
20180603,23.654,12.684,70.0,7523.508,1.174
20180604,30.359,16.963,120.0,9245.75,1.02
20180605,32.283,19.156,139.0,9542.075,1.076
20180606,34.013,21.041,68.0,7991.508,1.184
20180607,36.776,23.794,180.0,9572.045,1.112
20180608,30.57,18.044,117.0,9690.047,1.128
20180609,35.502,21.239,52.0,9077.336,1.242
20180610,13.078,5.006,77.0,7108.216,1.087
20180611,14.668,3.783,113.0,9148.305,0.994
20180612,24.762,10.927,111.0,9583.305,1.075
20180613,39.426,23.572,57.0,7925.878,1.093
20180614,39.262,25.178,89.0,9184.144,0.968
20180615,27.899,11.125,118.0,9724.783,1.069
20180616,36.443,16.917,62.0,8760.079,1.183
20180617,55.688,34.964,105.0,7234.353,1.148
20180618,48.238,29.653,104.0,8977.596,1.178
20180619,48.13,29.874,92.0,9200.036,0.985
20180620,50.112,33.046,81.0,9256.871,1.042
20180621,49.01,27.221,103.0,9344.415,1.037
20180622,51.919,29.21,60.0,9660.649,1.179
20180623,52.493,27.404,64.0,9359.982,1.472
20180624,70.713,43.683,132.0,7302.153,1.175
