Date,pm10,pm25,COUNT_T,TMST,retail
20180401,58.004,26.733,234.0,14775.795,1.255
20180402,54.963,21.133,371.0,28435.037,1.77
20180403,52.981,15.617,251.0,29660.658,1.877
20180404,12.549,5.888,352.0,29619.215,1.795
20180405,6.608,3.697,293.0,28859.575,1.805
20180406,56.665,13.717,627.0,29131.658,1.804
20180407,31.013,14.671,207.0,22595.586,1.51
20180408,20.335,10.076,199.0,14765.498,1.419
20180409,41.387,26.599,407.0,28412.567,1.699
20180410,33.078,16.674,278.0,29952.159,1.948
20180411,54.542,21.909,357.0,30152.227,1.797
20180412,33.213,11.973,236.0,30542.709,1.825
20180413,24.757,10.519,223.0,31268.397,1.895
20180414,19.844,10.257,95.0,20826.559,1.639
20180416,25.796,15.399,318.0,29289.4,1.75
20180417,46.28,23.126,350.0,30373.865,1.825
20180418,48.695,23.384,436.0,30582.113,1.838
20180419,65.49,29.492,361.0,30373.896,1.938
20180420,85.928,43.006,361.0,30720.922,2.013
20180421,56.859,29.729,159.0,23603.863,1.758
20180422,35.94,18.504,198.0,14120.254,1.346
20180423,10.666,6.043,179.0,26193.16,1.64
20180424,8.056,4.31,259.0,29541.89,1.778
20180425,26.892,19.281,298.0,31080.691,1.888
20180426,38.797,25.519,258.0,31472.788,1.891
20180427,50.112,33.756,165.0,32217.159,1.966
20180428,58.17,36.113,159.0,23259.567,1.704
20180429,58.122,33.192,196.0,16313.796,1.392
20180430,90.427,59.812,358.0,28055.837,1.832
20180501,80.417,53.77,257.0,21181.32,1.534
20180502,62.031,43.62,226.0,29196.972,1.86
20180503,23.731,11.918,210.0,30647.711,1.945
20180504,38.404,14.915,171.0,33677.842,1.995
20180505,37.66,17.263,70.0,23015.809,1.757
20180506,14.701,8.228,38.0,15801.715,1.578
20180507,33.181,16.722,101.0,18416.7,1.316
20180508,15.674,6.649,265.0,29728.154,1.689
20180509,23.041,7.972,209.0,31279.009,1.863
20180510,47.419,24.178,244.0,32247.238,1.894
20180511,81.543,46.378,192.0,33221.218,2.022
20180512,35.274,20.808,56.0,20766.741,1.694
20180513,28.336,17.606,130.0,17272.568,1.435
20180514,99.479,61.904,313.0,29778.055,1.871
20180515,75.949,52.853,273.0,31755.537,1.993
20180516,39.783,26.661,228.0,28950.349,1.983
20180517,18.308,10.742,185.0,29746.86,1.945
20180518,11.192,3.581,107.0,31754.434,1.881
20180519,14.502,6.72,91.0,25968.355,1.878
20180520,10.73,5.574,104.0,18075.751,1.5
20180521,20.876,10.571,148.0,29343.542,1.899
20180522,40.935,24.526,94.0,19580.481,1.937
20180523,35.606,8.497,318.0,30068.888,1.766
20180524,66.728,14.427,377.0,30743.634,1.906
20180525,70.979,26.753,235.0,30644.549,1.99
20180526,65.144,30.297,119.0,24277.878,1.863
20180527,59.45,26.24,116.0,16695.246,1.43
20180528,42.351,21.264,177.0,29031.478,1.905
20180530,58.328,34.307,269.0,30853.326,1.942
20180531,46.626,26.061,204.0,30428.008,2.04
20180602,34.738,20.133,68.0,23060.351,1.784
20180603,26.337,17.254,70.0,15468.098,1.424
20180604,29.774,19.595,120.0,28470.858,1.893
20180605,34.562,22.575,139.0,29946.103,1.974
20180606,39.322,26.606,68.0,18126.991,1.581
20180607,56.125,36.237,180.0,29015.779,1.867
20180608,38.89,24.828,117.0,29849.493,1.868
20180609,42.147,24.839,52.0,22301.652,1.959
20180610,8.79,4.501,77.0,14682.212,1.326
20180611,10.294,4.269,113.0,27771.906,1.886
20180612,16.193,8.809,111.0,29717.791,1.89
20180613,27.558,16.544,57.0,17758.892,1.452
20180614,34.006,21.4,89.0,28635.615,1.861
20180615,17.511,9.634,118.0,30097.147,1.903
20180616,25.538,12.715,62.0,22005.8,1.685
20180617,60.874,36.798,105.0,14773.397,1.428
20180618,38.308,24.306,104.0,27657.946,2.103
20180619,33.436,21.576,92.0,28700.714,1.778
20180620,39.492,26.347,81.0,29404.161,1.913
20180621,39.638,25.85,103.0,29467.253,1.956
20180622,42.76,25.53,60.0,30277.985,2.013
20180623,35.694,19.977,64.0,22822.26,1.971
20180624,76.098,43.083,132.0,14801.893,1.542
20180625,47.767,26.849,116.0,28425.38,1.961
20180626,45.338,27.701,116.0,26416.304,1.888
20180627,30.76,19.106,76.0,29449.11,2.009
20180628,24.751,15.569,146.0,28774.365,2.108
20180629,40.47,28.542,38.0,29759.462,2.021
20180630,61.572,40.799,9.0,20431.322,1.903
20180701,11.482,7.757,26.0,11389.03,1.205
20180702,12.382,7.335,86.0,26142.591,1.759
20180703,14.421,9.419,53.0,29157.522,1.975
20180704,20.734,13.743,63.0,29221.603,2.004
20180705,24.439,18.197,53.0,29191.623,2.009
20180706,5.724,2.88,180.0,30266.439,1.946
20180707,9.565,5.74,36.0,22243.457,1.634
20180708,19.249,12.863,56.0,14952.429,1.399
20180709,10.019,6.971,59.0,26588.679,1.78
20180710,19.41,12.955,62.0,29110.536,1.96
20180711,32.453,21.445,78.0,30393.715,1.986
20180712,30.714,18.229,92.0,31832.208,2.101
20180713,25.413,17.061,27.0,30852.537,2.037
20180714,20.944,15.11,21.0,22128.825,1.781
20180715,21.74,16.443,51.0,14162.917,1.443
20180716,19.776,14.984,30.0,27364.127,1.955
20180717,23.074,18.101,80.0,28492.43,1.956
20180718,32.96,24.878,114.0,29058.014,2.051
20180719,24.513,17.949,83.0,28429.36,2.129
20180720,32.493,24.288,69.0,28843.846,2.115
20180721,30.281,22.886,80.0,20213.258,1.803
20180722,23.11,17.003,26.0,13832.115,1.476
20180723,31.445,21.923,50.0,27171.521,2.001
20180724,33.509,26.576,53.0,28062.167,2.091
20180725,30.549,22.249,56.0,28790.971,2.094
20180726,38.357,26.778,93.0,28369.845,2.078
20180727,39.015,26.821,51.0,29135.738,2.093
20180728,31.538,19.678,17.0,19259.135,1.863
20180729,16.721,11.213,20.0,13826.196,1.537
20180730,11.379,6.379,51.0,27082.347,2.039
20180731,20.561,12.007,72.0,27291.866,2.052
20180801,31.617,17.964,22.0,25790.49,2.23
20180802,37.729,23.707,33.0,25870.683,2.154
20180803,36.633,26.596,84.0,25428.378,2.18
20180804,27.128,17.959,20.0,17948.936,1.883
20180805,34.476,20.303,23.0,12532.481,1.486
20180806,32.635,19.863,57.0,25294.607,2.176
20180807,17.91,11.236,122.0,26762.429,2.079
20180808,23.178,14.217,49.0,26863.005,2.129
20180809,19.849,13.435,59.0,28666.612,2.187
20180810,14.944,9.241,16.0,27562.666,2.179
20180811,11.871,6.135,16.0,18630.256,1.885
20180812,18.148,11.344,14.0,13516.53,1.654
20180813,29.369,19.774,27.0,25727.706,2.101
20180814,27.608,16.955,14.0,27489.95,2.277
20180815,24.022,16.234,10.0,17159.218,2.045
20180816,20.955,10.945,36.0,26199.458,2.076
20180817,23.851,9.415,20.0,27679.688,2.093
20180818,26.474,10.905,13.0,20249.47,1.783
20180819,26.613,15.227,14.0,13845.25,1.463
20180820,33.657,20.867,36.0,26181.313,1.921
20180821,26.319,13.41,75.0,27156.272,2.014
20180822,27.77,16.141,37.0,27827.446,2.112
20180823,19.163,9.668,11.0,25214.668,2.096
20180824,12.049,6.312,16.0,28674.914,1.976
20180825,23.824,12.838,15.0,21903.762,1.834
20180826,18.258,10.726,18.0,14369.576,1.684
20180827,9.786,6.499,49.0,25421.505,1.862
20180828,12.993,6.904,49.0,26242.216,2.07
20180829,18.146,9.167,17.0,26417.55,1.97
20180830,26.346,16.566,55.0,27083.247,2.013
20180831,19.534,11.8,59.0,29087.862,2.033
20180901,17.335,7.903,18.0,21859.96,1.758
20180902,17.699,9.299,43.0,15524.617,1.353
20180903,19.569,10.442,60.0,26432.465,1.837
20180904,16.067,8.483,44.0,28767.533,1.83
20180905,23.793,9.82,59.0,28997.196,1.883
20180906,37.21,20.692,60.0,28746.708,1.921
20180907,25.203,13.513,39.0,29662.266,1.898
20180908,23.227,10.86,12.0,23291.895,1.674
20180909,20.537,10.217,38.0,16103.269,1.326
20180910,16.351,6.664,41.0,28216.051,1.81
20180911,14.612,6.167,49.0,29402.529,1.869
20180912,18.015,7.632,52.0,29284.816,2.109
20180913,20.008,8.775,67.0,29444.758,1.953
20181010,12.892,6.717,76.0,27474.352,1.59
20181011,13.547,6.61,97.0,29226.015,1.673
20181012,17.469,9.454,73.0,29765.19,1.786
20181013,32.399,19.756,15.0,24067.594,1.545
20181014,32.804,21.203,70.0,16916.231,1.339
20181015,63.685,38.419,454.0,27274.668,1.736
20181016,55.166,29.898,400.0,29079.993,1.759
20181017,38.844,19.942,243.0,29690.385,1.777
20181018,20.815,11.08,123.0,29995.783,1.811
20181019,26.435,13.431,85.0,29890.993,1.881
20181020,41.109,21.176,71.0,24560.345,1.623
20181021,38.076,22.458,120.0,16347.812,1.353
20181022,64.231,39.485,201.0,27716.595,1.753
20181023,71.369,41.497,275.0,28567.497,1.875
20181024,54.062,22.87,231.0,29820.622,1.731
20181025,44.613,22.101,115.0,24446.268,1.792
20181026,45.792,23.968,79.0,28502.193,1.882
20181027,32.803,8.524,30.0,25945.836,1.562
20181028,22.392,10.949,71.0,15554.816,1.392
20181029,22.812,10.449,85.0,26950.265,1.583
20181030,24.694,11.85,154.0,29320.554,1.67
20181031,23.997,12.979,62.0,29326.9,1.729
20181101,32.589,18.515,108.0,28512.463,1.801
20181102,43.484,26.136,90.0,29967.546,1.799
20181103,49.614,30.199,96.0,23320.289,1.637
20181104,42.892,27.573,229.0,16956.593,1.299
20181105,57.929,35.972,390.0,33423.978,1.682
20181106,150.647,96.5,613.0,27500.708,1.766
20181107,82.238,54.753,588.0,27048.984,1.73
20181108,16.793,8.851,435.0,25559.986,1.748
20181109,51.675,25.494,372.0,29218.97,2.052
20181110,91.01,51.323,247.0,20486.547,1.785
20181111,73.369,41.146,351.0,13148.086,1.61
20181112,34.924,17.844,371.0,23064.209,1.66
20181113,41.358,23.715,458.0,23658.898,1.717
20181114,35.913,21.407,341.0,23157.127,1.671
20181115,49.267,32.026,283.0,23049.7,1.733
20181116,57.198,36.436,379.0,22858.001,1.702
20181205,33.107,14.888,187.0,27334.396,1.526
20181206,39.512,17.72,88.0,26180.701,1.591
20181207,26.305,9.935,79.0,24755.338,1.575
20181208,26.879,10.296,40.0,18626.057,1.38
20181209,25.872,10.838,63.0,11997.903,1.107
20181210,32.036,17.078,122.0,22141.986,1.488
20181211,41.44,24.379,166.0,22155.601,1.527
20181212,47.876,23.345,224.0,21166.264,1.524
20181213,39.966,22.814,123.0,21926.868,1.593
20181214,35.975,18.841,73.0,24361.525,1.64
20181215,59.42,38.212,98.0,19876.592,1.483
20181216,52.571,36.536,216.0,12459.919,1.153
20181217,86.926,54.632,482.0,21980.628,1.488
20181218,61.467,32.603,363.0,23596.316,1.592
20181219,66.665,36.719,369.0,23437.268,1.625
20181220,67.04,43.386,422.0,23148.666,1.737
20181221,86.678,55.029,395.0,25899.666,1.745
20181222,96.472,65.501,340.0,21067.992,1.552
20181223,63.155,36.11,242.0,14260.971,1.307
20181224,29.165,13.845,166.0,23496.6,1.457
20181225,36.208,20.711,155.0,16347.505,1.347
20181226,57.19,29.699,210.0,22027.344,1.529
20181227,37.172,12.276,112.0,20688.207,1.557
20181228,37.97,13.972,135.0,21784.528,1.556
20181230,39.224,24.395,71.0,10952.629,1.192
20181231,47.563,30.103,93.0,20334.8,1.486
20190101,39.274,23.5,88.0,11425.144,1.21
20190102,35.648,21.369,188.0,24303.03,1.402
20190103,39.142,22.64,240.0,25971.552,1.517
20190104,53.61,33.86,373.0,25463.683,1.596
20190105,70.315,41.121,267.0,20236.37,1.291
20190106,50.024,21.128,224.0,13530.037,1.076
20190107,54.865,32.06,436.0,23684.418,1.497
20190108,46.312,20.801,264.0,25483.105,1.515
20190110,55.415,29.073,308.0,21770.151,1.552
20190111,68.859,44.23,295.0,27041.997,1.65
20190112,97.327,65.278,364.0,21994.525,1.406
20190113,119.053,77.299,617.0,9410.87,1.15
20190114,179.866,126.514,617.0,18850.782,1.519
20190115,161.944,98.468,502.0,26427.864,1.782
20190116,53.87,17.794,357.0,26743.057,1.586
20190117,47.574,22.682,292.0,27043.03,1.627
20190118,53.455,30.419,439.0,28416.438,1.785
20190119,80.618,51.434,420.0,22101.324,1.43
20190120,71.039,33.793,384.0,14691.413,1.11
20190121,60.683,26.961,369.0,24442.038,1.47
20190122,81.568,32.792,417.0,26799.101,1.528
20190125,51.53,21.731,313.0,26624.585,1.64
20190126,46.98,19.399,183.0,21695.774,1.441
20190127,46.331,23.141,218.0,15654.862,1.183
20190128,83.388,25.007,259.0,26313.04,1.575
20190129,79.299,23.344,344.0,25755.383,1.534
20190130,73.265,34.257,297.0,26066.319,1.586
20190131,79.879,26.189,196.0,25360.467,1.955
20190201,46.715,19.089,261.0,25355.662,1.491
20190202,66.325,36.953,182.0,16502.985,1.17
20190203,38.87,24.136,142.0,10242.109,1.205
20190204,83.083,41.357,245.0,10427.393,1.054
20190205,83.707,27.594,199.0,11760.463,1.09
20190206,97.048,32.227,329.0,12361.182,1.162
20190209,41.931,19.102,160.0,20187.684,1.313
20190210,40.681,20.462,201.0,13545.722,1.065
20190211,34.066,18.692,335.0,26291.503,1.486
20190212,48.96,29.688,382.0,26968.907,1.549
20190213,36.31,17.972,317.0,27008.734,1.768
20190214,44.781,21.808,378.0,25916.462,2.237
20190215,38.178,24.251,448.0,27031.254,1.56
20190217,30.676,19.901,240.0,14877.332,1.135
20190218,32.704,19.434,350.0,26387.906,1.487
20190219,46.71,33.293,331.0,25567.095,1.594
20190220,51.553,40.742,410.0,27655.858,1.597
20190221,65.083,51.879,468.0,27973.416,1.647
20190224,54.008,39.888,437.0,16281.505,1.211
20190225,73.821,52.141,395.0,26452.657,1.513
20190226,47.851,24.203,343.0,28062.087,1.626
20190227,56.335,35.653,365.0,27897.181,1.624
20190228,83.802,53.856,402.0,27113.379,1.774
20190301,123.335,86.101,533.0,21730.97,1.662
20190302,161.435,114.348,384.0,20030.025,1.296
20190303,148.122,103.733,523.0,13744.756,1.094
20190304,283.99,200.034,483.0,25645.67,1.448
20190305,302.113,216.825,548.0,26344.462,1.539
20190306,162.738,113.649,519.0,26470.498,1.622
20190307,60.01,42.659,485.0,27643.6,1.595
20190311,72.085,44.47,364.0,26422.842,1.521
20190312,86.822,51.99,358.0,26935.143,1.627
20190313,48.156,14.017,307.0,27371.917,1.738
20190314,49.656,22.326,305.0,27551.72,2.569
20190315,59.194,32.344,334.0,27581.76,1.863
20190316,48.91,34.624,262.0,22406.996,1.413
20190317,45.556,26.159,392.0,16035.185,1.18
20190319,56.463,34.031,363.0,27672.515,1.593
20190320,79.074,56.029,291.0,26576.118,1.952
20190321,39.94,29.501,375.0,26794.704,1.587
20190322,37.018,20.326,304.0,26695.77,1.597
20190323,24.306,14.976,216.0,21177.72,1.532
20190324,29.919,13.722,1.0,15362.001,1.118
20190326,69.186,39.025,333.0,26831.374,1.558
20190327,88.436,53.034,353.0,26974.15,1.583
20190328,71.461,41.331,326.0,27173.163,1.622
20190329,39.589,18.419,277.0,27138.79,1.678
20190330,38.715,23.479,208.0,21792.384,1.487
20190331,38.734,23.906,388.0,15698.852,1.115
