Date,pm10,pm25,COUNT_T,TMST,retail
20180401,53.555,26.158,234.0,7267.306,0.672
20180402,60.314,23.819,371.0,8771.744,0.731
20180403,53.151,15.165,251.0,9034.141,0.703
20180404,10.854,5.116,352.0,8976.74,0.736
20180405,5.479,3.09,293.0,8854.321,0.73
20180406,63.715,14.019,627.0,8704.172,0.733
20180407,31.053,14.207,207.0,9041.284,0.726
20180408,23.935,11.581,199.0,7296.691,0.75
20180409,46.911,26.978,407.0,8832.878,0.719
20180410,31.58,15.746,278.0,9118.704,0.752
20180411,50.126,20.692,357.0,9058.445,0.736
20180412,30.609,10.388,236.0,9128.715,0.746
20180413,25.351,10.168,223.0,9235.784,0.73
20180414,17.024,8.866,95.0,8400.938,0.708
20180416,25.183,14.243,318.0,9051.259,0.714
20180417,46.709,22.041,350.0,9049.791,0.724
20180418,57.928,24.665,436.0,8981.831,0.739
20180419,67.427,30.606,361.0,8939.605,0.743
20180420,74.394,39.244,361.0,9061.95,0.739
20180421,90.223,53.207,159.0,9248.578,0.754
20180422,33.12,17.183,198.0,7078.041,0.752
20180423,7.367,4.632,179.0,8298.818,0.752
20180424,8.67,5.201,259.0,8787.097,0.73
20180425,22.54,17.025,298.0,9168.878,0.799
20180426,35.653,23.898,258.0,9023.969,0.768
20180427,32.397,23.818,165.0,9065.684,0.767
20180428,52.139,35.193,159.0,9309.131,0.778
20180429,34.479,18.899,196.0,7778.295,0.718
20180430,77.81,57.036,358.0,9289.572,0.769
20180501,83.582,65.78,257.0,8641.653,0.782
20180502,42.573,33.429,226.0,8813.037,0.782
20180503,20.453,10.176,210.0,8979.01,0.757
20180504,37.438,15.619,171.0,9283.518,0.765
20180505,40.109,19.282,70.0,8648.645,0.741
20180506,9.871,6.666,38.0,7517.167,0.644
20180507,22.156,15.42,101.0,8387.617,0.717
20180508,7.25,2.932,265.0,9499.764,0.794
20180509,17.114,6.057,209.0,9046.641,0.757
20180510,38.688,21.198,244.0,9085.931,0.738
20180511,79.228,53.852,192.0,9316.139,0.742
20180512,29.517,19.519,56.0,8093.143,0.735
20180513,11.85,8.638,130.0,7129.469,0.743
20180514,81.324,64.587,313.0,8564.84,0.768
