Date,pm10,pm25,COUNT_T,TMST,retail
20180401,64.647,32.649,234.0,4065.092,1.307
20180402,59.248,24.571,371.0,4529.229,1.329
20180403,64.31,21.96,251.0,4671.116,1.325
20180404,20.647,12.944,352.0,4706.642,1.346
20180405,15.68,6.415,293.0,4327.992,1.293
20180406,84.928,32.615,627.0,4288.32,1.311
20180407,45.31,22.66,207.0,4498.239,1.292
20180408,34.838,17.194,199.0,3550.998,1.317
20180409,53.924,37.013,407.0,4247.892,1.292
20180410,52.344,23.438,278.0,4357.433,1.313
20180411,68.48,28.951,357.0,4417.508,1.315
20180412,44.103,15.283,236.0,4406.355,1.318
20180413,36.505,15.999,223.0,4451.134,1.496
20180414,26.21,13.956,95.0,4233.197,1.288
20180416,37.792,23.85,318.0,4261.638,1.324
20180417,60.422,30.951,350.0,4320.943,1.307
20180418,70.083,29.694,436.0,4447.449,1.384
20180419,86.712,38.504,361.0,4331.88,1.408
20180420,112.34,59.165,361.0,4475.885,1.46
20180421,81.203,47.018,159.0,4580.489,1.489
20180422,48.105,29.665,198.0,3548.385,1.357
20180423,12.456,8.299,179.0,4073.47,1.272
20180424,14.06,7.358,259.0,4285.808,1.29
20180425,40.754,28.725,298.0,4577.342,1.406
20180426,58.23,41.977,258.0,4576.859,1.709
20180427,75.011,51.739,165.0,4605.727,1.534
20180428,81.811,56.743,159.0,4719.405,1.544
20180429,73.909,46.464,196.0,3976.715,1.341
20180430,132.957,102.642,358.0,4464.111,1.417
20180501,126.682,102.002,257.0,4311.77,1.415
20180502,84.91,64.671,226.0,4433.385,1.257
20180503,31.155,13.006,210.0,4578.09,1.352
20180504,53.185,15.24,171.0,4875.606,1.472
20180505,49.228,20.682,70.0,4674.115,1.598
20180506,16.416,7.514,38.0,4012.548,1.261
20180507,38.794,16.904,101.0,4202.628,1.463
20180508,18.918,5.821,265.0,4714.655,1.353
20180509,27.178,8.446,209.0,4607.478,1.421
20180510,54.41,25.315,244.0,4584.391,1.339
20180511,108.778,69.705,192.0,4581.449,1.391
20180512,39.144,24.051,56.0,4238.915,1.264
20180513,29.161,17.603,130.0,3815.327,1.485
20180514,119.106,83.601,313.0,4386.885,1.36
20180515,96.703,67.777,273.0,4600.435,1.481
20180516,42.097,27.402,228.0,4305.991,1.316
20180517,18.736,8.042,185.0,4306.268,1.235
20180518,12.561,4.035,107.0,4609.646,1.331
20180519,15.894,4.925,91.0,4817.102,1.543
20180520,13.499,4.563,104.0,4038.785,1.327
20180521,20.601,7.961,148.0,4417.224,1.436
20180522,40.965,24.812,94.0,3824.69,1.201
20180523,37.58,9.096,318.0,4506.497,1.452
20180524,94.749,24.615,377.0,4500.791,1.423
20180525,86.716,35.445,235.0,4446.66,1.435
20180526,55.197,26.21,119.0,4498.297,1.544
20180527,51.398,22.726,116.0,3725.483,1.527
20180528,35.332,17.108,177.0,4263.207,1.434
20180530,36.044,22.07,269.0,4603.318,1.476
20180531,29.885,15.639,204.0,4449.636,1.44
20180602,31.515,16.114,68.0,4624.27,1.581
20180603,24.802,13.376,70.0,3831.415,1.394
20180604,32.029,17.973,120.0,4422.82,1.481
20180605,33.201,19.794,139.0,4418.522,1.513
20180606,35.563,22.043,68.0,3978.718,1.436
20180607,37.731,24.333,180.0,4449.412,1.447
20180608,32.532,19.092,117.0,4539.46,1.547
20180609,37.353,22.354,52.0,4585.592,1.537
20180610,12.511,4.827,77.0,3616.228,1.337
20180611,14.843,3.873,113.0,4296.067,1.465
20180612,25.5,11.14,111.0,4441.017,1.477
20180613,41.631,24.808,57.0,3946.607,1.474
20180614,38.474,24.732,89.0,4424.078,1.36
20180615,25.392,9.867,118.0,4457.381,1.495
20180616,35.335,16.458,62.0,4351.58,1.573
20180617,55.401,34.856,105.0,3715.715,1.416
20180618,53.417,33.102,104.0,4206.656,1.704
20180619,51.351,31.858,92.0,4336.959,1.339
20180620,55.121,36.334,81.0,4330.4,1.445
20180621,54.396,30.424,103.0,4440.613,1.495
20180622,55.008,30.807,60.0,4451.642,1.521
20180623,56.401,29.29,64.0,4411.015,1.719
20180624,73.252,44.978,132.0,3587.772,1.493
20180625,71.497,42.422,116.0,4341.479,1.488
20180626,52.706,35.629,116.0,4105.979,1.275
20180627,45.666,29.398,76.0,4407.79,1.623
20180628,49.857,31.035,146.0,4241.383,1.518
20180629,67.892,42.449,38.0,4764.386,1.595
20180630,78.356,54.308,9.0,4862.768,1.569
20180701,30.068,12.345,26.0,3688.77,1.239
20180702,25.93,8.917,86.0,4508.609,1.321
20180703,39.815,15.461,53.0,4320.775,1.511
20180704,39.388,18.234,63.0,4220.378,1.514
20180705,44.533,21.785,53.0,4169.445,1.455
20180706,14.048,4.647,180.0,4394.753,1.585
20180707,22.368,7.956,36.0,4390.38,1.518
20180708,33.611,13.844,56.0,3666.505,1.507
20180709,26.609,11.196,59.0,3897.276,1.3
20180710,42.011,18.88,62.0,4054.827,1.398
20180711,60.075,34.185,78.0,4206.748,1.4
20180712,46.351,23.972,92.0,4234.198,1.483
20180713,44.28,21.772,27.0,4413.955,1.556
20180714,46.08,21.306,21.0,4457.103,1.594
20180715,45.479,24.381,51.0,3817.122,1.474
20180716,45.894,28.311,30.0,4216.499,1.528
20180717,48.99,30.156,80.0,4231.474,1.476
20180718,59.011,39.284,114.0,4251.461,1.497
20180719,51.761,30.289,83.0,4303.596,1.526
20180720,68.339,39.549,69.0,4516.863,1.54
20180721,66.427,39.033,80.0,4484.813,1.659
20180722,54.353,26.581,26.0,3751.886,1.521
20180723,56.783,28.134,50.0,4096.566,1.509
20180724,70.878,40.053,53.0,4175.588,1.577
20180725,64.395,33.679,56.0,4329.922,1.562
20180726,77.632,45.406,93.0,4247.178,1.52
20180727,79.149,47.949,51.0,4323.345,1.495
20180728,60.767,38.487,17.0,4318.077,1.531
20180729,44.407,24.961,20.0,3771.455,1.396
20180730,30.112,12.917,51.0,3939.592,1.51
20180731,40.088,21.388,72.0,4107.29,1.477
20180801,63.026,34.912,22.0,4263.896,1.516
20180802,61.924,36.889,33.0,4154.018,1.571
20180803,80.338,52.948,84.0,4228.572,1.455
20180804,52.131,28.318,20.0,4198.817,1.575
20180805,49.728,29.575,23.0,3755.973,1.491
20180806,53.432,32.268,57.0,4085.18,1.501
20180807,40.722,20.285,122.0,4163.622,1.511
20180808,48.395,28.356,49.0,4277.372,1.536
20180809,42.849,28.698,59.0,4535.924,1.544
20180810,42.748,22.617,16.0,4228.299,1.527
20180811,29.091,11.345,16.0,3909.723,1.621
20180812,34.384,17.053,14.0,3402.365,1.528
20180813,59.602,37.036,27.0,4039.328,1.519
20180814,57.855,36.761,14.0,4193.513,1.483
20180815,58.962,38.587,10.0,3763.197,1.457
20180816,44.487,22.222,36.0,3994.716,1.61
20180817,40.825,18.54,20.0,4188.139,1.648
20180818,47.109,17.561,13.0,4119.521,1.525
20180819,54.697,28.417,14.0,3512.268,1.454
20180820,65.248,35.795,36.0,4050.109,1.544
20180821,47.189,19.462,75.0,4164.421,1.492
20180822,54.993,27.149,37.0,4188.742,1.576
20180823,35.395,13.259,11.0,3890.955,1.677
20180824,23.663,7.232,16.0,4151.745,1.373
20180825,50.049,20.922,15.0,4305.485,1.602
20180826,43.356,20.439,18.0,3411.447,1.464
20180827,25.804,9.017,49.0,4003.265,1.441
20180828,33.371,8.178,49.0,4065.999,1.407
20180829,38.66,14.293,17.0,4143.66,1.417
20180830,62.324,34.406,55.0,4352.56,1.622
