Date,pm10,pm25,COUNT_T,TMST,retail
20180401,54.81,25.115,234.0,2905.49,1.011
20180402,55.356,21.256,371.0,3498.455,1.981
20180403,56.894,16.549,251.0,3689.38,1.861
20180404,17.831,8.337,352.0,3635.26,1.893
20180405,8.389,5.022,293.0,3582.741,1.574
20180406,89.113,22.83,627.0,3557.739,1.611
20180407,44.719,20.767,207.0,3895.262,1.1
20180408,36.688,20.087,199.0,2999.147,1.149
20180409,49.939,34.516,407.0,3491.501,2.083
20180410,44.203,22.044,278.0,3771.461,1.995
20180411,68.386,27.325,357.0,3759.221,1.941
20180412,42.056,15.01,236.0,3702.226,1.839
20180413,30.94,13.293,223.0,3882.33,1.67
20180414,25.587,13.519,95.0,3317.534,1.121
20180416,31.598,18.978,318.0,3644.214,2.04
20180417,50.155,25.324,350.0,3793.815,1.931
20180418,60.507,28.887,436.0,3769.734,2.076
20180419,67.154,30.261,361.0,3686.468,2.096
20180420,76.465,38.152,361.0,3833.687,1.893
20180421,58.424,30.547,159.0,3992.012,1.58
20180422,38.615,20.104,198.0,2854.65,1.626
20180423,14.354,8.341,179.0,3272.572,2.093
20180424,9.261,5.109,259.0,3566.06,2.147
20180425,27.935,19.962,298.0,3776.255,2.03
20180426,36.906,24.252,258.0,3720.121,1.685
20180427,45.598,30.736,165.0,3865.087,1.635
20180428,53.115,32.231,159.0,4048.352,1.18
20180429,51.533,28.904,196.0,3199.354,1.183
20180430,73.235,48.283,358.0,3612.902,2.026
20180501,66.065,44.074,257.0,3477.822,1.893
20180502,55.863,39.728,226.0,3463.321,1.755
20180503,28.381,14.044,210.0,3809.827,1.8
20180504,50.728,19.99,171.0,4031.32,1.685
20180505,43.742,20.196,70.0,3794.895,1.057
20180506,19.242,11.249,38.0,3229.183,0.9
20180507,36.749,18.76,101.0,3379.009,1.104
20180508,21.414,9.231,265.0,3985.754,2.053
20180509,25.584,8.973,209.0,3695.024,1.934
20180510,44.126,22.188,244.0,3641.374,1.719
20180511,70.872,40.224,192.0,3676.455,1.639
20180512,36.214,22.029,56.0,3559.58,1.104
20180513,29.643,18.475,130.0,3145.46,1.269
20180514,89.577,55.565,313.0,3480.15,1.968
20180515,63.104,43.545,273.0,3789.749,1.998
20180516,45.736,30.812,228.0,3504.512,1.778
20180517,32.819,19.699,185.0,3300.806,1.05
20180518,20.371,7.507,107.0,3757.811,1.538
20180519,15.477,6.928,91.0,4011.456,1.262
20180520,14.164,7.53,104.0,3211.748,1.103
20180521,23.897,12.526,148.0,3693.88,1.937
20180522,44.796,27.077,94.0,3238.025,1.283
20180523,51.546,12.972,318.0,3624.88,1.861
20180524,94.31,20.293,377.0,3684.845,1.951
20180525,89.162,32.181,235.0,3579.667,1.645
20180526,67.555,31.426,119.0,3838.703,1.587
20180527,63.233,27.714,116.0,3036.699,1.42
20180528,44.285,22.122,177.0,3387.916,1.983
20180530,47.267,27.587,269.0,3807.927,2.07
20180531,42.124,23.387,204.0,3511.358,1.843
20180602,36.347,20.986,68.0,3689.154,1.256
20180603,30.882,20.271,70.0,3105.163,1.143
20180604,38.978,25.641,120.0,3536.628,2.089
20180605,39.517,26.59,139.0,3711.663,2.088
20180606,46.427,31.857,68.0,2958.327,1.374
20180607,50.692,32.279,180.0,3605.56,1.881
20180608,43.722,28.136,117.0,3665.179,1.594
20180609,47.564,28.268,52.0,3539.27,1.32
20180610,14.891,7.915,77.0,2865.741,1.321
20180611,19.402,7.834,113.0,3486.83,2.102
20180612,25.98,14.576,111.0,3829.765,1.985
20180613,43.767,26.679,57.0,2896.261,1.55
20180614,43.944,27.887,89.0,3716.51,1.877
20180615,26.07,14.727,118.0,3698.588,1.837
20180616,34.808,18.043,62.0,3633.591,1.543
20180617,54.637,33.806,105.0,2830.294,1.483
20180618,52.521,34.159,104.0,3350.992,2.354
20180619,54.181,35.819,92.0,3423.942,2.137
20180620,59.336,39.375,81.0,3679.281,2.053
20180621,54.113,35.283,103.0,3520.195,1.885
20180622,60.808,36.087,60.0,3839.846,1.588
20180623,54.124,30.97,64.0,3658.378,1.372
20180624,67.723,40.573,132.0,2910.022,1.111
20180625,71.115,39.565,116.0,3259.74,1.208
20180626,59.2,36.984,116.0,3230.56,1.043
20180627,49.2,30.975,76.0,3293.91,1.263
20180628,46.872,30.371,146.0,3489.423,1.23
20180629,61.822,44.094,38.0,3575.248,1.207
20180630,73.349,50.557,9.0,3392.462,1.011
20180701,26.899,19.069,26.0,2385.505,0.793
