Date,pm10,pm25,COUNT_T,TMST,retail
20180401,68.307,32.397,234.0,5456.912,1.258
20180402,67.281,26.312,371.0,9520.631,1.479
20180403,70.257,23.785,251.0,9822.063,1.442
20180404,21.387,11.505,352.0,10124.564,1.591
20180405,12.054,6.794,293.0,9842.482,1.597
20180406,81.514,21.542,627.0,9670.591,1.508
20180407,46.028,18.327,207.0,7481.76,1.159
20180408,33.235,15.892,199.0,5393.02,1.516
20180409,48.706,30.944,407.0,9416.134,1.356
20180410,51.076,22.392,278.0,10063.659,1.529
20180411,76.484,31.18,357.0,9932.967,1.531
20180412,51.911,17.453,236.0,10377.73,1.549
20180413,37.962,13.747,223.0,10150.673,1.55
20180414,26.854,13.385,95.0,6958.513,1.146
20180416,33.765,19.99,318.0,9712.168,1.39
20180417,56.142,30.792,350.0,10299.272,1.408
20180418,66.205,31.72,436.0,10255.99,1.467
20180419,76.787,36.84,361.0,10486.904,1.54
20180420,94.758,50.261,361.0,10523.295,1.578
20180421,74.165,39.705,159.0,7755.256,1.328
20180422,41.163,22.635,198.0,5183.598,1.317
20180423,12.854,8.64,179.0,8868.925,1.39
20180424,12.926,6.031,259.0,10089.097,1.368
20180425,31.627,21.853,298.0,10485.958,1.45
20180426,47.333,32.374,258.0,10462.34,1.462
20180427,59.25,42.422,165.0,10909.002,1.568
20180428,72.611,47.686,159.0,7826.327,1.309
20180429,67.125,39.306,196.0,6112.005,1.47
20180430,94.304,68.356,358.0,9584.75,1.578
20180501,77.969,60.312,257.0,7428.321,1.314
20180502,58.65,47.896,226.0,9944.94,1.372
20180503,32.859,16.488,210.0,10085.933,1.56
20180504,56.407,20.15,171.0,11147.049,1.469
20180505,51.906,24.369,70.0,7351.942,1.176
20180506,20.671,11.269,38.0,5498.233,1.153
20180507,41.727,21.694,101.0,5860.737,1.168
20180508,26.614,9.931,265.0,9695.56,1.359
20180509,29.254,10.391,209.0,10297.013,1.418
20180510,47.545,27.234,244.0,10100.045,1.43
20180511,95.499,61.517,192.0,10542.525,1.449
20180512,40.578,25.845,56.0,7306.707,1.142
20180513,33.37,25.683,130.0,5990.29,1.237
20180514,112.417,91.378,313.0,9672.286,1.386
20180515,88.037,65.628,273.0,10500.223,1.482
20180516,42.578,30.145,228.0,9664.754,1.437
20180517,24.729,14.883,185.0,9794.142,1.457
20180518,18.168,11.154,107.0,10005.821,1.416
20180519,18.798,9.304,91.0,8089.312,1.231
20180520,16.582,8.794,104.0,6234.356,1.278
20180521,28.114,14.933,148.0,9310.775,1.321
20180522,51.344,34.906,94.0,5901.23,1.287
20180523,55.353,15.105,318.0,9867.527,1.378
20180524,121.141,33.223,377.0,10230.856,1.464
20180525,114.654,46.453,235.0,10167.305,1.439
20180526,90.86,44.574,119.0,7988.23,1.244
20180527,80.028,35.165,116.0,5935.621,1.324
