Date,pm10,pm25,COUNT_T,TMST,retail
20180401,55.538,25.509,234.0,1998.053,0.889
20180402,57.301,22.026,371.0,2994.423,0.825
20180403,60.487,17.595,251.0,3161.467,0.959
20180404,19.036,8.795,352.0,3116.203,0.877
20180405,11.941,7.111,293.0,2960.545,0.943
20180406,86.201,20.225,627.0,2959.845,0.904
20180407,40.808,19.056,207.0,2648.494,0.926
20180408,27.922,13.967,199.0,1913.357,0.994
20180409,37.478,24.247,407.0,2973.094,0.966
20180410,43.108,22.033,278.0,3111.681,1.054
20180411,62.031,24.599,357.0,3138.99,0.951
20180412,45.295,16.326,236.0,3160.476,0.955
20180413,34.842,14.997,223.0,3203.133,1.018
20180414,28.033,15.053,95.0,2482.769,0.895
20180416,36.166,21.796,318.0,3083.037,1.037
20180417,57.784,29.64,350.0,3201.647,0.897
20180418,66.999,32.274,436.0,3120.359,1.017
20180419,80.844,36.609,361.0,3104.058,0.975
20180420,125.081,62.556,361.0,3154.487,0.912
20180421,85.744,45.53,159.0,2775.452,0.944
20180422,47.133,24.49,198.0,1896.866,1.0
20180423,16.413,9.334,179.0,2668.135,0.803
20180424,12.228,6.469,259.0,3100.478,0.958
20180425,36.244,26.151,298.0,3219.673,0.867
20180426,51.783,34.307,258.0,3244.267,0.898
20180427,64.594,43.774,165.0,3258.858,0.937
20180428,72.483,45.484,159.0,2870.755,0.943
20180429,67.772,38.56,196.0,2153.737,0.925
20180430,107.189,70.994,358.0,3130.852,1.004
20180501,98.508,66.026,257.0,2712.016,0.869
20180502,73.266,51.702,226.0,2988.328,0.95
20180503,29.019,14.707,210.0,3098.153,0.887
20180504,43.719,17.288,171.0,3341.913,1.022
20180505,39.656,18.164,70.0,2697.78,1.068
20180506,16.688,9.674,38.0,1858.202,0.947
20180507,35.812,18.354,101.0,2499.402,0.923
20180508,17.027,7.138,265.0,3118.294,0.932
20180509,24.318,8.55,209.0,3270.462,0.946
20180510,42.206,21.376,244.0,3297.078,1.045
20180511,71.457,40.583,192.0,3277.191,1.021
20180512,32.181,19.0,56.0,2309.647,0.928
20180513,26.722,16.712,130.0,2088.713,1.132
20180514,90.165,55.935,313.0,3020.557,0.956
20180515,76.349,53.764,273.0,3130.824,1.138
20180516,32.372,21.681,228.0,2770.315,0.921
20180517,19.16,11.476,185.0,2869.191,0.953
20180518,15.123,5.8,107.0,3152.391,0.99
20180519,13.769,6.522,91.0,2872.985,0.984
20180520,12.531,6.699,104.0,2058.308,1.034
20180521,19.767,10.328,148.0,2985.84,0.914
20180522,34.326,20.537,94.0,2299.658,0.781
20180523,34.273,8.367,318.0,3084.235,0.912
20180524,57.725,12.496,377.0,3162.972,0.886
20180525,64.185,24.049,235.0,3073.163,0.938
20180526,55.16,25.55,119.0,2747.558,1.08
20180527,50.974,22.386,116.0,2082.038,1.14
20180528,37.675,18.826,177.0,2993.546,1.027
20180530,34.931,20.317,269.0,3062.47,0.981
20180531,33.482,18.453,204.0,3047.013,0.882
20180602,28.94,16.622,68.0,2595.804,1.034
20180603,22.663,14.753,70.0,1976.599,1.069
20180604,27.809,18.124,120.0,2839.887,1.062
20180605,27.697,18.228,139.0,2991.144,1.11
20180606,31.249,21.192,68.0,2288.86,1.002
20180607,36.398,22.983,180.0,2955.918,1.0
20180608,27.158,17.144,117.0,3009.763,0.909
20180609,33.477,19.717,52.0,2523.351,0.924
20180610,9.902,5.116,77.0,1873.528,0.828
20180611,12.015,4.574,113.0,2797.858,0.963
20180612,18.639,10.244,111.0,2987.816,0.964
20180613,29.226,17.644,57.0,2300.115,0.94
20180614,29.749,18.656,89.0,2864.072,0.938
20180615,20.401,11.29,118.0,2981.595,0.934
20180616,26.035,13.144,62.0,2443.672,0.958
20180617,51.131,31.145,105.0,1834.158,0.931
20180618,38.22,24.565,104.0,2699.548,1.116
20180619,37.626,24.451,92.0,2841.837,1.002
20180620,40.16,26.612,81.0,2894.327,0.92
20180621,40.615,26.456,103.0,2937.506,0.955
20180622,49.286,29.46,60.0,3003.391,1.008
20180623,40.926,23.192,64.0,2533.86,1.12
20180624,59.881,34.913,132.0,1913.145,1.185
20180625,54.556,30.38,116.0,2856.002,0.99
20180626,54.074,33.474,116.0,2570.178,0.891
20180627,35.837,22.28,76.0,2843.296,0.959
20180628,32.794,21.364,146.0,2884.888,1.183
20180629,46.131,32.327,38.0,2973.432,0.967
20180630,66.614,44.701,9.0,2310.98,1.094
20180701,19.84,13.783,26.0,1389.488,0.867
20180702,17.285,11.155,86.0,2666.83,0.882
20180703,19.667,13.342,53.0,3375.581,1.037
20180704,31.546,21.321,63.0,3222.121,1.04
20180705,25.406,20.309,53.0,3103.178,0.982
20180706,11.589,6.038,180.0,3285.721,0.933
20180707,14.187,8.971,36.0,2795.945,1.06
20180708,21.504,14.251,56.0,1998.924,1.149
20180709,15.441,10.924,59.0,2807.979,0.958
20180710,28.047,18.877,62.0,2998.61,0.905
20180711,43.026,28.874,78.0,3346.898,0.885
20180712,38.154,22.728,92.0,3537.248,0.955
20180713,28.495,19.87,27.0,3460.332,1.013
20180714,27.881,20.372,21.0,2883.007,1.038
20180715,27.538,21.267,51.0,1998.59,0.998
20180716,28.853,22.661,30.0,3118.663,0.993
20180717,30.606,25.321,80.0,3149.43,1.099
20180718,32.488,26.858,114.0,3190.949,1.0
20180719,33.394,24.808,83.0,3261.56,1.01
20180720,46.269,35.218,69.0,3341.832,1.186
20180721,47.812,36.58,80.0,2565.326,1.166
20180722,37.924,28.325,26.0,1899.923,1.252
20180723,41.533,30.111,50.0,3088.859,1.118
20180724,46.391,36.975,53.0,3138.778,1.032
20180725,41.667,30.576,56.0,3251.707,1.023
20180726,48.783,34.121,93.0,3147.787,1.099
20180727,54.883,37.801,51.0,3250.604,1.188
20180728,38.44,24.555,17.0,2502.54,1.106
20180729,25.728,17.707,20.0,1878.559,1.014
20180730,17.546,10.142,51.0,3175.333,1.073
20180731,27.029,16.119,72.0,3014.305,1.172
20180801,38.683,22.176,22.0,3101.237,1.206
20180802,42.399,27.786,33.0,3309.85,1.333
20180803,53.258,39.133,84.0,2855.66,1.204
