Date,pm10,pm25,COUNT_T,TMST,retail
20180401,66.041,35.492,234.0,3085.694,0.856
20180402,61.747,26.122,371.0,3807.172,0.936
20180403,71.31,22.509,251.0,3892.767,1.029
20180404,22.564,12.54,352.0,3847.204,0.96
20180405,17.401,9.73,293.0,3771.707,0.93
20180406,94.396,26.252,627.0,3714.768,0.919
20180407,46.217,22.29,207.0,3803.629,0.792
20180408,35.188,17.596,199.0,2957.743,0.853
20180409,51.79,32.153,407.0,3813.757,0.946
20180410,53.933,23.585,278.0,3839.314,0.983
20180411,80.137,36.233,357.0,3880.085,0.974
20180412,50.919,17.418,236.0,3859.144,1.035
20180413,40.392,17.64,223.0,3963.006,0.986
20180414,30.465,15.183,95.0,3576.896,0.884
20180416,41.644,24.379,318.0,3814.824,0.948
20180417,72.128,40.267,350.0,3761.396,1.017
20180418,83.833,44.5,436.0,3822.762,1.0
20180419,108.142,53.331,361.0,3829.645,0.996
20180420,138.094,75.556,361.0,3869.058,0.993
20180421,96.507,55.779,159.0,3947.153,0.982
20180422,46.747,26.715,198.0,2947.842,0.939
20180423,14.568,10.533,179.0,3525.647,0.872
20180424,13.523,7.683,259.0,3813.292,0.977
20180425,41.446,23.797,298.0,3887.273,1.022
20180426,59.607,39.256,258.0,3884.332,1.065
20180427,71.784,50.741,165.0,3942.717,1.02
20180428,71.373,44.253,159.0,3937.556,0.871
20180429,77.685,41.983,196.0,3318.571,0.887
20180430,104.565,80.355,358.0,3908.982,1.029
20180501,98.537,76.758,257.0,3703.382,1.104
20180502,63.108,48.879,226.0,3730.99,1.053
20180503,34.607,18.961,210.0,4115.57,0.987
20180504,60.16,26.312,171.0,4472.491,1.003
20180505,59.703,29.322,70.0,3958.018,0.825
20180506,21.314,13.928,38.0,3280.448,0.744
20180507,45.849,25.165,101.0,3589.416,0.791
20180508,25.295,12.876,265.0,4155.835,0.995
20180509,30.443,12.696,209.0,3956.663,1.016
20180510,57.8,32.48,244.0,3971.476,0.979
20180511,100.682,62.283,192.0,4083.668,1.028
20180512,46.784,31.008,56.0,3735.858,0.966
20180513,35.922,24.887,130.0,3101.092,0.872
20180514,121.117,86.966,313.0,3881.223,1.023
20180515,102.801,71.234,273.0,3977.154,1.085
20180516,54.608,36.897,228.0,3671.485,1.022
20180517,29.616,17.757,185.0,3726.092,0.916
20180518,18.227,11.321,107.0,3983.066,1.025
20180519,19.393,10.016,91.0,4108.757,0.939
20180520,18.022,9.236,104.0,3281.12,0.908
20180521,30.2,19.243,148.0,3876.419,0.945
20180522,55.16,39.375,94.0,3269.975,0.857
20180523,56.724,18.395,318.0,3985.065,0.99
20180524,130.949,39.51,377.0,3848.203,1.012
20180525,116.709,48.771,235.0,3826.639,1.042
20180526,95.937,48.86,119.0,3902.824,0.92
20180527,82.251,35.288,116.0,2989.869,0.952
20180528,63.751,32.348,177.0,3845.749,1.055
20180530,57.536,34.501,269.0,3949.581,1.063
20180531,56.163,32.584,204.0,3875.553,1.126
20180602,53.147,25.931,68.0,3790.649,1.006
20180603,51.101,25.167,70.0,3112.112,0.972
20180604,50.34,30.414,120.0,3749.956,1.089
20180605,50.933,35.505,139.0,3720.176,1.149
20180606,62.265,37.219,68.0,3103.667,0.984
20180607,61.324,42.772,180.0,3746.607,1.111
20180608,40.558,22.734,117.0,3815.89,1.047
20180609,44.211,23.485,52.0,3614.9,1.03
