Date,pm10,pm25,COUNT_T,TMST,retail
20180401,65.173,30.984,234.0,3710.951,0.979
20180402,65.168,25.49,371.0,4988.442,1.122
20180403,66.098,19.06,251.0,5330.048,1.085
20180404,17.357,8.304,352.0,5275.93,1.046
20180405,11.442,6.574,293.0,5181.796,1.05
20180406,73.024,19.133,627.0,5069.069,1.041
20180407,44.029,20.646,207.0,4703.812,0.991
20180408,39.593,18.462,199.0,3595.798,1.278
20180409,40.71,26.359,407.0,4991.176,1.108
20180410,52.143,25.023,278.0,5378.275,1.2
20180411,73.193,26.263,357.0,5347.222,1.058
20180412,53.432,18.995,236.0,5429.93,1.075
20180413,39.683,18.156,223.0,5471.092,1.148
20180414,33.139,17.564,95.0,4525.566,1.124
20180416,36.891,21.913,318.0,5072.92,1.019
20180417,59.376,31.54,350.0,5328.023,1.11
20180418,67.931,35.935,436.0,5332.935,1.084
20180419,70.49,35.85,361.0,5317.805,1.106
20180420,89.063,47.961,361.0,5372.586,1.069
20180421,68.093,37.803,159.0,4766.554,1.175
20180422,54.655,28.915,198.0,3631.594,1.222
20180423,27.317,19.516,179.0,4690.591,1.036
20180424,11.936,6.455,259.0,5191.53,1.062
20180425,32.628,22.916,298.0,5513.955,1.141
20180426,44.3,30.703,258.0,5416.838,1.128
20180427,53.515,36.833,165.0,5715.795,1.156
20180428,61.718,38.417,159.0,5084.949,1.178
20180429,63.976,36.274,196.0,3938.653,1.082
20180430,84.032,56.118,358.0,5203.22,1.088
20180501,81.633,55.539,257.0,4478.61,1.197
20180502,67.733,50.333,226.0,5221.773,1.146
20180503,35.845,18.936,210.0,5381.737,1.233
20180504,55.654,23.941,171.0,5844.389,1.212
20180505,56.013,25.888,70.0,4713.066,1.19
20180506,27.282,16.834,38.0,3755.9,1.084
20180507,47.219,25.423,101.0,3920.83,0.992
20180508,25.867,11.84,265.0,5555.255,1.153
20180509,31.198,12.091,209.0,5422.391,1.187
20180510,52.712,28.487,244.0,5512.576,1.185
20180511,79.404,51.565,192.0,5757.329,1.269
20180512,44.448,28.701,56.0,4437.274,1.13
20180513,31.821,22.542,130.0,4099.882,1.212
20180514,86.282,67.159,313.0,5225.193,1.176
20180515,71.841,51.86,273.0,5484.465,1.208
20180516,48.001,32.486,228.0,5122.395,1.156
20180517,31.654,20.815,185.0,5339.442,1.08
20180518,23.886,8.581,107.0,5593.125,1.154
20180519,16.738,7.69,91.0,5154.378,1.217
20180520,15.331,7.837,104.0,3881.454,1.105
20180521,26.183,13.604,148.0,5019.693,1.015
20180522,50.702,29.141,94.0,3904.81,1.277
20180523,54.827,15.558,318.0,5221.426,1.16
20180524,89.262,22.047,377.0,5266.808,1.114
20180525,87.298,31.992,235.0,5204.723,1.2
20180526,79.199,33.701,119.0,4912.038,1.245
20180527,75.299,30.699,116.0,3732.048,1.212
20180528,56.204,26.926,177.0,4779.696,1.065
20180530,58.922,35.297,269.0,5218.595,1.09
20180531,55.038,31.339,204.0,5204.86,1.206
20180602,42.061,23.374,68.0,4690.728,1.181
20180603,34.314,21.315,70.0,3509.971,1.209
20180604,36.848,22.941,120.0,4694.493,1.102
20180605,37.703,24.511,139.0,4824.092,1.143
20180606,39.567,26.222,68.0,3623.775,1.153
20180607,57.085,37.397,180.0,4966.885,1.106
20180608,42.353,26.726,117.0,5142.738,1.177
20180609,54.299,33.203,52.0,4618.92,1.598
20180610,12.97,7.096,77.0,3458.875,1.242
20180611,16.599,7.254,113.0,4732.914,1.139
20180612,23.785,12.815,111.0,5182.628,1.131
20180613,34.303,21.765,57.0,3657.438,1.149
20180614,40.702,26.279,89.0,5021.546,1.198
20180615,25.211,12.872,118.0,4992.223,1.203
20180616,30.965,14.094,62.0,4551.082,1.279
20180617,54.281,32.983,105.0,3339.426,1.172
20180618,44.701,29.029,104.0,4595.82,1.297
20180619,38.817,25.439,92.0,4935.066,1.142
20180620,43.165,31.481,81.0,4928.342,1.256
20180621,43.524,27.589,103.0,4745.112,1.219
20180622,45.039,28.12,60.0,4948.629,1.235
20180623,40.405,24.114,64.0,4272.962,1.205
20180624,71.588,41.578,132.0,3182.611,1.169
20180625,61.408,34.894,116.0,4384.428,1.131
20180626,58.319,37.403,116.0,4327.253,0.936
20180627,35.985,23.851,76.0,4615.449,1.09
20180628,37.195,24.122,146.0,4576.865,1.176
20180629,49.638,30.42,38.0,4716.041,1.124
20180630,73.003,48.325,9.0,3872.769,1.26
20180701,20.928,12.344,26.0,2673.566,1.021
20180702,18.635,10.611,86.0,4083.992,0.983
20180703,23.176,12.894,53.0,4496.125,1.05
20180704,31.481,16.301,63.0,4573.067,1.044
20180705,28.767,19.685,53.0,4451.464,1.047
20180706,12.027,4.472,180.0,4713.953,1.065
20180707,15.454,6.432,36.0,4156.58,1.175
20180708,24.453,11.34,56.0,3302.129,1.029
20180709,17.47,8.142,59.0,4134.391,0.938
20180710,30.752,15.895,62.0,4444.735,1.079
20180711,45.522,24.255,78.0,4681.028,1.086
20180712,39.385,20.06,92.0,5455.397,1.021
20180713,28.701,16.651,27.0,4963.374,1.09
20180714,29.346,17.588,21.0,4051.485,1.107
20180715,29.867,20.093,51.0,3102.685,1.051
20180716,30.4,20.008,30.0,4110.987,0.994
20180717,32.782,22.644,80.0,4370.418,1.042
20180718,38.169,29.006,114.0,4445.088,1.03
20180719,31.276,22.056,83.0,4276.447,1.081
20180720,44.574,29.99,69.0,4424.72,1.029
20180721,47.362,30.431,80.0,3735.699,1.077
20180722,36.243,22.046,26.0,2916.505,1.077
20180723,35.26,21.54,50.0,4059.702,1.029
20180724,40.775,28.319,53.0,4173.151,0.959
20180725,36.0,21.96,56.0,4237.852,1.007
20180726,48.293,29.883,93.0,4245.326,0.964
20180727,57.456,36.917,51.0,4266.75,1.085
20180728,45.827,30.784,17.0,3451.965,1.119
20180729,26.319,17.839,20.0,2864.977,0.965
20180730,15.624,8.863,51.0,3973.11,1.023
20180731,29.516,17.497,72.0,4180.417,1.025
20180801,50.581,30.794,22.0,3993.385,1.121
20180802,45.861,31.338,33.0,4090.255,1.088
20180803,73.222,53.656,84.0,4053.198,1.091
20180804,37.305,25.252,20.0,3487.265,1.041
20180805,37.135,23.379,23.0,2925.843,0.99
20180806,43.401,28.529,57.0,3809.115,0.98
20180807,28.31,17.949,122.0,4211.628,1.033
20180808,40.358,27.312,49.0,4201.631,1.053
20180809,35.838,24.876,59.0,4513.502,1.112
20180810,28.642,18.855,16.0,4281.791,1.105
20180811,23.421,13.602,16.0,3583.983,1.114
20180812,30.587,20.616,14.0,3042.35,1.09
20180813,52.588,38.126,27.0,4068.673,0.97
20180814,48.014,30.567,14.0,4262.29,1.047
20180815,50.694,34.678,10.0,3093.841,1.105
20180816,41.224,19.225,36.0,4103.777,1.04
20180817,39.219,15.983,20.0,4517.744,1.084
20180818,40.417,17.058,13.0,3733.644,1.082
20180819,49.979,27.475,14.0,3006.165,0.986
20180820,58.17,37.292,36.0,3978.593,0.976
20180821,47.095,24.734,75.0,3989.358,0.852
20180822,47.319,27.239,37.0,4302.696,1.136
20180823,32.683,17.019,11.0,3905.558,1.185
20180824,21.5,11.122,16.0,4659.301,1.028
20180825,49.127,24.042,15.0,3977.22,1.134
20180826,40.411,20.521,18.0,3174.394,1.394
20180827,26.137,14.273,49.0,3910.468,0.989
20180828,29.954,17.482,49.0,4022.023,1.074
20180829,37.292,18.714,17.0,4108.33,1.018
20180830,39.576,24.58,55.0,4094.288,1.136
20180831,52.177,27.472,59.0,4653.41,1.288
20180901,42.739,21.731,18.0,3988.327,1.349
20180902,36.679,16.974,43.0,3148.201,1.278
20180903,38.837,20.686,60.0,4154.756,1.221
20180904,38.225,16.839,44.0,4464.431,1.244
20180905,55.869,21.58,59.0,4478.872,1.263
20180906,51.59,27.797,60.0,4525.851,1.277
20180907,56.265,28.281,39.0,4579.268,1.276
20180908,51.19,23.133,12.0,4178.382,1.408
20180909,44.896,21.455,38.0,3217.812,1.438
20180910,27.177,12.399,41.0,4340.3,1.261
20180911,32.413,15.073,49.0,4568.123,1.318
20180912,33.485,16.447,52.0,4582.118,1.258
20180913,38.174,20.315,67.0,4662.716,1.28
20180914,37.062,20.832,19.0,4642.938,1.386
20180915,23.417,12.628,14.0,4001.195,1.332
20180916,57.708,36.681,12.0,3129.105,1.198
20180917,42.617,23.119,54.0,4400.489,1.178
20180918,52.678,24.697,76.0,4262.665,1.221
20180919,57.028,29.015,54.0,3751.688,1.271
20180920,29.446,18.519,48.0,4389.214,1.119
20180921,17.513,9.536,20.0,4964.645,1.106
20180922,48.647,18.056,15.0,3403.5,1.104
20180923,49.497,15.155,15.0,2613.574,1.012
20180924,27.727,11.644,5.0,2853.323,0.896
20180925,28.893,13.502,7.0,3021.643,0.86
20180926,18.826,11.263,10.0,3039.564,0.989
20180927,17.494,10.437,37.0,4427.57,1.133
20180928,26.694,14.107,42.0,4870.202,1.152
20180929,28.167,15.573,12.0,4263.943,1.238
20180930,35.163,18.887,19.0,3268.734,1.079
20181001,29.063,15.179,61.0,4455.065,1.141
20181002,37.562,19.217,38.0,4905.779,1.186
20181003,38.158,21.665,13.0,3610.584,1.116
20181004,25.186,15.304,82.0,4816.519,1.17
20181005,8.062,5.748,22.0,4633.327,1.15
20181006,12.741,6.529,4.0,3820.458,1.254
20181007,45.489,21.046,21.0,3498.382,1.102
20181008,33.7,12.979,31.0,4408.034,1.162
20181009,42.841,20.389,89.0,3346.177,1.116
20181010,33.586,18.828,76.0,4461.223,1.137
20181011,34.346,16.012,97.0,4489.114,1.163
20181012,39.219,20.699,73.0,4893.596,1.171
20181013,48.703,30.01,15.0,4446.323,1.157
20181014,51.235,32.263,70.0,3416.014,1.249
20181015,76.858,45.399,454.0,4161.572,1.194
20181016,72.356,38.756,400.0,4806.976,1.239
20181017,59.09,28.135,243.0,4801.657,1.147
20181018,28.046,15.387,123.0,4564.033,1.164
20181019,36.183,16.977,85.0,4647.669,1.223
20181020,62.231,32.414,71.0,4312.718,1.283
20181021,62.131,35.784,120.0,3052.392,1.22
20181022,69.623,43.045,201.0,4257.708,1.146
20181023,81.268,48.817,275.0,4499.815,1.189
20181024,74.994,31.701,231.0,4564.357,1.158
20181025,67.228,32.79,115.0,3746.808,1.226
20181026,68.607,36.194,79.0,4454.745,1.212
20181027,57.242,13.395,30.0,4447.505,1.251
20181028,32.856,16.532,71.0,3297.121,1.3
20181029,35.854,18.497,85.0,4243.472,1.119
20181030,44.533,22.806,154.0,4839.129,1.15
20181031,41.337,22.807,62.0,4682.73,1.164
20181101,57.556,32.146,108.0,4881.478,1.2
20181102,72.468,43.469,90.0,4290.135,1.107
20181103,85.372,54.803,96.0,4373.721,1.256
20181104,74.258,49.84,229.0,3788.779,1.188
20181105,86.34,56.559,390.0,4779.458,1.166
20181106,96.814,66.183,613.0,4655.086,1.181
20181107,70.806,51.135,588.0,4747.008,1.204
20181108,20.389,11.759,435.0,4410.115,1.194
20181109,69.174,38.628,372.0,4938.091,1.305
20181110,109.744,69.994,247.0,4390.486,1.375
20181111,104.424,65.947,351.0,3276.969,1.754
20181112,59.274,31.529,371.0,4545.065,1.134
20181113,70.39,40.433,458.0,4696.148,1.162
20181114,58.099,36.291,341.0,4480.509,1.223
20181115,68.495,46.645,283.0,4575.622,1.142
20181116,85.547,60.521,379.0,4640.673,1.137
20181117,64.143,38.256,120.0,4987.19,1.258
20181118,63.969,38.105,173.0,4137.506,1.154
20181119,86.21,48.98,311.0,4167.056,1.141
20181120,85.876,35.019,288.0,4217.713,1.132
20181121,66.128,32.073,174.0,3832.001,1.104
20181122,53.943,25.979,26.0,4049.375,1.109
20181123,54.458,27.143,106.0,4680.78,1.077
20181124,53.234,31.848,73.0,3899.061,1.181
20181125,83.256,60.571,230.0,3294.485,1.158
20181126,92.413,63.951,442.0,4139.618,1.001
20181127,114.039,66.408,500.0,4300.784,1.065
20181128,100.932,17.749,520.0,4440.962,1.085
20181129,110.221,34.413,403.0,4552.24,1.1
20181130,104.049,39.376,366.0,4652.029,1.086
20181201,87.626,46.243,170.0,4034.683,1.104
20181202,82.5,44.367,163.0,3017.939,1.133
20181203,80.284,36.381,245.0,4159.513,1.09
20181204,82.154,33.865,206.0,4379.605,1.096
20181205,72.306,31.353,187.0,4399.805,0.994
20181206,77.666,38.253,88.0,4485.69,1.072
20181207,55.86,23.376,79.0,4457.457,1.05
20181208,55.405,23.666,40.0,3672.102,1.101
20181209,54.441,29.701,63.0,2805.462,1.152
20181210,74.828,46.143,122.0,4126.443,1.059
20181211,75.244,49.562,166.0,4090.755,1.134
20181212,89.832,51.049,224.0,4053.906,1.09
20181213,75.703,47.89,123.0,4216.27,1.022
20181214,68.203,36.444,73.0,4521.268,1.075
20181215,90.203,58.317,98.0,4117.812,1.198
20181216,91.182,63.921,216.0,2991.954,1.102
20181217,104.178,66.095,482.0,4066.541,1.091
20181218,75.997,39.811,363.0,4428.331,1.125
20181219,88.712,49.067,369.0,4380.336,1.08
20181220,92.589,59.981,422.0,4196.842,1.124
20181221,97.494,61.901,395.0,6321.723,1.158
20181222,109.723,74.731,340.0,5560.355,1.184
20181223,93.574,49.878,242.0,4308.274,1.089
20181224,52.949,25.494,166.0,5189.086,1.07
20181225,67.089,38.552,155.0,3690.411,1.034
20181226,85.476,43.561,210.0,4200.101,1.007
20181227,64.888,21.638,112.0,4042.998,0.963
20181228,77.849,28.605,135.0,4297.04,0.902
20181229,84.393,21.856,91.0,3627.779,1.002
20181230,66.085,32.735,71.0,2648.788,0.951
20181231,81.388,51.602,93.0,3847.724,0.872
20190101,65.74,39.76,88.0,2387.406,0.86
20190102,64.699,38.956,188.0,3712.882,0.871
20190103,74.201,43.026,240.0,3961.82,0.93
20190104,92.344,58.505,373.0,3897.472,0.952
20190105,99.383,55.499,267.0,3663.813,0.959
20190106,89.107,37.782,224.0,2845.048,0.934
20190107,84.57,49.781,436.0,3426.867,0.871
20190108,86.83,39.63,264.0,3781.116,0.928
20190110,86.366,45.229,308.0,3086.959,0.788
20190111,104.126,67.177,295.0,4044.339,0.924
20190112,119.406,80.372,364.0,3962.79,0.998
20190113,117.383,76.652,617.0,1948.775,0.968
20190114,157.442,110.647,617.0,2831.787,0.934
20190115,145.835,83.812,502.0,3989.844,0.889
20190116,86.49,29.44,357.0,4091.684,0.857
20190117,79.819,37.452,292.0,3982.348,0.862
20190118,87.376,49.791,439.0,4211.251,0.931
20190119,107.476,68.922,420.0,3748.518,0.961
20190120,88.587,38.513,384.0,3092.526,0.881
20190121,66.005,29.215,369.0,3372.353,0.822
20190122,78.165,31.515,417.0,3959.761,0.831
20190125,69.254,30.751,313.0,3883.658,0.927
20190126,84.325,35.826,183.0,3648.636,0.914
20190127,66.941,33.731,218.0,3135.006,1.0
20190128,87.753,24.85,259.0,3921.574,0.87
20190129,79.042,23.545,344.0,3856.126,0.769
20190130,78.965,37.063,297.0,3977.935,0.826
20190131,83.302,25.322,196.0,3826.564,0.786
20190201,74.201,29.64,261.0,3835.095,0.823
20190202,72.626,40.14,182.0,2904.616,0.698
20190203,71.654,44.307,142.0,2187.12,0.722
20190204,97.208,47.756,245.0,1907.21,0.608
20190205,101.83,34.651,199.0,2459.639,0.63
20190206,113.435,37.824,329.0,2352.12,0.611
20190209,80.57,37.038,160.0,3548.723,0.898
20190210,97.468,49.622,201.0,2797.722,0.962
20190211,86.808,48.413,335.0,3757.14,0.76
20190212,92.151,56.463,382.0,3900.595,0.827
20190213,91.863,46.348,317.0,3984.993,0.801
20190214,75.81,35.846,378.0,3874.772,0.978
20190215,49.638,32.724,448.0,3885.547,0.867
20190217,20.507,14.811,240.0,3054.135,0.833
20190218,14.725,8.349,350.0,3726.51,0.762
20190219,31.228,22.91,331.0,3641.435,0.843
20190220,81.614,64.47,410.0,3936.828,0.743
20190221,99.025,79.218,468.0,3987.986,0.783
20190224,65.24,48.406,437.0,3210.025,1.033
20190225,116.381,82.377,395.0,4001.189,0.845
20190226,85.244,43.294,343.0,4085.915,0.872
20190227,101.59,64.318,365.0,4103.898,0.906
20190228,119.22,76.965,402.0,3816.671,0.902
20190301,144.133,101.069,533.0,3496.243,1.057
20190302,151.699,107.461,384.0,3491.385,1.069
20190303,146.326,101.978,523.0,2954.308,0.982
20190304,218.975,152.758,483.0,4009.483,0.978
20190305,289.828,208.915,548.0,3990.057,1.022
20190306,175.306,122.12,519.0,4071.865,0.969
20190307,79.692,56.506,485.0,4223.489,0.987
20190311,84.98,52.374,364.0,4074.042,1.003
20190312,100.028,57.924,358.0,4137.665,1.044
20190313,71.758,21.202,307.0,4116.062,1.031
20190314,78.994,35.844,305.0,4194.179,1.231
20190315,63.185,33.225,334.0,4164.195,1.132
20190316,40.033,26.901,262.0,3987.341,1.112
20190317,46.36,25.931,392.0,3067.583,0.978
20190319,73.189,44.289,363.0,4313.62,1.07
20190320,98.138,69.574,291.0,3985.28,1.18
20190321,57.258,41.834,375.0,3988.576,1.086
20190322,50.449,28.824,304.0,4098.431,0.999
20190323,34.376,21.341,216.0,3881.247,1.159
20190324,37.724,17.38,1.0,3155.264,1.085
20190326,84.296,47.664,333.0,4095.436,1.034
20190327,95.885,57.469,353.0,4050.655,1.033
20190328,87.838,51.098,326.0,4091.451,1.034
20190329,51.028,23.974,277.0,4131.354,1.037
20190330,50.965,31.047,208.0,3934.232,1.12
20190331,48.542,30.131,388.0,3111.332,0.995
