Date,pm10,pm25,COUNT_T,TMST,retail
20180401,60.866,28.896,234.0,2815.156,1.182
20180402,61.737,24.115,371.0,4374.92,0.936
20180403,62.326,17.915,251.0,4675.328,1.046
20180404,17.917,8.583,352.0,4726.913,1.066
20180405,11.404,6.626,293.0,4485.343,0.945
20180406,74.01,20.028,627.0,4602.447,1.154
20180407,51.908,23.75,207.0,3879.642,1.159
20180408,45.21,21.172,199.0,2772.45,1.667
20180409,45.357,28.942,407.0,4472.013,0.932
20180410,56.228,27.255,278.0,4780.96,1.174
20180411,78.342,28.061,357.0,4818.445,1.134
20180412,52.799,18.695,236.0,4840.42,1.146
20180413,40.172,18.415,223.0,4840.817,1.167
20180414,30.484,16.178,95.0,3689.038,1.124
20180416,36.758,21.872,318.0,4505.939,0.891
20180417,57.019,30.476,350.0,4616.829,1.037
20180418,67.577,35.154,436.0,4638.513,1.109
20180419,68.089,34.464,361.0,4685.5,1.046
20180420,94.867,51.257,361.0,4750.785,1.326
20180421,68.414,38.268,159.0,4072.818,1.517
20180422,46.475,24.336,198.0,2650.366,1.37
20180423,21.571,15.493,179.0,4066.844,0.833
20180424,12.281,6.778,259.0,4594.77,0.94
20180425,33.86,23.801,298.0,4866.956,1.167
20180426,42.999,29.784,258.0,4821.97,1.222
20180427,51.395,35.401,165.0,4936.711,1.371
20180428,59.787,37.365,159.0,4119.326,1.249
20180429,58.9,33.165,196.0,3039.083,1.251
20180430,72.534,48.347,358.0,4563.752,0.999
20180501,68.044,45.885,257.0,3525.947,1.147
20180502,58.043,43.273,226.0,4585.321,1.036
20180503,36.508,19.063,210.0,4901.474,1.139
20180504,53.976,23.077,171.0,5119.206,1.471
20180505,50.817,23.406,70.0,3678.704,1.504
20180506,23.721,14.742,38.0,2892.359,1.242
20180507,41.392,22.242,101.0,3090.57,1.17
20180508,26.166,11.969,265.0,4660.025,0.915
20180509,29.333,11.171,209.0,4926.921,1.145
20180510,53.64,29.169,244.0,4916.016,1.16
20180511,74.994,48.78,192.0,5165.133,1.499
20180512,45.552,29.645,56.0,3717.966,1.26
20180513,33.379,23.635,130.0,3168.112,1.521
20180514,87.935,68.613,313.0,4660.038,0.955
20180515,73.097,52.888,273.0,4803.088,1.236
20180516,49.808,33.833,228.0,4494.877,1.175
20180517,34.102,22.56,185.0,4722.72,1.187
20180518,24.439,8.256,107.0,4927.359,1.355
20180519,18.166,8.222,91.0,4350.72,1.902
20180520,17.041,8.859,104.0,2773.209,1.314
20180521,27.864,14.519,148.0,3788.099,1.118
20180522,49.942,28.55,94.0,2988.44,1.645
20180523,57.907,16.873,318.0,4965.432,1.259
20180524,95.221,23.589,377.0,5002.245,1.319
20180525,90.623,33.198,235.0,5008.229,1.436
20180526,82.541,34.515,119.0,4309.806,1.571
20180527,74.46,30.086,116.0,3082.109,1.444
20180528,55.971,26.734,177.0,4585.55,1.123
20180530,56.969,33.888,269.0,4514.037,1.293
20180531,52.5,29.808,204.0,4444.898,1.208
20180602,43.576,24.342,68.0,3644.163,1.542
20180603,38.333,23.831,70.0,2682.596,1.44
20180604,42.553,26.61,120.0,4053.055,0.967
20180605,45.658,29.762,139.0,4199.775,1.141
20180606,45.043,30.051,68.0,2849.578,1.284
20180607,58.017,37.826,180.0,4120.079,1.117
20180608,39.91,25.313,117.0,4709.362,1.229
20180609,48.03,29.132,52.0,4000.781,2.353
20180610,14.841,8.056,77.0,2907.946,1.556
20180611,18.345,7.761,113.0,4589.175,1.061
20180612,26.014,14.133,111.0,5028.317,1.08
20180613,35.461,22.766,57.0,3129.925,1.244
20180614,45.151,29.169,89.0,4766.249,1.0
20180615,27.043,13.985,118.0,4836.531,1.194
20180616,36.904,16.784,62.0,3889.444,1.452
20180617,59.183,36.207,105.0,2789.151,1.319
20180618,49.842,32.41,104.0,4447.289,1.236
20180619,40.696,26.892,92.0,4483.032,1.269
20180620,51.185,37.431,81.0,4851.287,1.156
20180621,49.159,31.13,103.0,4735.182,1.157
20180622,48.731,30.46,60.0,4885.23,1.249
20180623,46.186,27.607,64.0,4062.802,1.476
20180624,75.744,43.919,132.0,2911.398,1.377
20180625,66.042,37.513,116.0,4499.048,1.165
20180626,61.256,39.65,116.0,4326.038,1.04
20180627,38.751,25.512,76.0,4731.088,1.158
20180628,40.689,26.28,146.0,4726.769,1.265
20180629,53.038,32.712,38.0,4821.414,1.255
20180630,86.828,57.653,9.0,3782.9,1.574
20180701,27.398,16.468,26.0,2409.942,0.99
20180702,24.171,13.943,86.0,4108.561,0.889
20180703,28.377,16.032,53.0,4551.109,1.067
20180704,38.508,20.153,63.0,4673.267,1.18
20180705,33.684,23.387,53.0,4627.252,1.175
20180706,13.804,5.263,180.0,4649.303,1.159
20180707,18.98,7.865,36.0,3988.262,1.936
20180708,25.969,12.336,56.0,2962.184,1.421
20180709,21.093,9.38,59.0,4298.83,0.867
20180710,46.114,23.842,62.0,4511.956,1.104
20180711,57.249,30.888,78.0,4734.315,1.229
20180712,48.845,24.824,92.0,5179.92,1.297
20180713,35.817,20.817,27.0,5046.565,1.328
20180714,34.584,20.817,21.0,4000.995,1.585
20180715,36.14,24.315,51.0,2852.702,1.349
20180716,36.165,24.043,30.0,4433.457,1.086
20180717,39.625,27.764,80.0,4640.236,1.185
20180718,48.065,36.765,114.0,4723.955,1.179
20180719,39.841,28.462,83.0,4578.59,1.192
20180720,54.552,36.697,69.0,4557.775,1.14
20180721,59.079,37.703,80.0,3654.416,1.393
20180722,47.833,29.326,26.0,2701.831,1.403
20180723,53.962,33.343,50.0,4286.925,1.008
20180724,63.156,44.127,53.0,4664.546,1.158
20180725,60.64,37.379,56.0,4551.977,1.291
20180726,72.987,45.356,93.0,4557.644,1.306
20180727,85.551,55.391,51.0,4583.362,1.304
20180728,65.297,44.406,17.0,3538.436,1.515
20180729,37.629,25.755,20.0,2749.595,1.354
20180730,22.181,12.908,51.0,4282.985,1.112
20180731,38.315,23.081,72.0,4520.736,1.322
20180801,58.656,36.172,22.0,4155.932,1.409
20180802,55.41,38.174,33.0,4365.211,1.341
20180803,81.802,59.916,84.0,4424.349,1.336
20180804,50.325,34.344,20.0,3383.481,1.343
20180805,55.016,34.906,23.0,2551.978,1.216
20180806,63.851,42.15,57.0,3986.202,1.183
20180807,39.273,24.987,122.0,4362.833,1.219
20180808,54.53,36.881,49.0,4497.555,1.283
20180809,54.321,38.026,59.0,4978.088,1.469
20180810,36.698,24.534,16.0,4488.545,1.312
20180811,25.899,15.113,16.0,3349.987,1.563
20180812,34.683,23.434,14.0,2713.092,1.609
20180813,58.994,42.826,27.0,4097.019,1.099
20180814,49.247,31.342,14.0,4493.78,1.343
20180815,54.974,37.558,10.0,2964.008,1.883
20180816,43.05,20.51,36.0,4340.089,1.254
20180817,39.809,16.292,20.0,4774.633,1.425
