Date,pm10,pm25,COUNT_T,TMST,retail
20180401,79.761,38.195,234.0,729.516,0.741
20180402,67.793,26.531,371.0,1367.715,0.856
20180403,65.571,19.151,251.0,1488.953,0.982
20180404,19.773,9.305,352.0,1462.192,1.06
20180405,12.211,7.134,293.0,1411.368,0.856
20180406,92.319,23.407,627.0,1397.654,0.924
20180407,39.798,18.636,207.0,977.794,0.87
20180408,34.336,16.153,199.0,817.338,1.107
20180409,43.726,27.899,407.0,1353.098,0.85
20180410,46.099,21.999,278.0,1514.943,0.863
20180411,73.083,25.938,357.0,1492.064,0.96
20180412,42.81,15.301,236.0,1533.124,1.014
20180413,31.917,14.658,223.0,1502.443,1.017
20180414,29.867,16.019,95.0,891.6,0.861
20180416,29.697,17.589,318.0,1409.954,1.052
20180417,48.151,25.385,350.0,1501.723,0.932
20180418,56.844,29.328,436.0,1480.21,0.839
20180419,63.558,32.049,361.0,1461.88,0.93
20180420,88.494,47.651,361.0,1462.214,1.048
20180421,65.788,37.0,159.0,1089.099,1.269
20180422,41.776,22.007,198.0,698.914,0.875
20180423,18.616,13.157,179.0,1262.267,0.686
20180424,10.177,5.701,259.0,1452.505,0.769
20180425,26.163,18.251,298.0,1508.066,1.033
20180426,38.508,26.569,258.0,1535.928,0.904
20180427,50.224,34.627,165.0,1537.282,1.077
20180428,56.708,36.12,159.0,1082.806,1.054
20180429,53.913,30.61,196.0,850.279,0.943
20180430,83.235,55.524,358.0,1079.857,1.502
20180501,76.231,51.854,257.0,1059.085,1.187
20180502,62.584,46.309,226.0,1448.891,1.087
20180503,31.434,16.608,210.0,1532.913,1.177
20180504,46.905,20.08,171.0,1783.891,1.251
20180505,44.697,20.582,70.0,1061.107,1.165
20180506,21.997,13.552,38.0,746.448,0.89
20180507,36.328,19.274,101.0,905.699,0.953
20180508,19.875,9.095,265.0,1283.584,0.988
20180509,25.182,9.574,209.0,1352.806,1.124
20180510,49.911,27.118,244.0,1385.688,1.049
20180511,78.764,51.151,192.0,1389.491,1.284
20180512,36.117,23.275,56.0,964.855,0.965
20180513,30.817,21.677,130.0,828.853,0.989
20180514,95.077,73.965,313.0,1193.442,1.034
20180515,73.161,53.117,273.0,1325.381,1.207
20180516,40.202,26.983,228.0,1220.062,0.972
20180517,23.534,15.063,185.0,1234.404,0.993
20180518,18.386,5.608,107.0,1315.148,1.111
20180519,15.834,7.163,91.0,1134.94,1.451
20180520,13.245,6.783,104.0,835.595,1.114
20180521,23.62,12.37,148.0,1154.179,1.181
20180522,46.797,27.01,94.0,881.045,1.397
20180523,47.703,13.277,318.0,1216.588,1.112
20180524,75.445,18.565,377.0,1299.572,1.312
20180525,75.203,27.818,235.0,1281.167,1.294
20180526,69.751,29.357,119.0,942.986,1.371
20180527,65.747,26.994,116.0,688.492,1.166
20180528,47.618,22.898,177.0,1158.878,1.183
20180530,59.709,35.627,269.0,1267.792,1.245
20180531,55.503,31.769,204.0,1219.617,1.334
20180602,38.658,21.64,68.0,955.987,1.417
20180603,29.031,17.965,70.0,691.08,1.048
20180604,32.767,20.357,120.0,1301.246,1.027
20180605,36.478,23.661,139.0,1377.196,1.264
20180606,40.556,26.742,68.0,792.438,1.067
20180607,56.501,37.147,180.0,1353.112,1.115
20180608,41.828,26.364,117.0,1375.162,1.17
20180609,47.064,28.715,52.0,939.618,1.573
20180610,11.111,5.98,77.0,683.78,1.103
20180611,13.405,5.778,113.0,1273.035,1.0
20180612,21.142,11.344,111.0,1375.354,1.073
20180613,29.783,18.927,57.0,748.745,1.177
20180614,37.935,24.501,89.0,1335.93,1.117
20180615,23.176,11.96,118.0,1358.785,1.235
20180616,29.968,13.672,62.0,914.095,1.357
20180617,59.553,36.023,105.0,646.729,1.177
20180618,43.425,28.195,104.0,1268.379,1.251
20180619,37.985,24.769,92.0,1361.48,1.176
20180620,42.76,31.187,81.0,1375.392,1.241
20180621,40.336,25.52,103.0,1358.87,1.268
20180622,44.723,28.069,60.0,1390.129,1.443
20180623,38.774,23.093,64.0,871.471,1.379
20180624,60.161,34.876,132.0,623.039,1.208
20180625,52.225,29.466,116.0,1166.641,1.216
20180626,46.651,29.752,116.0,1114.032,0.944
20180627,34.797,23.141,76.0,1234.846,1.331
20180628,32.041,20.565,146.0,1214.657,1.304
20180629,48.058,29.706,38.0,1236.432,1.321
20180630,69.534,46.108,9.0,788.077,1.428
20180701,17.27,10.154,26.0,471.277,0.869
20180702,15.984,9.024,86.0,1036.97,1.0
20180703,20.685,11.581,53.0,1179.83,1.253
20180704,28.958,14.842,63.0,1171.185,1.463
20180705,26.576,18.245,53.0,1175.264,1.356
20180706,9.766,3.689,180.0,1194.634,1.247
20180707,13.521,5.714,36.0,856.017,1.273
20180708,22.749,10.378,56.0,628.678,1.024
20180709,15.356,7.172,59.0,1056.429,1.051
20180710,25.901,13.282,62.0,1130.989,1.079
20180711,41.029,21.635,78.0,1160.13,1.105
20180712,37.973,19.483,92.0,1222.525,1.263
20180713,27.765,15.988,27.0,1215.02,1.254
20180714,25.6,15.233,21.0,827.835,1.299
20180715,25.555,17.145,51.0,587.638,1.03
