Date,pm10,pm25,COUNT_T,TMST,retail
20180401,86.992,40.418,234.0,2843.83,1.168
20180402,86.576,33.476,371.0,4499.954,1.11
20180403,75.861,21.787,251.0,4652.044,1.129
20180404,37.92,15.752,352.0,4682.754,1.051
20180405,13.601,8.144,293.0,4359.486,1.059
20180406,78.094,19.052,627.0,4432.139,1.152
20180407,99.662,42.251,207.0,3673.989,1.159
20180408,66.395,32.629,199.0,2696.97,1.222
20180409,60.825,37.599,407.0,4450.295,0.961
20180410,63.936,31.673,278.0,4643.454,1.071
20180411,88.117,34.275,357.0,4683.827,1.098
20180412,66.061,23.822,236.0,4715.6,1.131
20180413,65.144,28.467,223.0,4726.787,1.184
20180414,29.274,14.811,95.0,3509.084,1.148
20180416,44.636,26.896,318.0,4574.292,1.025
20180417,70.829,36.057,350.0,4750.956,1.175
20180418,90.924,44.017,436.0,4632.665,1.065
20180419,98.492,44.592,361.0,4613.44,1.139
20180420,135.626,67.997,361.0,4689.428,1.153
20180421,96.588,51.472,159.0,3958.086,1.283
20180422,43.015,22.118,198.0,2659.383,1.234
20180423,14.276,7.88,179.0,4107.43,0.995
20180424,13.519,7.264,259.0,4657.613,1.063
20180425,34.928,25.127,298.0,4708.268,1.148
20180426,40.926,26.91,258.0,4754.546,1.094
20180427,47.326,31.776,165.0,4785.075,1.179
20180428,58.501,35.638,159.0,3973.016,1.233
20180429,47.247,26.672,196.0,2980.209,1.26
20180430,70.228,46.342,358.0,4643.776,1.121
20180501,58.395,38.935,257.0,4073.308,1.173
20180502,45.696,31.896,226.0,4541.868,1.076
20180503,22.313,11.032,210.0,4799.111,1.086
20180504,34.103,13.254,171.0,5045.07,1.183
20180505,31.698,14.506,70.0,3714.561,1.326
20180506,13.981,7.975,38.0,2663.542,1.167
20180507,27.163,13.456,101.0,3621.068,1.1
20180508,17.042,7.248,265.0,4765.582,1.033
20180509,19.671,6.89,209.0,4910.923,1.084
20180510,35.654,17.933,244.0,4803.893,1.097
20180511,57.461,32.515,192.0,4966.745,1.15
20180512,29.249,17.512,56.0,3497.073,1.249
