Date,pm10,pm25,COUNT_T,TMST,retail
20180401,90.151,44.524,234.0,1388.708,1.183
20180402,90.824,35.992,371.0,1329.891,0.913
20180403,81.933,23.237,251.0,1377.872,0.941
20180404,20.603,9.537,352.0,1389.243,0.927
20180405,9.851,5.182,293.0,1333.049,0.94
20180406,85.452,20.415,627.0,1413.407,0.967
20180407,36.476,16.785,207.0,1593.229,1.25
20180408,23.119,11.171,199.0,1363.272,1.245
20180409,38.863,22.563,407.0,1341.775,0.949
20180410,35.851,17.377,278.0,1417.392,0.89
20180411,63.913,26.242,357.0,1412.905,0.927
20180412,40.047,13.427,236.0,1409.912,1.003
20180413,30.464,12.383,223.0,1421.842,1.062
20180414,22.01,11.771,95.0,1466.718,1.342
20180416,29.032,16.445,318.0,1347.837,1.015
20180417,56.944,26.355,350.0,1379.16,1.02
20180418,74.281,30.701,436.0,1412.84,1.001
20180419,81.571,37.14,361.0,1405.945,1.025
20180420,100.342,51.394,361.0,1440.33,1.124
20180421,100.173,56.252,159.0,1623.225,1.418
20180422,35.844,18.41,198.0,1330.224,1.3
20180423,10.519,6.843,179.0,1286.398,0.906
20180424,12.023,7.342,259.0,1375.121,1.062
20180425,25.96,19.443,298.0,1415.069,1.116
20180426,34.131,23.238,258.0,1417.589,1.059
20180427,44.694,31.624,165.0,1438.721,0.986
20180428,58.125,39.828,159.0,1569.372,1.128
20180429,50.749,31.363,196.0,1448.092,1.087
20180430,75.049,55.131,358.0,1329.13,1.087
20180501,61.435,47.558,257.0,1417.367,1.115
20180502,45.769,36.241,226.0,1320.931,0.91
20180503,22.275,11.748,210.0,1468.41,0.983
20180504,38.572,16.204,171.0,1603.335,1.093
20180505,38.147,19.466,70.0,1573.155,1.063
20180506,14.243,8.958,38.0,1397.595,1.043
20180507,31.057,17.39,101.0,1506.705,0.972
20180508,16.759,6.49,265.0,1499.86,1.13
20180509,21.356,7.955,209.0,1494.283,0.928
20180510,36.982,20.17,244.0,1522.662,0.94
20180511,67.331,44.289,192.0,1569.643,1.006
20180512,29.961,19.705,56.0,1544.753,1.129
20180513,19.533,14.293,130.0,1533.72,1.247
20180514,74.135,57.76,313.0,1496.311,0.899
20180515,70.37,53.885,273.0,1521.983,1.066
20180516,34.145,25.026,228.0,1423.636,0.907
20180517,16.64,11.498,185.0,1452.132,0.935
20180518,12.452,6.336,107.0,1528.224,1.005
20180519,12.922,6.342,91.0,1836.621,1.287
20180520,11.075,6.842,104.0,1569.235,1.18
20180521,17.263,11.099,148.0,1494.041,0.967
20180522,37.033,25.623,94.0,1506.36,0.974
20180523,42.936,14.168,318.0,1510.891,0.938
20180524,87.708,21.576,377.0,1510.517,0.953
20180525,82.074,30.436,235.0,1534.504,0.987
