Date,search,pm10,pm25,COUNT_T,TMST,retail
20180507,0.04172,96.467,43.4,101.0,3805.42,1.273
20180510,0.04172,67.648,31.915,244.0,4258.262,1.216
20180511,0.04172,110.924,71.296,192.0,4276.178,1.306
20180512,0.04172,39.515,24.293,56.0,3445.193,1.229
20180513,0.06258,20.664,12.441,130.0,3258.588,1.382
20180514,0.06258,92.687,65.11,313.0,3981.379,1.282
20180515,0.06258,87.309,61.238,273.0,4193.862,1.516
20180516,0.06258,41.908,27.438,228.0,4019.172,1.233
20180517,0.06258,18.19,7.539,185.0,4000.379,1.253
20180518,0.06258,10.677,3.328,107.0,4224.568,1.327
20180519,0.06258,13.697,3.496,91.0,3841.995,1.382
20180520,0.07152,12.393,3.888,104.0,3309.499,1.288
20180521,0.07152,18.824,7.008,148.0,3999.811,1.285
20180522,0.07152,42.908,26.241,94.0,3241.087,1.199
20180523,0.07152,43.95,10.701,318.0,4129.178,1.364
20180524,0.07152,76.509,19.493,377.0,4122.888,1.424
20180525,0.07152,76.671,30.683,235.0,4029.473,1.486
20180526,0.07152,72.662,34.725,119.0,3681.131,1.476
20180527,0.06258,72.513,32.594,116.0,3092.335,1.46
20180528,0.06258,51.701,25.232,177.0,3939.8,1.345
20180530,0.06258,51.779,32.222,269.0,4333.387,1.37
20180531,0.06258,46.187,24.801,204.0,4301.618,1.492
20180602,0.06258,39.273,20.072,68.0,3950.774,1.501
20180603,0.05066,28.681,15.632,70.0,3468.58,1.426
20180604,0.05066,36.314,20.444,120.0,4112.7,1.438
20180605,0.05066,38.806,23.006,139.0,4270.484,1.434
20180606,0.05066,44.692,27.846,68.0,3412.878,1.372
20180607,0.05066,55.372,36.383,180.0,4194.125,1.376
20180608,0.05066,35.614,21.092,117.0,4239.074,1.422
20180609,0.05066,39.931,24.751,52.0,3877.154,1.59
20180610,0.03278,8.721,3.281,77.0,3343.59,1.472
20180611,0.03278,11.414,3.123,113.0,4060.776,1.415
20180612,0.03278,19.321,8.281,111.0,4380.927,1.514
20180613,0.03278,34.865,20.398,57.0,3520.19,1.445
20180614,0.03278,38.276,24.692,89.0,4184.439,1.477
20180615,0.03278,19.319,7.676,118.0,4192.676,1.537
20180616,0.03278,26.47,12.3,62.0,3709.881,1.482
20180617,0.04172,56.503,35.2,105.0,3413.813,1.45
20180618,0.04172,46.738,28.704,104.0,4004.453,1.666
20180619,0.04172,41.812,25.763,92.0,4193.457,1.498
20180620,0.04172,46.71,30.923,81.0,4129.568,1.54
20180621,0.04172,41.662,23.908,103.0,4143.418,1.472
20180622,0.04172,41.898,24.16,60.0,4137.523,1.415
20180623,0.04172,45.833,23.959,64.0,3710.771,1.441
20180624,0.04172,74.907,46.586,132.0,3217.038,1.304
20180625,0.04172,62.415,36.96,116.0,3835.168,1.323
20180626,0.04172,52.503,35.103,116.0,3718.208,1.157
20180627,0.04172,40.115,25.927,76.0,4002.003,1.341
20180628,0.04172,35.145,21.734,146.0,3982.748,1.278
20180629,0.04172,51.606,32.258,38.0,4145.395,1.273
20180630,0.04172,55.231,37.922,9.0,3628.441,1.374
20180701,0.0149,19.618,8.479,26.0,2853.751,1.134
20180702,0.0149,12.81,3.949,86.0,3679.83,1.108
20180703,0.0149,19.747,7.404,53.0,4020.375,1.29
20180704,0.0149,34.188,17.082,63.0,4005.756,1.35
20180705,0.0149,29.341,15.038,53.0,3983.865,1.349
20180706,0.0149,7.762,3.095,180.0,3997.49,1.354
20180707,0.0149,12.504,4.536,36.0,3696.027,1.187
20180708,0.01788,23.772,9.774,56.0,3307.819,1.333
20180709,0.01788,15.275,6.237,59.0,3719.138,1.166
20180710,0.01788,23.337,10.421,62.0,3982.606,1.279
20180711,0.01788,41.19,23.178,78.0,4049.396,1.224
20180712,0.01788,41.204,21.01,92.0,3978.731,1.274
20180713,0.01788,28.383,13.95,27.0,4125.523,1.285
20180714,0.01788,27.232,12.403,21.0,3803.571,1.319
20180715,0.01788,28.057,14.773,51.0,3408.527,1.216
20180716,0.01788,26.053,14.128,30.0,3868.518,1.337
20180717,0.01788,26.102,15.442,80.0,4068.36,1.245
20180718,0.01788,32.837,21.728,114.0,4066.268,1.335
20180719,0.01788,28.268,16.684,83.0,4000.101,1.371
20180720,0.01788,36.661,21.093,69.0,4118.464,1.302
20180721,0.01788,30.032,17.195,80.0,3741.57,1.382
20180722,0.0149,29.91,14.478,26.0,3354.811,1.389
20180723,0.0149,35.238,16.913,50.0,3842.193,1.402
20180724,0.0149,39.086,21.789,53.0,4065.532,1.394
20180725,0.0149,41.424,21.403,56.0,4019.703,1.454
20180726,0.0149,48.249,27.684,93.0,3966.977,1.387
20180727,0.0149,42.016,24.701,51.0,4053.209,1.342
20180728,0.0149,39.185,23.392,17.0,3668.438,1.26
20180729,0.01192,23.182,12.0,20.0,3244.162,1.231
20180730,0.01192,15.432,6.332,51.0,3744.284,1.312
20180731,0.01192,24.423,12.901,72.0,3886.681,1.301
20180801,0.01192,32.34,17.461,22.0,3854.397,1.377
20180802,0.01192,42.372,25.058,33.0,3759.217,1.339
20180803,0.01192,44.626,30.285,84.0,3826.158,1.347
20180804,0.01192,34.368,18.58,20.0,3454.183,1.234
20180805,0.01192,42.602,25.227,23.0,3244.734,1.264
20180806,0.01192,35.224,21.261,57.0,3771.172,1.245
20180807,0.01192,18.093,9.359,122.0,3979.125,1.309
20180808,0.01192,29.375,17.625,49.0,3921.84,1.283
20180809,0.01192,22.694,14.861,59.0,4075.865,1.352
20180810,0.01192,19.055,10.61,16.0,3867.031,1.376
20180811,0.01192,15.605,6.029,16.0,3511.805,1.281
20180812,0.00894,21.308,10.66,14.0,3186.08,1.328
20180813,0.00894,35.327,21.86,27.0,3651.425,1.256
20180814,0.00894,36.082,23.078,14.0,3852.595,1.378
20180815,0.00894,30.362,19.512,10.0,3241.54,1.137
20180816,0.00894,29.063,14.483,36.0,3732.11,1.314
20180817,0.00894,31.804,14.733,20.0,3867.156,1.435
20180818,0.00894,33.214,12.152,13.0,3468.032,1.33
20180819,0.01192,35.23,18.353,14.0,3191.642,1.264
20180820,0.01192,46.406,25.288,36.0,3733.508,1.32
20180821,0.01192,34.643,14.891,75.0,3987.142,1.278
20180822,0.01192,37.049,18.068,37.0,3920.752,1.331
20180823,0.01192,24.867,9.607,11.0,3620.524,1.379
20180824,0.01192,14.983,4.911,16.0,3858.832,1.265
20180825,0.01192,33.087,13.71,15.0,3708.217,1.361
20180826,0.00596,23.143,10.532,18.0,3126.981,1.306
20180827,0.00596,12.117,4.596,49.0,3733.19,1.227
20180828,0.00596,16.215,3.524,49.0,3825.429,1.313
20180829,0.00596,22.177,8.309,17.0,3686.06,1.281
20180830,0.00596,23.311,10.499,55.0,4095.297,1.347
20180831,0.00596,24.437,13.411,59.0,4060.575,1.444
20180901,0.00596,22.084,8.514,18.0,4037.937,1.509
20180902,0.01192,18.759,4.814,43.0,3565.011,1.426
20180903,0.01192,19.39,7.347,60.0,4276.434,1.276
20180904,0.01192,27.427,12.71,44.0,4632.635,1.339
20180905,0.01192,32.569,9.602,59.0,4637.22,1.372
20180906,0.01192,43.22,20.625,60.0,4541.343,1.352
20180907,0.01192,35.493,17.787,39.0,4528.775,1.318
20180908,0.01192,32.233,11.626,12.0,4154.557,1.386
20180909,0.00596,31.497,14.101,38.0,3667.358,1.401
20180910,0.00596,24.165,10.762,41.0,4563.976,1.404
20180911,0.00596,18.325,6.139,49.0,4772.672,1.32
20180912,0.00596,20.866,6.134,52.0,4643.961,1.334
20180913,0.00596,25.642,11.073,67.0,6693.088,1.394
20180914,0.00596,26.397,10.098,19.0,5652.2,1.417
20180915,0.00596,10.0,1.0,14.0,4324.83,1.444
20180917,0.00894,29.477,11.387,54.0,4767.957,1.459
20181010,0.00596,28.429,10.286,76.0,4102.908,1.339
20181011,0.00596,24.154,11.516,97.0,4098.298,1.348
20181012,0.00596,29.066,15.488,73.0,4108.732,1.469
20181013,0.00596,37.91,26.117,15.0,3830.713,1.395
20181014,0.03576,54.108,38.583,70.0,3420.588,1.489
20181015,0.03576,83.431,50.722,454.0,4017.105,1.348
20181016,0.03576,82.48,48.207,400.0,4194.864,1.359
20181017,0.03576,45.991,24.818,243.0,4158.728,1.443
20181018,0.03576,22.519,12.28,123.0,3873.455,1.361
20181019,0.03576,23.781,13.115,85.0,4055.575,1.484
20181020,0.03576,45.674,25.986,71.0,4010.855,1.513
20181021,0.02682,41.922,27.359,120.0,3221.821,1.529
20181022,0.02682,70.958,48.865,201.0,4028.945,1.432
20181023,0.02682,66.21,45.91,275.0,4112.774,1.414
20181024,0.02682,56.038,27.478,231.0,4162.287,1.468
20181025,0.02682,39.592,22.033,115.0,3320.565,1.506
20181026,0.02682,40.032,26.251,79.0,3959.343,1.47
20181027,0.02682,32.572,8.134,30.0,3969.175,1.341
20181028,0.01788,18.551,11.092,71.0,3185.272,1.418
20181029,0.01788,26.772,13.653,85.0,3675.428,1.329
20181030,0.01788,27.18,15.183,154.0,4217.445,1.327
20181031,0.01788,25.038,16.667,62.0,4115.692,1.393
20181101,0.01788,35.804,22.842,108.0,4058.668,1.299
20181102,0.01788,40.594,26.563,90.0,4233.617,1.417
20181103,0.01788,47.344,33.04,96.0,4122.648,1.353
20181104,0.12218,48.264,35.253,229.0,3238.748,1.416
20181105,0.12218,60.109,41.926,390.0,4700.341,1.331
20181106,0.12218,111.347,80.353,613.0,4067.649,1.371
