Date,search,pm10,pm25,COUNT_T,TMST,retail
20180401,0.15522,52.727,25.711,234.0,7267.306,0.672
20180402,0.15522,60.179,23.761,371.0,8771.744,0.731
20180403,0.15522,52.274,14.906,251.0,9034.141,0.703
20180404,0.15522,10.497,4.849,352.0,8976.74,0.736
20180405,0.15522,4.476,2.782,293.0,8854.321,0.73
20180406,0.15522,64.446,14.162,627.0,8704.172,0.733
20180407,0.15522,30.373,13.873,207.0,9041.284,0.726
20180408,0.11144,22.649,10.944,199.0,7296.691,0.75
20180409,0.11144,43.539,25.005,407.0,8832.878,0.719
20180410,0.11144,30.653,14.95,278.0,9118.704,0.752
20180411,0.11144,50.052,20.665,357.0,9058.445,0.736
20180412,0.11144,30.627,10.387,236.0,9128.715,0.746
20180413,0.11144,23.041,9.186,223.0,9235.784,0.73
20180414,0.11144,17.206,9.153,95.0,8400.938,0.708
20180416,0.15522,24.558,13.854,318.0,9051.259,0.714
20180417,0.15522,45.715,21.39,350.0,9049.791,0.724
20180418,0.15522,57.948,24.682,436.0,8981.831,0.739
20180419,0.15522,68.464,31.155,361.0,8939.605,0.743
20180420,0.15522,91.222,46.635,361.0,9061.95,0.739
20180421,0.15522,61.143,33.776,159.0,9248.578,0.754
20180422,0.09154,33.709,17.022,198.0,7078.041,0.752
20180423,0.09154,8.578,4.989,179.0,8298.818,0.752
20180424,0.09154,11.449,6.487,259.0,8787.097,0.73
20180425,0.09154,23.605,17.624,298.0,9168.878,0.799
20180426,0.09154,35.825,24.08,258.0,9023.969,0.768
20180427,0.09154,48.745,34.422,165.0,9065.684,0.767
20180428,0.09154,56.999,39.04,159.0,9309.131,0.778
20180429,0.1194,52.309,32.597,196.0,7778.295,0.718
20180430,0.1194,86.591,63.731,358.0,9289.572,0.769
20180501,0.1194,80.952,62.789,257.0,8641.653,0.782
20180502,0.1194,52.659,41.554,226.0,8813.037,0.782
20180503,0.1194,20.672,10.427,210.0,8979.01,0.757
20180504,0.1194,38.868,16.251,171.0,9283.518,0.765
20180505,0.1194,38.971,19.902,70.0,8648.645,0.741
20180506,0.05572,12.403,7.576,38.0,7517.167,0.644
20180507,0.05572,30.628,16.938,101.0,8387.617,0.717
20180508,0.05572,13.922,5.279,265.0,9499.764,0.794
20180509,0.05572,20.885,7.796,209.0,9046.641,0.757
20180510,0.05572,42.027,22.919,244.0,9085.931,0.738
20180511,0.05572,80.02,52.474,192.0,9316.139,0.742
20180512,0.05572,32.946,21.476,56.0,8093.143,0.735
20180513,0.08358,21.006,15.455,130.0,7129.469,0.743
20180514,0.08358,92.323,72.07,313.0,8564.84,0.768
20180515,0.08358,80.796,61.967,273.0,9099.27,0.833
20180516,0.08358,37.046,26.567,228.0,8738.792,0.785
20180517,0.08358,13.617,9.213,185.0,8782.18,0.756
20180518,0.08358,8.812,4.305,107.0,9337.27,0.785
20180519,0.08358,11.81,5.784,91.0,9612.924,0.91
20180520,0.09552,9.013,5.32,104.0,8019.415,0.826
20180521,0.09552,16.243,10.167,148.0,8804.512,0.771
20180522,0.09552,36.046,24.786,94.0,7692.339,0.756
20180523,0.09552,37.81,12.454,318.0,9328.433,0.722
20180524,0.09552,67.812,16.767,377.0,9419.559,0.749
20180525,0.09552,69.863,25.985,235.0,9092.83,0.742
20180526,0.09552,68.098,30.815,119.0,9106.11,0.791
20180527,0.08358,62.041,28.267,116.0,7431.009,0.775
20180528,0.08358,39.332,19.636,177.0,8976.951,0.768
20180530,0.08358,39.019,22.151,269.0,9244.753,0.752
20180531,0.08358,38.42,22.363,204.0,9208.902,0.801
20180602,0.08358,30.952,17.48,68.0,8759.665,0.811
20180603,0.06766,24.49,16.601,70.0,7154.245,0.732
20180604,0.06766,27.316,18.714,120.0,8494.898,0.759
20180605,0.06766,36.795,25.969,139.0,8684.352,0.769
20180606,0.06766,35.915,28.544,68.0,7136.076,0.752
20180607,0.06766,43.762,33.305,180.0,8655.23,0.77
20180608,0.06766,30.241,22.664,117.0,8908.523,0.791
20180609,0.06766,30.406,21.045,52.0,8347.598,0.803
20180610,0.04378,6.549,3.419,77.0,6796.454,0.728
20180611,0.04378,10.665,4.561,113.0,8433.87,0.784
20180612,0.04378,18.341,6.762,111.0,8756.756,0.776
20180613,0.04378,26.15,18.99,57.0,7185.765,0.731
20180614,0.04378,26.347,19.359,89.0,8687.854,0.777
20180615,0.04378,13.126,7.847,118.0,8678.812,0.817
20180616,0.04378,19.164,11.181,62.0,8148.299,0.782
20180617,0.05572,50.118,32.341,105.0,6969.262,0.76
20180618,0.05572,31.208,22.754,104.0,8296.334,0.864
20180619,0.05572,28.701,20.835,92.0,8348.983,0.729
20180620,0.05572,34.932,25.25,81.0,8544.013,0.765
20180621,0.05572,29.515,20.57,103.0,8712.709,0.818
20180622,0.05572,31.817,21.757,60.0,8882.924,0.812
20180623,0.05572,33.237,21.498,64.0,8685.941,0.85
20180624,0.05572,71.716,45.891,132.0,6876.67,0.72
20180625,0.05572,46.848,29.742,116.0,8277.243,0.81
20180626,0.05572,52.527,36.371,116.0,7771.887,0.713
20180627,0.05572,29.142,21.649,76.0,8282.217,0.782
20180628,0.05572,24.631,16.62,146.0,8403.893,0.755
20180629,0.05572,35.14,24.128,38.0,8806.214,0.771
20180630,0.05572,53.654,37.415,9.0,7981.881,0.857
20180701,0.0199,12.554,6.161,26.0,5911.241,0.685
20180702,0.0199,14.657,7.301,86.0,7733.47,0.694
20180703,0.0199,11.887,6.517,53.0,8275.977,0.779
20180704,0.0199,22.128,10.934,63.0,8718.193,0.755
20180705,0.0199,18.975,14.243,53.0,8550.903,0.767
20180706,0.0199,5.55,2.129,180.0,8827.753,0.771
20180707,0.0199,12.17,3.867,36.0,8899.062,0.734
20180708,0.02388,16.09,7.697,56.0,7165.938,0.723
20180709,0.02388,8.797,5.487,59.0,8176.877,0.738
20180710,0.02388,21.929,7.095,62.0,8145.045,0.682
20180711,0.02388,24.791,16.203,78.0,8541.538,0.732
20180712,0.02388,26.993,16.008,92.0,8564.198,0.77
20180713,0.02388,22.594,15.423,27.0,8827.79,0.77
20180714,0.02388,18.111,12.622,21.0,8798.85,0.761
20180715,0.02388,19.06,14.143,51.0,7340.253,0.752
20180716,0.02388,20.383,14.536,30.0,8432.64,0.777
20180717,0.02388,19.918,15.604,80.0,8585.635,0.746
20180718,0.02388,24.593,19.914,114.0,8552.358,0.782
20180719,0.02388,22.997,18.057,83.0,8545.363,0.766
20180720,0.02388,30.901,22.194,69.0,9075.572,0.816
20180721,0.02388,23.908,18.975,80.0,8598.455,0.773
20180722,0.0199,22.154,15.464,26.0,7201.864,0.749
20180723,0.0199,24.229,15.872,50.0,8554.904,0.858
20180724,0.0199,30.161,21.809,53.0,8564.314,0.831
20180725,0.0199,25.377,18.385,56.0,8684.332,0.8
20180726,0.0199,34.345,24.217,93.0,8699.412,0.797
