Date,search,pm10,pm25,COUNT_T,TMST,retail
20180401,0.14664,64.647,32.649,234.0,4065.092,1.307
20180402,0.14664,59.248,24.571,371.0,4529.229,1.329
20180403,0.14664,64.31,21.96,251.0,4671.116,1.325
20180404,0.14664,20.647,12.944,352.0,4706.642,1.346
20180405,0.14664,15.68,6.415,293.0,4327.992,1.293
20180406,0.14664,84.928,32.615,627.0,4288.32,1.311
20180407,0.14664,45.31,22.66,207.0,4498.239,1.292
20180408,0.10528,34.838,17.194,199.0,3550.998,1.317
20180409,0.10528,53.924,37.013,407.0,4247.892,1.292
20180410,0.10528,52.344,23.438,278.0,4357.433,1.313
20180411,0.10528,68.48,28.951,357.0,4417.508,1.315
20180412,0.10528,44.103,15.283,236.0,4406.355,1.318
20180413,0.10528,36.505,15.999,223.0,4451.134,1.496
20180414,0.10528,26.21,13.956,95.0,4233.197,1.288
20180416,0.14664,37.792,23.85,318.0,4261.638,1.324
20180417,0.14664,60.422,30.951,350.0,4320.943,1.307
20180418,0.14664,70.083,29.694,436.0,4447.449,1.384
20180419,0.14664,86.712,38.504,361.0,4331.88,1.408
20180420,0.14664,112.34,59.165,361.0,4475.885,1.46
20180421,0.14664,81.203,47.018,159.0,4580.489,1.489
20180422,0.08648,48.105,29.665,198.0,3548.385,1.357
20180423,0.08648,12.456,8.299,179.0,4073.47,1.272
20180424,0.08648,14.06,7.358,259.0,4285.808,1.29
20180425,0.08648,40.754,28.725,298.0,4577.342,1.406
20180426,0.08648,58.23,41.977,258.0,4576.859,1.709
20180427,0.08648,75.011,51.739,165.0,4605.727,1.534
20180428,0.08648,81.811,56.743,159.0,4719.405,1.544
20180429,0.1128,73.909,46.464,196.0,3976.715,1.341
20180430,0.1128,132.957,102.642,358.0,4464.111,1.417
20180501,0.1128,126.682,102.002,257.0,4311.77,1.415
20180502,0.1128,84.91,64.671,226.0,4433.385,1.257
20180503,0.1128,31.155,13.006,210.0,4578.09,1.352
20180504,0.1128,53.185,15.24,171.0,4875.606,1.472
20180505,0.1128,49.228,20.682,70.0,4674.115,1.598
20180506,0.05264,16.416,7.514,38.0,4012.548,1.261
20180507,0.05264,38.794,16.904,101.0,4202.628,1.463
20180508,0.05264,18.918,5.821,265.0,4714.655,1.353
20180509,0.05264,27.178,8.446,209.0,4607.478,1.421
20180510,0.05264,54.41,25.315,244.0,4584.391,1.339
20180511,0.05264,108.778,69.705,192.0,4581.449,1.391
20180512,0.05264,39.144,24.051,56.0,4238.915,1.264
20180513,0.07896,29.161,17.603,130.0,3815.327,1.485
20180514,0.07896,119.106,83.601,313.0,4386.885,1.36
20180515,0.07896,96.703,67.777,273.0,4600.435,1.481
20180516,0.07896,42.097,27.402,228.0,4305.991,1.316
20180517,0.07896,18.736,8.042,185.0,4306.268,1.235
20180518,0.07896,12.561,4.035,107.0,4609.646,1.331
20180519,0.07896,15.894,4.925,91.0,4817.102,1.543
20180520,0.09024,13.499,4.563,104.0,4038.785,1.327
20180521,0.09024,20.601,7.961,148.0,4417.224,1.436
20180522,0.09024,40.965,24.812,94.0,3824.69,1.201
20180523,0.09024,37.58,9.096,318.0,4506.497,1.452
20180524,0.09024,94.749,24.615,377.0,4500.791,1.423
20180525,0.09024,86.716,35.445,235.0,4446.66,1.435
20180526,0.09024,55.197,26.21,119.0,4498.297,1.544
20180527,0.07896,51.398,22.726,116.0,3725.483,1.527
20180528,0.07896,35.332,17.108,177.0,4263.207,1.434
20180530,0.07896,36.044,22.07,269.0,4603.318,1.476
20180531,0.07896,29.885,15.639,204.0,4449.636,1.44
20180602,0.07896,31.515,16.114,68.0,4624.27,1.581
20180603,0.06392,24.802,13.376,70.0,3831.415,1.394
20180604,0.06392,32.029,17.973,120.0,4422.82,1.481
20180605,0.06392,33.201,19.794,139.0,4418.522,1.513
20180606,0.06392,35.563,22.043,68.0,3978.718,1.436
20180607,0.06392,37.731,24.333,180.0,4449.412,1.447
20180608,0.06392,32.532,19.092,117.0,4539.46,1.547
20180609,0.06392,37.353,22.354,52.0,4585.592,1.537
20180610,0.04136,12.511,4.827,77.0,3616.228,1.337
20180611,0.04136,14.843,3.873,113.0,4296.067,1.465
