Date,search,pm10,pm25,COUNT_T,TMST,retail
20180401,0.03822,68.307,32.397,234.0,5456.912,1.258
20180402,0.03822,67.281,26.312,371.0,9520.631,1.479
20180403,0.03822,70.257,23.785,251.0,9822.063,1.442
20180404,0.03822,21.387,11.505,352.0,10124.564,1.591
20180405,0.03822,12.054,6.794,293.0,9842.482,1.597
20180406,0.03822,81.514,21.542,627.0,9670.591,1.508
20180407,0.03822,46.028,18.327,207.0,7481.76,1.159
20180408,0.02744,33.235,15.892,199.0,5393.02,1.516
20180409,0.02744,48.706,30.944,407.0,9416.134,1.356
20180410,0.02744,51.076,22.392,278.0,10063.659,1.529
20180411,0.02744,76.484,31.18,357.0,9932.967,1.531
20180412,0.02744,51.911,17.453,236.0,10377.73,1.549
20180413,0.02744,37.962,13.747,223.0,10150.673,1.55
20180414,0.02744,26.854,13.385,95.0,6958.513,1.146
20180416,0.03822,33.765,19.99,318.0,9712.168,1.39
20180417,0.03822,56.142,30.792,350.0,10299.272,1.408
20180418,0.03822,66.205,31.72,436.0,10255.99,1.467
20180419,0.03822,76.787,36.84,361.0,10486.904,1.54
20180420,0.03822,94.758,50.261,361.0,10523.295,1.578
20180421,0.03822,74.165,39.705,159.0,7755.256,1.328
20180422,0.02254,41.163,22.635,198.0,5183.598,1.317
20180423,0.02254,12.854,8.64,179.0,8868.925,1.39
20180424,0.02254,12.926,6.031,259.0,10089.097,1.368
20180425,0.02254,31.627,21.853,298.0,10485.958,1.45
20180426,0.02254,47.333,32.374,258.0,10462.34,1.462
20180427,0.02254,59.25,42.422,165.0,10909.002,1.568
20180428,0.02254,72.611,47.686,159.0,7826.327,1.309
20180429,0.0294,67.125,39.306,196.0,6112.005,1.47
20180430,0.0294,94.304,68.356,358.0,9584.75,1.578
20180501,0.0294,77.969,60.312,257.0,7428.321,1.314
20180502,0.0294,58.65,47.896,226.0,9944.94,1.372
20180503,0.0294,32.859,16.488,210.0,10085.933,1.56
20180504,0.0294,56.407,20.15,171.0,11147.049,1.469
20180505,0.0294,51.906,24.369,70.0,7351.942,1.176
20180506,0.01372,20.671,11.269,38.0,5498.233,1.153
20180507,0.01372,41.727,21.694,101.0,5860.737,1.168
20180508,0.01372,26.614,9.931,265.0,9695.56,1.359
20180509,0.01372,29.254,10.391,209.0,10297.013,1.418
20180510,0.01372,47.545,27.234,244.0,10100.045,1.43
20180511,0.01372,95.499,61.517,192.0,10542.525,1.449
20180512,0.01372,40.578,25.845,56.0,7306.707,1.142
20180513,0.02058,33.37,25.683,130.0,5990.29,1.237
20180514,0.02058,112.417,91.378,313.0,9672.286,1.386
20180515,0.02058,88.037,65.628,273.0,10500.223,1.482
20180516,0.02058,42.578,30.145,228.0,9664.754,1.437
20180517,0.02058,24.729,14.883,185.0,9794.142,1.457
20180518,0.02058,18.168,11.154,107.0,10005.821,1.416
20180519,0.02058,18.798,9.304,91.0,8089.312,1.231
20180520,0.02352,16.582,8.794,104.0,6234.356,1.278
20180521,0.02352,28.114,14.933,148.0,9310.775,1.321
20180522,0.02352,51.344,34.906,94.0,5901.23,1.287
20180523,0.02352,55.353,15.105,318.0,9867.527,1.378
20180524,0.02352,121.141,33.223,377.0,10230.856,1.464
20180525,0.02352,114.654,46.453,235.0,10167.305,1.439
20180526,0.02352,90.86,44.574,119.0,7988.23,1.244
20180527,0.02058,80.028,35.165,116.0,5935.621,1.324
20180528,0.02058,59.002,31.476,177.0,9546.796,1.449
20180530,0.02058,55.437,40.185,269.0,10151.342,1.459
20180531,0.02058,54.183,33.28,204.0,10143.852,1.556
20180602,0.02058,45.249,27.128,68.0,7498.433,1.154
20180603,0.01666,36.296,23.824,70.0,5581.165,1.311
20180604,0.01666,43.663,28.893,120.0,9544.687,1.38
20180605,0.01666,47.962,34.465,139.0,10118.139,1.501
20180606,0.01666,49.438,35.48,68.0,6009.744,1.452
20180607,0.01666,56.047,43.109,180.0,9864.583,1.415
20180608,0.01666,40.212,27.385,117.0,10164.507,1.428
20180609,0.01666,50.471,35.778,52.0,7184.779,1.259
20180610,0.01078,16.756,10.834,77.0,5375.916,0.986
20180611,0.01078,18.057,9.482,113.0,9231.248,1.469
20180612,0.01078,24.553,16.175,111.0,9993.101,1.485
20180613,0.01078,38.352,26.519,57.0,5779.553,1.305
20180614,0.01078,40.474,29.381,89.0,9894.542,1.436
20180615,0.01078,27.292,19.263,118.0,10102.248,1.518
20180616,0.01078,36.251,20.943,62.0,7294.307,1.267
20180617,0.01372,60.235,42.154,105.0,5535.768,1.48
20180618,0.01372,56.944,38.695,104.0,9606.277,1.527
