Date,search,pm10,pm25,COUNT_T,TMST,retail
20180401,0.02886,57.646,26.428,234.0,313.318,0.285
20180402,0.02886,62.955,24.193,371.0,520.83,0.62
20180403,0.02886,63.806,18.255,251.0,526.898,0.548
20180404,0.02886,16.815,7.745,352.0,568.831,0.606
20180405,0.02886,10.724,6.319,293.0,495.545,0.572
20180406,0.02886,78.558,19.82,627.0,491.492,0.717
20180407,0.02886,43.492,20.105,207.0,411.279,0.495
20180408,0.02072,30.599,15.597,199.0,298.652,0.39
20180409,0.02072,36.005,23.913,407.0,518.247,0.66
20180410,0.02072,47.901,23.854,278.0,559.998,0.714
20180411,0.02072,67.876,26.74,357.0,553.782,0.566
20180412,0.02072,51.239,18.315,236.0,548.245,0.819
20180413,0.02072,40.701,17.598,223.0,501.955,0.677
20180414,0.02072,29.15,15.322,95.0,372.538,0.375
20180416,0.02886,38.63,23.282,318.0,547.995,0.652
20180417,0.02886,56.874,29.14,350.0,564.444,0.661
20180418,0.02886,67.415,32.868,436.0,524.848,0.643
20180419,0.02886,74.25,33.506,361.0,509.529,0.661
20180420,0.02886,93.642,46.753,361.0,524.979,0.675
20180421,0.02886,70.515,36.938,159.0,411.549,0.494
20180422,0.01702,47.722,24.806,198.0,285.887,0.416
20180423,0.01702,17.184,9.675,179.0,523.991,0.676
20180424,0.01702,13.147,6.549,259.0,572.615,0.633
20180425,0.01702,36.449,26.258,298.0,524.64,0.677
20180426,0.01702,46.152,30.54,258.0,529.299,0.647
20180427,0.01702,54.749,36.984,165.0,550.381,0.583
20180428,0.01702,62.332,37.571,159.0,414.659,0.478
20180429,0.0222,63.517,35.598,196.0,331.448,0.334
20180430,0.0222,82.198,54.334,358.0,516.232,0.632
20180501,0.0222,77.104,51.574,257.0,499.06,0.562
20180502,0.0222,58.794,41.75,226.0,558.861,0.774
20180503,0.0222,34.784,17.118,210.0,624.188,0.602
20180504,0.0222,55.015,21.663,171.0,627.362,0.55
20180505,0.0222,52.612,24.411,70.0,402.307,0.318
20180506,0.01036,22.593,13.259,38.0,320.505,0.382
20180507,0.01036,42.017,21.156,101.0,400.401,0.341
20180508,0.01036,25.352,10.71,265.0,617.064,0.614
20180509,0.01036,32.418,11.641,209.0,569.144,0.703
20180510,0.01036,51.016,25.688,244.0,606.725,0.588
20180511,0.01036,80.128,45.548,192.0,620.246,0.652
20180512,0.01036,42.415,26.044,56.0,454.098,0.428
20180513,0.01554,29.676,18.51,130.0,360.539,0.25
20180514,0.01554,97.518,60.281,313.0,615.296,0.64
20180515,0.01554,85.728,59.431,273.0,600.411,0.635
20180516,0.01554,51.28,34.558,228.0,609.512,0.651
20180517,0.01554,33.325,20.218,185.0,628.153,0.685
20180518,0.01554,20.636,7.376,107.0,627.619,0.702
20180519,0.01554,16.236,7.181,91.0,475.706,0.401
20180520,0.01776,15.095,8.089,104.0,364.327,0.341
20180521,0.01776,26.873,14.104,148.0,611.525,0.45
20180522,0.01776,49.186,29.578,94.0,404.506,0.467
20180523,0.01776,51.657,13.023,318.0,602.044,0.685
20180524,0.01776,86.91,18.988,377.0,638.905,0.673
20180525,0.01776,88.217,31.683,235.0,607.954,0.67
20180526,0.01776,76.595,35.69,119.0,481.417,0.452
20180527,0.01554,70.107,30.686,116.0,376.208,0.378
20180528,0.01554,56.859,28.591,177.0,589.649,0.771
20180530,0.01554,57.051,33.486,269.0,649.332,0.654
20180531,0.01554,53.425,29.728,204.0,583.565,0.552
20180602,0.01554,44.505,25.778,68.0,424.813,0.375
20180603,0.01258,35.959,23.726,70.0,325.278,0.349
20180604,0.01258,40.61,26.758,120.0,564.733,0.67
20180605,0.01258,40.551,27.167,139.0,554.275,0.647
20180606,0.01258,43.969,30.106,68.0,395.08,0.381
20180607,0.01258,52.311,33.419,180.0,555.265,0.649
20180608,0.01258,38.335,24.452,117.0,566.341,0.644
20180609,0.01258,45.297,26.877,52.0,395.256,0.434
20180610,0.00814,12.717,6.725,77.0,310.59,0.371
20180611,0.00814,17.439,7.081,113.0,544.519,0.672
20180612,0.00814,22.752,12.583,111.0,523.973,0.706
20180613,0.00814,33.642,20.405,57.0,382.787,0.384
20180614,0.00814,38.012,23.941,89.0,543.595,0.674
20180615,0.00814,24.385,13.485,118.0,552.327,0.646
20180616,0.00814,31.578,15.96,62.0,408.252,0.37
20180617,0.01036,53.935,33.05,105.0,306.536,0.317
20180618,0.01036,45.712,29.5,104.0,528.27,0.608
20180619,0.01036,43.403,28.372,92.0,519.478,0.582
20180620,0.01036,43.965,29.094,81.0,578.825,0.571
20180621,0.01036,41.981,27.263,103.0,536.41,0.562
20180622,0.01036,52.399,31.198,60.0,543.232,0.609
20180623,0.01036,45.637,25.959,64.0,417.375,0.433
20180624,0.01036,64.86,37.819,132.0,317.566,0.413
20180625,0.01036,58.576,32.716,116.0,524.649,0.582
20180626,0.01036,58.487,36.331,116.0,488.126,0.638
20180627,0.01036,43.375,26.963,76.0,525.683,0.597
20180628,0.01036,35.055,22.503,146.0,526.591,0.744
20180629,0.01036,51.232,36.172,38.0,526.951,0.573
20180630,0.01036,58.367,39.64,9.0,358.363,0.512
20180701,0.0037,19.928,13.912,26.0,237.167,0.313
