Date,search,pm10,pm25,COUNT_T,TMST,retail
20180401,0.0741,76.797,36.597,234.0,5768.784,1.013
20180402,0.0741,70.614,27.315,371.0,5788.789,0.684
20180403,0.0741,72.696,24.158,251.0,5998.395,0.627
20180404,0.0741,24.517,14.834,352.0,5972.335,0.64
20180405,0.0741,29.939,16.791,293.0,5686.742,0.634
20180406,0.0741,70.65,23.55,627.0,5928.715,0.798
20180407,0.0741,64.057,25.169,207.0,6704.571,0.484
20180408,0.0532,38.538,17.579,199.0,5752.486,0.884
20180409,0.0532,45.59,29.064,407.0,5749.383,0.611
20180410,0.0532,76.454,36.302,278.0,6136.849,0.674
20180411,0.0532,84.917,33.049,357.0,6088.258,0.827
20180412,0.0532,77.055,24.607,236.0,6118.648,0.76
20180413,0.0532,69.296,25.068,223.0,6314.49,0.691
20180414,0.0532,31.426,14.72,95.0,5485.876,0.724
20180416,0.0741,65.892,39.579,318.0,6050.753,0.778
20180417,0.0741,85.558,48.41,350.0,6178.288,0.988
20180418,0.0741,88.318,45.078,436.0,6159.045,0.787
20180419,0.0741,99.515,48.692,361.0,6044.339,0.892
20180420,0.0741,110.982,59.282,361.0,6245.389,0.861
20180421,0.0741,106.836,56.342,159.0,6981.839,0.679
20180422,0.0437,62.949,34.364,198.0,5361.895,1.058
20180423,0.0437,16.701,12.131,179.0,5304.211,0.555
20180424,0.0437,17.02,8.018,259.0,5827.973,0.829
20180425,0.0437,58.713,41.267,298.0,6239.702,0.948
20180426,0.0437,75.223,52.054,258.0,6254.788,0.71
20180427,0.0437,80.239,57.927,165.0,6287.976,0.713
20180428,0.0437,102.469,64.764,159.0,7050.161,0.703
20180429,0.057,94.287,55.026,196.0,6228.875,0.666
20180430,0.057,115.817,84.134,358.0,6083.712,0.731
20180501,0.057,95.088,72.808,257.0,6439.691,0.923
20180502,0.057,75.593,61.857,226.0,5851.954,0.874
20180503,0.057,46.501,22.963,210.0,6564.283,0.655
20180504,0.057,85.531,31.392,171.0,6818.532,0.737
20180505,0.057,87.177,41.551,70.0,7242.697,0.727
20180506,0.0266,28.64,15.947,38.0,5971.784,0.917
20180507,0.0266,59.16,31.15,101.0,6744.166,0.765
20180508,0.0266,43.592,16.536,265.0,6717.833,0.859
20180509,0.0266,47.403,16.797,209.0,6265.549,0.722
20180510,0.0266,69.757,41.881,244.0,6193.526,0.768
20180511,0.0266,98.14,69.227,192.0,6275.79,1.979
20180512,0.0266,53.254,34.047,56.0,6216.279,0.889
20180513,0.0399,58.94,45.304,130.0,6529.437,1.109
20180514,0.0399,127.349,102.72,313.0,5947.244,0.939
20180515,0.0399,97.373,72.258,273.0,6271.644,1.089
20180516,0.0399,51.934,37.049,228.0,5729.452,0.854
20180517,0.0399,43.143,27.437,185.0,5775.733,0.8
