Date,search,pm10,pm25,COUNT_T,TMST,retail
20180401,0.01755,59.647,28.375,234.0,729.516,0.741
20180402,0.01755,60.838,23.851,371.0,1367.715,0.856
20180403,0.01755,63.483,18.385,251.0,1488.953,0.982
20180404,0.01755,18.512,8.911,352.0,1462.192,1.06
20180405,0.01755,13.56,8.042,293.0,1411.368,0.856
20180406,0.01755,79.955,20.081,627.0,1397.654,0.924
20180407,0.01755,39.708,18.228,207.0,977.794,0.87
20180408,0.0126,31.745,14.751,199.0,817.338,1.107
20180409,0.0126,39.686,25.112,407.0,1353.098,0.85
20180410,0.0126,49.831,24.128,278.0,1514.943,0.863
20180411,0.0126,64.535,23.051,357.0,1492.064,0.96
20180412,0.0126,44.382,15.786,236.0,1533.124,1.014
20180413,0.0126,37.116,17.116,223.0,1502.443,1.017
20180414,0.0126,28.86,15.11,95.0,891.6,0.861
20180416,0.01755,30.582,18.137,318.0,1409.954,1.052
20180417,0.01755,48.352,25.598,350.0,1501.723,0.932
20180418,0.01755,50.823,31.433,436.0,1480.21,0.839
20180503,0.0135,33.789,23.502,210.0,1532.913,1.177
20180504,0.0135,45.954,19.422,171.0,1783.891,1.251
20180505,0.0135,44.36,20.329,70.0,1061.107,1.165
20180506,0.0063,21.858,13.738,38.0,746.448,0.89
20180507,0.0063,36.901,19.848,101.0,905.699,0.953
20180508,0.0063,23.017,10.52,265.0,1283.584,0.988
20180509,0.0063,25.238,9.456,209.0,1352.806,1.124
20180510,0.0063,41.584,22.465,244.0,1385.688,1.049
20180511,0.0063,72.874,47.351,192.0,1389.491,1.284
20180512,0.0063,40.398,26.153,56.0,964.855,0.965
20180513,0.00945,29.663,20.991,130.0,828.853,0.989
20180514,0.00945,91.747,71.444,313.0,1193.442,1.034
20180515,0.00945,71.253,51.608,273.0,1325.381,1.207
20180516,0.00945,41.397,27.91,228.0,1220.062,0.972
20180517,0.00945,27.699,18.164,185.0,1234.404,0.993
20180518,0.00945,21.169,7.168,107.0,1315.148,1.111
20180519,0.00945,16.812,7.853,91.0,1134.94,1.451
20180520,0.0108,15.006,7.732,104.0,835.595,1.114
20180521,0.0108,24.458,12.715,148.0,1154.179,1.181
20180522,0.0108,45.261,25.865,94.0,881.045,1.397
20180523,0.0108,48.655,13.625,318.0,1216.588,1.112
20180524,0.0108,83.924,20.569,377.0,1299.572,1.312
20180525,0.0108,80.278,29.52,235.0,1281.167,1.294
20180526,0.0108,75.121,31.132,119.0,942.986,1.371
20180527,0.00945,64.965,26.387,116.0,688.492,1.166
20180528,0.00945,48.519,23.099,177.0,1158.878,1.183
20180530,0.00945,51.797,30.924,269.0,1267.792,1.245
20180531,0.00945,42.247,23.814,204.0,1219.617,1.334
20180602,0.00945,36.34,20.144,68.0,955.987,1.417
20180603,0.00765,30.464,18.882,70.0,691.08,1.048
20180604,0.00765,36.731,22.799,120.0,1301.246,1.027
20180605,0.00765,39.693,25.821,139.0,1377.196,1.264
20180606,0.00765,40.992,27.378,68.0,792.438,1.067
20180607,0.00765,51.867,33.808,180.0,1353.112,1.115
20180608,0.00765,38.544,24.177,117.0,1375.162,1.17
20180609,0.00765,48.376,29.352,52.0,939.618,1.573
20180610,0.00495,15.852,8.656,77.0,683.78,1.103
20180611,0.00495,19.569,8.412,113.0,1273.035,1.0
20180612,0.00495,24.809,13.474,111.0,1375.354,1.073
20180613,0.00495,36.441,23.332,57.0,748.745,1.177
20180614,0.00495,45.313,29.242,89.0,1335.93,1.117
20180615,0.00495,28.614,14.578,118.0,1358.785,1.235
20180616,0.00495,35.474,16.206,62.0,914.095,1.357
20180617,0.0063,59.376,36.356,105.0,646.729,1.177
20180618,0.0063,51.667,33.722,104.0,1268.379,1.251
20180619,0.0063,43.939,28.962,92.0,1361.48,1.176
20180620,0.0063,51.774,37.849,81.0,1375.392,1.241
20180621,0.0063,50.55,31.926,103.0,1358.87,1.268
20180622,0.0063,57.846,36.258,60.0,1390.129,1.443
20180623,0.0063,51.607,30.94,64.0,871.471,1.379
20180624,0.0063,82.401,47.862,132.0,623.039,1.208
20180625,0.0063,67.716,38.399,116.0,1166.641,1.216
20180626,0.0063,61.14,39.649,116.0,1114.032,0.944
20180627,0.0063,44.182,29.306,76.0,1234.846,1.331
20180628,0.0063,45.843,29.735,146.0,1214.657,1.304
20180629,0.0063,56.604,34.912,38.0,1236.432,1.321
20180630,0.0063,76.267,50.828,9.0,788.077,1.428
20180701,0.00225,27.995,16.794,26.0,471.277,0.869
20180702,0.00225,23.819,13.767,86.0,1036.97,1.0
20180703,0.00225,27.575,15.545,53.0,1179.83,1.253
20180704,0.00225,36.703,18.981,63.0,1171.185,1.463
20180705,0.00225,32.415,22.433,53.0,1175.264,1.356
20180706,0.00225,13.448,4.992,180.0,1194.634,1.247
20180707,0.00225,17.084,6.803,36.0,856.017,1.273
20180708,0.0027,25.963,12.09,56.0,628.678,1.024
20180709,0.0027,20.108,9.512,59.0,1056.429,1.051
