Date,search,pm10,pm25,COUNT_T,TMST,retail
20180401,0.07917,65.173,30.984,234.0,3710.951,0.979
20180402,0.07917,65.168,25.49,371.0,4988.442,1.122
20180403,0.07917,66.098,19.06,251.0,5330.048,1.085
20180404,0.07917,17.357,8.304,352.0,5275.93,1.046
20180405,0.07917,11.442,6.574,293.0,5181.796,1.05
20180406,0.07917,73.024,19.133,627.0,5069.069,1.041
20180407,0.07917,44.029,20.646,207.0,4703.812,0.991
20180408,0.05684,39.593,18.462,199.0,3595.798,1.278
20180409,0.05684,40.71,26.359,407.0,4991.176,1.108
20180410,0.05684,52.143,25.023,278.0,5378.275,1.2
20180411,0.05684,73.193,26.263,357.0,5347.222,1.058
20180412,0.05684,53.432,18.995,236.0,5429.93,1.075
20180413,0.05684,39.683,18.156,223.0,5471.092,1.148
20180414,0.05684,33.139,17.564,95.0,4525.566,1.124
20180416,0.07917,36.891,21.913,318.0,5072.92,1.019
20180417,0.07917,59.376,31.54,350.0,5328.023,1.11
20180418,0.07917,67.931,35.935,436.0,5332.935,1.084
20180419,0.07917,70.49,35.85,361.0,5317.805,1.106
20180420,0.07917,89.063,47.961,361.0,5372.586,1.069
20180421,0.07917,68.093,37.803,159.0,4766.554,1.175
20180422,0.04669,54.655,28.915,198.0,3631.594,1.222
20180423,0.04669,27.317,19.516,179.0,4690.591,1.036
20180424,0.04669,11.936,6.455,259.0,5191.53,1.062
20180425,0.04669,32.628,22.916,298.0,5513.955,1.141
20180426,0.04669,44.3,30.703,258.0,5416.838,1.128
20180427,0.04669,53.515,36.833,165.0,5715.795,1.156
20180428,0.04669,61.718,38.417,159.0,5084.949,1.178
20180429,0.0609,63.976,36.274,196.0,3938.653,1.082
20180430,0.0609,84.032,56.118,358.0,5203.22,1.088
20180501,0.0609,81.633,55.539,257.0,4478.61,1.197
20180502,0.0609,67.733,50.333,226.0,5221.773,1.146
20180503,0.0609,35.845,18.936,210.0,5381.737,1.233
20180504,0.0609,55.654,23.941,171.0,5844.389,1.212
20180505,0.0609,56.013,25.888,70.0,4713.066,1.19
20180506,0.02842,27.282,16.834,38.0,3755.9,1.084
20180507,0.02842,47.219,25.423,101.0,3920.83,0.992
20180508,0.02842,25.867,11.84,265.0,5555.255,1.153
20180509,0.02842,31.198,12.091,209.0,5422.391,1.187
20180510,0.02842,52.712,28.487,244.0,5512.576,1.185
20180511,0.02842,79.404,51.565,192.0,5757.329,1.269
20180512,0.02842,44.448,28.701,56.0,4437.274,1.13
20180513,0.04263,31.821,22.542,130.0,4099.882,1.212
20180514,0.04263,86.282,67.159,313.0,5225.193,1.176
20180515,0.04263,71.841,51.86,273.0,5484.465,1.208
20180516,0.04263,48.001,32.486,228.0,5122.395,1.156
20180517,0.04263,31.654,20.815,185.0,5339.442,1.08
20180518,0.04263,23.886,8.581,107.0,5593.125,1.154
20180519,0.04263,16.738,7.69,91.0,5154.378,1.217
20180520,0.04872,15.331,7.837,104.0,3881.454,1.105
20180521,0.04872,26.183,13.604,148.0,5019.693,1.015
20180522,0.04872,50.702,29.141,94.0,3904.81,1.277
20180523,0.04872,54.827,15.558,318.0,5221.426,1.16
20180524,0.04872,89.262,22.047,377.0,5266.808,1.114
20180525,0.04872,87.298,31.992,235.0,5204.723,1.2
20180526,0.04872,79.199,33.701,119.0,4912.038,1.245
20180527,0.04263,75.299,30.699,116.0,3732.048,1.212
20180528,0.04263,56.204,26.926,177.0,4779.696,1.065
20180530,0.04263,58.922,35.297,269.0,5218.595,1.09
20180531,0.04263,55.038,31.339,204.0,5204.86,1.206
20180602,0.04263,42.061,23.374,68.0,4690.728,1.181
20180603,0.03451,34.314,21.315,70.0,3509.971,1.209
20180604,0.03451,36.848,22.941,120.0,4694.493,1.102
20180605,0.03451,37.703,24.511,139.0,4824.092,1.143
20180606,0.03451,39.567,26.222,68.0,3623.775,1.153
20180607,0.03451,57.085,37.397,180.0,4966.885,1.106
20180608,0.03451,42.353,26.726,117.0,5142.738,1.177
20180609,0.03451,54.299,33.203,52.0,4618.92,1.598
20180610,0.02233,12.97,7.096,77.0,3458.875,1.242
20180611,0.02233,16.599,7.254,113.0,4732.914,1.139
20180612,0.02233,23.785,12.815,111.0,5182.628,1.131
20180613,0.02233,34.303,21.765,57.0,3657.438,1.149
20180614,0.02233,40.702,26.279,89.0,5021.546,1.198
20180615,0.02233,25.211,12.872,118.0,4992.223,1.203
20180616,0.02233,30.965,14.094,62.0,4551.082,1.279
20180617,0.02842,54.281,32.983,105.0,3339.426,1.172
20180618,0.02842,44.701,29.029,104.0,4595.82,1.297
20180619,0.02842,38.817,25.439,92.0,4935.066,1.142
20180620,0.02842,43.165,31.481,81.0,4928.342,1.256
20180621,0.02842,43.524,27.589,103.0,4745.112,1.219
20180622,0.02842,45.039,28.12,60.0,4948.629,1.235
20180623,0.02842,40.405,24.114,64.0,4272.962,1.205
20180624,0.02842,71.588,41.578,132.0,3182.611,1.169
20180625,0.02842,61.408,34.894,116.0,4384.428,1.131
20180626,0.02842,58.319,37.403,116.0,4327.253,0.936
20180627,0.02842,35.985,23.851,76.0,4615.449,1.09
20180628,0.02842,37.195,24.122,146.0,4576.865,1.176
20180629,0.02842,49.638,30.42,38.0,4716.041,1.124
20180630,0.02842,73.003,48.325,9.0,3872.769,1.26
20180701,0.01015,20.928,12.344,26.0,2673.566,1.021
20180702,0.01015,18.635,10.611,86.0,4083.992,0.983
20180703,0.01015,23.176,12.894,53.0,4496.125,1.05
20180704,0.01015,31.481,16.301,63.0,4573.067,1.044
20180705,0.01015,28.767,19.685,53.0,4451.464,1.047
20180706,0.01015,12.027,4.472,180.0,4713.953,1.065
20180707,0.01015,15.454,6.432,36.0,4156.58,1.175
20180708,0.01218,24.453,11.34,56.0,3302.129,1.029
20180709,0.01218,17.47,8.142,59.0,4134.391,0.938
20180710,0.01218,30.752,15.895,62.0,4444.735,1.079
20180711,0.01218,45.522,24.255,78.0,4681.028,1.086
20180712,0.01218,39.385,20.06,92.0,5455.397,1.021
20180713,0.01218,28.701,16.651,27.0,4963.374,1.09
20180714,0.01218,29.346,17.588,21.0,4051.485,1.107
20180715,0.01218,29.867,20.093,51.0,3102.685,1.051
20180716,0.01218,30.4,20.008,30.0,4110.987,0.994
20180717,0.01218,32.782,22.644,80.0,4370.418,1.042
20180718,0.01218,38.169,29.006,114.0,4445.088,1.03
20180719,0.01218,31.276,22.056,83.0,4276.447,1.081
20180720,0.01218,44.574,29.99,69.0,4424.72,1.029
20180721,0.01218,47.362,30.431,80.0,3735.699,1.077
20180722,0.01015,36.243,22.046,26.0,2916.505,1.077
20180723,0.01015,35.26,21.54,50.0,4059.702,1.029
20180724,0.01015,40.775,28.319,53.0,4173.151,0.959
20180725,0.01015,36.0,21.96,56.0,4237.852,1.007
20180726,0.01015,48.293,29.883,93.0,4245.326,0.964
20180727,0.01015,57.456,36.917,51.0,4266.75,1.085
20180728,0.01015,45.827,30.784,17.0,3451.965,1.119
20180729,0.00812,26.319,17.839,20.0,2864.977,0.965
20180730,0.00812,15.624,8.863,51.0,3973.11,1.023
20180731,0.00812,29.516,17.497,72.0,4180.417,1.025
20180801,0.00812,50.581,30.794,22.0,3993.385,1.121
20180802,0.00812,45.861,31.338,33.0,4090.255,1.088
20180803,0.00812,73.222,53.656,84.0,4053.198,1.091
20180804,0.00812,37.305,25.252,20.0,3487.265,1.041
20180805,0.00812,37.135,23.379,23.0,2925.843,0.99
20180806,0.00812,43.401,28.529,57.0,3809.115,0.98
20180807,0.00812,28.31,17.949,122.0,4211.628,1.033
20180808,0.00812,40.358,27.312,49.0,4201.631,1.053
20180809,0.00812,35.838,24.876,59.0,4513.502,1.112
20180810,0.00812,28.642,18.855,16.0,4281.791,1.105
20180811,0.00812,23.421,13.602,16.0,3583.983,1.114
20180812,0.00609,30.587,20.616,14.0,3042.35,1.09
20180813,0.00609,52.588,38.126,27.0,4068.673,0.97
20180814,0.00609,48.014,30.567,14.0,4262.29,1.047
20180815,0.00609,50.694,34.678,10.0,3093.841,1.105
20180816,0.00609,41.224,19.225,36.0,4103.777,1.04
20180817,0.00609,39.219,15.983,20.0,4517.744,1.084
20180818,0.00609,40.417,17.058,13.0,3733.644,1.082
20180819,0.00812,49.979,27.475,14.0,3006.165,0.986
20180820,0.00812,58.17,37.292,36.0,3978.593,0.976
20180821,0.00812,47.095,24.734,75.0,3989.358,0.852
20180822,0.00812,47.319,27.239,37.0,4302.696,1.136
20180823,0.00812,32.683,17.019,11.0,3905.558,1.185
20180824,0.00812,21.5,11.122,16.0,4659.301,1.028
20180825,0.00812,49.127,24.042,15.0,3977.22,1.134
20180826,0.00406,40.411,20.521,18.0,3174.394,1.394
20180827,0.00406,26.137,14.273,49.0,3910.468,0.989
20180828,0.00406,29.954,17.482,49.0,4022.023,1.074
20180829,0.00406,37.292,18.714,17.0,4108.33,1.018
20180830,0.00406,39.576,24.58,55.0,4094.288,1.136
20180831,0.00406,52.177,27.472,59.0,4653.41,1.288
20180901,0.00406,42.739,21.731,18.0,3988.327,1.349
20180902,0.00812,36.679,16.974,43.0,3148.201,1.278
20180903,0.00812,38.837,20.686,60.0,4154.756,1.221
20180904,0.00812,38.225,16.839,44.0,4464.431,1.244
20180905,0.00812,55.869,21.58,59.0,4478.872,1.263
20180906,0.00812,51.59,27.797,60.0,4525.851,1.277
20180907,0.00812,56.265,28.281,39.0,4579.268,1.276
20180908,0.00812,51.19,23.133,12.0,4178.382,1.408
20180909,0.00406,44.896,21.455,38.0,3217.812,1.438
20180910,0.00406,27.177,12.399,41.0,4340.3,1.261
20180911,0.00406,32.413,15.073,49.0,4568.123,1.318
20180912,0.00406,33.485,16.447,52.0,4582.118,1.258
20180913,0.00406,38.174,20.315,67.0,4662.716,1.28
20180914,0.00406,37.062,20.832,19.0,4642.938,1.386
20180915,0.00406,23.417,12.628,14.0,4001.195,1.332
