Date,search,pm10,pm25,COUNT_T,TMST,retail
20180401,0.03354,60.866,28.896,234.0,2815.156,1.182
20180402,0.03354,61.737,24.115,371.0,4374.92,0.936
20180403,0.03354,62.326,17.915,251.0,4675.328,1.046
20180404,0.03354,17.917,8.583,352.0,4726.913,1.066
20180405,0.03354,11.404,6.626,293.0,4485.343,0.945
20180406,0.03354,74.01,20.028,627.0,4602.447,1.154
20180407,0.03354,51.908,23.75,207.0,3879.642,1.159
20180408,0.02408,45.21,21.172,199.0,2772.45,1.667
20180409,0.02408,45.357,28.942,407.0,4472.013,0.932
20180410,0.02408,56.228,27.255,278.0,4780.96,1.174
20180411,0.02408,78.342,28.061,357.0,4818.445,1.134
20180412,0.02408,52.799,18.695,236.0,4840.42,1.146
20180413,0.02408,40.172,18.415,223.0,4840.817,1.167
20180414,0.02408,30.484,16.178,95.0,3689.038,1.124
20180416,0.03354,36.758,21.872,318.0,4505.939,0.891
20180417,0.03354,57.019,30.476,350.0,4616.829,1.037
20180418,0.03354,67.577,35.154,436.0,4638.513,1.109
20180419,0.03354,68.089,34.464,361.0,4685.5,1.046
20180420,0.03354,94.867,51.257,361.0,4750.785,1.326
20180421,0.03354,68.414,38.268,159.0,4072.818,1.517
20180422,0.01978,46.475,24.336,198.0,2650.366,1.37
20180423,0.01978,21.571,15.493,179.0,4066.844,0.833
20180424,0.01978,12.281,6.778,259.0,4594.77,0.94
20180425,0.01978,33.86,23.801,298.0,4866.956,1.167
20180426,0.01978,42.999,29.784,258.0,4821.97,1.222
20180427,0.01978,51.395,35.401,165.0,4936.711,1.371
20180428,0.01978,59.787,37.365,159.0,4119.326,1.249
20180429,0.0258,58.9,33.165,196.0,3039.083,1.251
20180430,0.0258,72.534,48.347,358.0,4563.752,0.999
20180501,0.0258,68.044,45.885,257.0,3525.947,1.147
20180502,0.0258,58.043,43.273,226.0,4585.321,1.036
20180503,0.0258,36.508,19.063,210.0,4901.474,1.139
20180504,0.0258,53.976,23.077,171.0,5119.206,1.471
20180505,0.0258,50.817,23.406,70.0,3678.704,1.504
20180506,0.01204,23.721,14.742,38.0,2892.359,1.242
20180507,0.01204,41.392,22.242,101.0,3090.57,1.17
20180508,0.01204,26.166,11.969,265.0,4660.025,0.915
20180509,0.01204,29.333,11.171,209.0,4926.921,1.145
20180510,0.01204,53.64,29.169,244.0,4916.016,1.16
20180511,0.01204,74.994,48.78,192.0,5165.133,1.499
20180512,0.01204,45.552,29.645,56.0,3717.966,1.26
20180513,0.01806,33.379,23.635,130.0,3168.112,1.521
20180514,0.01806,87.935,68.613,313.0,4660.038,0.955
20180515,0.01806,73.097,52.888,273.0,4803.088,1.236
20180516,0.01806,49.808,33.833,228.0,4494.877,1.175
20180517,0.01806,34.102,22.56,185.0,4722.72,1.187
20180518,0.01806,24.439,8.256,107.0,4927.359,1.355
20180519,0.01806,18.166,8.222,91.0,4350.72,1.902
20180520,0.02064,17.041,8.859,104.0,2773.209,1.314
20180521,0.02064,27.864,14.519,148.0,3788.099,1.118
20180522,0.02064,49.942,28.55,94.0,2988.44,1.645
20180523,0.02064,57.907,16.873,318.0,4965.432,1.259
20180524,0.02064,95.221,23.589,377.0,5002.245,1.319
20180525,0.02064,90.623,33.198,235.0,5008.229,1.436
20180526,0.02064,82.541,34.515,119.0,4309.806,1.571
20180527,0.01806,74.46,30.086,116.0,3082.109,1.444
20180528,0.01806,55.971,26.734,177.0,4585.55,1.123
20180530,0.01806,56.969,33.888,269.0,4514.037,1.293
20180531,0.01806,52.5,29.808,204.0,4444.898,1.208
20180602,0.01806,43.576,24.342,68.0,3644.163,1.542
20180603,0.01462,38.333,23.831,70.0,2682.596,1.44
20180604,0.01462,42.553,26.61,120.0,4053.055,0.967
20180605,0.01462,45.658,29.762,139.0,4199.775,1.141
20180606,0.01462,45.043,30.051,68.0,2849.578,1.284
20180607,0.01462,58.017,37.826,180.0,4120.079,1.117
20180608,0.01462,39.91,25.313,117.0,4709.362,1.229
20180609,0.01462,48.03,29.132,52.0,4000.781,2.353
20180610,0.00946,14.841,8.056,77.0,2907.946,1.556
20180611,0.00946,18.345,7.761,113.0,4589.175,1.061
20180612,0.00946,26.014,14.133,111.0,5028.317,1.08
20180613,0.00946,35.461,22.766,57.0,3129.925,1.244
20180614,0.00946,45.151,29.169,89.0,4766.249,1.0
20180615,0.00946,27.043,13.985,118.0,4836.531,1.194
20180616,0.00946,36.904,16.784,62.0,3889.444,1.452
20180617,0.01204,59.183,36.207,105.0,2789.151,1.319
20180618,0.01204,49.842,32.41,104.0,4447.289,1.236
20180619,0.01204,40.696,26.892,92.0,4483.032,1.269
