Date,search,pm10,pm25,COUNT_T,TMST,retail
20180401,0.039,86.992,40.418,234.0,2843.83,1.168
20180402,0.039,86.576,33.476,371.0,4499.954,1.11
20180403,0.039,75.861,21.787,251.0,4652.044,1.129
20180404,0.039,37.92,15.752,352.0,4682.754,1.051
20180405,0.039,13.601,8.144,293.0,4359.486,1.059
20180406,0.039,78.094,19.052,627.0,4432.139,1.152
20180407,0.039,99.662,42.251,207.0,3673.989,1.159
20180408,0.028,66.395,32.629,199.0,2696.97,1.222
20180409,0.028,60.825,37.599,407.0,4450.295,0.961
20180410,0.028,63.936,31.673,278.0,4643.454,1.071
20180411,0.028,88.117,34.275,357.0,4683.827,1.098
20180412,0.028,66.061,23.822,236.0,4715.6,1.131
20180413,0.028,65.144,28.467,223.0,4726.787,1.184
20180414,0.028,29.274,14.811,95.0,3509.084,1.148
20180416,0.039,44.636,26.896,318.0,4574.292,1.025
20180417,0.039,70.829,36.057,350.0,4750.956,1.175
20180418,0.039,90.924,44.017,436.0,4632.665,1.065
20180419,0.039,98.492,44.592,361.0,4613.44,1.139
20180420,0.039,135.626,67.997,361.0,4689.428,1.153
20180421,0.039,96.588,51.472,159.0,3958.086,1.283
20180422,0.023,43.015,22.118,198.0,2659.383,1.234
20180423,0.023,14.276,7.88,179.0,4107.43,0.995
20180424,0.023,13.519,7.264,259.0,4657.613,1.063
20180425,0.023,34.928,25.127,298.0,4708.268,1.148
20180426,0.023,40.926,26.91,258.0,4754.546,1.094
20180427,0.023,47.326,31.776,165.0,4785.075,1.179
20180428,0.023,58.501,35.638,159.0,3973.016,1.233
20180429,0.03,47.247,26.672,196.0,2980.209,1.26
20180430,0.03,70.228,46.342,358.0,4643.776,1.121
20180501,0.03,58.395,38.935,257.0,4073.308,1.173
20180502,0.03,45.696,31.896,226.0,4541.868,1.076
20180503,0.03,22.313,11.032,210.0,4799.111,1.086
20180504,0.03,34.103,13.254,171.0,5045.07,1.183
20180505,0.03,31.698,14.506,70.0,3714.561,1.326
20180506,0.014,13.981,7.975,38.0,2663.542,1.167
20180507,0.014,27.163,13.456,101.0,3621.068,1.1
20180508,0.014,17.042,7.248,265.0,4765.582,1.033
20180509,0.014,19.671,6.89,209.0,4910.923,1.084
20180510,0.014,35.654,17.933,244.0,4803.893,1.097
20180511,0.014,57.461,32.515,192.0,4966.745,1.15
20180512,0.014,29.249,17.512,56.0,3497.073,1.249
20180513,0.021,21.255,13.108,130.0,3093.081,1.34
20180514,0.021,77.141,47.852,313.0,4655.925,1.086
20180515,0.021,66.453,46.462,273.0,4864.13,1.203
20180516,0.021,37.513,25.122,228.0,4452.784,1.098
20180517,0.021,21.095,12.558,185.0,4633.589,1.127
20180518,0.021,15.3,5.399,107.0,4950.117,1.132
20180519,0.021,13.006,5.875,91.0,4198.535,1.249
20180520,0.024,12.017,6.309,104.0,3066.533,1.259
20180521,0.024,20.743,10.676,148.0,4670.409,1.092
20180522,0.024,38.379,23.042,94.0,3484.239,1.12
20180523,0.024,41.153,10.047,318.0,4777.39,1.021
20180524,0.024,75.454,16.393,377.0,4886.031,1.122
20180525,0.024,83.151,30.292,235.0,4787.91,1.152
20180526,0.024,68.708,31.923,119.0,4120.418,1.328
20180527,0.021,61.842,27.19,116.0,3088.251,1.382
20180528,0.021,47.892,24.06,177.0,4658.095,1.092
20180530,0.021,47.323,27.728,269.0,4822.843,1.178
20180531,0.021,46.642,25.869,204.0,4829.812,1.132
20180602,0.021,38.664,22.362,68.0,4071.637,1.354
20180603,0.017,29.501,19.354,70.0,3069.857,1.339
20180604,0.017,34.594,22.69,120.0,4653.847,1.092
20180605,0.017,35.207,23.342,139.0,4708.581,1.125
20180606,0.017,38.468,26.179,68.0,3448.392,1.159
20180607,0.017,44.576,28.328,180.0,4733.419,1.139
20180608,0.017,31.697,20.169,117.0,4789.755,1.197
20180609,0.017,38.658,22.873,52.0,3713.696,1.371
20180610,0.011,12.494,6.66,77.0,2750.7,1.289
20180611,0.011,14.824,5.915,113.0,4484.396,1.08
20180612,0.011,21.09,11.644,111.0,4859.824,1.122
20180613,0.011,30.472,18.505,57.0,3536.735,1.168
20180614,0.011,33.095,20.886,89.0,4559.553,1.131
20180615,0.011,20.591,11.339,118.0,4765.548,1.19
20180616,0.011,27.72,13.873,62.0,3754.447,1.331
20180617,0.014,51.193,31.293,105.0,2882.132,1.235
20180618,0.014,39.704,25.446,104.0,4557.025,1.19
20180619,0.014,38.701,25.25,92.0,4659.411,1.088
20180620,0.014,39.597,26.103,81.0,4673.267,1.153
20180621,0.014,38.035,24.63,103.0,4661.194,1.187
20180622,0.014,45.776,27.275,60.0,4692.101,1.311
20180623,0.014,41.671,23.575,64.0,3850.105,1.385
20180624,0.014,62.252,36.121,132.0,2808.155,1.354
20180625,0.014,55.06,30.708,116.0,4530.83,1.096
20180626,0.014,51.958,31.907,116.0,4101.123,1.136
20180627,0.014,33.073,20.653,76.0,4464.01,1.205
20180628,0.014,29.589,18.839,146.0,4612.692,1.157
20180629,0.014,43.845,30.952,38.0,4776.22,1.212
20180630,0.014,55.312,37.343,9.0,3494.831,1.356
20180701,0.005,18.646,12.995,26.0,2182.761,0.998
20180702,0.005,16.838,11.039,86.0,4245.939,0.981
20180703,0.005,18.442,12.357,53.0,4730.452,1.134
20180704,0.005,29.772,20.106,63.0,4779.026,1.138
20180705,0.005,24.641,19.682,53.0,4684.967,1.162
20180706,0.005,11.098,5.803,180.0,4856.812,1.142
20180707,0.005,13.058,8.188,36.0,4033.833,1.327
20180708,0.006,19.481,12.946,56.0,2896.003,1.345
20180709,0.006,15.05,10.724,59.0,4374.484,0.972
20180710,0.006,24.35,16.235,62.0,4522.44,1.148
20180711,0.006,38.453,25.724,78.0,5226.638,1.092
20180712,0.006,35.035,20.99,92.0,6016.243,1.198
20180713,0.006,26.135,18.244,27.0,5514.921,1.218
20180714,0.006,25.564,18.772,21.0,4113.493,1.347
20180715,0.006,26.195,20.229,51.0,2997.534,1.405
20180716,0.006,27.556,21.652,30.0,4740.743,1.177
20180717,0.006,28.385,23.438,80.0,4780.656,1.148
20180718,0.006,31.078,25.485,114.0,4831.259,1.194
20180719,0.006,30.971,22.815,83.0,4877.803,1.127
20180720,0.006,43.084,32.934,69.0,5114.996,1.299
20180721,0.006,43.425,33.249,80.0,3811.5,1.364
20180722,0.005,36.143,26.893,26.0,2869.535,1.458
20180723,0.005,39.865,28.901,50.0,4728.649,1.193
20180724,0.005,47.8,38.167,53.0,4796.891,1.215
20180725,0.005,43.231,31.685,56.0,4872.238,1.194
20180726,0.005,48.489,33.953,93.0,4860.051,1.176
20180727,0.005,53.476,36.935,51.0,4983.619,1.234
20180728,0.005,39.348,25.16,17.0,3638.132,1.415
20180729,0.004,26.69,18.247,20.0,2876.784,1.354
20180730,0.004,19.075,10.94,51.0,4823.091,1.225
20180731,0.004,28.754,17.235,72.0,4716.728,1.294
20180801,0.004,38.801,22.365,22.0,4193.219,1.299
20180802,0.004,42.856,28.26,33.0,4166.995,1.343
20180803,0.004,56.867,41.872,84.0,4058.49,1.407
20180804,0.004,36.694,24.59,20.0,3148.494,1.456
20180805,0.004,37.31,22.301,23.0,2447.142,1.287
20180806,0.004,40.911,25.225,57.0,3721.327,1.11
20180807,0.004,26.001,16.52,122.0,3835.833,1.102
20180808,0.004,35.819,22.371,49.0,3992.527,1.098
20180809,0.004,30.692,21.074,59.0,4107.343,1.108
20180810,0.004,25.708,15.999,16.0,4181.682,1.167
20180811,0.004,20.696,10.876,16.0,3147.4,1.329
20180812,0.003,26.523,17.001,14.0,2642.968,1.443
20180813,0.003,42.37,28.64,27.0,4070.26,1.188
20180814,0.003,39.909,24.974,14.0,4168.409,1.294
20180815,0.003,41.903,28.518,10.0,3081.368,1.327
20180816,0.003,31.066,16.906,36.0,4124.853,1.216
20180817,0.003,32.062,13.515,20.0,4384.388,1.287
20180818,0.003,41.611,18.16,13.0,3572.185,1.348
20180819,0.004,42.379,24.534,14.0,2792.188,1.409
20180820,0.004,48.117,29.997,36.0,4119.446,1.18
20180821,0.004,39.956,21.018,75.0,4218.545,1.234
20180822,0.004,35.842,20.932,37.0,4410.019,1.363
20180823,0.004,25.501,13.083,11.0,4001.635,1.313
20180824,0.004,19.294,10.662,16.0,4534.663,1.152
20180825,0.004,35.431,19.491,15.0,3800.347,1.387
20180826,0.002,28.062,16.823,18.0,2774.394,1.366
20180827,0.002,17.93,12.136,49.0,4091.7,1.128
20180828,0.002,20.453,11.302,49.0,4150.612,1.226
20180829,0.002,26.985,13.902,17.0,4073.829,1.192
20180830,0.002,36.347,23.266,55.0,4321.844,1.261
20180831,0.002,31.517,19.536,59.0,4657.334,1.299
20180901,0.002,28.369,14.019,18.0,3958.022,1.37
20180902,0.004,25.52,13.353,43.0,3042.658,1.417
20180903,0.004,24.389,12.763,60.0,4417.615,1.07
20180904,0.004,23.794,12.542,44.0,4534.134,1.159
20180905,0.004,35.569,14.992,59.0,3969.232,1.303
20180906,0.004,39.212,21.531,60.0,4675.998,1.247
20180907,0.004,38.813,21.113,39.0,5313.728,1.251
20180908,0.004,33.798,15.963,12.0,4519.95,1.398
