Date,search,pm10,pm25,COUNT_T,TMST,retail
20180401,0.03276,85.025,40.506,234.0,14775.795,1.255
20180402,0.03276,70.507,27.794,371.0,28435.037,1.77
20180403,0.03276,61.407,17.907,251.0,29660.658,1.877
20180404,0.03276,37.546,18.21,352.0,29619.215,1.795
20180405,0.03276,14.606,8.659,293.0,28859.575,1.805
20180406,0.03276,70.341,17.222,627.0,29131.658,1.804
20180407,0.03276,72.092,30.851,207.0,22595.586,1.51
20180408,0.02352,51.44,23.157,199.0,14765.498,1.419
20180409,0.02352,64.696,40.551,407.0,28412.567,1.699
20180410,0.02352,64.372,32.178,278.0,29952.159,1.948
20180411,0.02352,78.489,27.867,357.0,30152.227,1.797
20180412,0.02352,55.965,19.818,236.0,30542.709,1.825
20180413,0.02352,51.701,23.772,223.0,31268.397,1.895
20180414,0.02352,29.438,15.466,95.0,20826.559,1.639
20180416,0.03276,37.887,22.58,318.0,29289.4,1.75
20180417,0.03276,57.703,30.551,350.0,30373.865,1.825
20180418,0.03276,66.673,35.045,436.0,30582.113,1.838
20180419,0.03276,72.511,36.666,361.0,30373.896,1.938
20180420,0.03276,90.069,48.499,361.0,30720.922,2.013
20180421,0.03276,69.993,38.946,159.0,23603.863,1.758
20180422,0.01932,44.876,23.44,198.0,14120.254,1.346
20180423,0.01932,16.703,11.876,179.0,26193.16,1.64
20180424,0.01932,14.905,8.559,259.0,29541.89,1.778
20180425,0.01932,31.866,22.318,298.0,31080.691,1.888
20180426,0.01932,38.042,26.181,258.0,31472.788,1.891
20180427,0.01932,50.88,34.867,165.0,32217.159,1.966
20180428,0.01932,66.343,41.872,159.0,23259.567,1.704
20180429,0.0252,63.73,36.475,196.0,16313.796,1.392
20180430,0.0252,92.142,61.651,358.0,28055.837,1.832
20180501,0.0252,69.652,47.297,257.0,21181.32,1.534
20180502,0.0252,55.551,41.058,226.0,29196.972,1.86
20180503,0.0252,27.726,14.643,210.0,30647.711,1.945
20180504,0.0252,43.362,18.323,171.0,33677.842,1.995
20180505,0.0252,43.736,19.918,70.0,23015.809,1.757
20180506,0.01176,22.047,13.881,38.0,15801.715,1.578
20180507,0.01176,36.273,19.257,101.0,18416.7,1.316
20180508,0.01176,22.519,10.254,265.0,29728.154,1.689
20180509,0.01176,28.258,10.753,209.0,31279.009,1.863
20180510,0.01176,51.7,28.208,244.0,32247.238,1.894
