Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.032760000000000004,55.888999999999996,25.694000000000003,234.0,14775.795,1.255,-7.901858
20180402,0.032760000000000004,58.781000000000006,22.587,371.0,28435.037,1.77,-1.349041
20180403,0.032760000000000004,56.58,16.480999999999998,251.0,29660.658,1.8769999999999998,-1.382829
20180404,0.032760000000000004,13.748,6.478,352.0,29619.215,1.795,0.9201736
20180405,0.032760000000000004,11.168,6.524,293.0,28859.575,1.805,0.7854853
20180406,0.032760000000000004,70.348,15.895,627.0,29131.658,1.804,-1.8678043
20180407,0.032760000000000004,31.45,14.731,207.0,22595.586,1.51,-1.0804284
20180408,0.02352,20.076,10.015,199.0,14765.498,1.419,-7.5048594
20180409,0.02352,37.336,24.261999999999997,407.0,28412.567000000003,1.699,-0.79036313
20180410,0.02352,34.629,17.262,278.0,29952.159,1.9480000000000002,0.076756775
20180411,0.02352,56.335,22.476,357.0,30152.227000000003,1.797,-0.43942112
20180412,0.02352,34.726,12.419,236.0,30542.709,1.825,0.7278876
20180413,0.02352,28.729,12.304,223.0,31268.397,1.895,-0.42173582
20180414,0.02352,19.058,9.63,95.0,20826.558999999997,1.639,-0.096794784
20180416,0.032760000000000004,24.184,14.442,318.0,29289.4,1.75,0.6508475
20180417,0.032760000000000004,46.928999999999995,23.134,350.0,30373.865,1.825,-0.27743965
20180418,0.032760000000000004,50.762,24.326,436.0,30582.112999999998,1.838,-1.1974134
20180419,0.032760000000000004,67.067,30.095,361.0,30373.896,1.9380000000000002,-0.5988191
20180420,0.032760000000000004,84.008,42.053999999999995,361.0,30720.922000000002,2.013,-0.64933246
20180421,0.032760000000000004,57.401,30.019000000000002,159.0,23603.862999999998,1.758,-0.4103604
20180422,0.01932,38.351,19.755,198.0,14120.253999999999,1.3459999999999999,-10.771457
20180423,0.01932,13.825999999999999,7.584,179.0,26193.16,1.64,1.4966612
20180424,0.01932,8.456,4.41,259.0,29541.89,1.778,0.25898057
20180425,0.01932,26.819000000000003,19.317,298.0,31080.691000000003,1.8880000000000001,-0.43202788
20180426,0.01932,36.245,23.706,258.0,31472.787999999997,1.891,0.26300782
20180427,0.01932,50.722,34.217,165.0,32217.159,1.966,1.2954643
20180428,0.01932,58.603,36.194,159.0,23259.567000000003,1.704,-0.0074492097
20180429,0.0252,58.121,32.976,196.0,16313.796,1.392,-6.983789
20180430,0.0252,85.037,56.246,358.0,28055.837000000003,1.8319999999999999,-0.7800217
20180501,0.0252,75.572,50.583,257.0,21181.32,1.534,0.8471834
20180502,0.0252,55.676,39.242,226.0,29196.972,1.86,-1.5806942
20180503,0.0252,25.4,12.707,210.0,30647.711,1.945,-1.739413
20180504,0.0252,43.606,17.392,171.0,33677.842000000004,1.995,0.7143311
20180505,0.0252,41.023,18.823,70.0,23015.808999999997,1.757,0.013411224
20180506,0.01176,16.464000000000002,9.328,38.0,15801.715,1.578,-5.370226
20180507,0.01176,35.671,18.006,101.0,18416.7,1.3159999999999998,-2.9067745
20180508,0.01176,17.115,7.263,265.0,29728.154,1.689,-0.12542659
20180509,0.01176,25.708000000000002,9.052,209.0,31279.009,1.8630000000000002,0.5772812
20180510,0.01176,45.261,22.949,244.0,32247.237999999998,1.8940000000000001,1.1036673
20180511,0.01176,77.056,43.798,192.0,33221.218,2.022,1.4146116
20180512,0.01176,34.192,20.331,56.0,20766.741,1.694,0.2559089
20180513,0.01764,26.796999999999997,16.697,130.0,17272.568,1.435,-5.3527946
20180514,0.01764,89.307,55.408,313.0,29778.055,1.871,-0.5124083
20180515,0.01764,67.01100000000001,46.335,273.0,31755.537,1.993,0.96046084
20180516,0.01764,35.917,24.05,228.0,28950.349,1.983,0.5856194
20180517,0.01764,23.538,14.03,185.0,29746.86,1.945,0.12515444
20180518,0.01764,13.239,4.292,107.0,31754.433999999997,1.881,0.8726749
20180519,0.01764,18.95,8.789,91.0,25968.355,1.8780000000000001,-0.7142952
20180520,0.02016,11.450999999999999,5.952999999999999,104.0,18075.751,1.5,-1.1680665
20180521,0.02016,25.244,12.817,148.0,29343.542,1.899,-1.0488329
20180522,0.02016,42.174,25.261999999999997,94.0,19580.481,1.9369999999999998,-0.8858643
20180523,0.02016,39.115,9.331,318.0,30068.888,1.766,0.22648722
20180524,0.02016,73.615,15.963,377.0,30743.634,1.906,0.2588033
20180525,0.02016,72.983,27.028000000000002,235.0,30644.549,1.99,0.015381992
20180526,0.02016,66.87899999999999,31.098000000000003,119.0,24277.877999999997,1.8630000000000002,-1.2146518
20180527,0.01764,60.721000000000004,26.697,116.0,16695.246,1.43,-6.993291
20180528,0.01764,44.937,22.598000000000003,177.0,29031.478,1.905,0.02754873
20180530,0.01764,53.353,31.291999999999998,269.0,30853.326,1.942,1.4572103
20180531,0.01764,42.81399999999999,23.833000000000002,204.0,30428.007999999998,2.04,0.82211965
20180602,0.01764,33.992,19.801,68.0,23060.351000000002,1.784,-0.96287745
20180603,0.014280000000000001,25.514,16.667,70.0,15468.098,1.4240000000000002,-6.4567914
20180604,0.014280000000000001,29.74,19.549,120.0,28470.857999999997,1.893,0.27403492
20180605,0.014280000000000001,33.144,21.833000000000002,139.0,29946.103,1.974,0.76563245
20180606,0.014280000000000001,37.516999999999996,25.383000000000003,68.0,18126.991,1.581,-3.6291323
20180607,0.014280000000000001,56.522,36.617,180.0,29015.779,1.867,1.214112
20180608,0.014280000000000001,35.464,22.607,117.0,29849.493,1.868,1.1726627
20180609,0.014280000000000001,47.158,27.985,52.0,22301.652000000002,1.959,-0.8048056
20180610,0.00924,19.369,10.629000000000001,77.0,14682.212,1.3259999999999998,-7.5020957
20180611,0.00924,15.062000000000001,6.069,113.0,27771.906000000003,1.886,0.15704602
20180612,0.00924,20.668000000000003,11.317,111.0,29717.791,1.89,0.55279523
20180613,0.00924,23.269000000000002,13.88,57.0,17758.892,1.452,-3.6803095
20180614,0.00924,39.185,24.820999999999998,89.0,28635.615,1.861,0.3725418
20180615,0.00924,18.176,10.097000000000001,118.0,30097.147,1.903,0.59038585
20180616,0.00924,27.47,13.615,62.0,22005.8,1.685,-0.21039277
20180617,0.01176,54.397,32.935,105.0,14773.396999999999,1.4280000000000002,-9.846
20180618,0.01176,35.992,22.878,104.0,27657.946,2.103,0.38826865
20180619,0.01176,29.730999999999998,19.195,92.0,28700.714,1.778,0.4642436
20180620,0.01176,36.16,24.063000000000002,81.0,29404.161,1.913,0.925293
20180621,0.01176,38.632,25.268,103.0,29467.252999999997,1.956,1.3609276
20180622,0.01176,45.707,27.285,60.0,30277.985,2.013,1.2460968
20180623,0.01176,32.437,18.147000000000002,64.0,22822.26,1.9709999999999999,-0.41853267
20180624,0.01176,60.681000000000004,34.717,132.0,14801.893,1.5419999999999998,-10.379268
20180625,0.01176,48.568999999999996,27.149,116.0,28425.38,1.9609999999999999,0.15139848
20180626,0.01176,47.585,28.984,116.0,26416.304,1.8880000000000001,0.9065415
20180627,0.01176,27.307,16.962,76.0,29449.11,2.009,0.9894559
20180628,0.01176,27.993000000000002,17.89,146.0,28774.365,2.108,0.48817843
20180629,0.01176,38.558,27.107,38.0,29759.462000000003,2.021,1.7241833
20180630,0.01176,62.427,41.83,9.0,20431.322,1.903,-1.1150985
20180701,0.0042,13.369000000000002,9.113999999999999,26.0,11389.03,1.205,-8.319226
20180702,0.0042,21.519000000000002,13.097000000000001,86.0,26142.591,1.7590000000000001,-0.6137503
