Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.08385,69.458,36.17,234.0,3917.65,1.4709999999999999,-1.0493054
20180402,0.08385,74.57,30.98,371.0,4242.0740000000005,1.239,-0.98423606
20180403,0.08385,72.708,24.461,251.0,4219.134,1.199,-1.1004741
20180404,0.08385,15.470999999999998,9.792,352.0,4224.0740000000005,1.23,-0.68953615
20180405,0.08385,9.072000000000001,3.513,293.0,4145.583,1.14,-0.48522502
20180406,0.08385,76.28,27.612,627.0,4371.088,1.261,0.89566535
20180407,0.08385,39.079,18.628,207.0,4760.889,1.413,-0.12961453
20180408,0.0602,24.385,12.023,199.0,3702.2509999999997,1.401,0.3261782
20180409,0.0602,37.943000000000005,26.267,407.0,4195.403,1.198,-1.4366493
20180410,0.0602,47.119,19.079,278.0,4251.085999999999,1.192,-0.053248703
20180411,0.0602,68.029,29.033,357.0,4282.885,1.297,1.2224996
20180412,0.0602,40.149,13.508,236.0,4362.108,1.214,-0.41169292
20180413,0.0602,29.166999999999998,12.689,223.0,4618.795999999999,1.4280000000000002,-0.31634718
20180414,0.0602,25.118000000000002,13.394,95.0,4515.81,1.4669999999999999,0.1183483
20180416,0.08385,28.706999999999997,17.958,318.0,4098.779,1.2329999999999999,-0.8033965
20180417,0.08385,60.216,29.243000000000002,350.0,4290.298,1.287,-0.430919
20180418,0.08385,75.837,32.483000000000004,436.0,4330.589,1.2670000000000001,-1.6189978
20180419,0.08385,87.635,39.372,361.0,4263.8,1.2209999999999999,-0.7241884
20180420,0.08385,106.115,55.494,361.0,4595.3679999999995,1.4769999999999999,-0.63010126
20180421,0.08385,70.984,40.117,159.0,4664.133,1.601,-0.676539
20180422,0.04945,50.937,31.489,198.0,3633.1079999999997,1.484,-4.784491
20180423,0.04945,12.231,8.276,179.0,3950.1679999999997,1.127,-0.23284441
20180424,0.04945,12.61,6.218999999999999,259.0,4269.159000000001,1.275,-0.73033124
20180425,0.04945,30.369,21.837,298.0,4358.99,1.2770000000000001,0.25313205
20180426,0.04945,51.27,37.422,258.0,4481.012,1.334,-0.5666569
20180427,0.04945,60.028999999999996,41.711000000000006,165.0,4713.104,1.3780000000000001,-0.40738612
20180428,0.04945,67.87899999999999,46.599,159.0,4866.284000000001,1.5759999999999998,0.2400791
20180429,0.0645,69.262,43.136,196.0,3939.4320000000002,1.485,0.10506648
20180430,0.0645,95.208,73.633,358.0,4426.712,1.3659999999999999,-0.14315373
20180501,0.0645,94.039,77.21300000000001,257.0,4404.35,1.413,-1.2194719
20180502,0.0645,65.679,52.113,226.0,4415.859,1.204,-0.27442056
20180503,0.0645,29.335,11.337,210.0,4638.981,1.345,-0.6581531
20180504,0.0645,59.903999999999996,17.567,171.0,5165.8240000000005,1.5130000000000001,0.9377524
20180505,0.0645,61.135,25.963,70.0,4784.358,1.587,-2.315299
20180506,0.0301,22.044,9.932,38.0,4142.735,1.4869999999999999,-1.0951474
20180507,0.0301,44.70399999999999,19.188,101.0,4318.819,1.4480000000000002,0.78857917
20180508,0.0301,20.658,6.434,265.0,4663.2570000000005,1.4509999999999998,-1.2029637
20180509,0.0301,27.315,8.488,209.0,4525.63,1.295,-0.09537774
20180510,0.0301,56.446999999999996,26.35,244.0,4666.778,1.273,-0.31766182
20180511,0.0301,104.369,67.431,192.0,4905.018,1.4609999999999999,0.6672383
20180512,0.0301,38.532,23.69,56.0,4625.437,1.331,0.47129732
20180513,0.04515,31.965,19.521,130.0,4106.363,1.443,-0.8805149
20180514,0.04515,96.97,68.406,313.0,4436.265,1.218,0.5580649
20180515,0.04515,82.355,56.091,273.0,4615.427,1.327,-0.1933425
20180516,0.04515,40.873000000000005,26.534000000000002,228.0,4221.379,1.1640000000000001,-0.7859891
20180517,0.04515,21.413,8.888,185.0,4242.139,1.095,-0.83718854
20180518,0.04515,13.828,4.335,107.0,4849.428,1.2790000000000001,-0.111224234
20180519,0.04515,15.134,3.944,91.0,5233.321,1.518,1.0734539
20180520,0.0516,12.328,3.75,104.0,4199.198,1.382,-0.8633881
20180521,0.0516,22.278000000000002,8.734,148.0,4685.545,1.2990000000000002,-1.6227615
20180522,0.0516,51.812,31.724,94.0,3995.6659999999997,1.3359999999999999,0.5929007
20180523,0.0516,50.375,12.599,318.0,4545.1,1.195,0.94917744
20180524,0.0516,94.43700000000001,24.219,377.0,4574.375,1.1840000000000002,-3.1463296
20180525,0.0516,87.781,34.95,235.0,4702.059,1.426,-0.11508304
20180526,0.0516,77.816,37.309,119.0,5040.265,1.579,2.5952504
20180527,0.04515,76.222,33.878,116.0,4094.9390000000003,1.5,-0.558235
20180528,0.04515,54.407,26.576,177.0,4392.534000000001,1.2329999999999999,0.004968345
20180530,0.04515,49.964,31.221,269.0,4548.435,1.2309999999999999,-0.59872943
20180531,0.04515,46.493,24.883000000000003,204.0,4573.875,1.266,0.40268868
20180602,0.04515,40.727,20.885,68.0,5053.235,1.5959999999999999,1.59371
20180603,0.03655,27.679000000000002,14.998,70.0,4191.36,1.561,-1.1231298
20180604,0.03655,34.775,19.612000000000002,120.0,4441.098,1.23,0.25397772
20180605,0.03655,37.085,22.069000000000003,139.0,4741.5070000000005,1.321,0.7934422
20180606,0.03655,41.247,25.643,68.0,4117.918,1.496,-0.14160639
20180607,0.03655,52.268,34.324,180.0,4609.018,1.284,-0.12561351
20180608,0.03655,36.522,21.869,117.0,4876.76,1.393,1.0084884
20180609,0.03655,37.46,22.986,52.0,5012.8679999999995,1.64,1.3555963
20180610,0.02365,9.81,3.718,77.0,4020.85,1.435,-1.1376479
20180611,0.02365,17.551,5.47,113.0,4402.531,1.244,0.76378816
20180612,0.02365,21.496,9.318999999999999,111.0,4769.528,1.3230000000000002,0.5744453
20180613,0.02365,33.129,19.142,57.0,4161.335999999999,1.506,-0.6256388
20180614,0.02365,37.199,24.024,89.0,4500.277,1.256,-0.30681378
20180615,0.02365,20.999000000000002,8.342,118.0,4837.038,1.371,0.58655494
20180616,0.02365,27.006,12.395,62.0,4842.818,1.556,0.9383344
20180617,0.0301,54.47,34.062,105.0,3975.9640000000004,1.506,0.4886654
20180618,0.0301,44.577,27.331999999999997,104.0,4310.932,1.5019999999999998,0.6088179
20180619,0.0301,39.35,24.237,92.0,4457.722,1.2309999999999999,-0.12374836
20180620,0.0301,42.16,27.875999999999998,81.0,4505.201,1.265,0.48816222
20180621,0.0301,36.019,20.278,103.0,4543.98,1.295,-0.32052928
20180622,0.0301,39.815,22.461,60.0,4827.02,1.421,1.0513318
