Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.14664000000000002,64.64699999999999,32.649,234.0,4065.092,1.307,-1.0604022
20180402,0.14664000000000002,59.248000000000005,24.570999999999998,371.0,4529.229,1.329,-1.0614967
20180403,0.14664000000000002,64.31,21.96,251.0,4671.116,1.325,0.23727387
20180404,0.14664000000000002,20.647,12.944,352.0,4706.642,1.3459999999999999,0.3977062
20180405,0.14664000000000002,15.68,6.415,293.0,4327.992,1.2930000000000001,1.0009294
20180406,0.14664000000000002,84.928,32.615,627.0,4288.32,1.311,1.287786
20180407,0.14664000000000002,45.31,22.66,207.0,4498.2390000000005,1.2919999999999998,-0.072051704
20180408,0.10528,34.838,17.194000000000003,199.0,3550.998,1.317,-7.7869835
20180409,0.10528,53.924,37.013000000000005,407.0,4247.892,1.2919999999999998,0.36667937
20180410,0.10528,52.343999999999994,23.438000000000002,278.0,4357.433,1.3130000000000002,-1.1022799
20180411,0.10528,68.48,28.951,357.0,4417.508,1.315,-0.58402246
20180412,0.10528,44.103,15.283,236.0,4406.355,1.318,-0.5974863
20180413,0.10528,36.505,15.999,223.0,4451.134,1.496,-0.76404005
20180414,0.10528,26.21,13.956,95.0,4233.197,1.288,-1.0380249
20180416,0.14664000000000002,37.792,23.85,318.0,4261.638,1.324,-0.07108694
20180417,0.14664000000000002,60.422,30.951,350.0,4320.943,1.307,-0.91357285
20180418,0.14664000000000002,70.083,29.694000000000003,436.0,4447.4490000000005,1.3840000000000001,-2.9250734
20180419,0.14664000000000002,86.712,38.504,361.0,4331.88,1.4080000000000001,-1.9439499
20180420,0.14664000000000002,112.34,59.165,361.0,4475.885,1.46,0.41856188
20180421,0.14664000000000002,81.203,47.018,159.0,4580.4890000000005,1.489,-1.0302867
20180422,0.08648,48.105,29.665,198.0,3548.385,1.357,-9.899898
20180423,0.08648,12.456,8.299,179.0,4073.47,1.272,-1.3262775
20180424,0.08648,14.06,7.358,259.0,4285.808,1.29,0.7033033
20180425,0.08648,40.754,28.725,298.0,4577.342000000001,1.406,-0.01281625
20180426,0.08648,58.23,41.977,258.0,4576.859,1.709,0.14780742
20180427,0.08648,75.01100000000001,51.739,165.0,4605.727,1.534,0.18307441
20180428,0.08648,81.811,56.743,159.0,4719.405,1.544,1.2655625
20180429,0.1128,73.90899999999999,46.464,196.0,3976.715,1.341,-0.88604265
20180430,0.1128,132.957,102.64200000000001,358.0,4464.111,1.4169999999999998,-1.0997407
20180501,0.1128,126.682,102.00200000000001,257.0,4311.77,1.415,-0.7014052
20180502,0.1128,84.91,64.671,226.0,4433.385,1.2570000000000001,-0.7954554
20180503,0.1128,31.155,13.005999999999998,210.0,4578.09,1.3519999999999999,-1.067563
20180504,0.1128,53.185,15.24,171.0,4875.606,1.472,1.4665082
20180505,0.1128,49.228,20.682,70.0,4674.115,1.598,1.5340412
20180506,0.05264,16.416,7.513999999999999,38.0,4012.548,1.261,-1.1485338
20180507,0.05264,38.794000000000004,16.904,101.0,4202.628,1.463,0.5108432
20180508,0.05264,18.918,5.821000000000001,265.0,4714.655,1.3530000000000002,0.57613105
20180509,0.05264,27.178,8.446,209.0,4607.478,1.421,0.38911265
20180510,0.05264,54.41,25.315,244.0,4584.391,1.339,0.5472855
20180511,0.05264,108.77799999999999,69.705,192.0,4581.4490000000005,1.391,0.71816593
20180512,0.05264,39.144,24.051,56.0,4238.915,1.264,0.43829674
20180513,0.07896,29.160999999999998,17.602999999999998,130.0,3815.327,1.485,-0.0131623745
20180514,0.07896,119.10600000000001,83.601,313.0,4386.885,1.36,-0.2916023
20180515,0.07896,96.70299999999999,67.777,273.0,4600.435,1.4809999999999999,0.79756755
20180516,0.07896,42.097,27.401999999999997,228.0,4305.991,1.3159999999999998,0.15825719
20180517,0.07896,18.736,8.042,185.0,4306.268,1.235,1.271666
20180518,0.07896,12.561,4.035,107.0,4609.646,1.331,0.9455517
20180519,0.07896,15.894,4.925,91.0,4817.102,1.5430000000000001,1.6791813
20180520,0.09024,13.499,4.563,104.0,4038.785,1.327,-1.2436666
20180521,0.09024,20.601,7.961,148.0,4417.224,1.436,-1.7474761
20180522,0.09024,40.965,24.811999999999998,94.0,3824.69,1.2009999999999998,-0.19874156
20180523,0.09024,37.58,9.096,318.0,4506.497,1.452,0.09950942
20180524,0.09024,94.749,24.615,377.0,4500.791,1.423,-1.2440565
20180525,0.09024,86.71600000000001,35.445,235.0,4446.66,1.435,0.6118011
20180526,0.09024,55.196999999999996,26.21,119.0,4498.2970000000005,1.544,0.33405918
20180527,0.07896,51.398,22.726,116.0,3725.4829999999997,1.527,-5.0710087
20180528,0.07896,35.332,17.108,177.0,4263.207,1.4340000000000002,0.013900936
20180530,0.07896,36.044000000000004,22.07,269.0,4603.318,1.476,0.293714
20180531,0.07896,29.885,15.639000000000001,204.0,4449.6359999999995,1.44,0.0029737353
20180602,0.07896,31.515,16.114,68.0,4624.27,1.581,1.3611007
20180603,0.06392,24.802,13.376,70.0,3831.415,1.3940000000000001,-0.5214166
20180604,0.06392,32.029,17.973,120.0,4422.82,1.4809999999999999,-0.3920737
20180605,0.06392,33.201,19.794,139.0,4418.522,1.5130000000000001,-0.19014102
20180606,0.06392,35.563,22.043000000000003,68.0,3978.718,1.436,-0.03379339
20180607,0.06392,37.731,24.333000000000002,180.0,4449.412,1.4469999999999998,0.56266826
20180608,0.06392,32.532,19.092,117.0,4539.46,1.547,0.530996
20180609,0.06392,37.353,22.354,52.0,4585.592000000001,1.537,0.83024687
20180610,0.04136,12.511,4.827,77.0,3616.228,1.337,-6.0595956
20180611,0.04136,14.843,3.873,113.0,4296.067,1.465,2.6664476
20180612,0.04136,25.5,11.14,111.0,4441.017,1.4769999999999999,0.0975706
20180613,0.04136,41.631,24.808000000000003,57.0,3946.607,1.474,-0.048095763
20180614,0.04136,38.474000000000004,24.732,89.0,4424.0779999999995,1.36,0.5407397
20180615,0.04136,25.392,9.867,118.0,4457.380999999999,1.495,0.0040251613
20180616,0.04136,35.335,16.458,62.0,4351.58,1.5730000000000002,0.23891753
20180617,0.05264,55.401,34.856,105.0,3715.715,1.416,-5.585369
20180618,0.05264,53.417,33.102,104.0,4206.656,1.704,0.44565815
20180619,0.05264,51.351000000000006,31.858,92.0,4336.959,1.339,0.41312307
20180620,0.05264,55.121,36.334,81.0,4330.4,1.445,0.35701996
20180621,0.05264,54.396,30.424,103.0,4440.613,1.495,0.43228596
20180622,0.05264,55.008,30.807,60.0,4451.642,1.521,0.5149172
20180623,0.05264,56.401,29.29,64.0,4411.015,1.719,0.12231588
20180624,0.05264,73.252,44.978,132.0,3587.772,1.493,-9.907221
20180625,0.05264,71.497,42.422,116.0,4341.479,1.4880000000000002,0.8359892
20180626,0.05264,52.706,35.629,116.0,4105.979,1.275,-0.051867306
20180627,0.05264,45.666000000000004,29.398000000000003,76.0,4407.79,1.6230000000000002,0.39456624
20180628,0.05264,49.857,31.035,146.0,4241.383,1.518,0.37608021
20180629,0.05264,67.892,42.449,38.0,4764.3859999999995,1.595,2.119525
20180630,0.05264,78.35600000000001,54.308,9.0,4862.768,1.569,2.2986991
