Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.04095,54.81,25.115,234.0,2905.49,1.011,-2.2504454
20180402,0.04095,55.356,21.256,371.0,3498.455,1.9809999999999999,-0.9866031
20180403,0.04095,56.894,16.549,251.0,3689.38,1.861,-0.63184386
20180404,0.04095,17.831,8.337,352.0,3635.26,1.893,0.8084163
20180405,0.04095,8.389,5.022,293.0,3582.741,1.574,1.4059215
20180406,0.04095,89.113,22.83,627.0,3557.739,1.611,-1.0309143
20180407,0.04095,44.718999999999994,20.767,207.0,3895.262,1.1,-1.1866693
20180408,0.0294,36.688,20.087,199.0,2999.147,1.149,0.26949614
20180409,0.0294,49.93899999999999,34.516,407.0,3491.5009999999997,2.083,-1.1510956
20180410,0.0294,44.203,22.044,278.0,3771.461,1.995,-0.029376328
20180411,0.0294,68.38600000000001,27.325,357.0,3759.2209999999995,1.9409999999999998,0.3284977
20180412,0.0294,42.056000000000004,15.01,236.0,3702.2259999999997,1.839,0.5635746
20180413,0.0294,30.94,13.293,223.0,3882.33,1.67,-1.3757453
20180414,0.0294,25.587,13.519,95.0,3317.534,1.121,-1.0315454
20180416,0.04095,31.598000000000003,18.977999999999998,318.0,3644.2140000000004,2.04,0.8826496
20180417,0.04095,50.155,25.324,350.0,3793.815,1.931,0.03430909
20180418,0.04095,60.507,28.886999999999997,436.0,3769.7340000000004,2.076,-1.2038364
20180419,0.04095,67.154,30.261,361.0,3686.468,2.096,-0.5986939
20180420,0.04095,76.465,38.152,361.0,3833.687,1.893,0.72829884
20180421,0.04095,58.424,30.546999999999997,159.0,3992.012,1.58,-0.7688238
20180422,0.02415,38.615,20.104,198.0,2854.65,1.626,-0.76162773
20180423,0.02415,14.354000000000001,8.341000000000001,179.0,3272.572,2.093,-0.15297943
20180424,0.02415,9.261000000000001,5.109,259.0,3566.06,2.147,-0.1606875
20180425,0.02415,27.935,19.962,298.0,3776.255,2.03,0.24201554
20180426,0.02415,36.906,24.252,258.0,3720.1209999999996,1.685,0.08543974
20180427,0.02415,45.598,30.736,165.0,3865.087,1.635,0.25442237
20180428,0.02415,53.115,32.231,159.0,4048.3520000000003,1.18,2.4129298
20180429,0.0315,51.533,28.904,196.0,3199.3540000000003,1.183,-0.7002433
20180430,0.0315,73.235,48.283,358.0,3612.902,2.026,-0.5414718
20180501,0.0315,66.065,44.074,257.0,3477.822,1.893,-0.67448026
20180502,0.0315,55.863,39.728,226.0,3463.321,1.755,-0.6119023
20180503,0.0315,28.381,14.044,210.0,3809.827,1.8,-2.2062225
20180504,0.0315,50.728,19.99,171.0,4031.32,1.685,0.70350903
20180505,0.0315,43.742,20.195999999999998,70.0,3794.895,1.057,1.0551026
20180506,0.0147,19.242,11.249,38.0,3229.183,0.9,-1.3591018
20180507,0.0147,36.749,18.76,101.0,3379.009,1.104,-0.4011622
20180508,0.0147,21.414,9.231,265.0,3985.7540000000004,2.053,0.6786024
20180509,0.0147,25.584,8.972999999999999,209.0,3695.0240000000003,1.9340000000000002,0.10745305
20180510,0.0147,44.126000000000005,22.188000000000002,244.0,3641.3740000000003,1.719,0.47971314
20180511,0.0147,70.872,40.224000000000004,192.0,3676.455,1.639,0.7729966
20180512,0.0147,36.214,22.029,56.0,3559.58,1.104,0.805592
20180513,0.02205,29.643,18.475,130.0,3145.46,1.2690000000000001,-0.8674744
20180514,0.02205,89.57700000000001,55.565,313.0,3480.15,1.9680000000000002,-0.0010860562
20180515,0.02205,63.104,43.545,273.0,3789.7490000000003,1.9980000000000002,1.1455564
20180516,0.02205,45.736000000000004,30.811999999999998,228.0,3504.512,1.778,-0.30951387
20180517,0.02205,32.819,19.699,185.0,3300.8059999999996,1.05,0.8025233
20180518,0.02205,20.371,7.507000000000001,107.0,3757.8109999999997,1.538,0.2019288
20180519,0.02205,15.477,6.928,91.0,4011.4559999999997,1.262,1.4571836
20180520,0.0252,14.164000000000001,7.53,104.0,3211.748,1.103,-1.2209713
20180521,0.0252,23.897,12.526,148.0,3693.88,1.9369999999999998,-1.3055604
20180522,0.0252,44.79600000000001,27.076999999999998,94.0,3238.025,1.2830000000000001,-0.3234635
20180523,0.0252,51.54600000000001,12.972000000000001,318.0,3624.88,1.861,-0.2638715
20180524,0.0252,94.31,20.293,377.0,3684.845,1.9509999999999998,0.8772406
20180525,0.0252,89.162,32.181,235.0,3579.667,1.645,0.3484637
20180526,0.0252,67.555,31.426,119.0,3838.703,1.587,1.0284162
20180527,0.02205,63.233000000000004,27.714000000000002,116.0,3036.699,1.42,1.6780703
20180528,0.02205,44.285,22.122,177.0,3387.9159999999997,1.983,-0.038468182
20180530,0.02205,47.266999999999996,27.587,269.0,3807.927,2.07,1.7810941
20180531,0.02205,42.123999999999995,23.386999999999997,204.0,3511.3579999999997,1.8430000000000002,-0.39677936
20180602,0.02205,36.347,20.986,68.0,3689.1540000000005,1.256,0.9680484
20180603,0.01785,30.881999999999998,20.271,70.0,3105.163,1.143,-0.6127843
20180604,0.01785,38.978,25.641,120.0,3536.6279999999997,2.089,0.055980384
20180605,0.01785,39.516999999999996,26.59,139.0,3711.663,2.088,0.79425806
20180606,0.01785,46.427,31.857,68.0,2958.327,1.374,-0.05000788
20180607,0.01785,50.692,32.279,180.0,3605.56,1.881,0.47570127
20180608,0.01785,43.722,28.136,117.0,3665.179,1.594,0.56334513
20180609,0.01785,47.56399999999999,28.268,52.0,3539.27,1.32,0.8200491
