Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.03822,68.307,32.397,234.0,5456.911999999999,1.258,-6.7940173
20180402,0.03822,67.281,26.311999999999998,371.0,9520.631,1.479,-1.8997946
20180403,0.03822,70.257,23.785,251.0,9822.063,1.442,-1.4466212
20180404,0.03822,21.386999999999997,11.505,352.0,10124.564,1.591,1.0179687
20180405,0.03822,12.054,6.794,293.0,9842.482,1.597,1.0940683
20180406,0.03822,81.514,21.541999999999998,627.0,9670.591,1.508,-1.2826276
20180407,0.03822,46.028,18.327,207.0,7481.76,1.159,-0.2989617
20180408,0.02744,33.235,15.892000000000001,199.0,5393.02,1.516,-7.112083
20180409,0.02744,48.706,30.944000000000003,407.0,9416.134,1.3559999999999999,-1.1593859
20180410,0.02744,51.076,22.392,278.0,10063.659,1.5290000000000001,0.021741092
20180411,0.02744,76.484,31.18,357.0,9932.966999999999,1.531,0.04023117
20180412,0.02744,51.911,17.453,236.0,10377.73,1.5490000000000002,0.39003152
20180413,0.02744,37.961999999999996,13.747,223.0,10150.673,1.55,0.5252926
20180414,0.02744,26.854,13.385,95.0,6958.513000000001,1.146,-0.86189264
20180416,0.03822,33.765,19.99,318.0,9712.168,1.39,0.3982467
20180417,0.03822,56.141999999999996,30.791999999999998,350.0,10299.271999999999,1.4080000000000001,-0.15403372
20180418,0.03822,66.205,31.72,436.0,10255.99,1.4669999999999999,-1.4877751
20180419,0.03822,76.78699999999999,36.84,361.0,10486.903999999999,1.54,0.18761033
20180420,0.03822,94.758,50.261,361.0,10523.295,1.578,0.15549392
20180421,0.03822,74.165,39.705,159.0,7755.255999999999,1.328,-1.4079359
20180422,0.02254,41.163000000000004,22.635,198.0,5183.598,1.317,-9.680143
20180423,0.02254,12.854000000000001,8.64,179.0,8868.925,1.39,1.7919128
20180424,0.02254,12.925999999999998,6.031000000000001,259.0,10089.097,1.368,0.33211797
20180425,0.02254,31.627,21.853,298.0,10485.958,1.45,0.12719661
20180426,0.02254,47.333,32.374,258.0,10462.34,1.462,0.12265915
20180427,0.02254,59.25,42.422,165.0,10909.002,1.568,1.5446405
20180428,0.02254,72.611,47.68600000000001,159.0,7826.326999999999,1.3090000000000002,-0.5679173
20180429,0.0294,67.125,39.306,196.0,6112.005,1.47,-3.6952841
20180430,0.0294,94.304,68.35600000000001,358.0,9584.75,1.578,-0.4930957
20180501,0.0294,77.969,60.312,257.0,7428.321,1.314,0.56107634
20180502,0.0294,58.65,47.896,226.0,9944.94,1.3719999999999999,-1.2655549
20180503,0.0294,32.859,16.488,210.0,10085.933,1.56,-0.95690626
20180504,0.0294,56.407,20.15,171.0,11147.048999999999,1.469,0.30614537
20180505,0.0294,51.906000000000006,24.369,70.0,7351.941999999999,1.176,-0.03403002
20180506,0.01372,20.671,11.269,38.0,5498.233,1.153,-5.6917176
20180507,0.01372,41.727,21.694000000000003,101.0,5860.736999999999,1.168,-6.392819
20180508,0.01372,26.614,9.931000000000001,265.0,9695.56,1.359,-0.88954204
20180509,0.01372,29.254,10.390999999999998,209.0,10297.013,1.4180000000000001,0.4161145
20180510,0.01372,47.545,27.234,244.0,10100.045,1.43,0.5620031
20180511,0.01372,95.499,61.516999999999996,192.0,10542.525,1.449,0.832406
