Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.0936,66.041,35.492,234.0,3085.6940000000004,0.856,-0.59783584
20180402,0.0936,61.747,26.122,371.0,3807.172,0.9359999999999999,-1.3580878
20180403,0.0936,71.31,22.509,251.0,3892.7670000000003,1.0290000000000001,-1.5760169
20180404,0.0936,22.564,12.54,352.0,3847.204,0.96,0.403176
20180405,0.0936,17.401,9.73,293.0,3771.7070000000003,0.93,0.95877355
20180406,0.0936,94.396,26.252,627.0,3714.768,0.919,-0.045100987
20180407,0.0936,46.217,22.29,207.0,3803.6290000000004,0.792,-0.45141357
20180408,0.0672,35.188,17.596,199.0,2957.743,0.853,-0.37787122
20180409,0.0672,51.79,32.153,407.0,3813.757,0.946,-0.98367196
20180410,0.0672,53.933,23.585,278.0,3839.3140000000003,0.983,-0.99153167
20180411,0.0672,80.137,36.233000000000004,357.0,3880.085,0.9740000000000001,-0.7636295
20180412,0.0672,50.919,17.418,236.0,3859.1440000000002,1.035,-0.2917922
20180413,0.0672,40.391999999999996,17.64,223.0,3963.006,0.986,0.07062596
20180414,0.0672,30.465,15.183,95.0,3576.8959999999997,0.884,-0.3657654
20180416,0.0936,41.644,24.379,318.0,3814.824,0.948,0.077281296
20180417,0.0936,72.128,40.266999999999996,350.0,3761.3959999999997,1.0170000000000001,-0.74756247
20180418,0.0936,83.833,44.5,436.0,3822.762,1.0,-2.7670903
20180419,0.0936,108.14200000000001,53.331,361.0,3829.645,0.996,-1.1429179
20180420,0.0936,138.094,75.556,361.0,3869.058,0.993,0.9239926
20180421,0.0936,96.507,55.778999999999996,159.0,3947.153,0.982,-1.2582834
20180422,0.0552,46.747,26.715,198.0,2947.842,0.9390000000000001,-0.36856824
20180423,0.0552,14.568,10.533,179.0,3525.647,0.872,1.9499187
20180424,0.0552,13.523,7.683,259.0,3813.292,0.977,-0.006288111
20180425,0.0552,41.446000000000005,23.796999999999997,298.0,3887.2729999999997,1.022,-0.37229937
20180426,0.0552,59.607,39.256,258.0,3884.3320000000003,1.065,0.35606283
20180427,0.0552,71.78399999999999,50.74100000000001,165.0,3942.717,1.02,-1.200537
20180428,0.0552,71.373,44.253,159.0,3937.5559999999996,0.871,-0.41626602
20180429,0.07200000000000001,77.685,41.983000000000004,196.0,3318.571,0.887,-0.71307737
20180430,0.07200000000000001,104.565,80.355,358.0,3908.982,1.0290000000000001,0.48020905
20180501,0.07200000000000001,98.537,76.758,257.0,3703.382,1.104,-0.33597094
20180502,0.07200000000000001,63.108000000000004,48.879,226.0,3730.99,1.053,-0.4653353
