Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.05148,66.507,31.816999999999997,234.0,1519.399,0.737,-8.867182
20180402,0.05148,65.07600000000001,25.328000000000003,371.0,2084.3,0.8640000000000001,-1.4047382
20180403,0.05148,70.553,23.895,251.0,2116.51,0.722,-0.8176258
20180404,0.05148,19.015,10.607999999999999,352.0,2171.694,0.7170000000000001,-0.6361795
20180405,0.05148,9.228,5.585,293.0,2045.9579999999999,0.607,-0.80178505
20180406,0.05148,78.976,20.192999999999998,627.0,2012.8770000000002,0.721,-0.25056154
20180407,0.05148,45.644,18.337,207.0,1869.016,0.728,-1.5233562
20180408,0.03696,29.5,14.14,199.0,1498.391,0.721,-9.854154
20180409,0.03696,43.847,27.958000000000002,407.0,1998.224,0.7120000000000001,-0.93363196
20180410,0.03696,49.608999999999995,21.318,278.0,2119.029,0.7809999999999999,-0.21712857
20180411,0.03696,74.617,30.747,357.0,2157.208,0.6659999999999999,1.4797919
20180412,0.03696,48.8,16.346,236.0,2192.315,0.6829999999999999,0.047501266
20180413,0.03696,36.535,12.985,223.0,2282.681,0.746,-0.38166076
20180414,0.03696,30.283,15.308,95.0,1697.73,0.708,-3.3358388
20180416,0.05148,36.836,21.985,318.0,2124.281,0.735,-0.6420267
20180417,0.05148,55.996,30.741999999999997,350.0,2181.827,0.784,-0.9282158
20180418,0.05148,65.97,31.578000000000003,436.0,2239.459,0.752,-1.3377349
20180419,0.05148,74.986,36.16,361.0,2240.826,0.851,-1.8463073
20180420,0.05148,100.427,53.065,361.0,2280.025,0.904,-1.4485304
20180421,0.05148,82.195,44.277,159.0,2008.425,0.902,-1.6510067
20180422,0.03036,47.431000000000004,26.447,198.0,1430.774,0.7190000000000001,-13.245965
20180423,0.03036,19.064,12.97,179.0,1831.6629999999998,0.6629999999999999,-0.73532826
20180424,0.03036,10.74,5.002,259.0,2099.388,0.7659999999999999,-0.7532919
20180425,0.03036,31.676,21.918000000000003,298.0,2316.758,0.787,-0.26315886
20180426,0.03036,53.84,36.95,258.0,2242.1679999999997,0.7509999999999999,-0.58888584
20180427,0.03036,64.983,46.478,165.0,2325.042,0.812,-0.9230531
20180428,0.03036,70.312,45.477,159.0,2024.4229999999998,0.871,-0.5444301
20180429,0.0396,69.551,40.73,196.0,1717.18,0.7959999999999999,-3.8889601
20180430,0.0396,111.37,80.49,358.0,2140.841,0.89,-0.19802505
20180501,0.0396,98.988,76.48100000000001,257.0,2082.521,0.894,1.1397743
20180502,0.0396,67.024,54.61,226.0,2164.3320000000003,0.664,0.39578027
20180503,0.0396,37.448,19.334,210.0,2254.096,0.7020000000000001,0.03032893
20180504,0.0396,60.398999999999994,21.964000000000002,171.0,2323.699,0.816,-1.2347951
20180505,0.0396,54.83,25.833000000000002,70.0,2121.995,0.925,0.54111546
20180506,0.01848,21.653000000000002,11.965,38.0,1619.266,0.762,-5.7249956
20180507,0.01848,43.81100000000001,23.272,101.0,1969.095,0.8490000000000001,0.12144083
20180508,0.01848,28.1,10.497,265.0,2190.505,0.736,1.2707138
20180509,0.01848,32.17,11.511,209.0,2299.0029999999997,0.742,-0.1833039
20180510,0.01848,62.84,37.78,244.0,2256.6279999999997,0.7809999999999999,-0.006564915
20180511,0.01848,103.42399999999999,73.166,192.0,2349.433,0.847,-0.32904333
20180512,0.01848,42.48,26.962,56.0,1772.635,0.6659999999999999,-2.6130335
20180513,0.027719999999999998,39.296,30.45,130.0,1795.693,0.7659999999999999,-1.1499782
20180514,0.027719999999999998,124.62200000000001,100.821,313.0,2100.855,0.76,1.8599064
20180515,0.027719999999999998,80.778,58.857,273.0,2265.0460000000003,0.85,-0.4140857
20180516,0.027719999999999998,46.151,32.51,228.0,2064.055,0.652,-0.8270827
20180517,0.027719999999999998,21.796999999999997,12.825,185.0,2120.54,0.5539999999999999,-0.72534686
20180518,0.027719999999999998,16.542,9.76,107.0,2273.2729999999997,0.8540000000000001,-2.2343102
20180519,0.027719999999999998,18.752,9.349,91.0,2266.203,0.867,-0.86197525
20180520,0.03168,15.835999999999999,8.525,104.0,1935.806,0.9620000000000001,-0.46863973
20180521,0.03168,28.799,15.421,148.0,2217.03,0.7809999999999999,0.59146565
20180522,0.03168,49.208,33.368,94.0,1842.285,0.93,-0.7186616
20180523,0.03168,49.883,13.84,318.0,2288.3379999999997,0.657,0.18177527
20180524,0.03168,107.98700000000001,29.596,377.0,2356.0429999999997,0.8690000000000001,-3.2685778
20180525,0.03168,98.197,39.528,235.0,2363.959,0.8440000000000001,-0.43543655
20180526,0.03168,93.399,45.867,119.0,2232.93,1.077,-3.1310627
20180527,0.027719999999999998,79.008,34.888000000000005,116.0,1855.036,0.972,-0.69262296
20180528,0.027719999999999998,62.361000000000004,33.516999999999996,177.0,2157.104,0.8320000000000001,-0.51888067
20180530,0.027719999999999998,64.868,46.88,269.0,2411.0429999999997,0.78,0.48137587
20180531,0.027719999999999998,59.378,36.646,204.0,2310.114,0.8340000000000001,-0.13863927
20180602,0.027719999999999998,49.178000000000004,29.369,68.0,2126.6710000000003,1.0,0.16561812
20180603,0.02244,36.994,24.174,70.0,1784.8729999999998,0.912,-1.6585898
20180604,0.02244,44.785,29.564,120.0,2245.8070000000002,0.816,-0.4152091
20180605,0.02244,48.563,34.869,139.0,2341.685,0.8590000000000001,0.6912553
20180606,0.02244,57.364,41.163000000000004,68.0,1814.582,0.961,-0.76046175
20180607,0.02244,74.803,57.208,180.0,2288.944,0.852,-0.66590625
20180608,0.02244,54.044,36.866,117.0,2383.409,0.857,0.6246864
20180609,0.02244,50.402,35.964,52.0,1973.685,1.048,-0.591783
20180610,0.014519999999999998,14.905999999999999,9.592,77.0,1700.547,0.7659999999999999,-4.6060114
20180611,0.014519999999999998,16.872,8.802,113.0,2171.3779999999997,0.774,1.6623724
20180612,0.014519999999999998,25.683000000000003,17.333,111.0,2371.179,0.789,0.49180132
20180613,0.014519999999999998,40.289,27.953000000000003,57.0,1810.024,0.871,-1.2314463
20180614,0.014519999999999998,44.646,32.659,89.0,2292.706,0.818,0.49694008
20180615,0.014519999999999998,25.328000000000003,16.982,118.0,2354.43,0.816,0.24506706
20180616,0.014519999999999998,33.808,19.496,62.0,2073.6020000000003,0.902,-0.18319684
20180617,0.01848,74.233,50.895,105.0,1665.964,1.065,-7.6676946
20180618,0.01848,55.581,38.006,104.0,2135.399,0.9570000000000001,-0.2504372
20180619,0.01848,45.696000000000005,33.639,92.0,2220.339,0.7979999999999999,0.722964
20180620,0.01848,58.178000000000004,43.571999999999996,81.0,2314.804,0.904,0.464096
20180621,0.01848,55.107,39.094,103.0,2315.97,0.8320000000000001,0.44537205
20180622,0.01848,57.544,40.71,60.0,2311.625,0.897,1.2291002
20180623,0.01848,49.31,31.247,64.0,2024.592,1.034,-0.37418872
20180624,0.01848,71.456,52.416000000000004,132.0,1592.991,0.861,-9.657206
