Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.03354,60.86600000000001,28.896,234.0,2815.156,1.182,-8.036119
20180402,0.03354,61.736999999999995,24.115,371.0,4374.92,0.9359999999999999,-1.5411766
20180403,0.03354,62.326,17.915,251.0,4675.3279999999995,1.046,-0.4063514
20180404,0.03354,17.917,8.583,352.0,4726.913,1.0659999999999998,-0.124958694
20180405,0.03354,11.404000000000002,6.626,293.0,4485.343,0.945,0.5759463
20180406,0.03354,74.01,20.028,627.0,4602.447,1.1540000000000001,-0.38302332
20180407,0.03354,51.908,23.75,207.0,3879.6420000000003,1.159,-0.6698851
20180408,0.02408,45.21,21.171999999999997,199.0,2772.45,1.6669999999999998,-10.308463
20180409,0.02408,45.357,28.941999999999997,407.0,4472.013,0.932,-0.049271405
20180410,0.02408,56.228,27.255,278.0,4780.96,1.1740000000000002,-1.0150201
20180411,0.02408,78.342,28.061,357.0,4818.445,1.1340000000000001,-0.0030409694
20180412,0.02408,52.799,18.695,236.0,4840.42,1.146,-0.1901632
20180413,0.02408,40.172,18.415,223.0,4840.817,1.167,-0.59265643
20180414,0.02408,30.484,16.178,95.0,3689.038,1.124,-1.0618763
20180416,0.03354,36.758,21.872,318.0,4505.939,0.8909999999999999,0.2956695
20180417,0.03354,57.019,30.476,350.0,4616.829000000001,1.037,-0.40406424
20180418,0.03354,67.577,35.154,436.0,4638.513,1.109,-1.7941036
20180419,0.03354,68.089,34.464,361.0,4685.5,1.046,-0.8119002
20180420,0.03354,94.867,51.257,361.0,4750.785,1.3259999999999998,-1.5251293
20180421,0.03354,68.414,38.268,159.0,4072.8179999999998,1.517,-0.7905434
20180422,0.019780000000000002,46.475,24.336,198.0,2650.366,1.37,-12.4511175
20180423,0.019780000000000002,21.570999999999998,15.493,179.0,4066.844,0.833,-0.6544083
20180424,0.019780000000000002,12.280999999999999,6.778,259.0,4594.77,0.94,0.4217648
20180425,0.019780000000000002,33.86,23.801,298.0,4866.956,1.167,0.4028576
20180426,0.019780000000000002,42.998999999999995,29.784000000000002,258.0,4821.97,1.222,-0.2672177
20180427,0.019780000000000002,51.395,35.400999999999996,165.0,4936.710999999999,1.371,-1.6833532
20180428,0.019780000000000002,59.787,37.365,159.0,4119.326,1.249,-0.28154784
20180429,0.0258,58.9,33.165,196.0,3039.083,1.251,-6.730422
20180430,0.0258,72.53399999999999,48.347,358.0,4563.752,0.9990000000000001,-0.719353
20180501,0.0258,68.044,45.885,257.0,3525.947,1.147,-0.4638049
20180502,0.0258,58.043,43.273,226.0,4585.321,1.036,-0.5708459
20180503,0.0258,36.508,19.063,210.0,4901.474,1.139,-0.59370893
20180504,0.0258,53.976000000000006,23.076999999999998,171.0,5119.206,1.4709999999999999,-1.2221818
20180505,0.0258,50.817,23.406,70.0,3678.704,1.504,-0.7788462
20180506,0.01204,23.721,14.742,38.0,2892.3590000000004,1.242,-7.005688
20180507,0.01204,41.391999999999996,22.241999999999997,101.0,3090.57,1.17,-6.9899244
20180508,0.01204,26.166,11.969000000000001,265.0,4660.025,0.915,-0.52636546
20180509,0.01204,29.333000000000002,11.171,209.0,4926.920999999999,1.145,0.20969027
20180510,0.01204,53.64,29.169,244.0,4916.016,1.16,0.609662
20180511,0.01204,74.994,48.78,192.0,5165.133,1.499,0.68236524
20180512,0.01204,45.552,29.645,56.0,3717.966,1.26,0.10904902
20180513,0.01806,33.379,23.635,130.0,3168.112,1.521,-5.978515
20180514,0.01806,87.935,68.613,313.0,4660.038,0.955,-0.5378583
20180515,0.01806,73.097,52.888000000000005,273.0,4803.088,1.236,0.16647571
20180516,0.01806,49.808,33.833,228.0,4494.877,1.175,-0.042942822
20180517,0.01806,34.102,22.56,185.0,4722.72,1.187,-0.8808306
20180518,0.01806,24.439,8.256,107.0,4927.359,1.355,-0.45698696
20180519,0.01806,18.166,8.222000000000001,91.0,4350.72,1.902,-0.5654567
20180520,0.020640000000000002,17.041,8.859,104.0,2773.2090000000003,1.314,-7.7360187
20180521,0.020640000000000002,27.864,14.519,148.0,3788.099,1.1179999999999999,0.1532405
20180522,0.020640000000000002,49.942,28.55,94.0,2988.44,1.645,-6.812558
20180523,0.020640000000000002,57.907,16.873,318.0,4965.432,1.2590000000000001,-0.04861349
20180524,0.020640000000000002,95.221,23.589000000000002,377.0,5002.245,1.319,1.3836265
20180525,0.020640000000000002,90.62299999999999,33.198,235.0,5008.229,1.436,-0.20862609
20180526,0.020640000000000002,82.541,34.515,119.0,4309.806,1.571,-0.15316755
20180527,0.01806,74.46,30.086,116.0,3082.1090000000004,1.444,-7.441341
20180528,0.01806,55.971000000000004,26.734,177.0,4585.55,1.123,0.05446881
20180530,0.01806,56.968999999999994,33.888000000000005,269.0,4514.037,1.2930000000000001,-0.5343428
20180531,0.01806,52.5,29.808000000000003,204.0,4444.898,1.208,-0.36122543
20180602,0.01806,43.576,24.342,68.0,3644.163,1.5419999999999998,-0.8382271
20180603,0.01462,38.333,23.831,70.0,2682.5959999999995,1.44,-9.41628
20180604,0.01462,42.553000000000004,26.61,120.0,4053.055,0.9670000000000001,-0.5816019
20180605,0.01462,45.658,29.761999999999997,139.0,4199.775,1.141,-0.56769496
20180606,0.01462,45.043,30.051,68.0,2849.578,1.284,-8.089981
20180607,0.01462,58.016999999999996,37.826,180.0,4120.079000000001,1.117,-1.0349066
20180608,0.01462,39.91,25.313000000000002,117.0,4709.362,1.229,-0.07347733
20180609,0.01462,48.03,29.131999999999998,52.0,4000.781,2.353,-0.88599354
20180610,0.00946,14.841,8.056000000000001,77.0,2907.946,1.556,-7.6375346
20180611,0.00946,18.345,7.761,113.0,4589.175,1.061,0.4221713
20180612,0.00946,26.014,14.133,111.0,5028.317,1.08,0.57186097
20180613,0.00946,35.461,22.766,57.0,3129.925,1.244,-6.0958767
20180614,0.00946,45.151,29.169,89.0,4766.249,1.0,0.35296637
20180615,0.00946,27.043000000000003,13.985,118.0,4836.531,1.194,0.12659758
20180616,0.00946,36.904,16.784000000000002,62.0,3889.4440000000004,1.452,0.48902434
20180617,0.01204,59.183,36.207,105.0,2789.151,1.319,-10.40716
20180618,0.01204,49.842,32.41,104.0,4447.289000000001,1.236,-0.046690762
20180619,0.01204,40.696,26.892,92.0,4483.032,1.2690000000000001,-0.28983027
20180620,0.01204,51.185,37.431,81.0,4851.287,1.156,0.8212307
20180621,0.01204,49.159,31.13,103.0,4735.182,1.157,0.38950437
20180622,0.01204,48.731,30.46,60.0,4885.23,1.249,0.8697755
20180623,0.01204,46.18600000000001,27.607,64.0,4062.802,1.476,-1.0815613
20180624,0.01204,75.744,43.919,132.0,2911.3979999999997,1.3769999999999998,-10.403176
20180625,0.01204,66.042,37.513000000000005,116.0,4499.048,1.165,-0.23101217
20180626,0.01204,61.256,39.65,116.0,4326.038,1.04,0.14786977
20180627,0.01204,38.751,25.511999999999997,76.0,4731.088,1.158,0.6181503
20180628,0.01204,40.689,26.28,146.0,4726.769,1.265,-0.13179642
20180629,0.01204,53.038000000000004,32.711999999999996,38.0,4821.414000000001,1.255,1.7021289
20180630,0.01204,86.82799999999999,57.653,9.0,3782.9,1.574,0.5123612
20180701,0.0043,27.398000000000003,16.468,26.0,2409.942,0.99,-9.038037
20180702,0.0043,24.171,13.943,86.0,4108.561,0.889,-0.97441846
20180703,0.0043,28.377,16.032,53.0,4551.109,1.067,-1.0043814
20180704,0.0043,38.508,20.153,63.0,4673.267,1.18,0.0021565557
20180705,0.0043,33.684,23.386999999999997,53.0,4627.252,1.175,0.47538346
20180706,0.0043,13.804,5.263,180.0,4649.303,1.159,1.6917851
20180707,0.0043,18.98,7.865,36.0,3988.262,1.936,-0.53140956
20180708,0.0051600000000000005,25.969,12.335999999999999,56.0,2962.184,1.421,-6.4778028
20180709,0.0051600000000000005,21.093000000000004,9.38,59.0,4298.83,0.867,0.12429112
20180710,0.0051600000000000005,46.114,23.842,62.0,4511.956,1.104,-0.9007563
20180711,0.0051600000000000005,57.248999999999995,30.888,78.0,4734.315,1.229,0.6744891
20180712,0.0051600000000000005,48.845,24.824,92.0,5179.92,1.297,0.3563674
20180713,0.0051600000000000005,35.817,20.816999999999997,27.0,5046.565,1.328,1.0018353
20180714,0.0051600000000000005,34.584,20.816999999999997,21.0,4000.995,1.585,-0.9619306
20180715,0.0051600000000000005,36.14,24.315,51.0,2852.702,1.349,-7.187615
20180716,0.0051600000000000005,36.165,24.043000000000003,30.0,4433.457,1.0859999999999999,0.57096654
20180717,0.0051600000000000005,39.625,27.764,80.0,4640.236,1.185,0.35711473
20180718,0.0051600000000000005,48.065,36.765,114.0,4723.955,1.179,0.54120725
20180719,0.0051600000000000005,39.841,28.462,83.0,4578.59,1.192,-0.17170411
20180720,0.0051600000000000005,54.552,36.696999999999996,69.0,4557.775,1.14,0.49330443
20180721,0.0051600000000000005,59.07899999999999,37.703,80.0,3654.4159999999997,1.393,-0.88814217
20180722,0.0043,47.833,29.326,26.0,2701.8309999999997,1.403,-7.135366
20180723,0.0043,53.961999999999996,33.343,50.0,4286.925,1.008,0.73788065
20180724,0.0043,63.156000000000006,44.126999999999995,53.0,4664.545999999999,1.158,0.3752579
20180725,0.0043,60.64,37.379,56.0,4551.977,1.291,0.5822858
20180726,0.0043,72.987,45.356,93.0,4557.644,1.306,0.85264677
20180727,0.0043,85.551,55.391000000000005,51.0,4583.362,1.304,0.61488754
20180728,0.0043,65.297,44.406000000000006,17.0,3538.4359999999997,1.515,0.08833736
20180729,0.00344,37.629,25.755,20.0,2749.595,1.354,-6.6524396
20180730,0.00344,22.180999999999997,12.908,51.0,4282.985,1.112,-0.081594765
20180731,0.00344,38.315,23.081,72.0,4520.736,1.3219999999999998,-1.4311981
20180801,0.00344,58.656000000000006,36.172,22.0,4155.932,1.409,0.13848871
20180802,0.00344,55.41,38.174,33.0,4365.210999999999,1.341,0.3118493
20180803,0.00344,81.80199999999999,59.916000000000004,84.0,4424.349,1.3359999999999999,0.76087207
20180804,0.00344,50.325,34.344,20.0,3383.4809999999998,1.3430000000000002,-3.0595345
20180805,0.00344,55.016000000000005,34.906,23.0,2551.978,1.216,-8.257798
20180806,0.00344,63.851000000000006,42.15,57.0,3986.202,1.183,-1.1577044
20180807,0.00344,39.273,24.987,122.0,4362.833,1.219,0.50744265
