Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.01755,60.913000000000004,28.861,234.0,729.5160000000001,0.741,-3.356764
20180402,0.01755,65.684,25.828000000000003,371.0,1367.715,0.856,-4.5780034
20180403,0.01755,62.114,22.798000000000002,251.0,1488.953,0.982,-0.42369992
20180404,0.01755,18.165,8.611,352.0,1462.192,1.06,2.361242
20180405,0.01755,12.030999999999999,7.252000000000001,293.0,1411.368,0.856,3.7094452
20180406,0.01755,76.205,19.964000000000002,627.0,1397.654,0.924,-0.21827036
20180407,0.01755,42.047,19.618,207.0,977.794,0.87,-0.70490724
20180408,0.0126,35.736,16.969,199.0,817.3380000000001,1.107,-0.107135236
20180409,0.0126,41.881,26.718000000000004,407.0,1353.098,0.85,-2.2182438
20180410,0.0126,47.097,22.249000000000002,278.0,1514.943,0.863,0.6012191
20180411,0.0126,75.946,27.122,357.0,1492.0639999999999,0.96,0.6071734
20180412,0.0126,46.358000000000004,16.461,236.0,1533.124,1.014,0.5198721
20180413,0.0126,34.004,15.502,223.0,1502.443,1.0170000000000001,1.1862607
20180414,0.0126,35.199,18.714000000000002,95.0,891.6,0.861,-1.1475403
20180416,0.01755,36.353,21.775,318.0,1409.954,1.052,1.1923945
20180417,0.01755,54.239,28.535999999999998,350.0,1501.723,0.932,-1.1476119
20180418,0.01755,62.85,32.705,436.0,1480.21,0.8390000000000001,-5.1786065
20180419,0.01755,66.803,33.99,361.0,1461.88,0.93,-1.769057
20180420,0.01755,88.431,47.68600000000001,361.0,1462.214,1.048,-0.6232221
20180421,0.01755,66.65100000000001,37.099000000000004,159.0,1089.099,1.2690000000000001,0.8308303
20180422,0.01035,50.791000000000004,26.795,198.0,698.914,0.875,-9.297214
20180423,0.01035,22.783,16.347,179.0,1262.267,0.6859999999999999,0.8073707
20180424,0.01035,12.06,6.729,259.0,1452.505,0.769,0.37458915
20180425,0.01035,32.162,22.578000000000003,298.0,1508.066,1.033,0.6109831
20180426,0.01035,47.435,32.88,258.0,1535.9279999999999,0.904,0.82327026
20180427,0.01035,54.765,37.844,165.0,1537.2820000000002,1.077,-0.17411906
20180428,0.01035,58.163000000000004,36.738,159.0,1082.806,1.054,-1.7691126
20180429,0.0135,59.235,33.5,196.0,850.279,0.943,1.7177935
20180430,0.0135,83.23700000000001,55.452,358.0,1079.857,1.5019999999999998,0.9604406
20180501,0.0135,82.73100000000001,56.17,257.0,1059.085,1.187,-0.4631272
20180502,0.0135,63.386,47.091,226.0,1448.891,1.087,0.7842329
20180503,0.0135,32.525,17.15,210.0,1532.9129999999998,1.177,1.116883
20180504,0.0135,53.243,22.842,171.0,1783.891,1.251,2.22724
20180505,0.0135,51.297,23.625999999999998,70.0,1061.107,1.165,-1.4207928
20180506,0.0063,27.564,17.272000000000002,38.0,746.448,0.89,-5.2834964
20180507,0.0063,43.387,23.500999999999998,101.0,905.699,0.953,-0.8060997
20180508,0.0063,23.52,10.793,265.0,1283.5839999999998,0.988,-0.41544324
20180509,0.0063,28.049,10.732999999999999,209.0,1352.806,1.124,-0.91015637
20180510,0.0063,52.278,28.436,244.0,1385.6879999999999,1.0490000000000002,0.36599582
20180511,0.0063,80.369,52.172,192.0,1389.491,1.284,-0.30302912
20180512,0.0063,40.777,26.233,56.0,964.855,0.965,0.42027384
20180513,0.00945,32.739000000000004,23.155,130.0,828.8530000000001,0.9890000000000001,-0.45901352
20180514,0.00945,95.23100000000001,74.187,313.0,1193.442,1.034,2.7574763
20180515,0.00945,70.89699999999999,51.136,273.0,1325.381,1.207,0.50713557
20180516,0.00945,43.803000000000004,29.515,228.0,1220.062,0.972,-0.703862
20180517,0.00945,28.524,18.714000000000002,185.0,1234.404,0.993,-0.16425449
20180518,0.00945,21.166,7.327000000000001,107.0,1315.148,1.111,-0.98855144
20180519,0.00945,16.776,7.591,91.0,1134.94,1.4509999999999998,-1.4134421
20180520,0.0108,14.622,7.535,104.0,835.595,1.114,-3.6744838
20180521,0.0108,24.997,13.118,148.0,1154.1789999999999,1.181,-0.0041339993
20180522,0.0108,49.603,28.585,94.0,881.045,1.3969999999999998,0.13825363
20180523,0.0108,50.615,14.936,318.0,1216.588,1.112,-0.42605096
20180524,0.0108,78.79899999999999,19.381,377.0,1299.572,1.3119999999999998,-3.273887
20180525,0.0108,77.267,28.581999999999997,235.0,1281.167,1.294,-0.66238195
20180526,0.0108,71.96,30.435,119.0,942.9860000000001,1.371,-0.54356843
20180527,0.00945,66.465,27.109,116.0,688.492,1.166,-10.570368
20180528,0.00945,53.506,25.728,177.0,1158.878,1.183,0.365349
20180530,0.00945,56.948,33.801,269.0,1267.792,1.245,-0.9006377
20180531,0.00945,57.851000000000006,32.982,204.0,1219.617,1.334,-1.7204018
20180602,0.00945,42.053999999999995,23.608,68.0,955.987,1.4169999999999998,0.4900394
20180603,0.00765,33.816,20.971,70.0,691.08,1.048,-6.821276
20180604,0.00765,38.744,24.141,120.0,1301.246,1.0270000000000001,-0.9563795
20180605,0.00765,45.581,29.75,139.0,1377.1960000000001,1.264,-0.89505106
20180606,0.00765,49.61,32.898,68.0,792.438,1.067,-4.188543
20180607,0.00765,67.033,44.107,180.0,1353.112,1.115,-0.3451596
20180608,0.00765,47.692,30.131999999999998,117.0,1375.162,1.17,-0.96135575
20180609,0.00765,50.361999999999995,30.709,52.0,939.618,1.5730000000000002,1.2765744
20180610,0.00495,13.299000000000001,7.23,77.0,683.78,1.103,-6.703317
20180611,0.00495,17.076,7.585,113.0,1273.035,1.0,3.2436945
20180612,0.00495,26.555,14.433,111.0,1375.354,1.073,0.06397718
20180613,0.00495,41.508,26.125999999999998,57.0,748.745,1.177,-6.7399373
20180614,0.00495,49.202,31.994,89.0,1335.93,1.117,0.6402468
20180615,0.00495,26.103,13.716,118.0,1358.785,1.235,0.14124674
20180616,0.00495,32.15,14.524000000000001,62.0,914.095,1.357,-0.42590314
20180617,0.0063,66.23100000000001,40.012,105.0,646.729,1.177,-12.359626
20180618,0.0063,51.463,33.753,104.0,1268.379,1.251,-0.39033204
20180619,0.0063,40.784,26.594,92.0,1361.48,1.176,-0.016556084
20180620,0.0063,45.416000000000004,33.226,81.0,1375.392,1.2409999999999999,1.2006843
20180621,0.0063,43.201,27.414,103.0,1358.87,1.268,0.47017974
20180622,0.0063,46.598,29.238000000000003,60.0,1390.129,1.443,2.3979735
20180623,0.0063,36.16,21.430999999999997,64.0,871.471,1.379,-0.75236887
20180624,0.0063,58.762,34.05,132.0,623.039,1.208,-13.286121
20180625,0.0063,49.06,27.676,116.0,1166.641,1.216,-0.3909145
20180626,0.0063,47.585,30.197,116.0,1114.032,0.9440000000000001,0.33432215
20180627,0.0063,30.409000000000002,20.153,76.0,1234.846,1.331,-1.7910221
20180628,0.0063,28.889,18.507,146.0,1214.657,1.304,0.27315158
20180629,0.0063,40.578,25.002,38.0,1236.432,1.321,-0.24668342
20180630,0.0063,61.294,40.608000000000004,9.0,788.077,1.4280000000000002,-8.325247
20180701,0.00225,19.632,11.584000000000001,26.0,471.277,0.8690000000000001,-10.10591
20180702,0.00225,17.379,9.995,86.0,1036.97,1.0,-0.75145847
20180703,0.00225,22.26,12.418,53.0,1179.83,1.253,0.39106506
20180704,0.00225,28.011,14.372,63.0,1171.185,1.463,0.3881535
20180705,0.00225,22.858,15.71,53.0,1175.264,1.3559999999999999,-0.23372084
20180706,0.00225,8.798,3.3710000000000004,180.0,1194.634,1.247,2.524114
20180707,0.00225,12.8,5.239,36.0,856.0169999999999,1.273,-0.017836392
20180708,0.0027,19.734,8.985,56.0,628.678,1.024,-7.4008574
20180709,0.0027,13.495,6.274,59.0,1056.4289999999999,1.051,-0.2732299
20180710,0.0027,23.535999999999998,11.994000000000002,62.0,1130.989,1.079,0.23798913
20180711,0.0027,37.814,19.849,78.0,1160.13,1.105,-0.14238602
20180712,0.0027,35.569,18.180999999999997,92.0,1222.525,1.263,-0.012771666
20180713,0.0027,25.698,14.783,27.0,1215.02,1.254,-0.5976742
20180714,0.0027,25.48,15.249,21.0,827.835,1.2990000000000002,-2.4631493
20180715,0.0027,24.592,16.578,51.0,587.638,1.03,-9.038344
20180716,0.0027,26.021,17.011,30.0,1068.282,1.146,0.08956212
20180717,0.0027,27.483,18.980999999999998,80.0,1145.775,1.365,0.6887376
20180718,0.0027,31.709,24.078000000000003,114.0,1132.238,1.192,1.36217
20180719,0.0027,25.127,17.63,83.0,1100.298,1.2770000000000001,1.6719782
20180720,0.0027,38.16,25.551,69.0,1124.344,1.2590000000000001,-0.5299166
20180721,0.0027,38.553000000000004,24.476999999999997,80.0,729.929,1.2429999999999999,-6.9732137
20180722,0.00225,29.399,17.831,26.0,549.812,1.041,-8.65796
20180723,0.00225,37.288000000000004,22.526,50.0,1047.203,1.141,-0.5187078
20180724,0.00225,42.851000000000006,29.831,53.0,1117.704,1.297,0.07050604
20180725,0.00225,38.607,23.694000000000003,56.0,1111.557,1.288,0.4512822
20180726,0.00225,49.25,30.485,93.0,1094.121,1.327,1.1608799
20180727,0.00225,56.568999999999996,36.376,51.0,1123.181,1.266,0.35608244
20180728,0.00225,42.22,28.232,17.0,694.814,1.19,-6.9736857
20180729,0.0018,23.991,16.262999999999998,20.0,566.727,1.137,-7.630532
20180730,0.0018,14.824000000000002,8.445,51.0,1036.6480000000001,1.205,0.21967286
20180731,0.0018,26.493000000000002,15.725,72.0,1103.906,1.166,0.1426217
20180801,0.0018,42.683,25.849,22.0,1027.193,1.46,-1.185266
20180802,0.0018,42.121,28.447,33.0,1051.63,1.3230000000000002,1.0072732
20180803,0.0018,60.702,44.379,84.0,1048.9560000000001,1.443,2.2481377
20180804,0.0018,36.902,24.831,20.0,701.727,1.298,-6.4208198
20180805,0.0018,40.506,25.464000000000002,23.0,527.623,1.143,-9.618245
20180806,0.0018,43.167,28.236,57.0,970.625,1.2690000000000001,-0.42515546
20180807,0.0018,26.122,16.646,122.0,1060.262,1.218,-1.3984253
