Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.039,86.992,40.418,234.0,2843.83,1.168,-11.289277
20180402,0.039,86.57600000000001,33.476,371.0,4499.954000000001,1.11,-1.7753279
20180403,0.039,75.861,21.787,251.0,4652.044,1.129,-1.5414221
20180404,0.039,37.92,15.752,352.0,4682.754,1.051,-0.31407815
20180405,0.039,13.600999999999999,8.144,293.0,4359.486,1.0590000000000002,-0.6928807
20180406,0.039,78.094,19.052,627.0,4432.139,1.1520000000000001,0.6349837
20180407,0.039,99.662,42.251000000000005,207.0,3673.989,1.159,-1.2231867
20180408,0.027999999999999997,66.395,32.629,199.0,2696.97,1.222,-14.079178
20180409,0.027999999999999997,60.825,37.599000000000004,407.0,4450.295,0.961,-0.088309586
20180410,0.027999999999999997,63.93600000000001,31.673000000000002,278.0,4643.454000000001,1.071,-1.1499305
20180411,0.027999999999999997,88.117,34.275,357.0,4683.827,1.0979999999999999,0.066929996
20180412,0.027999999999999997,66.061,23.822,236.0,4715.6,1.131,-0.40375644
20180413,0.027999999999999997,65.14399999999999,28.467,223.0,4726.787,1.1840000000000002,-0.4117573
20180414,0.027999999999999997,29.274,14.811,95.0,3509.0840000000003,1.148,-1.4595284
20180416,0.039,44.636,26.896,318.0,4574.292,1.025,-0.40785772
20180417,0.039,70.829,36.056999999999995,350.0,4750.956,1.175,-1.0922039
20180418,0.039,90.92399999999999,44.016999999999996,436.0,4632.665,1.065,-2.4971693
20180419,0.039,98.492,44.592,361.0,4613.44,1.139,-1.6171815
20180420,0.039,135.626,67.997,361.0,4689.428,1.153,0.038485944
20180421,0.039,96.588,51.472,159.0,3958.086,1.2830000000000001,0.12294406
20180422,0.023,43.015,22.118000000000002,198.0,2659.383,1.234,-13.843797
20180423,0.023,14.276,7.88,179.0,4107.43,0.995,-0.7088073
20180424,0.023,13.519,7.263999999999999,259.0,4657.613,1.063,0.44872826
20180425,0.023,34.928000000000004,25.127,298.0,4708.268,1.148,-0.21611959
20180426,0.023,40.926,26.91,258.0,4754.545999999999,1.094,-0.13131768
20180427,0.023,47.326,31.776,165.0,4785.075,1.179,-1.3081079
20180428,0.023,58.501000000000005,35.638000000000005,159.0,3973.0159999999996,1.2329999999999999,-0.7192839
20180429,0.03,47.247,26.671999999999997,196.0,2980.2090000000003,1.26,-8.6074
20180430,0.03,70.22800000000001,46.342,358.0,4643.776,1.121,-1.0865903
20180501,0.03,58.395,38.935,257.0,4073.308,1.173,-1.3517122
20180502,0.03,45.696000000000005,31.896,226.0,4541.8679999999995,1.0759999999999998,-0.3240481
20180503,0.03,22.313000000000002,11.032,210.0,4799.111,1.0859999999999999,-1.0571091
20180504,0.03,34.103,13.254000000000001,171.0,5045.07,1.183,-1.7359533
20180505,0.03,31.698,14.505999999999998,70.0,3714.5609999999997,1.3259999999999998,-0.9617503
20180506,0.013999999999999999,13.981,7.975,38.0,2663.542,1.167,-10.11929
20180507,0.013999999999999999,27.163,13.456,101.0,3621.0679999999998,1.1,-0.6601785
20180508,0.013999999999999999,17.042,7.247999999999999,265.0,4765.582,1.033,-0.6228709
20180509,0.013999999999999999,19.671,6.89,209.0,4910.923,1.084,-0.10061771
20180510,0.013999999999999999,35.654,17.933,244.0,4803.893,1.097,0.56222576
20180511,0.013999999999999999,57.461000000000006,32.515,192.0,4966.745,1.15,0.6801004
20180512,0.013999999999999999,29.249000000000002,17.512,56.0,3497.073,1.249,-3.0189977
20180513,0.021,21.255,13.107999999999999,130.0,3093.0809999999997,1.34,-7.138648
