Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.04212,67.46600000000001,32.029,234.0,1181.507,0.88,7.1666703
20180402,0.04212,66.791,25.959,371.0,1781.08,0.78,1.5214963
20180403,0.04212,64.90100000000001,21.774,251.0,1893.333,0.828,0.73353106
20180404,0.04212,12.638,7.269,352.0,1881.585,0.73,-0.9620721
20180405,0.04212,9.552,5.542000000000002,293.0,1854.39,0.732,-0.74920267
20180406,0.04212,70.601,17.718,627.0,1805.749,0.6759999999999999,0.74972254
20180407,0.04212,36.88,14.823,207.0,1523.677,0.8909999999999999,1.0015147
20180408,0.03024,18.957,8.767000000000001,199.0,1106.53,0.918,9.384344
20180409,0.03024,36.794,22.74,407.0,1793.0510000000004,0.639,1.0129323000000001
20180410,0.03024,38.401,15.734000000000002,278.0,1894.532,0.78,-0.18129128
20180411,0.03024,62.53100000000001,25.289,357.0,1889.323,0.728,0.5298354999999999
20180412,0.03024,44.50899999999999,15.245,236.0,1901.673,0.889,-0.089586675
20180413,0.03024,26.197,9.211,223.0,1946.584,0.947,0.19949967
20180414,0.03024,20.308,10.033,95.0,1441.534,0.758,0.7633770999999999
20180416,0.04212,24.452,14.534,318.0,1792.741,0.877,0.2547509
20180417,0.04212,48.379,26.218000000000004,350.0,1869.128,0.828,0.33910614
20180418,0.04212,63.208,29.197,436.0,1943.87,0.853,1.1890353999999999
20180419,0.04212,75.882,36.671,361.0,1962.724,0.764,-0.22274965
20180420,0.04212,99.234,52.572,361.0,1994.12,0.799,-0.011834562
20180421,0.04212,57.944,30.754,159.0,1585.246,0.955,0.34265357
20180422,0.02484,36.551,20.024,198.0,1140.747,0.867,10.00987
20180423,0.02484,10.606,6.314,179.0,1664.7520000000004,0.682,-1.0153325
20180424,0.02484,11.652,5.405,259.0,1847.282,0.8440000000000001,-0.2728935
20180425,0.02484,28.612,19.931,298.0,1987.41,0.848,-0.03208679
20180426,0.02484,42.416,28.884,258.0,1963.908,0.85,-0.6149704
20180427,0.02484,52.324,37.323,165.0,2033.652,0.87,-1.7798545
20180428,0.02484,58.25100000000001,36.981,159.0,1638.253,0.922,0.7754576999999999
20180429,0.0324,64.562,37.667,196.0,1328.967,0.797,1.7586941999999999
20180430,0.0324,81.34,58.951,358.0,1818.993,0.8540000000000001,0.8057988
20180501,0.0324,71.973,55.538,257.0,1402.308,0.7859999999999999,0.9281228000000001
20180502,0.0324,52.532,43.039,226.0,1823.089,0.748,0.9480806999999999
20180503,0.0324,27.971,14.299,210.0,1917.119,0.904,1.6022248
20180504,0.0324,53.854,19.107,171.0,2001.885,0.902,-0.26951283
20180505,0.0324,48.247,22.623,70.0,1415.48,0.84,0.9919469999999999
20180506,0.015119999999999996,16.426,8.629,38.0,1166.85,0.855,6.7126565000000005
20180507,0.015119999999999996,38.603,19.509,101.0,1268.011,0.944,6.137508
20180508,0.015119999999999996,25.747,9.567,265.0,1867.027,0.974,0.14862424
20180509,0.015119999999999996,27.092,9.703,209.0,1897.524,0.764,-0.2936725
20180510,0.015119999999999996,52.434,31.386,244.0,1922.063,0.802,-1.0495024
20180511,0.015119999999999996,86.7,61.074,192.0,1928.99,0.958,-0.39845747
20180512,0.015119999999999996,41.602,26.031,56.0,1490.348,1.038,-0.6903246
20180513,0.02268,24.268,18.616,130.0,1282.448,1.003,5.085537400000001
20180514,0.02268,106.536,87.169,313.0,1965.993,0.732,-0.028133332999999996
20180515,0.02268,82.60600000000002,60.584,273.0,2022.387,0.868,-0.8114279999999999
20180516,0.02268,40.902,28.836,228.0,1806.35,0.927,0.025785744
20180517,0.02268,22.14,12.967,185.0,1846.602,0.7859999999999999,0.7178255
20180518,0.02268,16.225,9.863,107.0,1908.812,0.8909999999999999,-0.28714103
20180519,0.02268,16.672,8.227,91.0,1659.206,0.999,0.7735267
20180520,0.02592,14.585,7.757999999999999,104.0,1325.4679999999996,0.8490000000000001,2.1973732000000004
20180521,0.02592,27.699,14.685,148.0,1740.055,0.8759999999999999,0.284061
20180522,0.02592,45.383,30.756,94.0,1207.767,0.887,6.476803299999999
20180523,0.02592,49.791,13.345,318.0,1876.554,0.925,-0.16359466
20180524,0.02592,135.834,36.63,377.0,1943.451,0.957,-1.3134143
20180525,0.02592,102.515,41.085,235.0,1875.922,0.956,1.5845888000000001
20180526,0.02592,99.628,48.9,119.0,1585.66,1.072,0.57190067
20180527,0.02268,90.195,39.582,116.0,1306.942,1.096,4.665608
20180528,0.02268,69.52199999999999,37.045,177.0,1805.334,0.88,0.3177777
20180530,0.02268,69.55,51.19,269.0,1937.408,1.037,-0.4271509
20180531,0.02268,66.446,41.349,204.0,1903.499,1.07,-1.139118
20180602,0.02268,53.393,32.622,68.0,1547.38,1.028,-0.11664277
20180603,0.01836,37.786,24.916,70.0,1260.893,0.946,5.3464865999999995
20180604,0.01836,43.274,28.747,120.0,1784.549,0.69,-0.6538753
20180605,0.01836,45.045,32.133,139.0,1878.85,0.982,-0.3397097
20180606,0.01836,54.537,38.878,68.0,1210.452,0.982,6.9123589999999995
20180607,0.01836,71.878,55.18600000000001,180.0,1840.726,0.916,-1.0874236000000002
20180608,0.01836,48.96,33.03,117.0,1888.522,1.018,-1.4381206
20180609,0.01836,48.772,35.472,52.0,1445.765,1.071,-0.8606389000000001
20180610,0.01188,11.819,7.4689999999999985,77.0,1194.924,1.029,6.8224029999999996
20180611,0.01188,13.119000000000002,6.742000000000001,113.0,1748.053,0.743,0.27133423
20180612,0.01188,19.194000000000006,12.823,111.0,1878.105,0.812,-0.63017994
20180613,0.01188,23.09,15.813,57.0,1168.067,1.053,7.1738515
20180614,0.01188,36.382,26.229,89.0,1767.965,0.715,-0.5328425999999999
20180615,0.01188,26.412,18.937,118.0,1865.959,0.97,-0.54768986
20180616,0.01188,31.9,18.549,62.0,1480.11,1.005,-0.43611425
20180617,0.015119999999999996,64.43,44.17,105.0,1206.998,1.093,8.479096
20180618,0.015119999999999996,47.188,32.024,104.0,1751.632,1.352,-0.43562812
20180619,0.015119999999999996,37.733,27.651,92.0,1814.37,0.957,-0.44356877
20180620,0.015119999999999996,40.322,29.637,81.0,1822.1,0.984,-0.5810098000000001
20180621,0.015119999999999996,37.474,26.488000000000003,103.0,1826.754,0.846,-0.35604185
20180622,0.015119999999999996,46.798,33.959,60.0,1829.942,1.034,-1.6328912
20180623,0.015119999999999996,32.861999999999995,20.697,64.0,1537.3529999999996,1.376,0.50508934
20180624,0.015119999999999996,60.002,44.738,132.0,1169.44,1.085,9.726336
20180625,0.015119999999999996,48.058,32.809,116.0,1820.899,1.075,-0.30795497
20180626,0.015119999999999996,45.128,33.055,116.0,1765.389,0.792,-0.32494205
20180627,0.015119999999999996,39.113,29.117,76.0,1847.127,0.992,-0.87915975
20180628,0.015119999999999996,31.158,22.093000000000004,146.0,1911.106,1.08,-0.6274052
20180629,0.015119999999999996,46.913,38.81,38.0,1919.065,1.003,-1.7515613999999997
20180630,0.015119999999999996,75.352,59.29,9.0,1521.342,1.156,-1.3629563
20180701,0.0054,18.711,11.736,26.0,983.961,1.054,8.53608
20180702,0.0054,18.583,7.835,86.0,1817.321,1.147,-0.19480652
20180703,0.0054,18.114,12.325,53.0,1914.914,1.162,-1.1796722
20180704,0.0054,25.96,13.53,63.0,1991.224,1.047,-1.2626061000000002
20180705,0.0054,31.631,20.44,53.0,1948.49,0.8290000000000001,-1.2516992
20180706,0.0054,10.053,3.915,180.0,2031.167,1.148,-0.584925
20180707,0.0054,11.225,5.336,36.0,1505.89,1.215,0.49878794
20180708,0.00648,15.815,10.524,56.0,1180.625,1.108,6.3694987
20180709,0.00648,10.136,4.238,59.0,1828.143,0.946,-0.4680117999999999
20180710,0.00648,19.603,8.041,62.0,1953.592,0.966,-1.1534716999999999
20180711,0.00648,29.413,14.476,78.0,1873.711,0.867,-0.39908713
20180712,0.00648,28.556,12.906,92.0,1831.676,1.081,-0.4834085
20180713,0.00648,17.977,6.647,27.0,1823.76,1.017,-0.31967592
20180714,0.00648,17.178,7.778,21.0,1516.132,0.977,0.6142276
20180715,0.00648,15.732,8.382,51.0,1110.11,1.133,6.8081546
20180716,0.00648,17.814,9.676,30.0,1679.689,0.985,-0.6612714
20180717,0.00648,17.964000000000006,11.278,80.0,1749.704,0.826,0.7200809
20180718,0.00648,24.444000000000006,17.246,114.0,1759.467,0.93,0.55004674
20180719,0.00648,17.799,10.772,83.0,1747.924,1.024,0.8093868000000001
20180720,0.00648,31.339,19.447,69.0,1799.289,1.018,-0.5184013
20180721,0.00648,33.118,21.301,80.0,1359.8929999999998,1.207,1.259336
20180722,0.0054,23.066,14.883,26.0,1066.533,1.064,6.889365700000001
20180723,0.0054,29.057,16.148,50.0,1673.931,1.042,-0.52206045
20180724,0.0054,35.552,23.448,53.0,1724.494,1.165,0.22543937
20180725,0.0054,26.53,18.498,56.0,1751.24,1.106,-0.13055485
20180726,0.0054,33.785,25.328000000000007,93.0,1744.858,1.001,0.51383764
20180727,0.0054,36.805,25.992,51.0,1766.794,1.019,-0.50977176
20180728,0.0054,26.522,17.64,17.0,1279.033,1.013,2.612898
20180729,0.00432,21.544,14.936,20.0,1055.1989999999996,0.96,6.800946700000001
20180730,0.00432,15.333,6.869,51.0,1632.545,1.004,0.6259678000000001
20180731,0.00432,25.533,13.095999999999998,72.0,1693.044,1.116,0.1468876
20180801,0.00432,34.146,18.012,22.0,1598.995,1.194,0.69732267
20180802,0.00432,32.344,18.823,33.0,1587.765,0.972,0.5326371999999999
20180803,0.00432,39.83,26.408,84.0,1595.731,1.073,0.06779963
20180804,0.00432,28.432,17.517,20.0,1217.995,1.155,6.270681400000001
20180805,0.00432,29.534,18.206,23.0,1031.65,1.2,7.3039727
20180806,0.00432,34.269,20.404,57.0,1557.4620000000002,0.945,0.40672046
20180807,0.00432,23.33,12.79,122.0,1640.267,0.991,-0.16875237
20180808,0.00432,29.852,18.409,49.0,1638.937,0.967,-0.3301496
20180809,0.00432,24.14,16.154,59.0,1783.158,1.024,-0.45508665
20180810,0.00432,25.081,14.023,16.0,1678.604,1.052,-0.5827969
20180811,0.00432,20.448,11.261,16.0,1233.661,1.222,5.0742215999999996
20180812,0.00324,25.108,16.976,14.0,1021.174,1.09,7.155959599999999
20180813,0.00324,35.97400000000001,24.311,27.0,1571.8239999999996,1.092,-0.12856120000000001
20180814,0.00324,36.96,20.825,14.0,1681.2979999999998,1.061,-0.5432722
20180815,0.00324,34.953,23.477,10.0,1165.162,0.999,6.221354
20180816,0.00324,31.925,14.915,36.0,1636.745,0.8340000000000001,-0.01927489
20180817,0.00324,46.222,17.434,20.0,1708.7679999999998,1.153,0.062239707000000005
20180818,0.00324,35.183,13.461,13.0,1321.505,1.195,3.8617141000000004
20180819,0.00432,38.473,17.838,14.0,1087.589,1.029,6.5484157
20180820,0.00432,48.856,29.988000000000003,36.0,1633.3429999999996,0.944,-0.5071177
20180821,0.00432,32.71,15.659,75.0,1692.961,1.051,0.4332618
20180822,0.00432,35.88800000000001,17.098,37.0,1718.073,1.063,-0.06855029
20180823,0.00432,27.383000000000006,10.483,11.0,1597.205,1.168,0.6591018
20180824,0.00432,15.927,6.3370000000000015,16.0,1692.186,0.956,-0.56320184
20180825,0.00432,31.156,13.128,15.0,1396.82,1.317,0.3746584
20180826,0.00216,26.332,11.983,18.0,1092.754,1.13,6.859151400000001
20180827,0.00216,16.205,6.444,49.0,1607.705,1.0659999999999998,0.9918073000000001
20180828,0.00216,18.969,6.8679999999999986,49.0,1699.418,1.025,-0.03014046
20180829,0.00216,22.111,8.996,17.0,1656.493,1.148,-0.55376667
20180830,0.00216,31.226,17.567999999999998,55.0,1706.605,0.915,0.562826
20180831,0.00216,29.162,14.519,59.0,1849.818,1.238,-0.62114197
