Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.06591,71.583,37.279,234.0,1559.458,0.753,9.32364
20180402,0.06591,74.367,31.0,371.0,1833.838,0.794,0.6750875
20180403,0.06591,74.267,25.023000000000003,251.0,1924.013,0.7290000000000001,-0.26557845
20180404,0.06591,16.062,9.883,352.0,1938.531,0.7709999999999999,0.13098627
20180405,0.06591,10.328,3.99,293.0,1905.475,0.718,0.2585851
20180406,0.06591,81.665,29.494,627.0,1942.126,0.753,0.097663224
20180407,0.06591,40.054,19.118,207.0,1983.412,0.812,0.93308765
20180408,0.04732,24.244,11.767,199.0,1528.864,0.742,10.417831
20180409,0.04732,38.476,26.324,407.0,1872.146,0.754,1.0126517
20180410,0.04732,44.555,18.809,278.0,1946.787,0.705,0.38983090000000004
20180411,0.04732,67.869,28.922,357.0,1923.826,0.706,0.15863734
20180412,0.04732,40.293,13.883,236.0,1974.191,0.804,1.1832745
20180413,0.04732,29.829,12.99,223.0,2038.353,0.8390000000000001,0.90519696
20180414,0.04732,25.355,13.257,95.0,1900.924,0.847,0.08794373
20180416,0.06591,30.054,19.006,318.0,1876.447,0.693,1.3829801000000002
20180417,0.06591,59.353,29.153,350.0,1937.045,0.777,-0.6336909000000001
20180418,0.06591,73.47800000000002,31.387,436.0,1941.432,0.7020000000000001,-1.0297956
20180419,0.06591,89.594,39.867,361.0,1943.291,0.76,-0.48288363
20180420,0.06591,111.064,58.38399999999999,361.0,2030.134,0.848,0.7101212
20180421,0.06591,71.135,40.042,159.0,2019.171,0.938,0.23312503
20180422,0.03887,51.719,32.041,198.0,1510.51,0.812,12.718492999999999
20180423,0.03887,12.47,8.522,179.0,1885.816,0.6609999999999999,0.46400458
20180424,0.03887,12.315,6.174,259.0,1921.701,0.735,0.09743315
20180425,0.03887,33.408,23.592,298.0,2009.435,0.826,0.8310843000000001
20180426,0.03887,52.208,37.878,258.0,1999.583,0.843,0.9372688
20180427,0.03887,61.578,42.708,165.0,2045.998,0.8740000000000001,0.5314625
20180428,0.03887,67.483,46.452,159.0,2040.133,0.941,0.36936599999999997
20180429,0.0507,69.024,43.082,196.0,1639.427,0.8909999999999999,8.034976
20180430,0.0507,100.847,77.865,358.0,1956.169,0.802,1.3977993
20180501,0.0507,98.172,80.175,257.0,2021.636,0.8370000000000001,-0.17742723
20180502,0.0507,63.101000000000006,49.149,226.0,2065.947,0.715,0.27734333
20180503,0.0507,26.433000000000003,10.293,210.0,2147.879,0.722,-0.53673214
20180504,0.0507,55.209,15.892,171.0,2314.649,0.948,0.5866037
20180505,0.0507,54.063,22.852,70.0,2121.624,0.893,0.65934306
20180506,0.02366,20.041,9.088,38.0,1825.453,0.804,0.98137766
20180507,0.02366,40.556,17.596,101.0,2038.331,0.828,0.20159656
20180508,0.02366,19.606,5.994,265.0,2220.023,0.768,0.6681375
20180509,0.02366,25.515,7.756,209.0,2143.99,0.7959999999999999,-0.72270507
20180510,0.02366,50.55,23.468000000000004,244.0,2084.763,0.841,-0.56780046
20180511,0.02366,94.148,60.069,192.0,2210.426,0.857,0.31314856
20180512,0.02366,39.023,24.043000000000006,56.0,2053.617,0.795,0.15769607
20180513,0.03549,28.149,17.15,130.0,1712.797,0.8370000000000001,5.7702556
20180514,0.03549,94.121,66.247,313.0,2061.115,0.799,0.6843531999999999
20180515,0.03549,80.92399999999998,55.294,273.0,2110.628,0.8420000000000001,-0.7709088000000001
20180516,0.03549,42.072,27.543000000000006,228.0,2000.685,0.737,1.0560128999999998
20180517,0.03549,20.087,8.25,185.0,2000.572,0.652,0.7016509
20180518,0.03549,12.807,3.964,107.0,2209.202,0.804,1.4211018
20180519,0.03549,14.603,4.081,91.0,2196.405,0.985,0.943688
20180520,0.04056,12.263,3.999,104.0,1727.342,0.818,3.7158754000000003
20180521,0.04056,21.993,8.599,148.0,2076.018,0.7829999999999999,0.9661953999999999
20180522,0.04056,47.206,28.856,94.0,1791.862,0.873,0.9477493
20180523,0.04056,47.981,11.856,318.0,2060.248,0.706,-1.1960211
20180524,0.04056,87.081,22.259,377.0,2121.861,0.866,-1.6735752000000002
20180525,0.04056,81.068,32.257,235.0,2108.432,0.87,-1.0224407
20180526,0.04056,67.77199999999999,33.55,119.0,2098.255,0.96,-0.5801129
20180528,0.03549,50.521,23.529,177.0,2031.133,0.8420000000000001,0.2528885
20180530,0.03549,50.81800000000001,31.763,269.0,2065.385,0.905,0.20948535
20180531,0.03549,38.253,20.09,204.0,2084.748,0.8420000000000001,0.35596114
20180602,0.03549,38.363,19.732,68.0,2272.67,1.127,-0.59220356
20180603,0.02873,28.227,15.235,70.0,2026.699,0.851,1.2307703
20180604,0.02873,36.273,20.476,120.0,2308.02,0.82,-0.578926
20180605,0.02873,38.056,22.631,139.0,2380.212,0.88,-0.677751
20180606,0.02873,42.885,26.634,68.0,2138.788,0.973,-0.8804110999999999
20180607,0.02873,49.243,31.983,180.0,2400.475,0.926,-0.43617278
20180608,0.02873,34.933,20.698,117.0,2489.048,0.8909999999999999,-1.2987796999999999
20180609,0.02873,38.28,23.678,52.0,2447.855,1.092,-1.379544
20180610,0.01859,9.036,3.463,77.0,1971.463,0.915,0.59389096
20180611,0.01859,12.392,3.372,113.0,2341.9770000000008,0.753,-0.49278015
20180612,0.01859,20.471,8.685,111.0,2468.23,0.89,-0.9258738000000001
20180613,0.01859,34.027,19.803,57.0,2234.187,1.002,-0.29435253
20180614,0.01859,38.301,24.695,89.0,2392.221,0.8029999999999999,-1.4663479
20180615,0.01859,19.978,7.905,118.0,2512.651,0.82,-1.0251892
20180616,0.01859,25.649,11.689,62.0,2330.216,0.976,-0.50538474
20180617,0.02366,51.934,32.31,105.0,1937.927,0.892,-0.08827382
20180618,0.02366,45.817,28.164,104.0,2291.056,0.8640000000000001,-0.27040213
20180619,0.02366,35.775,21.964,92.0,2344.855,0.7909999999999999,-1.1024277
20180620,0.02366,40.978,27.026,81.0,2373.687,0.835,-1.0852771
20180621,0.02366,34.699,19.377,103.0,2416.038,0.922,-1.3213344
20180622,0.02366,39.427,22.426,60.0,2508.495,0.904,-1.8537700000000001
20180623,0.02366,44.297,23.147,64.0,2484.387,1.147,-1.6423106
20180624,0.02366,69.363,43.262,132.0,2023.004,0.852,0.35720378
20180625,0.02366,57.072,33.594,116.0,2463.523,0.904,-1.133846
20180626,0.02366,49.837,33.729,116.0,2253.933,0.7120000000000001,-0.40274328
20180627,0.02366,35.801,23.308000000000003,76.0,2354.5370000000007,0.894,-0.9309761000000001
20180628,0.02366,37.897,23.937,146.0,2349.96,0.8740000000000001,-0.53661376
20180629,0.02366,51.553,32.024,38.0,2551.311,0.948,-2.1272013
20180630,0.02366,65.48100000000001,45.236,9.0,2449.806,1.078,-1.6239979
20180701,0.00845,19.939,8.52,26.0,1914.587,0.6940000000000001,-0.47125834
20180702,0.00845,14.774,4.713,86.0,2358.154,0.6940000000000001,-0.5122462000000001
20180703,0.00845,22.261,8.478,53.0,2474.803,0.907,-1.1637785
20180704,0.00845,29.637,14.785,63.0,2528.884,0.899,-1.1301126
20180705,0.00845,27.247,13.919,53.0,2491.539,0.934,-1.2744524
20180706,0.00845,9.658,4.041,180.0,2626.752,0.932,-1.1300106
20180707,0.00845,13.416,4.766,36.0,2661.266,1.014,-1.8753058999999996
20180708,0.01014,24.853,10.262,56.0,2227.088,0.971,-0.014993488999999999
20180709,0.01014,14.436,5.815,59.0,2356.963,0.762,-0.74666506
20180710,0.01014,25.009,11.005999999999998,62.0,2258.85,0.8420000000000001,-0.52583677
20180711,0.01014,44.092,24.906,78.0,2211.208,0.8170000000000001,-0.17987078
20180712,0.01014,37.985,19.284,92.0,2252.753,0.868,-0.6348389
20180713,0.01014,27.253,13.286,27.0,2390.496,0.923,-1.1646718999999999
20180714,0.01014,26.948,12.245,21.0,2459.697,1.001,-1.3920944
20180715,0.01014,27.635,14.569,51.0,1964.071,0.882,0.41579682
20180716,0.01014,27.49,14.995,30.0,2203.419,0.853,-0.42795068
20180717,0.01014,25.643,15.396,80.0,2234.043,0.918,-0.011245787
20180718,0.01014,32.522,21.487,114.0,2219.167,0.899,0.66932684
20180719,0.01014,32.506,19.741,83.0,2327.366,0.892,-0.4094482
20180720,0.01014,36.272,20.793000000000006,69.0,2477.093,1.025,-1.1333746999999998
20180721,0.01014,38.844,22.722,80.0,2408.698,1.033,-0.8285610999999999
20180722,0.00845,29.222,14.215,26.0,1924.878,0.872,-0.44862574
20180723,0.00845,32.345,15.765,50.0,2252.826,0.906,-0.72041494
20180724,0.00845,35.53,19.651,53.0,2222.879,0.956,-0.5267815
20180725,0.00845,31.967,16.48,56.0,2260.878,0.927,-0.67039293
20180726,0.00845,40.792,23.635,93.0,2248.008,0.8909999999999999,-0.680221
20180727,0.00845,40.901,24.624,51.0,2402.632,0.962,-1.3571496
20180728,0.00845,30.897,19.15,17.0,2374.224,1.143,-1.1851058
20180729,0.00676,28.291,15.496,20.0,1918.251,0.804,-0.53209776
20180730,0.00676,18.819000000000006,7.641,51.0,2208.43,0.7909999999999999,0.64322037
20180731,0.00676,27.826,14.803,72.0,2187.799,0.998,1.1896298
20180801,0.00676,41.843,22.994,22.0,2393.842,0.953,-1.3876193
20180802,0.00676,45.913,27.567,33.0,2285.364,1.027,-0.5627231
20180803,0.00676,58.33,38.19,84.0,2402.953,0.95,-1.1086676000000002
20180804,0.00676,30.728,16.604,20.0,2304.951,0.964,-0.5338252
20180805,0.00676,27.304,15.921,23.0,1906.374,0.912,-0.36844844
20180806,0.00676,29.716,17.676,57.0,2236.713,0.962,-0.7627968
20180807,0.00676,27.186,13.355,122.0,2287.842,0.935,-0.24865407
20180808,0.00676,32.751,18.815,49.0,2365.666,0.964,-0.63769406
20180809,0.00676,27.693,18.418,59.0,2439.541,0.946,-1.2195004999999999
20180810,0.00676,33.001,16.391,16.0,2451.591,1.025,-1.3016248
20180811,0.00676,24.473000000000006,9.545,16.0,2362.802,1.044,-0.7830140999999999
20180812,0.00507,25.861,12.786,14.0,1966.278,0.893,0.10896402599999999
20180813,0.00507,40.886,24.967,27.0,2252.0170000000007,0.94,-0.6030409000000001
20180814,0.00507,48.87300000000001,30.99,14.0,2437.186,0.975,-1.3077834
20180815,0.00507,50.082,32.778,10.0,2071.378,0.883,0.030968963999999998
20180816,0.00507,39.707,19.754,36.0,2293.168,0.976,-0.45352608
20180817,0.00507,40.461,18.328,20.0,2428.0370000000007,0.972,-1.2864022
20180818,0.00507,42.279,15.76,13.0,2350.688,1.025,-0.32459962
20180819,0.00676,47.431,24.775,14.0,1875.521,0.902,0.19133407
20180820,0.00676,57.802,31.569000000000006,36.0,2202.433,0.93,-0.23611063
20180821,0.00676,43.112,18.222,75.0,2286.676,0.838,-0.61105055
20180822,0.00676,46.895,23.01,37.0,2299.996,0.997,-0.5798475000000001
20180823,0.00676,34.089,12.73,11.0,2109.687,0.969,-0.32695478
20180824,0.00676,23.851,7.206,16.0,2317.58,0.8590000000000001,-0.31798607
20180825,0.00676,43.965,18.243,15.0,2432.451,1.068,-1.2380831
20180826,0.00338,38.649,18.319000000000006,18.0,1899.832,0.921,-0.39710300000000004
20180827,0.00338,26.695,10.449000000000002,49.0,2202.036,0.8029999999999999,0.78447264
20180828,0.00338,31.723000000000006,7.305,49.0,2256.832000000001,0.84,-0.674329
20180829,0.00338,33.256,12.517,17.0,2129.968,0.812,-0.5821826
20180830,0.00338,50.069,24.707,55.0,2295.634,0.945,-0.48806590000000005
20180831,0.00338,50.347,28.227,59.0,2484.25,1.074,-1.413238
20180901,0.00338,43.247,17.9,18.0,2507.903,1.155,-1.1094258
20180902,0.00676,34.552,9.495,43.0,1990.124,0.902,-0.36149043
20180903,0.00676,38.56,15.547,60.0,2108.353,0.8440000000000001,-0.6292748
20180904,0.00676,47.817,21.614,44.0,2264.218,0.909,-0.6035256
20180905,0.00676,56.052,16.927,59.0,2324.338,0.985,-0.18543345
20180906,0.00676,52.428,23.951,60.0,2315.172,0.93,-0.36808579999999996
20180907,0.00676,62.776,31.487,39.0,2442.8,0.971,-0.97684747
20180908,0.00676,54.157,19.743,12.0,2552.71,1.081,-1.1096636999999998
20180909,0.00338,48.483,20.063,38.0,2017.74,1.01,-1.4052613
20180910,0.00338,32.313,10.635,41.0,2260.473,0.919,-0.81700414
20180911,0.00338,30.298,10.308,49.0,2303.627,0.929,-0.5008566
20180912,0.00338,33.281,11.96,52.0,2329.374,0.897,-0.30433530000000003
20180913,0.00338,38.854,16.917,67.0,2391.184,0.921,-0.35226434
20180914,0.00338,38.234,15.494000000000002,19.0,2468.225,1.004,-1.2441378
20180915,0.00338,31.451,12.404000000000002,14.0,2494.174,1.062,-1.4367588
20180916,0.00507,53.469,32.772,12.0,1950.855,0.882,-0.85680884
20180917,0.00507,50.027,24.551,54.0,2217.386,0.871,-1.0246646000000001
20180918,0.00507,59.269,26.331,76.0,2263.826,1.046,-0.6219813
20180919,0.00507,61.589,29.274,54.0,2321.815,0.969,-0.22591537
20181010,0.00338,91.176,34.235,76.0,2237.71,0.7959999999999999,-2.5542097000000004
20181011,0.00338,67.765,33.577,97.0,2256.73,0.778,-0.17166358
20181012,0.00338,91.51,49.707,73.0,2418.031,0.8290000000000001,-0.48100156
20181013,0.00338,124.663,88.064,15.0,2460.763,1.028,-1.3424869
20181014,0.02028,129.971,93.233,70.0,1939.665,0.8420000000000001,0.18269902
20181015,0.02028,148.04,91.896,454.0,2202.104,0.807,2.6998622
20181016,0.02028,147.053,87.08200000000002,400.0,2229.697,0.812,2.2921002
20181017,0.02028,75.208,40.511,243.0,2287.051,0.872,0.16749793
20181018,0.02028,43.635,24.143,123.0,2243.565,0.853,-0.18419284
20181019,0.02028,37.426,21.052,85.0,2375.882,0.911,-1.4209454
20181020,0.02028,47.724,27.476,71.0,2617.567,1.036,-1.9863269000000001
20181021,0.01521,36.478,24.106,120.0,1932.821,0.809,0.2866214
20181022,0.01521,74.285,51.15,201.0,2216.567,0.835,0.39019138
20181023,0.01521,67.613,47.368,275.0,2218.834,0.855,-0.28246135
20181024,0.01521,73.265,35.021,231.0,2296.965,0.879,-0.060637653
20181025,0.01521,45.694,26.517,115.0,1887.321,0.92,-0.3517148
20181026,0.01521,34.808,23.162,79.0,2424.488,0.8240000000000001,-1.2872622
20181027,0.01521,25.114,6.122000000000001,30.0,2759.778,0.853,-1.9758148000000002
20181028,0.01014,18.544,11.108,71.0,1860.925,0.7829999999999999,0.9383971999999999
20181029,0.01014,22.14,11.911,85.0,2038.115,0.8390000000000001,1.0129001
20181030,0.01014,22.899,12.595,154.0,2286.01,0.721,-0.34471816
20181031,0.01014,24.347,16.173,62.0,2264.082000000001,0.871,-0.42056435
20181101,0.01014,35.247,22.342,108.0,2312.138,0.8290000000000001,-0.5669828
20181102,0.01014,38.087,24.96,90.0,2401.404,0.831,-1.0918462
20181103,0.01014,51.007,35.549,96.0,2481.036,1.065,-1.1578524
20181104,0.06929,49.191,36.233,229.0,1950.115,0.8490000000000001,1.0814486
20181105,0.06929,56.033,39.118,390.0,2430.805,0.785,-0.5583009
20181106,0.06929,216.796,156.115,613.0,2212.728,0.877,1.0699308
20181107,0.06929,113.941,87.29700000000003,588.0,2223.518,0.8340000000000001,-0.07910961
20181108,0.06929,21.155,14.037,435.0,2141.0170000000007,0.768,0.92697626
20181109,0.06929,43.004,23.581,372.0,2431.409,0.942,-0.17699617
20181110,0.06929,99.14,67.551,247.0,2507.813,1.118,-0.008585035999999999
20181111,0.0507,94.08,65.02,351.0,1947.505,1.133,-0.08229369
20181112,0.0507,35.072,19.778,371.0,2200.641,0.836,0.74176556
20181113,0.0507,51.83,32.482,458.0,2261.489,0.787,1.7579126
20181114,0.0507,39.033,28.155,341.0,2361.492,0.838,-0.18092495
20181115,0.0507,60.674,45.639,283.0,2356.215,0.755,0.009675682
20181116,0.0507,69.649,52.135,379.0,2389.466,0.8190000000000001,-0.4412188
20181117,0.0507,38.624,24.526,120.0,2559.045,0.9,-1.9683816000000003
20181118,0.02535,42.429,28.061,173.0,2037.392,0.865,1.1875016999999999
20181119,0.02535,52.223,32.041,311.0,2209.596,0.68,-0.21942252
20181120,0.02535,40.673,16.947,288.0,2111.6220000000008,0.725,-1.34778
20181121,0.02535,37.347,20.83,174.0,1956.014,0.698,-0.040925562
20181122,0.02535,27.849,16.226,26.0,1997.564,0.732,0.97479373
20181123,0.02535,27.367,16.168,106.0,2393.646,0.763,-1.0452774
20181124,0.02535,23.489,16.21,73.0,1608.9129999999998,0.767,7.3025875
20181125,0.06422,55.706,43.619,230.0,1232.608,0.7979999999999999,21.043964000000003
20181126,0.06422,75.744,53.733,442.0,1730.655,0.696,4.353285
20181127,0.06422,124.833,67.623,500.0,2097.703,0.721,-1.6937171999999998
20181128,0.06422,176.446,31.184,520.0,2233.848,0.7120000000000001,7.08777
20181129,0.06422,86.15100000000002,29.174,403.0,2269.348,0.6809999999999999,0.9272874
20181130,0.06422,56.131,22.226,366.0,2430.105,0.7959999999999999,0.05625969
20181201,0.06422,40.431,24.071,170.0,1971.885,0.7959999999999999,0.14320475
20181202,0.02197,49.34,28.99,163.0,1558.686,0.78,10.942082000000001
20181203,0.02197,33.839,20.288,245.0,1812.109,0.733,1.1675248
20181204,0.02197,32.61,19.88,206.0,1916.616,0.733,-0.123426855
20181205,0.02197,33.204,15.419,187.0,1957.94,0.695,-0.080070436
20181206,0.02197,42.067,21.533,88.0,1947.406,0.716,-0.4135992
20181207,0.02197,19.926,8.437000000000001,79.0,2021.324,0.634,0.51621705
20181208,0.02197,23.924,9.344,40.0,1892.532,0.7340000000000001,0.1410473
20181209,0.01183,26.838,13.488,63.0,1471.026,0.675,8.718083
20181210,0.01183,36.076,21.951,122.0,1855.752,0.684,0.86249334
20181211,0.01183,49.882,32.925,166.0,1732.121,0.6709999999999999,3.148886
20181212,0.01183,41.582,23.238000000000003,224.0,1719.547,0.701,3.2695953999999996
20181213,0.01183,36.324,23.732,123.0,1802.893,0.706,1.1581743
20181214,0.01183,34.558,17.868,73.0,1998.296,0.6609999999999999,1.0626301999999999
20181215,0.01183,62.136,39.676,98.0,2012.619,0.778,0.98854643
