Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.12597,45.38399999999999,22.086,234.0,4207.005,1.078,0.7356904000000001
20180402,0.12597,50.62300000000001,19.911,371.0,4813.5790000000015,1.028,1.0402107
20180403,0.12597,45.457,12.749,251.0,4899.743,0.968,0.8256896
20180404,0.12597,9.892,4.588,352.0,4801.005,1.017,0.05977255
20180405,0.12597,6.476,3.688,293.0,4516.46,0.941,-0.55760664
20180406,0.12597,60.754,13.654000000000002,627.0,4564.718,1.0490000000000002,-1.0407679
20180407,0.12597,29.704,13.472,207.0,4923.668,1.14,1.3229066999999999
20180408,0.09044,21.151,10.162,199.0,3797.987,1.125,1.3801186
20180409,0.09044,43.544,25.007,407.0,4548.6709999999985,0.994,-0.3217308
20180410,0.09044,28.591,14.384,278.0,4659.457,0.979,0.16528636
20180411,0.09044,47.107,19.432,357.0,4674.475,1.0490000000000002,0.12220746
20180412,0.09044,28.318,9.551,236.0,4733.138,0.985,0.27735454
20180413,0.09044,19.136,7.567,223.0,4787.9670000000015,1.07,1.0028934
20180414,0.09044,13.431,6.944,95.0,4650.918,1.069,1.0742242
20180416,0.12597,21.117,11.868,318.0,4633.05,1.022,-0.35539335
20180417,0.12597,41.335,19.46,350.0,4701.986,0.988,0.6505769
20180418,0.12597,51.505,21.841,436.0,4573.972,1.009,0.75029546
20180419,0.12597,58.966,26.794,361.0,4532.683,1.012,0.8844559999999999
20180420,0.12597,76.03699999999998,38.841,361.0,4687.669,1.165,1.5307157
20180421,0.12597,49.121,27.068,159.0,5006.215,1.379,1.0779253999999998
20180422,0.07429,25.744,12.855,198.0,3717.927,1.286,0.90321046
20180423,0.07429,5.949,3.693,179.0,4418.028,0.944,-0.7035
20180424,0.07429,8.871,5.229,259.0,4465.044,1.022,-1.1912353
20180425,0.07429,22.063,16.584,298.0,4636.472,1.094,0.020909369
20180426,0.07429,28.518,19.245,258.0,4640.056,1.067,0.30832273
20180427,0.07429,37.979,26.617,165.0,4695.469,1.065,-0.41912574
20180428,0.07429,48.93,32.922,159.0,4983.7,1.206,-0.7020382
20180429,0.0969,45.79,28.41,196.0,4293.574000000001,1.125,0.50056463
20180430,0.0969,67.94,49.948,358.0,4633.34,1.223,1.0925338
20180501,0.0969,60.99,47.244,257.0,4519.393,1.078,0.2078188
20180502,0.0969,36.789,28.839,226.0,4526.76,1.004,0.039817154
20180503,0.0969,19.992,10.252,210.0,4737.772,1.012,1.1967866000000003
20180504,0.0969,38.319,15.859000000000002,171.0,4927.993,1.149,0.2023161
20180505,0.0969,35.439,18.026,70.0,4859.529,1.189,-1.7863226000000003
20180506,0.04522,12.283,7.662000000000001,38.0,4326.022,1.072,1.3532746
20180507,0.04522,31.833,17.791,101.0,4561.569,1.106,-0.32857627
20180508,0.04522,14.672,5.627000000000002,265.0,4765.005,1.092,-0.12716645
20180509,0.04522,17.637,6.494,209.0,4505.585,0.998,-0.1688878
20180510,0.04522,39.859,21.676,244.0,4509.167,1.071,1.1175964
20180511,0.04522,69.446,45.718,192.0,4664.646,1.084,-0.16284615
20180512,0.04522,33.085,21.727,56.0,4423.2829999999985,1.056,-0.56024426
20180513,0.06783,18.436,13.612,130.0,3529.794000000001,1.275,3.3269897000000004
20180514,0.06783,80.161,62.377,313.0,4178.814,1.055,-0.11932534
20180515,0.06783,73.47399999999998,56.255,273.0,4519.777,1.154,-0.2420978
20180516,0.06783,39.161,28.824,228.0,4377.781,1.021,-0.2483446
20180517,0.06783,18.275,12.5,185.0,4440.583,0.95,-0.5785915
20180518,0.06783,10.415,5.103,107.0,4613.718,1.0590000000000002,-0.28432506
20180519,0.06783,9.864,4.636,91.0,4821.806,1.346,-1.0379009
20180520,0.07752,9.51,5.769,104.0,3999.247,1.183,0.65193564
20180521,0.07752,15.68,10.086,148.0,4333.02,1.054,0.6870664000000001
20180522,0.07752,40.175,27.77,94.0,4192.795,1.006,1.2134136999999998
20180523,0.07752,45.46100000000001,14.777,318.0,4681.901,0.994,-0.74909943
20180524,0.07752,83.281,20.636,377.0,4747.111,1.0659999999999998,2.2985322
20180525,0.07752,79.831,29.245,235.0,4598.432,1.164,0.11403924
