Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.02418,51.317,26.351,234.0,1998.053,0.889,7.2167573
20180402,0.02418,54.45399999999999,22.605,371.0,2994.423,0.825,1.0659003
20180403,0.02418,54.733,16.224,251.0,3161.467,0.959,0.33119828
20180404,0.02418,19.438,11.449000000000002,352.0,3116.203,0.877,-0.093370855
20180405,0.02418,15.961,11.613,293.0,2960.545,0.943,-1.099508
20180406,0.02418,75.219,17.858,627.0,2959.845,0.904,-1.0371273
20180407,0.02418,36.102,16.828,207.0,2648.494,0.926,1.3507698000000001
20180408,0.01736,22.052,11.726,199.0,1913.357,0.994,8.506883
20180409,0.01736,36.258,25.025,407.0,2973.094,0.966,0.39099818
20180410,0.01736,36.776,18.049,278.0,3111.681,1.054,-0.14880103
20180411,0.01736,53.63399999999999,20.647,357.0,3138.99,0.951,0.034743726
20180412,0.01736,36.311,12.916,236.0,3160.476,0.955,-0.10798806
20180413,0.01736,30.042,13.01,223.0,3203.133,1.018,-0.37397522
20180414,0.01736,18.333,10.119,95.0,2482.769,0.895,1.31687
20180416,0.02418,25.849,16.043,318.0,3083.0370000000007,1.037,0.37076145
20180417,0.02418,47.697,25.894,350.0,3201.647,0.897,0.73723084
20180418,0.02418,56.32899999999999,28.994,436.0,3120.359000000001,1.017,0.95055777
20180419,0.02418,64.473,32.58,361.0,3104.058,0.975,0.84181887
20180420,0.02418,83.035,45.978,361.0,3154.487,0.912,0.8200076
20180421,0.02418,63.949,37.721,159.0,2775.452,0.944,0.22116941
20180422,0.01426,30.604,17.645,198.0,1896.866,1.0,9.6570835
20180423,0.01426,7.2029999999999985,4.187,179.0,2668.135,0.8029999999999999,1.644522
20180424,0.01426,10.445,4.771,259.0,3100.478,0.958,-1.3122858999999998
20180425,0.01426,25.712,20.697,298.0,3219.673,0.867,0.120090306
20180426,0.01426,29.374,21.526,258.0,3244.2670000000007,0.898,0.1570757
20180427,0.01426,37.962,27.924,165.0,3258.858,0.937,-0.81708413
20180428,0.01426,46.486,31.253,159.0,2870.755,0.943,-0.2644822
20180429,0.0186,49.667,30.417,196.0,2153.737,0.925,6.025061599999999
20180430,0.0186,65.969,48.289,358.0,3130.8520000000008,1.004,-0.46006554
20180501,0.0186,52.526,40.94300000000001,257.0,2712.016,0.8690000000000001,-0.00681442
20180502,0.0186,38.742,31.058000000000003,226.0,2988.328,0.95,2.1327956
20180503,0.0186,26.433000000000003,13.921,210.0,3098.153,0.887,0.719312
20180504,0.0186,39.708,16.058,171.0,3341.913,1.022,-1.2425292
20180505,0.0186,37.814,20.273,70.0,2697.78,1.068,2.633269
20180506,0.00868,12.601,8.262,38.0,1858.202,0.947,6.1186004
20180507,0.00868,34.555,21.447,101.0,2499.402,0.923,0.017414391
20180508,0.00868,21.22,9.986,265.0,3118.294000000001,0.932,0.034720004
20180509,0.00868,24.552,10.337,209.0,3270.462,0.946,-0.53266495
20180510,0.00868,37.828,21.131,244.0,3297.078,1.045,-0.86037487
20180511,0.00868,57.94,38.144,192.0,3277.191,1.021,-0.701235
20180512,0.00868,32.213,21.139,56.0,2309.647,0.928,0.5040155
20180513,0.01302,19.959,15.348,130.0,2088.713,1.132,5.2371273
20180514,0.01302,79.516,61.102,313.0,3020.557,0.956,-0.26160783
20180515,0.01302,87.413,71.61399999999998,273.0,3130.824,1.138,-1.072331
20180516,0.01302,45.011,36.281,228.0,2770.315,0.921,-0.63691086
20180517,0.01302,22.333,16.49,185.0,2869.191,0.953,-0.24152392
20180518,0.01302,15.13,5.5139999999999985,107.0,3152.391,0.99,-1.192909
20180519,0.01302,12.763,7.019,91.0,2872.985,0.984,0.61801654
20180520,0.01488,12.937,8.804,104.0,2058.308,1.034,5.1526246
20180521,0.01488,22.227,13.489,148.0,2985.84,0.914,0.15153699999999998
20180522,0.01488,43.075,31.019,94.0,2299.658,0.7809999999999999,2.5694594
20180523,0.01488,32.203,16.109,318.0,3084.235,0.912,0.35709673
20180627,0.00868,50.813,39.147,76.0,2843.296,0.959,0.085929215
20180629,0.00868,40.308,30.923,38.0,2973.432,0.967,3.3902620000000003
20180710,0.00372,25.333,14.833,62.0,2998.61,0.905,-1.0957446000000002
20180711,0.00372,86.26299999999998,62.175,78.0,3346.898,0.885,-1.3750496
20181124,0.0093,40.361,32.511,73.0,2706.918,0.8029999999999999,3.1151468999999996
20181125,0.02356,70.44,60.967,230.0,2311.255,1.036,1.7947593000000002
20181126,0.02356,86.03299999999999,69.447,442.0,3016.324,0.7509999999999999,0.6068260999999999
20181127,0.02356,147.70600000000005,101.078,500.0,3113.481,0.8420000000000001,0.27188759999999995
20181128,0.02356,149.905,33.946,520.0,3241.545,0.8690000000000001,2.2056286
20181129,0.02356,108.203,40.474,403.0,3252.946,0.93,-0.22869128
20181130,0.02356,82.765,35.978,366.0,3401.572,0.873,-0.2460112
20181201,0.02356,56.484,35.834,170.0,2968.428,0.943,0.31108707
20181202,0.00806,51.319,32.692,163.0,2174.568,0.942,6.071756
20181203,0.00806,65.167,38.794,245.0,2954.895,0.847,-0.22354048
20181204,0.00806,50.871,28.649,206.0,2943.116,0.718,0.21541100000000002
20181205,0.00806,40.87,21.478,187.0,3095.5840000000007,0.873,-0.36920434
20181206,0.00806,47.144,26.906,88.0,3207.684,0.7859999999999999,-2.1256206000000004
20181207,0.00806,28.628,14.118,79.0,3157.889,0.754,-1.5532916
20181208,0.00806,29.736,14.478,40.0,2716.173,0.984,2.199888
20181209,0.00434,31.967,19.783,63.0,1986.575,0.904,6.3276877
20181210,0.00434,42.403,30.642,122.0,3099.41,0.918,-0.3239308
20181211,0.00434,52.907,41.974,166.0,2942.535,0.8540000000000001,-0.17115027
20181212,0.00434,58.639,38.421,224.0,2839.276,0.7809999999999999,0.11338836
20181213,0.00434,54.024,37.283,123.0,3071.12,1.089,-0.56899685
20181214,0.00434,50.052,26.684,73.0,3344.185,0.904,-1.5973911
20181215,0.00434,65.918,42.397,98.0,2886.195,0.836,-0.11527401
20181216,0.01426,64.438,45.036,216.0,2002.815,0.96,9.563464
20181217,0.01426,85.473,53.785,482.0,3024.784,0.753,0.40328294
20181218,0.01426,69.35600000000001,36.575,363.0,3171.649000000001,0.931,-0.30418652
20181219,0.01426,77.9,42.94,369.0,3155.898,0.805,0.09828931
20181220,0.01426,78.421,50.668,422.0,3115.383,0.931,-0.33024353
20181221,0.01426,88.089,55.945,395.0,3425.5490000000004,0.926,-1.299778
20181222,0.01426,97.99,67.12,340.0,3039.69,0.951,-0.15053505
20181223,0.0062,74.987,40.913,242.0,2396.08,1.04,-7.899691000000001
20181224,0.0062,39.897,19.189,166.0,3159.157,0.8540000000000001,-0.5767406999999999
20181225,0.0062,51.742,29.734,155.0,2581.688,0.8490000000000001,-0.38552088
20181226,0.0062,70.657,36.26,210.0,3019.446,0.848,0.22112674
20181227,0.0062,50.975,17.018,112.0,2795.687,0.7509999999999999,-0.90436906
20181228,0.0062,59.29600000000001,21.58,135.0,2958.625,0.887,-0.7155315
20181229,0.0062,63.57100000000001,16.278,91.0,2378.544,0.8640000000000001,-0.09736460400000001
20181230,0.00558,56.782,28.314,71.0,1634.473,0.799,9.495759
20181231,0.00558,67.26,42.724,93.0,2549.891,0.885,-0.88211244
20190101,0.00558,53.444,32.26,88.0,1461.2910000000004,0.93,12.216296
20190102,0.00558,50.351000000000006,30.34,188.0,2602.029,0.79,0.93374234
20190103,0.00558,60.271,35.01,240.0,2896.088,0.976,0.54817396
20190104,0.00558,80.419,50.956,373.0,2893.253,0.823,2.716946
20190105,0.00558,91.924,52.9,267.0,2544.409,0.901,-0.83609885
20190106,0.0093,72.234,30.588,224.0,1887.288,0.7909999999999999,9.034169
20190107,0.0093,80.73,47.349,436.0,2625.638,0.753,0.04955274
20190108,0.0093,66.454,29.962,264.0,2904.718,0.7140000000000001,1.5068471
20190110,0.0093,76.649,40.283,308.0,2364.748,0.8190000000000001,0.5810911999999999
20190111,0.0093,95.523,61.598,295.0,2995.363,0.906,-0.3820619
20190112,0.0093,107.036,72.031,364.0,2668.59,0.892,0.14025861
20190113,0.03596,131.808,86.39399999999998,617.0,1345.392,0.867,34.14855
20190114,0.03596,209.845,147.61700000000005,617.0,2153.222,0.818,11.012936999999999
20190115,0.03596,153.064,89.45,502.0,2885.954,0.895,-1.1107945
20190116,0.03596,70.795,23.675,357.0,2843.828,0.7609999999999999,1.5366123
20190117,0.03596,63.112,29.909,292.0,3075.137,0.831,0.035622537
20190118,0.03596,67.396,38.485,439.0,3108.491,0.855,0.37417990000000007
20190119,0.03596,85.916,54.785,420.0,2555.765,0.916,0.78637457
20190120,0.01674,73.833,34.16,384.0,1985.552,0.87,13.207560999999998
20190121,0.01674,67.342,29.864,369.0,2658.4770000000008,0.8009999999999999,0.6156866999999999
20190122,0.01674,81.208,32.649,417.0,3007.715,0.8859999999999999,-0.32569045
20190125,0.01674,57.332,24.49,313.0,2909.682,0.884,-0.81046313
20190126,0.01674,56.81,23.558000000000003,183.0,2603.165,0.828,0.32951218
20190127,0.01054,56.772,28.598000000000006,218.0,2082.667,0.954,7.3990636
20190128,0.01054,89.445,25.72,259.0,2850.93,0.831,-1.9887531000000003
20190129,0.01054,81.601,23.94,344.0,2864.385,0.8540000000000001,-0.5808774999999999
20190130,0.01054,73.31,34.401,297.0,2912.018,0.8490000000000001,0.8134728
20190131,0.01054,76.19800000000002,23.657,196.0,2758.0290000000005,0.927,1.1912687
20190201,0.01054,61.504,24.919,261.0,2784.856,0.802,-0.5150234
