Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.03822,68.307,32.397,234.0,5456.911999999998,1.258,6.794017299999999
20180402,0.03822,67.281,26.312,371.0,9520.631,1.479,1.8997945999999999
20180403,0.03822,70.257,23.785,251.0,9822.063,1.442,1.4466212
20180404,0.03822,21.387,11.505,352.0,10124.564,1.591,-1.0179687
20180405,0.03822,12.054,6.794,293.0,9842.482,1.597,-1.0940683
20180406,0.03822,81.514,21.542,627.0,9670.591,1.508,1.2826276
20180407,0.03822,46.028,18.327,207.0,7481.76,1.159,0.2989617
20180408,0.02744,33.235,15.892,199.0,5393.02,1.516,7.112083
20180409,0.02744,48.706,30.944000000000006,407.0,9416.134,1.356,1.1593858999999997
20180410,0.02744,51.076,22.392,278.0,10063.659,1.529,-0.021741092000000004
20180411,0.02744,76.484,31.18,357.0,9932.967,1.531,-0.04023117
20180412,0.02744,51.911,17.453,236.0,10377.73,1.5490000000000002,-0.39003152
20180413,0.02744,37.962,13.747,223.0,10150.673,1.55,-0.5252926
20180414,0.02744,26.854,13.385,95.0,6958.513000000001,1.146,0.86189264
20180416,0.03822,33.765,19.99,318.0,9712.168,1.39,-0.3982467
20180417,0.03822,56.142,30.792,350.0,10299.272,1.408,0.15403372
20180418,0.03822,66.205,31.72,436.0,10255.99,1.467,1.4877751000000001
20180419,0.03822,76.78699999999998,36.84,361.0,10486.904,1.54,-0.18761033
20180420,0.03822,94.758,50.261,361.0,10523.295,1.578,-0.15549392
20180421,0.03822,74.165,39.705,159.0,7755.2559999999985,1.328,1.4079358999999998
20180422,0.02254,41.163,22.635,198.0,5183.598,1.317,9.680143
20180423,0.02254,12.854,8.64,179.0,8868.925,1.39,-1.7919128
20180424,0.02254,12.925999999999998,6.0310000000000015,259.0,10089.097,1.368,-0.33211797
20180425,0.02254,31.627,21.853,298.0,10485.958,1.45,-0.12719661
20180426,0.02254,47.333,32.374,258.0,10462.34,1.462,-0.12265915
20180427,0.02254,59.25,42.422,165.0,10909.002,1.568,-1.5446405
20180428,0.02254,72.611,47.68600000000001,159.0,7826.326999999998,1.3090000000000002,0.5679173000000001
20180429,0.0294,67.125,39.306,196.0,6112.005,1.47,3.6952841
20180430,0.0294,94.304,68.35600000000001,358.0,9584.75,1.578,0.4930957
20180501,0.0294,77.969,60.312,257.0,7428.321,1.314,-0.56107634
20180502,0.0294,58.65,47.896,226.0,9944.94,1.372,1.2655549
20180503,0.0294,32.859,16.488,210.0,10085.933,1.56,0.95690626
20180504,0.0294,56.407,20.15,171.0,11147.049,1.469,-0.30614537
20180505,0.0294,51.90600000000001,24.369,70.0,7351.941999999999,1.176,0.03403002
20180506,0.01372,20.671,11.269,38.0,5498.233,1.153,5.6917176
20180507,0.01372,41.727,21.694000000000006,101.0,5860.736999999999,1.168,6.392819
20180508,0.01372,26.614,9.931,265.0,9695.56,1.359,0.88954204
20180509,0.01372,29.254,10.390999999999998,209.0,10297.013,1.418,-0.41611450000000005
20180510,0.01372,47.545,27.234,244.0,10100.045,1.43,-0.5620031
20180511,0.01372,95.499,61.517,192.0,10542.525,1.449,-0.832406
20180512,0.01372,40.578,25.845,56.0,7306.7069999999985,1.142,-0.05525726
20180513,0.02058,33.37,25.683000000000003,130.0,5990.29,1.237,5.168825599999999
20180514,0.02058,112.417,91.378,313.0,9672.286,1.386,0.1655615
20180515,0.02058,88.037,65.628,273.0,10500.223,1.482,0.21958977
20180516,0.02058,42.578,30.145,228.0,9664.754,1.4369999999999998,-0.17466205
20180517,0.02058,24.729,14.883,185.0,9794.142,1.457,0.80057055
20180518,0.02058,18.168,11.154000000000002,107.0,10005.821,1.416,-0.0031439662
20180519,0.02058,18.798,9.304,91.0,8089.312,1.231,0.8496451999999999
20180520,0.02352,16.582,8.794,104.0,6234.356,1.278,2.5288122000000004
20180521,0.02352,28.114,14.933,148.0,9310.775,1.321,1.1945860000000001
20180522,0.02352,51.344,34.906,94.0,5901.23,1.287,5.111994999999999
20180523,0.02352,55.353,15.105,318.0,9867.527,1.378,-0.26712292
20180524,0.02352,121.141,33.223,377.0,10230.856,1.464,-0.66452473
20180525,0.02352,114.654,46.453,235.0,10167.305,1.439,1.2801492
20180526,0.02352,90.86,44.574,119.0,7988.23,1.244,-0.14173573
20180527,0.02058,80.028,35.165,116.0,5935.621,1.324,6.663954700000001
20180528,0.02058,59.002,31.476,177.0,9546.796,1.449,0.22246867
20180530,0.02058,55.437,40.185,269.0,10151.342,1.459,-0.9234659
20180531,0.02058,54.183,33.28,204.0,10143.852,1.556,-0.18056291
20180602,0.02058,45.249,27.128,68.0,7498.433000000001,1.154,0.9309948
20180603,0.016659999999999998,36.296,23.824,70.0,5581.165,1.311,6.256104
20180604,0.016659999999999998,43.663,28.893,120.0,9544.687,1.38,-0.4707703
20180605,0.016659999999999998,47.962,34.465,139.0,10118.139,1.501,-0.34004015
