Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.07917,65.173,30.984,234.0,3710.951,0.979,1.4059579
20180402,0.07917,65.168,25.49,371.0,4988.442,1.122,0.69019467
20180403,0.07917,66.098,19.06,251.0,5330.048000000002,1.085,-0.015425383999999999
20180404,0.07917,17.357,8.304,352.0,5275.93,1.046,-0.38882178
20180405,0.07917,11.442,6.574,293.0,5181.7959999999985,1.05,-1.4328333999999998
20180406,0.07917,73.024,19.133,627.0,5069.069,1.041,3.5251384
20180407,0.07917,44.029,20.646,207.0,4703.812,0.991,0.46186823
20180408,0.05684,39.593,18.462,199.0,3595.798,1.278,0.8350880999999999
20180409,0.05684,40.71,26.359,407.0,4991.176,1.108,-0.71309084
20180410,0.05684,52.143,25.023000000000003,278.0,5378.275,1.2,-0.08343309
20180411,0.05684,73.193,26.263,357.0,5347.222,1.058,-0.58797044
20180412,0.05684,53.432,18.995,236.0,5429.93,1.075,-0.21617383
20180413,0.05684,39.683,18.156,223.0,5471.092,1.148,-0.27472514
20180414,0.05684,33.139,17.564,95.0,4525.566,1.124,0.6217666000000001
20180416,0.07917,36.891,21.913,318.0,5072.92,1.019,-0.4335459
20180417,0.07917,59.37600000000001,31.54,350.0,5328.023,1.11,-1.1622046999999998
20180418,0.07917,67.931,35.935,436.0,5332.935,1.084,-0.31783193
20180419,0.07917,70.49,35.85,361.0,5317.805,1.106,-1.1370957
20180420,0.07917,89.06299999999997,47.96100000000001,361.0,5372.585999999998,1.069,-0.99739236
20180421,0.07917,68.093,37.803,159.0,4766.554,1.175,0.9038046000000001
20180422,0.04669,54.655,28.915,198.0,3631.594,1.222,1.1219841999999998
20180423,0.04669,27.317,19.516,179.0,4690.5909999999985,1.036,1.6106243
20180424,0.04669,11.936,6.455,259.0,5191.53,1.062,-0.06786317
20180425,0.04669,32.628,22.916,298.0,5513.955,1.141,-0.9551030999999999
20180426,0.04669,44.3,30.703000000000007,258.0,5416.838000000002,1.128,-0.44012755
20180427,0.04669,53.515,36.833,165.0,5715.795,1.156,-1.7828351999999998
20180428,0.04669,61.718,38.417,159.0,5084.949000000001,1.178,-0.101650655
20180429,0.0609,63.976000000000006,36.274,196.0,3938.653,1.082,1.0974596
20180430,0.0609,84.03200000000002,56.118,358.0,5203.22,1.088,-0.7799111999999999
20180501,0.0609,81.633,55.539,257.0,4478.61,1.197,1.1752663
20180502,0.0609,67.733,50.333,226.0,5221.773,1.146,1.4123693000000002
20180503,0.0609,35.845,18.936,210.0,5381.736999999999,1.233,0.15405327
20180504,0.0609,55.654,23.941,171.0,5844.389,1.212,-2.6519215
20180505,0.0609,56.01300000000001,25.888,70.0,4713.066,1.19,0.93496066
20180506,0.02842,27.282,16.834,38.0,3755.9,1.084,-0.23654239999999999
20180507,0.02842,47.219,25.423,101.0,3920.83,0.992,0.79578906
20180508,0.02842,25.867,11.84,265.0,5555.255,1.153,-1.3671355
20180509,0.02842,31.198,12.091,209.0,5422.391,1.187,-0.7321268
20180510,0.02842,52.712,28.487,244.0,5512.576,1.185,-1.2013340000000001
20180511,0.02842,79.404,51.565,192.0,5757.3290000000015,1.269,-1.7640552999999999
20180512,0.02842,44.448,28.701,56.0,4437.274,1.13,-0.44790715
20180513,0.04263,31.821,22.542,130.0,4099.882000000001,1.212,1.0227945
20180514,0.04263,86.28200000000002,67.15899999999999,313.0,5225.193,1.176,0.7883001000000001
20180515,0.04263,71.84100000000002,51.86,273.0,5484.465,1.208,-0.99890155
20180516,0.04263,48.00100000000001,32.486,228.0,5122.395,1.156,0.12265235
20180517,0.04263,31.654,20.815,185.0,5339.441999999999,1.08,-0.94726604
20180518,0.04263,23.886,8.581,107.0,5593.125,1.154,-1.2918968000000002
20180519,0.04263,16.738,7.69,91.0,5154.378,1.217,-1.4035006
20180520,0.04872,15.331,7.8370000000000015,104.0,3881.454,1.105,0.8172609000000001
20180521,0.04872,26.183000000000003,13.604,148.0,5019.693,1.015,0.65675384
20180522,0.04872,50.702,29.141,94.0,3904.81,1.277,1.4138441000000002
20180523,0.04872,54.827,15.558,318.0,5221.426,1.16,-0.23141593
20180524,0.04872,89.262,22.047,377.0,5266.808000000001,1.114,-1.6001546
