Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.032760000000000004,64.898,31.036,234.0,14775.795,1.255,7.2427545
20180402,0.032760000000000004,65.08800000000001,25.518,371.0,28435.037,1.77,1.3108834999999999
20180403,0.032760000000000004,64.247,18.609,251.0,29660.658,1.877,0.5989196999999999
20180404,0.032760000000000004,18.841,9.065,352.0,29619.215,1.795,-0.9277334999999999
20180405,0.032760000000000004,13.377,7.881,293.0,28859.575,1.805,-0.83306366
20180406,0.032760000000000004,80.77600000000002,20.948,627.0,29131.658,1.804,3.5581958
20180407,0.032760000000000004,41.904,19.707,207.0,22595.586,1.51,1.0484054
20180408,0.02352,34.909,16.342,199.0,14765.498,1.419,7.971843700000001
20180409,0.02352,45.611,29.352,407.0,28412.567000000006,1.699,0.78723174
20180410,0.02352,43.877,21.681,278.0,29952.159,1.948,0.17363673
20180411,0.02352,62.5,22.369,357.0,30152.227000000006,1.797,-0.19804531
20180412,0.02352,46.869,16.676,236.0,30542.709,1.825,-0.7138880999999999
20180413,0.02352,31.798,14.526,223.0,31268.397,1.895,1.1225352
20180414,0.02352,27.097,14.422,95.0,20826.559,1.639,-0.12164408
20180416,0.032760000000000004,29.778,17.657,318.0,29289.4,1.75,-0.76357573
20180417,0.032760000000000004,50.052,26.21,350.0,30373.865,1.825,0.068277776
20180418,0.032760000000000004,59.951,30.307,436.0,30582.113,1.838,1.0567882
20180419,0.032760000000000004,63.982,32.267,361.0,30373.896,1.938,0.20580941
20180420,0.032760000000000004,96.752,52.106,361.0,30720.922,2.013,-0.20987481
20180421,0.032760000000000004,64.626,36.428,159.0,23603.863,1.758,0.42952806
20180422,0.01932,37.699,19.711,198.0,14120.254,1.346,10.231031
20180423,0.01932,16.871,12.05,179.0,26193.16,1.64,-0.95394677
20180424,0.01932,10.157,5.69,259.0,29541.89,1.778,-0.223162
20180425,0.01932,27.835,19.457,298.0,31080.691000000006,1.888,-0.10155946
20180426,0.01932,36.496,25.21,258.0,31472.788,1.891,0.04915577
20180427,0.01932,46.692,32.053000000000004,165.0,32217.159,1.966,-0.88691086
20180428,0.01932,54.46,34.194,159.0,23259.567000000006,1.704,0.39566976
20180429,0.0252,51.3,28.983,196.0,16313.796,1.392,5.989478599999999
20180430,0.0252,71.467,47.555,358.0,28055.837000000003,1.832,0.8003138000000001
20180501,0.0252,67.11399999999999,45.408,257.0,21181.32,1.534,-0.106150806
20180502,0.0252,57.13800000000001,42.386,226.0,29196.972,1.86,1.2401271
20180503,0.0252,30.451,15.974,210.0,30647.711,1.945,2.0869255
20180504,0.0252,45.01600000000001,19.199,171.0,33677.842000000004,1.995,-0.72540563
20180505,0.0252,43.206,19.759,70.0,23015.809,1.757,1.1258656999999999
20180506,0.01176,17.496,10.76,38.0,15801.715,1.578,5.3091397
20180507,0.01176,35.819,19.028,101.0,18416.7,1.3159999999999998,2.2277102
20180508,0.01176,21.356,9.804,265.0,29728.154,1.689,0.06674868
20180509,0.01176,24.787,9.471,209.0,31279.009,1.863,-0.43289120000000003
20180510,0.01176,47.135,25.583,244.0,32247.238,1.894,-1.0306511
20180511,0.01176,73.569,47.746,192.0,33221.218,2.022,-1.2299303999999998
20180512,0.01176,39.289,25.391,56.0,20766.741,1.694,-0.28895015
20180513,0.01764,29.314,20.672,130.0,17272.568,1.435,4.880374
20180514,0.01764,86.48100000000002,67.41199999999999,313.0,29778.055,1.871,-0.12867564
20180515,0.01764,70.419,51.028,273.0,31755.537,1.993,-0.18619722
20180516,0.01764,43.46100000000001,29.37,228.0,28950.349,1.983,-0.68984956
20180517,0.01764,30.974,20.383,185.0,29746.86,1.945,0.4924646
20180518,0.01764,22.332,7.546,107.0,31754.434,1.881,-1.1074414
20180519,0.01764,15.545,6.919,91.0,25968.355,1.878,0.80105263
20180520,0.02016,14.315,7.134,104.0,18075.751,1.5,1.5604837
