Date,search,pm10,pm25,COUNT_T,TMST,retail,Deepindex
20180401,0.10413,90.151,44.524,234.0,1388.708,1.183,0.7869244000000001
20180402,0.10413,90.824,35.992,371.0,1329.891,0.913,-0.6721725000000001
20180403,0.10413,81.93299999999998,23.237,251.0,1377.872,0.941,1.546571
20180404,0.10413,20.603,9.537,352.0,1389.243,0.927,0.44367808
20180405,0.10413,9.851,5.182,293.0,1333.049,0.94,-0.639628
20180406,0.10413,85.45200000000001,20.415,627.0,1413.4070000000004,0.967,-0.11443132
20180407,0.10413,36.476,16.785,207.0,1593.229,1.25,-0.86763734
20180408,0.07476000000000001,23.119,11.171,199.0,1363.2720000000004,1.245,1.6718462
20180409,0.07476000000000001,38.863,22.563,407.0,1341.775,0.949,0.27795440000000005
20180410,0.07476000000000001,35.851,17.377,278.0,1417.392,0.89,0.9808238000000001
20180411,0.07476000000000001,63.913,26.242,357.0,1412.905,0.927,0.42832879999999995
20180412,0.07476000000000001,40.047,13.427,236.0,1409.912,1.003,0.16089278
20180413,0.07476000000000001,30.464,12.383,223.0,1421.842,1.062,0.37814766
20180414,0.07476000000000001,22.01,11.771,95.0,1466.7179999999996,1.342,1.6189284
20180416,0.10413,29.032,16.445,318.0,1347.8370000000002,1.015,0.781452
20180417,0.10413,56.944,26.355,350.0,1379.16,1.02,0.72797877
20180418,0.10413,74.281,30.701,436.0,1412.84,1.001,0.010499537
20180419,0.10413,81.571,37.14,361.0,1405.945,1.025,0.09428102
20180420,0.10413,100.342,51.394,361.0,1440.33,1.124,0.8960958000000001
20180421,0.10413,100.173,56.252,159.0,1623.225,1.418,0.672962
20180422,0.06141,35.844,18.41,198.0,1330.224,1.3,0.61070067
20180423,0.06141,10.519,6.843,179.0,1286.398,0.906,4.4112377
20180424,0.06141,12.023,7.342,259.0,1375.121,1.062,1.3034925
20180425,0.06141,25.96,19.443,298.0,1415.069,1.116,0.3918355
20180426,0.06141,34.131,23.238000000000003,258.0,1417.589,1.0590000000000002,0.36555129999999997
20180427,0.06141,44.694,31.624,165.0,1438.721,0.986,0.44650155
20180428,0.06141,58.125,39.828,159.0,1569.372,1.128,0.22997671
20180429,0.0801,50.749,31.363000000000003,196.0,1448.092,1.087,0.7402213000000001
20180430,0.0801,75.04899999999998,55.131,358.0,1329.13,1.087,0.55723304
20180501,0.0801,61.435,47.558,257.0,1417.3670000000004,1.115,-0.40883368
20180502,0.0801,45.769,36.241,226.0,1320.931,0.91,-0.0037767290000000004
20180503,0.0801,22.275,11.748,210.0,1468.41,0.983,0.7641724
20180504,0.0801,38.572,16.204,171.0,1603.335,1.093,0.30718976
20180505,0.0801,38.147,19.466,70.0,1573.155,1.063,-0.058594405999999995
20180506,0.03738,14.243,8.958,38.0,1397.595,1.043,-0.5267864999999999
20180507,0.03738,31.057,17.39,101.0,1506.705,0.972,1.1297834
20180508,0.03738,16.759,6.49,265.0,1499.86,1.13,0.324982
20180509,0.03738,21.356,7.955,209.0,1494.283,0.928,0.5102528000000001
20180510,0.03738,36.982,20.17,244.0,1522.662,0.94,-0.8518502
20180511,0.03738,67.331,44.289,192.0,1569.6429999999998,1.006,-0.03807205
20180512,0.03738,29.961,19.705,56.0,1544.753,1.129,0.80927116
20180513,0.05607,19.533,14.293,130.0,1533.72,1.247,-1.0941100000000001
20180514,0.05607,74.135,57.76,313.0,1496.311,0.899,-0.13502449
20180515,0.05607,70.37,53.885,273.0,1521.983,1.0659999999999998,-0.7889921
20180516,0.05607,34.145,25.026,228.0,1423.636,0.907,0.59646493
20180517,0.05607,16.64,11.498,185.0,1452.132,0.935,0.69959694
20180518,0.05607,12.452,6.336,107.0,1528.224,1.005,0.67043906
20180519,0.05607,12.922,6.3420000000000005,91.0,1836.621,1.287,-1.3252553999999999
20180520,0.06408,11.075,6.8420000000000005,104.0,1569.235,1.18,0.14395887
20180521,0.06408,17.262999999999998,11.099,148.0,1494.0410000000004,0.967,0.8594801999999999
20180522,0.06408,37.033,25.623,94.0,1506.36,0.974,0.50525254
20180523,0.06408,42.93600000000001,14.168,318.0,1510.891,0.938,-1.2200115
20180524,0.06408,87.708,21.576,377.0,1510.517,0.953,-2.2065808999999996
20180525,0.06408,82.074,30.436,235.0,1534.504,0.987,-1.9761908
20180526,0.06408,65.829,29.698,119.0,1730.119,1.368,-0.53742236
20180527,0.05607,60.894,27.607,116.0,1528.28,1.383,0.5844889
20180528,0.05607,38.792,19.405,177.0,1442.964,0.958,1.1409738
20180530,0.05607,38.089,21.662,269.0,1486.12,1.034,1.1563451
20180531,0.05607,33.831,19.558,204.0,1548.1570000000004,1.067,-0.15923613
20180602,0.05607,29.624,16.719,68.0,2032.749,1.534,-1.5199964
20180603,0.04539,24.203000000000007,16.500999999999998,70.0,1715.049,1.348,-1.0383860999999999
20180604,0.04539,29.026,19.926,120.0,1590.358,1.03,0.9393341999999999
20180605,0.04539,30.671,22.749,139.0,1591.267,1.046,1.4076941
20180606,0.04539,33.262,26.795,68.0,1517.052,1.13,1.0392678
20180607,0.04539,35.907,26.953000000000007,180.0,1586.507,1.0490000000000002,0.37602288
20180608,0.04539,27.647,20.754,117.0,1700.971,1.055,-0.814797
20180609,0.04539,32.61,22.674,52.0,1920.988,1.41,-1.5689161
20180610,0.02937,8.807,4.832,77.0,1609.106,1.2919999999999998,0.50248796
20180611,0.02937,12.548,5.216,113.0,1568.585,1.01,-1.1699197000000001
20180612,0.02937,18.633,7.055,111.0,1603.356,1.08,0.21013671
20180613,0.02937,31.034,22.402,57.0,1612.246,1.207,-0.5850553000000001
20180614,0.02937,33.513000000000005,24.413,89.0,1567.638,1.022,1.1965108
20180615,0.02937,19.481,11.354,118.0,1704.605,1.088,-0.46450037
20180616,0.02937,26.385,15.688,62.0,1913.884,1.368,-1.8221555
20180617,0.03738,46.378,31.562,105.0,1624.775,1.247,-0.36642855
20180618,0.03738,42.091,31.119,104.0,1542.271,1.094,0.13876992
20180619,0.03738,40.478,30.054,92.0,1593.339,0.983,0.1684683
20180620,0.03738,40.552,30.665,81.0,1613.938,1.09,-0.58879846
20180621,0.03738,40.506,28.284,103.0,1648.366,1.084,-0.43741018
20180622,0.03738,45.872,31.645,60.0,1725.8670000000004,1.172,-1.2336402
20180623,0.03738,46.233,30.769,64.0,1950.668,1.511,-2.0001783
20180624,0.03738,56.553,37.701,132.0,1610.523,1.375,-0.4018244
20180625,0.03738,61.965,38.857,116.0,1600.5770000000002,1.106,-0.6329114
20180626,0.03738,51.11,36.555,116.0,1483.9879999999996,0.941,0.387307
20180627,0.03738,36.923,27.666,76.0,1623.895,1.143,-0.6346838
20180628,0.03738,37.235,25.375,146.0,1633.8570000000002,1.117,-0.0076105
20180629,0.03738,51.355,35.128,38.0,1709.8429999999996,1.163,-1.4301511999999998
20180630,0.03738,67.155,47.408,9.0,1819.389,1.491,-1.7075791
20180701,0.01335,26.812,13.694,26.0,1240.387,1.18,5.2956959999999995
20180702,0.01335,12.933,9.516,86.0,1385.154,0.979,0.3251422
20180703,0.01335,25.385,13.91,53.0,1520.185,1.14,0.015821278
20180704,0.01335,37.841,18.546,63.0,1516.355,1.204,-0.8051786
20180705,0.01335,29.144,21.917,53.0,1469.138,1.025,1.3331177
20180706,0.01335,10.335,4.003,180.0,1552.45,1.019,-1.1362875
20180707,0.01335,10.023,4.48,36.0,1671.068,1.258,-0.33389276
20180708,0.01602,19.099,9.015,56.0,1501.7479999999996,1.225,0.8158696
20180709,0.01602,13.223,8.151,59.0,1397.908,0.941,0.033917725
20180710,0.01602,25.417,12.865,62.0,1460.579,0.838,0.6681722
20180711,0.01602,42.27,28.475,78.0,1468.023,1.05,1.4558239
20180712,0.01602,39.18,22.793000000000006,92.0,1538.566,0.977,-0.7332484
20180713,0.01602,26.97,19.358,27.0,1596.7579999999996,1.025,-0.6686948
20180714,0.01602,26.945,18.626,21.0,1666.54,1.3,-0.58452934
20180715,0.01602,30.464,22.695,51.0,1494.677,1.242,0.5037518
20180716,0.01602,30.73,23.632,30.0,1490.03,1.018,0.1208542
20180717,0.01602,33.082,27.194000000000006,80.0,1545.986,1.041,1.1420503
20180718,0.01602,42.172,34.688,114.0,1534.136,1.032,-0.37957257
20180719,0.01602,37.194,29.751,83.0,1533.253,1.147,0.75941974
20180720,0.01602,44.14,32.769,69.0,1576.924,1.128,0.16255468
20180721,0.01602,53.544,43.005,80.0,1631.015,1.4340000000000002,-0.22464418
20180722,0.01335,43.676,31.647,26.0,1434.786,1.369,-0.027685583
20180723,0.01335,45.61,31.215,50.0,1465.419,1.16,0.49491817
20180724,0.01335,57.672,42.554,53.0,1481.402,1.129,-0.24101847
20180725,0.01335,48.1,35.302,56.0,1531.74,1.338,-0.39787048
20180726,0.01335,59.426,42.144,93.0,1528.975,1.263,0.71859187
20180727,0.01335,69.455,53.551,51.0,1568.7879999999998,1.242,-0.8636120999999999
20180728,0.01335,46.67,36.286,17.0,1634.9489999999996,1.359,-1.288147
20180729,0.01068,32.942,24.222,20.0,1390.833,1.163,0.17782527
20180730,0.01068,17.807000000000006,9.832,51.0,1370.08,1.112,0.81904584
20180731,0.01068,30.574,15.604,72.0,1436.189,1.2990000000000002,-0.21148652
20180801,0.01068,47.056,29.056,22.0,1469.156,1.257,-0.09430903
