Date,search,pm10,pm25,COUNT_T,TMST,retail,Linearindex
20180401,0.04212,67.46600000000001,32.029,234.0,1181.507,0.88,-1.3188407
20180402,0.04212,66.791,25.959,371.0,1781.08,0.78,0.10847186
20180403,0.04212,64.90100000000001,21.774,251.0,1893.3329999999999,0.828,0.4694186
20180404,0.04212,12.638,7.269,352.0,1881.585,0.73,0.39816886
20180405,0.04212,9.552,5.542000000000001,293.0,1854.39,0.732,0.3680091
20180406,0.04212,70.601,17.718,627.0,1805.749,0.6759999999999999,-0.04723235
20180407,0.04212,36.88,14.823,207.0,1523.6770000000001,0.8909999999999999,-0.43362403
20180408,0.030239999999999996,18.957,8.767000000000001,199.0,1106.53,0.9179999999999999,-1.42774
20180409,0.030239999999999996,36.794000000000004,22.74,407.0,1793.0510000000002,0.639,0.22159535
20180410,0.030239999999999996,38.400999999999996,15.734000000000002,278.0,1894.5320000000002,0.78,0.5441807
20180411,0.030239999999999996,62.531000000000006,25.289,357.0,1889.3229999999999,0.728,0.47224337
20180412,0.030239999999999996,44.50899999999999,15.245,236.0,1901.6729999999998,0.889,0.5801095
20180413,0.030239999999999996,26.197,9.211,223.0,1946.5839999999998,0.9470000000000001,0.71201617
20180414,0.030239999999999996,20.308,10.033,95.0,1441.5339999999999,0.758,-0.48746347
20180416,0.04212,24.451999999999998,14.534,318.0,1792.741,0.877,0.20177759
20180417,0.04212,48.379,26.218000000000004,350.0,1869.128,0.828,0.38218886
20180418,0.04212,63.208,29.197,436.0,1943.87,0.853,0.5012595
20180419,0.04212,75.882,36.671,361.0,1962.724,0.764,0.6109996
20180420,0.04212,99.234,52.571999999999996,361.0,1994.12,0.799,0.71545225
20180421,0.04212,57.943999999999996,30.754,159.0,1585.246,0.955,-0.2135334
20180422,0.02484,36.551,20.024,198.0,1140.747,0.867,-1.2920293
20180423,0.02484,10.606,6.314,179.0,1664.7520000000002,0.682,0.06259429
20180424,0.02484,11.652000000000001,5.405,259.0,1847.2820000000002,0.8440000000000001,0.47169912
20180425,0.02484,28.612,19.930999999999997,298.0,1987.41,0.848,0.8344017
20180426,0.02484,42.416000000000004,28.884,258.0,1963.908,0.85,0.8141095
20180427,0.02484,52.324,37.323,165.0,2033.652,0.87,1.0762371
20180428,0.02484,58.251000000000005,36.981,159.0,1638.253,0.922,0.049240235
20180429,0.0324,64.562,37.667,196.0,1328.967,0.797,-0.8272172
20180430,0.0324,81.34,58.951,358.0,1818.993,0.8540000000000001,0.37817362
20180501,0.0324,71.973,55.538000000000004,257.0,1402.308,0.7859999999999999,-0.623232
20180502,0.0324,52.532,43.038999999999994,226.0,1823.089,0.748,0.4674709
20180503,0.0324,27.971,14.299000000000001,210.0,1917.119,0.904,0.64944243
20180504,0.0324,53.854,19.107,171.0,2001.885,0.902,0.8712792
20180505,0.0324,48.247,22.623,70.0,1415.48,0.84,-0.547003
20180506,0.015119999999999998,16.426,8.629,38.0,1166.85,0.855,-1.0655433
20180507,0.015119999999999998,38.603,19.509,101.0,1268.011,0.9440000000000001,-0.8433297
20180508,0.015119999999999998,25.747,9.567,265.0,1867.027,0.9740000000000001,0.5686323
20180509,0.015119999999999998,27.092,9.703,209.0,1897.524,0.764,0.68509847
20180510,0.015119999999999998,52.434,31.386,244.0,1922.0629999999999,0.802,0.7665608
20180511,0.015119999999999998,86.7,61.074,192.0,1928.99,0.958,0.8805093
20180512,0.015119999999999998,41.602,26.031,56.0,1490.348,1.038,-0.21742174
20180513,0.022680000000000002,24.268,18.616,130.0,1282.448,1.003,-0.8507741
20180514,0.022680000000000002,106.536,87.169,313.0,1965.993,0.732,0.91531885
20180515,0.022680000000000002,82.60600000000001,60.583999999999996,273.0,2022.3870000000002,0.868,1.0245464
20180516,0.022680000000000002,40.902,28.836,228.0,1806.35,0.927,0.4439321
20180517,0.022680000000000002,22.14,12.967,185.0,1846.602,0.7859999999999999,0.54710066
20180518,0.022680000000000002,16.225,9.863,107.0,1908.8120000000001,0.8909999999999999,0.76029336
20180519,0.022680000000000002,16.672,8.227,91.0,1659.2060000000001,0.9990000000000001,0.120514244
20180520,0.02592,14.585,7.757999999999999,104.0,1325.4679999999998,0.8490000000000001,-0.7670782
20180521,0.02592,27.699,14.685,148.0,1740.055,0.8759999999999999,0.2766739
20180522,0.02592,45.383,30.756,94.0,1207.767,0.887,-1.0247439
20180523,0.02592,49.791000000000004,13.345,318.0,1876.5539999999999,0.925,0.46669704
20180524,0.02592,135.834,36.63,377.0,1943.451,0.9570000000000001,0.54540485
20180525,0.02592,102.515,41.085,235.0,1875.922,0.956,0.5445345
20180526,0.02592,99.62799999999999,48.9,119.0,1585.66,1.072,-0.0868782
20180527,0.022680000000000002,90.195,39.582,116.0,1306.942,1.0959999999999999,-0.80546206
20180528,0.022680000000000002,69.52199999999999,37.045,177.0,1805.3339999999998,0.88,0.46173713
20180530,0.022680000000000002,69.55,51.19,269.0,1937.408,1.037,0.79305637
