Date,search,pm10,pm25,COUNT_T,TMST,retail,Linearindex
20180401,0.16107,59.375,29.016,234.0,6752.214,0.8540000000000001,-0.37995586
20180402,0.16107,67.165,26.552,371.0,8551.655999999999,0.758,0.27194142
20180403,0.16107,62.798,17.756,251.0,8861.007,0.799,0.46568245
20180404,0.16107,13.744000000000002,6.683,352.0,8401.77,0.815,0.23372245
20180405,0.16107,6.441,3.5069999999999997,293.0,8049.654,0.784,0.12515432
20180406,0.16107,75.65,16.37,627.0,7823.602,0.799,-0.2666837
20180407,0.16107,31.538,14.47,207.0,7671.83,0.857,0.024202157
20180408,0.11564,19.785,9.275,199.0,6634.909000000001,0.922,-0.34289277
20180409,0.11564,29.36,16.854,407.0,8539.718,0.777,0.3350219
20180410,0.11564,34.275999999999996,16.918,278.0,8729.181999999999,0.846,0.49997252
20180411,0.11564,54.534,22.579,357.0,8843.652,0.8290000000000001,0.48206246
20180412,0.11564,31.766,10.609000000000002,236.0,9010.867,0.82,0.6324242
20180413,0.11564,23.456999999999997,9.378,223.0,8445.16,0.8909999999999999,0.40818584
20180414,0.11564,18.217,9.447000000000001,95.0,6810.813,0.9,-0.19140585
20180416,0.16107,25.057,14.167,318.0,8454.136,0.797,0.28851134
20180417,0.16107,49.161,22.958000000000002,350.0,8573.591999999999,0.8320000000000001,0.31075776
20180418,0.16107,60.398,25.694000000000003,436.0,8749.385,0.8690000000000001,0.31763187
20180419,0.16107,69.001,31.517,361.0,8748.846,0.8690000000000001,0.37721306
20180420,0.16107,91.693,46.965,361.0,8367.444,0.9620000000000001,0.23265988
20180421,0.16107,59.062,32.745,159.0,8655.42,1.015,0.49886727
20180422,0.09498999999999999,36.104,18.312,198.0,6590.354,1.006,-0.32311457
20180423,0.09498999999999999,7.525,4.713,179.0,7420.028,0.848,0.041269552
20180424,0.09498999999999999,7.817,4.805,259.0,8166.956999999999,0.924,0.30364457
20180425,0.09498999999999999,24.783,18.538,298.0,8610.165,0.932,0.4864472
20180426,0.09498999999999999,36.378,24.614,258.0,8568.115,0.904,0.49999124
20180427,0.09498999999999999,46.347,32.725,165.0,8323.57,0.9259999999999999,0.47375074
20180428,0.09498999999999999,54.381,36.891,159.0,8174.963000000001,0.9390000000000001,0.4166252
20180429,0.1239,51.027,31.619,196.0,7373.151,0.929,-0.009369464
20180430,0.1239,78.72,57.909,358.0,8648.49,0.872,0.4683087
20180501,0.1239,75.77199999999999,58.755,257.0,8987.833,0.8320000000000001,0.6917961
20180502,0.1239,49.313,39.063,226.0,8262.884,0.828,0.3770393
20180503,0.1239,21.250999999999998,10.927999999999999,210.0,8930.055,0.872,0.6201951
20180504,0.1239,41.328,17.41,171.0,8631.974,0.867,0.51246643
20180505,0.1239,39.95,20.375,70.0,8124.206,0.8270000000000001,0.3789696
20180506,0.05782,14.158,8.823,38.0,6488.603,0.778,-0.19554262
20180507,0.05782,33.744,18.974,101.0,7978.845,0.846,0.40153423
20180508,0.05782,14.029000000000002,5.499,265.0,9115.037,0.9,0.7548394
20180509,0.05782,20.97,7.83,209.0,9026.628,0.862,0.75418234
20180510,0.05782,42.333999999999996,23.048000000000002,244.0,8905.3,0.838,0.69717866
20180511,0.05782,77.305,50.861999999999995,192.0,8618.626,0.8690000000000001,0.6532231
20180512,0.05782,31.595,20.708000000000002,56.0,6919.129,0.843,-0.010244713
20180513,0.08673,22.208000000000002,16.608,130.0,7390.34,0.894,0.09421522
20180514,0.08673,85.152,66.405,313.0,8590.208,0.8190000000000001,0.5516634
20180515,0.08673,70.398,53.799,273.0,8963.391,0.9259999999999999,0.71874774
20180516,0.08673,40.766,29.623,228.0,8102.978,0.847,0.3456362
20180517,0.08673,15.568,10.672,185.0,7994.897,0.8440000000000001,0.30343398
20180518,0.08673,8.754,4.46,107.0,8521.804,0.9259999999999999,0.5727563
20180519,0.08673,12.047,5.765,91.0,8595.086,0.953,0.61486197
20180520,0.09912,8.443999999999999,5.11,104.0,7082.999,0.862,-0.05610336
20180521,0.09912,16.031,10.189,148.0,8425.624,0.851,0.4920768
20180522,0.09912,39.257,27.122,94.0,7262.42,0.852,0.05597475
20180523,0.09912,40.374,13.102,318.0,8644.552,0.8109999999999999,0.43919232
20180524,0.09912,73.555,18.123,377.0,8783.829,0.841,0.42467207
20180525,0.09912,73.421,27.205,235.0,8463.686,0.8440000000000001,0.41901404
20180526,0.09912,69.82,31.506,119.0,8088.894,0.9540000000000001,0.36070055
20180527,0.08673,63.285,28.737,116.0,7044.696,0.9990000000000001,-0.063633546
20180528,0.08673,41.578,20.729,177.0,8447.261,0.867,0.49754655
20180530,0.08673,38.812,21.997,269.0,8396.925,0.889,0.4194428
20180531,0.08673,36.464,21.287,204.0,8374.27,0.88,0.45677033
20180602,0.08673,29.445999999999998,16.598,68.0,7544.944,1.013,0.19326092
20180603,0.07021000000000001,22.956999999999997,15.567,70.0,6774.384,0.9990000000000001,-0.10557655
20180604,0.07021000000000001,26.272,17.930999999999997,120.0,7973.898,0.855,0.37444347
20180605,0.07021000000000001,31.936999999999998,22.764,139.0,8115.405,0.905,0.4293249
20180606,0.07021000000000001,33.045,26.334,68.0,6504.826999999999,0.899,-0.19800697
20180607,0.07021000000000001,40.978,31.206,180.0,8176.96,0.9059999999999999,0.44166252
20180608,0.07021000000000001,26.076,19.372,117.0,8093.871999999999,0.8809999999999999,0.43294385
20180609,0.07021000000000001,28.228,19.518,52.0,7529.066999999999,0.992,0.2349316
20180610,0.04543,5.605,2.863,77.0,6438.906999999999,0.935,-0.23255292
20180611,0.04543,8.561,3.7439999999999998,113.0,7845.3730000000005,0.86,0.34128127
20180612,0.04543,15.923,5.985,111.0,8243.322,0.871,0.5092727
20180613,0.04543,22.109,15.937000000000001,57.0,6948.673000000001,0.927,0.01881418
20180614,0.04543,25.499000000000002,18.674,89.0,8137.544,0.867,0.50814664
20180615,0.04543,12.725,7.452999999999999,118.0,7891.188,0.902,0.36362526
20180616,0.04543,18.699,10.806,62.0,7169.666,1.025,0.09745061
20180617,0.05782,42.974,27.991,105.0,6501.821999999999,0.9690000000000001,-0.2154438
20180618,0.05782,31.703000000000003,23.287,104.0,7636.829000000001,0.98,0.27089483
20180619,0.05782,28.76,20.956,92.0,7750.826,0.855,0.32457596
20180620,0.05782,30.474,22.375999999999998,81.0,7819.02,0.873,0.36370736
20180621,0.05782,28.516,19.994,103.0,7889.785,0.88,0.37327728
20180622,0.05782,29.92,20.4,60.0,7898.599,0.872,0.406696
20180623,0.05782,34.534,22.563000000000002,64.0,7621.533,1.109,0.28597572
20180624,0.05782,58.356,37.621,132.0,6360.802,0.902,-0.2851443
20180625,0.05782,44.838,28.22,116.0,7027.655,0.831,-0.0006324621
20180626,0.05782,48.763000000000005,33.986999999999995,116.0,6426.5109999999995,0.76,-0.24378024
20180627,0.05782,29.339000000000002,21.756,76.0,7061.749,0.866,0.04341626
20180628,0.05782,26.999000000000002,18.125999999999998,146.0,7219.335,0.816,0.052528832
20180629,0.05782,38.778,26.266,38.0,7253.568,0.85,0.15335661
20180630,0.05782,52.208999999999996,36.444,9.0,6393.08,0.922,-0.17932542
20180701,0.02065,15.571,7.667999999999999,26.0,4633.222,0.787,-0.9280558
20180702,0.02065,11.427,6.716,86.0,5841.9980000000005,0.759,-0.4512391
20180703,0.02065,14.935,8.022,53.0,6692.565,0.8170000000000001,-0.06547488
20180704,0.02065,22.794,10.857999999999999,63.0,6770.107,0.8320000000000001,-0.041534405
20180705,0.02065,18.646,14.027999999999999,53.0,6711.056,0.82,-0.042863395
20180706,0.02065,4.909,2.0340000000000003,180.0,6961.473000000001,0.831,-0.04561114
20180707,0.02065,9.276,3.71,36.0,7063.313,0.867,0.09875293
20180708,0.02478,15.579,7.398,56.0,6083.098000000001,0.9109999999999999,-0.33732283
20180709,0.02478,8.433,5.107,59.0,6326.741999999999,0.773,-0.23249444
20180710,0.02478,20.888,8.367,62.0,6423.354,0.7559999999999999,-0.20085773
20180711,0.02478,29.851,19.899,78.0,6800.505,0.75,-0.02555703
20180712,0.02478,29.773000000000003,17.125999999999998,92.0,6787.1230000000005,0.7859999999999999,-0.050380822
20180713,0.02478,20.08,13.745999999999999,27.0,7260.025,0.816,0.20050165
