Date,search,pm10,pm25,COUNT_T,TMST,retail,Linearindex
20180401,0.04095,54.81,25.115,234.0,2905.49,1.011,-0.70673645
20180402,0.04095,55.356,21.256,371.0,3498.455,1.9809999999999999,0.10848474
20180403,0.04095,56.894,16.549,251.0,3689.38,1.861,0.47135386
20180404,0.04095,17.831,8.337,352.0,3635.26,1.893,0.3487247
20180405,0.04095,8.389,5.022,293.0,3582.741,1.574,0.3111816
20180406,0.04095,89.113,22.83,627.0,3557.739,1.611,-0.027456377
20180407,0.04095,44.718999999999994,20.767,207.0,3895.262,1.1,0.8591106
20180408,0.0294,36.688,20.087,199.0,2999.147,1.149,-0.454797
20180409,0.0294,49.93899999999999,34.516,407.0,3491.5009999999997,2.083,0.1999872
20180410,0.0294,44.203,22.044,278.0,3771.461,1.995,0.6915244
20180411,0.0294,68.38600000000001,27.325,357.0,3759.2209999999995,1.9409999999999998,0.59725225
20180412,0.0294,42.056000000000004,15.01,236.0,3702.2259999999997,1.839,0.5904838
20180413,0.0294,30.94,13.293,223.0,3882.33,1.67,0.8926747
20180414,0.0294,25.587,13.519,95.0,3317.534,1.121,0.10956243
20180416,0.04095,31.598000000000003,18.977999999999998,318.0,3644.2140000000004,2.04,0.40346077
20180417,0.04095,50.155,25.324,350.0,3793.815,1.931,0.6080861
20180418,0.04095,60.507,28.886999999999997,436.0,3769.7340000000004,2.076,0.5064106
20180419,0.04095,67.154,30.261,361.0,3686.468,2.096,0.42331514
20180420,0.04095,76.465,38.152,361.0,3833.687,1.893,0.6673007
20180421,0.04095,58.424,30.546999999999997,159.0,3992.012,1.58,1.0578055
20180422,0.02415,38.615,20.104,198.0,2854.65,1.626,-0.6510069
20180423,0.02415,14.354000000000001,8.341000000000001,179.0,3272.572,2.093,0.011323412
20180424,0.02415,9.261000000000001,5.109,259.0,3566.06,2.147,0.41005358
20180425,0.02415,27.935,19.962,298.0,3776.255,2.03,0.73549503
20180426,0.02415,36.906,24.252,258.0,3720.1209999999996,1.685,0.67716134
20180427,0.02415,45.598,30.736,165.0,3865.087,1.635,0.9787997
20180428,0.02415,53.115,32.231,159.0,4048.3520000000003,1.18,1.2627301
20180429,0.0315,51.533,28.904,196.0,3199.3540000000003,1.183,-0.1442072
20180430,0.0315,73.235,48.283,358.0,3612.902,2.026,0.42429638
20180501,0.0315,66.065,44.074,257.0,3477.822,1.893,0.28030676
20180502,0.0315,55.863,39.728,226.0,3463.321,1.755,0.27993602
20180503,0.0315,28.381,14.044,210.0,3809.827,1.8,0.78264165
20180504,0.0315,50.728,19.99,171.0,4031.32,1.685,1.141898
20180505,0.0315,43.742,20.195999999999998,70.0,3794.895,1.057,0.8554704
20180506,0.0147,19.242,11.249,38.0,3229.183,0.9,0.10283341
20180507,0.0147,36.749,18.76,101.0,3379.009,1.104,0.29200342
20180508,0.0147,21.414,9.231,265.0,3985.7540000000004,2.053,1.1145985
20180509,0.0147,25.584,8.972999999999999,209.0,3695.0240000000003,1.9340000000000002,0.69198805
20180510,0.0147,44.126000000000005,22.188000000000002,244.0,3641.3740000000003,1.719,0.60216945
20180511,0.0147,70.872,40.224000000000004,192.0,3676.455,1.639,0.7165844
20180512,0.0147,36.214,22.029,56.0,3559.58,1.104,0.6186385
20180513,0.02205,29.643,18.475,130.0,3145.46,1.2690000000000001,-0.12756169
20180514,0.02205,89.57700000000001,55.565,313.0,3480.15,1.9680000000000002,0.30629897
20180515,0.02205,63.104,43.545,273.0,3789.7490000000003,1.9980000000000002,0.8167518
20180516,0.02205,45.736000000000004,30.811999999999998,228.0,3504.512,1.778,0.3839476
20180517,0.02205,32.819,19.699,185.0,3300.8059999999996,1.05,0.07589819
20180518,0.02205,20.371,7.507000000000001,107.0,3757.8109999999997,1.538,0.8201058
20180519,0.02205,15.477,6.928,91.0,4011.4559999999997,1.262,1.2334509
20180520,0.0252,14.164000000000001,7.53,104.0,3211.748,1.103,-0.04007725
20180521,0.0252,23.897,12.526,148.0,3693.88,1.9369999999999998,0.6849952
20180522,0.0252,44.79600000000001,27.076999999999998,94.0,3238.025,1.2830000000000001,0.030348614
20180523,0.0252,51.54600000000001,12.972000000000001,318.0,3624.88,1.861,0.4147455
20180524,0.0252,94.31,20.293,377.0,3684.845,1.9509999999999998,0.42484635
20180525,0.0252,89.162,32.181,235.0,3579.667,1.645,0.41223973
20180526,0.0252,67.555,31.426,119.0,3838.703,1.587,0.93059987
20180527,0.02205,63.233000000000004,27.714000000000002,116.0,3036.699,1.42,-0.30795938
20180528,0.02205,44.285,22.122,177.0,3387.9159999999997,1.983,0.20802157
20180530,0.02205,47.266999999999996,27.587,269.0,3807.927,2.07,0.8149232
20180531,0.02205,42.123999999999995,23.386999999999997,204.0,3511.3579999999997,1.8430000000000002,0.39006853
20180602,0.02205,36.347,20.986,68.0,3689.1540000000005,1.256,0.7639417
20180603,0.01785,30.881999999999998,20.271,70.0,3105.163,1.143,-0.1182416
20180604,0.01785,38.978,25.641,120.0,3536.6279999999997,2.089,0.52746224
20180605,0.01785,39.516999999999996,26.59,139.0,3711.663,2.088,0.79022694
20180606,0.01785,46.427,31.857,68.0,2958.327,1.374,-0.3288158
20180607,0.01785,50.692,32.279,180.0,3605.56,1.881,0.5984851
20180608,0.01785,43.722,28.136,117.0,3665.179,1.594,0.73194104
20180609,0.01785,47.56399999999999,28.268,52.0,3539.27,1.32,0.5751549
20180610,0.01155,14.890999999999998,7.915,77.0,2865.741,1.321,-0.4785299
20180611,0.01155,19.402,7.834,113.0,3486.83,2.102,0.4590726
20180612,0.01155,25.98,14.575999999999999,111.0,3829.765,1.985,1.010469
20180613,0.01155,43.766999999999996,26.679000000000002,57.0,2896.261,1.55,-0.39448932
20180614,0.01155,43.943999999999996,27.886999999999997,89.0,3716.51,1.8769999999999998,0.8688486
20180615,0.01155,26.07,14.727,118.0,3698.5879999999997,1.837,0.800991
20180616,0.01155,34.808,18.043,62.0,3633.591,1.5430000000000001,0.7368491
20180617,0.0147,54.637,33.806,105.0,2830.2940000000003,1.483,-0.5418124
20180618,0.0147,52.521,34.159,104.0,3350.992,2.354,0.27721265
20180619,0.0147,54.181000000000004,35.819,92.0,3423.942,2.137,0.4030478
20180620,0.0147,59.336000000000006,39.375,81.0,3679.281,2.053,0.8144916
20180621,0.0147,54.113,35.283,103.0,3520.195,1.885,0.5438595
20180622,0.0147,60.808,36.086999999999996,60.0,3839.8459999999995,1.588,1.0656834
20180623,0.0147,54.123999999999995,30.97,64.0,3658.3779999999997,1.3719999999999999,0.7713192
20180624,0.0147,67.723,40.573,132.0,2910.022,1.111,-0.43247578
20180625,0.0147,71.115,39.565,116.0,3259.74,1.208,0.11603591
20180626,0.0147,59.2,36.984,116.0,3230.56,1.043,0.08019561
20180627,0.0147,49.2,30.975,76.0,3293.91,1.263,0.20135978
20180628,0.0147,46.872,30.371,146.0,3489.423,1.23,0.45921445
20180629,0.0147,61.821999999999996,44.093999999999994,38.0,3575.248,1.207,0.69546556
20180630,0.0147,73.34899999999999,50.556999999999995,9.0,3392.462,1.011,0.43535945
20180701,0.00525,26.899,19.069000000000003,26.0,2385.505,0.7929999999999999,-1.133203
20180702,0.00525,23.838,16.183,86.0,2884.7940000000003,1.041,-0.40085852
20180703,0.00525,30.881,21.397,53.0,3262.485,1.226,0.22026344
20180704,0.00525,49.391999999999996,33.592,63.0,3332.745,1.29,0.3379277
20180705,0.00525,35.618,29.329,53.0,3384.2329999999997,1.1909999999999998,0.4319837
20180706,0.00525,16.448,8.722999999999999,180.0,3569.553,1.281,0.5875913
20180707,0.00525,16.537,10.774000000000001,36.0,3591.188,1.011,0.729959
20180708,0.0063,26.209,17.52,56.0,3069.005,1.133,-0.09724468
20180709,0.0063,19.232,13.957,59.0,3013.7859999999996,1.128,-0.1874572
20180710,0.0063,35.012,23.759,62.0,3095.183,1.148,-0.05185288
20180711,0.0063,56.416000000000004,38.094,78.0,3513.78,1.073,0.609075
20180712,0.0063,49.565,29.985,92.0,3483.8540000000003,1.133,0.5337562
20180713,0.0063,36.39,25.99,27.0,3699.795,1.238,0.9234362
20180714,0.0063,36.485,27.038,21.0,3453.268,1.044,0.5461395
20180715,0.0063,35.814,28.162,51.0,2865.053,0.9620000000000001,-0.38883537
20180716,0.0063,39.158,30.995,30.0,3220.058,1.166,0.18563432
20180717,0.0063,42.394,35.451,80.0,3373.1409999999996,1.088,0.40084413
20180718,0.0063,41.128,34.785,114.0,3402.322,1.125,0.42215002
20180719,0.0063,44.762,33.222,83.0,3421.4570000000003,1.151,0.4622232
20180720,0.0063,57.321000000000005,43.906000000000006,69.0,3501.217,1.1840000000000002,0.6156524
20180721,0.0063,60.836000000000006,46.88399999999999,80.0,3427.743,1.001,0.49838096
20180722,0.00525,51.148999999999994,38.373000000000005,26.0,2829.365,1.112,-0.4079042
20180723,0.00525,52.817,38.654,50.0,3135.665,1.222,0.05217838
20180724,0.00525,67.76100000000001,54.247,53.0,3199.203,1.159,0.18249482
20180725,0.00525,58.693999999999996,43.247,56.0,3356.875,1.2429999999999999,0.40099323
20180726,0.00525,69.656,48.961999999999996,93.0,3350.567,1.189,0.3684345
20180727,0.00525,70.87100000000001,48.581,51.0,3517.0159999999996,1.18,0.6546657
20180728,0.00525,46.133,29.975,17.0,3148.438,0.836,0.07423731
20180729,0.0042,37.155,25.641,20.0,2851.6020000000003,0.882,-0.38672888
20180730,0.0042,24.971999999999998,14.637,51.0,3170.83,1.058,0.069549516
20180731,0.0042,38.141,22.752,72.0,3245.187,1.1159999999999999,0.179526
20180801,0.0042,54.074,31.629,22.0,3327.0209999999997,1.051,0.34940648
20180802,0.0042,55.005,36.348,33.0,3070.914,1.121,-0.042670835
20180803,0.0042,74.615,54.952,84.0,3187.107,1.141,0.1397228
20180804,0.0042,48.678999999999995,33.02,20.0,3106.032,0.997,0.019325297
20180805,0.0042,48.581,29.073,23.0,2693.1020000000003,0.9209999999999999,-0.6423388
20180806,0.0042,55.468999999999994,34.49,57.0,3079.759,1.047,-0.053285096
20180807,0.0042,36.150999999999996,23.096,122.0,3097.389,1.176,-0.082067944
20180808,0.0042,45.474,28.551,49.0,3221.31,1.11,0.16783714
20180809,0.0042,42.6,29.234,59.0,3326.535,1.061,0.33237696
20180810,0.0042,33.286,20.828000000000003,16.0,3529.965,1.136,0.6646187
20180811,0.0042,26.148000000000003,13.707,16.0,3122.3309999999997,1.026,0.013044889
20180812,0.00315,32.486,20.715,14.0,2735.2309999999998,1.075,-0.56851834
20180813,0.00315,54.606,37.09,27.0,3108.587,1.093,0.030162882
20180814,0.00315,51.757,32.499,14.0,3449.7729999999997,1.208,0.56015074
20180815,0.00315,55.955,38.11,10.0,2810.159,1.022,-0.42262965
20180816,0.00315,38.31,21.331999999999997,36.0,3292.8759999999997,1.054,0.28023088
20180817,0.00315,36.473,14.914000000000001,20.0,3561.4190000000003,1.128,0.69047564
20180818,0.00315,41.13399999999999,17.132,13.0,3232.829,0.935,0.18258134
20180819,0.0042,48.369,28.165,14.0,2748.6209999999996,0.9390000000000001,-0.5522574
20180820,0.0042,61.388000000000005,38.446,36.0,3107.1240000000003,1.1059999999999999,0.009202371
20180821,0.0042,48.285,25.337,75.0,3316.558,1.128,0.28205705
20180822,0.0042,45.872,26.969,37.0,3494.0009999999997,1.205,0.5959058
20180823,0.0042,30.294,15.517000000000001,11.0,3063.22,1.261,-0.07585054
20180824,0.0042,22.634,12.436,16.0,3049.53,1.073,-0.09970493
20180825,0.0042,46.247,25.641,15.0,3743.25,0.9309999999999999,0.99534136
20180826,0.0021,35.306,21.386,18.0,2909.377,1.0959999999999999,-0.29492322
20180827,0.0021,20.27,13.787,49.0,3099.2309999999998,1.107,-0.023686018
20180828,0.0021,24.936,13.984000000000002,49.0,3489.9790000000003,1.163,0.5800641
20180829,0.0021,35.491,18.125999999999998,17.0,3167.75,1.041,0.09722573
