Date,search,pm10,pm25,COUNT_T,TMST,retail,Linearindex
20180401,0.03822,68.307,32.397,234.0,5456.911999999999,1.258,-1.3047854
20180402,0.03822,67.281,26.311999999999998,371.0,9520.631,1.479,0.17023396
20180403,0.03822,70.257,23.785,251.0,9822.063,1.442,0.35579827
20180404,0.03822,21.386999999999997,11.505,352.0,10124.564,1.591,0.4377008
20180405,0.03822,12.054,6.794,293.0,9842.482,1.597,0.36382523
20180406,0.03822,81.514,21.541999999999998,627.0,9670.591,1.508,0.0013094498
20180407,0.03822,46.028,18.327,207.0,7481.76,1.159,-0.51347923
20180408,0.02744,33.235,15.892000000000001,199.0,5393.02,1.516,-1.24624
20180409,0.02744,48.706,30.944000000000003,407.0,9416.134,1.3559999999999999,0.22966565
20180410,0.02744,51.076,22.392,278.0,10063.659,1.5290000000000001,0.5310015
20180411,0.02744,76.484,31.18,357.0,9932.966999999999,1.531,0.41763416
20180412,0.02744,51.911,17.453,236.0,10377.73,1.5490000000000002,0.65967137
20180413,0.02744,37.961999999999996,13.747,223.0,10150.673,1.55,0.5882959
20180414,0.02744,26.854,13.385,95.0,6958.513000000001,1.146,-0.557684
20180416,0.03822,33.765,19.99,318.0,9712.168,1.39,0.3155924
20180417,0.03822,56.141999999999996,30.791999999999998,350.0,10299.271999999999,1.4080000000000001,0.53219044
20180418,0.03822,66.205,31.72,436.0,10255.99,1.4669999999999999,0.44049966
20180419,0.03822,76.78699999999999,36.84,361.0,10486.903999999999,1.54,0.58786297
20180420,0.03822,94.758,50.261,361.0,10523.295,1.578,0.6306417
20180421,0.03822,74.165,39.705,159.0,7755.255999999999,1.328,-0.32604048
20180422,0.02254,41.163000000000004,22.635,198.0,5183.598,1.317,-1.2796259
20180423,0.02254,12.854000000000001,8.64,179.0,8868.925,1.39,0.17019959
20180424,0.02254,12.925999999999998,6.031000000000001,259.0,10089.097,1.368,0.5815212
20180425,0.02254,31.627,21.853,298.0,10485.958,1.45,0.748302
20180426,0.02254,47.333,32.374,258.0,10462.34,1.462,0.7864187
20180427,0.02254,59.25,42.422,165.0,10909.002,1.568,1.0513954
20180428,0.02254,72.611,47.68600000000001,159.0,7826.326999999999,1.3090000000000002,-0.15652311
20180429,0.0294,67.125,39.306,196.0,6112.005,1.47,-0.92930794
20180430,0.0294,94.304,68.35600000000001,358.0,9584.75,1.578,0.40525907
20180501,0.0294,77.969,60.312,257.0,7428.321,1.314,-0.37822735
20180502,0.0294,58.65,47.896,226.0,9944.94,1.3719999999999999,0.6113057
20180503,0.0294,32.859,16.488,210.0,10085.933,1.56,0.5812495
20180504,0.0294,56.407,20.15,171.0,11147.048999999999,1.469,0.9989928
20180505,0.0294,51.906000000000006,24.369,70.0,7351.941999999999,1.176,-0.39407295
20180506,0.01372,20.671,11.269,38.0,5498.233,1.153,-1.000669
20180507,0.01372,41.727,21.694000000000003,101.0,5860.736999999999,1.168,-0.8933929
20180508,0.01372,26.614,9.931000000000001,265.0,9695.56,1.359,0.47265097
20180509,0.01372,29.254,10.390999999999998,209.0,10297.013,1.4180000000000001,0.74557936
20180510,0.01372,47.545,27.234,244.0,10100.045,1.43,0.687216
20180511,0.01372,95.499,61.516999999999996,192.0,10542.525,1.449,0.9665717
20180512,0.01372,40.578,25.845,56.0,7306.706999999999,1.1420000000000001,-0.27228123
20180513,0.02058,33.37,25.683000000000003,130.0,5990.29,1.237,-0.87367743
20180514,0.02058,112.417,91.37799999999999,313.0,9672.286,1.386,0.60097504
20180515,0.02058,88.037,65.628,273.0,10500.223,1.482,0.8811588
20180516,0.02058,42.578,30.145,228.0,9664.754,1.4369999999999998,0.50527805
20180517,0.02058,24.729,14.883,185.0,9794.142,1.4569999999999999,0.5491432
20180518,0.02058,18.168,11.154000000000002,107.0,10005.821,1.416,0.6820608
20180519,0.02058,18.798,9.304,91.0,8089.312,1.2309999999999999,-0.0696547
20180520,0.02352,16.582,8.794,104.0,6234.356,1.278,-0.82523686
20180521,0.02352,28.114,14.933,148.0,9310.775,1.321,0.3599646
20180522,0.02352,51.343999999999994,34.906,94.0,5901.23,1.287,-0.893377
20180523,0.02352,55.353,15.105,318.0,9867.527,1.3780000000000001,0.40995178
20180524,0.02352,121.141,33.223,377.0,10230.856,1.464,0.47304526
20180525,0.02352,114.654,46.453,235.0,10167.305,1.439,0.62050927
20180526,0.02352,90.86,44.574,119.0,7988.23,1.244,-0.11922925
20180527,0.02058,80.028,35.165,116.0,5935.621,1.324,-0.92799115
20180528,0.02058,59.001999999999995,31.476,177.0,9546.796,1.449,0.47046462
20180530,0.02058,55.437,40.185,269.0,10151.341999999999,1.459,0.6901424
20180531,0.02058,54.183,33.28,204.0,10143.851999999999,1.556,0.70338756
20180602,0.02058,45.248999999999995,27.128,68.0,7498.433000000001,1.1540000000000001,-0.25271678
20180603,0.016659999999999998,36.296,23.824,70.0,5581.165,1.311,-0.98082644
20180604,0.016659999999999998,43.663000000000004,28.893,120.0,9544.687,1.38,0.5516161
20180605,0.016659999999999998,47.961999999999996,34.465,139.0,10118.139000000001,1.501,0.7813427
20180606,0.016659999999999998,49.438,35.48,68.0,6009.744000000001,1.452,-0.78168434
20180607,0.016659999999999998,56.047,43.108999999999995,180.0,9864.583,1.415,0.6777036
20180608,0.016659999999999998,40.211999999999996,27.385,117.0,10164.507,1.4280000000000002,0.7967851
20180609,0.016659999999999998,50.471000000000004,35.778,52.0,7184.779,1.2590000000000001,-0.30915478
20180610,0.01078,16.756,10.834000000000001,77.0,5375.916,0.986,-1.051745
20180611,0.01078,18.057000000000002,9.482000000000001,113.0,9231.248,1.469,0.4296946
20180612,0.01078,24.553,16.175,111.0,9993.101,1.485,0.74929917
20180613,0.01078,38.352,26.519000000000002,57.0,5779.553000000001,1.305,-0.8468814
20180614,0.01078,40.474000000000004,29.381,89.0,9894.542,1.436,0.7572745
20180615,0.01078,27.291999999999998,19.262999999999998,118.0,10102.248,1.518,0.7964188
20180616,0.01078,36.251,20.943,62.0,7294.307,1.2670000000000001,-0.27677009
20180617,0.01372,60.235,42.153999999999996,105.0,5535.768,1.48,-0.9640893
20180618,0.01372,56.943999999999996,38.695,104.0,9606.277,1.527,0.62668973
20180619,0.01372,48.398,35.93,92.0,9648.854,1.454,0.65493023
20180620,0.01372,56.912,42.613,81.0,10024.985999999999,1.528,0.82546854
20180621,0.01372,55.371,38.777,103.0,10026.484,1.571,0.79583585
20180622,0.01372,61.318999999999996,42.26,60.0,10134.11,1.5859999999999999,0.8733272
20180623,0.01372,56.647,35.942,64.0,7730.656,1.351,-0.094551675
20180624,0.01372,71.117,52.137,132.0,5524.736,1.401,-0.9615965
20180625,0.01372,78.822,54.233000000000004,116.0,9339.218,1.459,0.5442884
20180626,0.01372,56.442,43.39,116.0,9123.357,1.528,0.45096835
20180627,0.01372,42.761,32.598,76.0,10155.639000000001,1.6159999999999999,0.8604497
20180628,0.01372,38.893,27.864,146.0,10155.474,1.597,0.796655
20180629,0.01372,57.611999999999995,47.573,38.0,10090.452,1.55,0.9028776
20180630,0.01372,66.57600000000001,52.385,9.0,7058.928000000001,1.516,-0.26274818
20180701,0.0049,20.454,13.527000000000001,26.0,4435.527,1.062,-1.3417705
20180702,0.0049,16.252,8.497,86.0,9069.106,1.4669999999999999,0.42197964
20180703,0.0049,25.026,17.387999999999998,53.0,9942.984,1.518,0.81326056
20180704,0.0049,40.542,21.331999999999997,63.0,10202.26,1.5959999999999999,0.89760244
20180705,0.0049,27.212,19.674,53.0,10272.597,1.597,0.94928086
20180706,0.0049,15.062000000000001,6.236000000000001,180.0,10384.576,1.469,0.8648659
20180707,0.0049,18.656,8.599,36.0,7275.585,1.151,-0.2518447
20180708,0.00588,26.94,18.149,56.0,5430.411999999999,1.338,-0.9689057
20180709,0.00588,17.528,7.751,59.0,9295.904,1.2770000000000001,0.5179033
20180710,0.00588,27.844,11.644,62.0,9769.204,1.4809999999999999,0.70065457
20180711,0.00588,42.818000000000005,21.178,78.0,9631.268,1.5230000000000001,0.6513602
20180712,0.00588,36.782,16.304000000000002,92.0,10182.642,1.618,0.8470038
20180713,0.00588,28.81,10.642999999999999,27.0,9959.375,1.5490000000000002,0.79357326
20180714,0.00588,32.59,15.538,21.0,7467.973000000001,1.382,-0.16593656
20180715,0.00588,31.436,17.477999999999998,51.0,5306.686,1.3419999999999999,-1.0254209
20180716,0.00588,31.088,17.178,30.0,9263.753,1.546,0.54388523
20180717,0.00588,31.291999999999998,20.19,80.0,9591.802,1.605,0.65120614
20180718,0.00588,42.718999999999994,30.59,114.0,9796.108,1.547,0.7343342
20180719,0.00588,34.927,22.024,83.0,9553.095,1.655,0.6355992
20180720,0.00588,51.941,32.118,69.0,9681.882,1.555,0.7109937
20180721,0.00588,54.248000000000005,35.21,80.0,6639.88,1.2229999999999999,-0.48242074
20180722,0.0049,39.844,26.171999999999997,26.0,5134.317,1.472,-1.0448284
20180723,0.0049,46.876000000000005,26.686999999999998,50.0,8982.735,1.517,0.44030377
20180724,0.0049,59.063,39.542,53.0,9279.757,1.5590000000000002,0.59150577
20180725,0.0049,47.291000000000004,33.2,56.0,9732.733,1.591,0.76004684
20180726,0.0049,55.622,42.027,93.0,9443.57,1.588,0.6456058
20180727,0.0049,58.281000000000006,41.023999999999994,51.0,9566.086,1.58,0.71370673
20180728,0.0049,42.805,29.886,17.0,6370.526999999999,1.396,-0.5410278
20180729,0.00392,31.785,22.502,20.0,5198.75,1.2919999999999998,-1.010891
20180730,0.00392,20.079,9.252,51.0,8845.78,1.6909999999999998,0.36153567
20180731,0.00392,34.381,18.029,72.0,9183.664,1.6669999999999998,0.49351412
20180801,0.00392,50.473,26.798000000000002,22.0,9021.259,1.7209999999999999,0.47533172
20180802,0.00392,47.247,28.368000000000002,33.0,8834.34,1.7169999999999999,0.40732437
20180803,0.00392,63.622,43.282,84.0,8723.28,1.52,0.36617404
20180804,0.00392,41.526,25.962,20.0,6320.064,1.089,-0.5722633
20180805,0.00392,39.185,24.603,23.0,4917.714,1.295,-1.1274754
20180806,0.00392,46.162,27.513,57.0,8488.015,1.6030000000000002,0.25243753
20180807,0.00392,31.285999999999998,17.236,122.0,9104.812,1.6340000000000001,0.42951208
20180808,0.00392,38.266999999999996,23.363000000000003,49.0,9175.642,1.619,0.5238358
20180809,0.00392,33.058,22.38,59.0,9682.068000000001,1.645,0.7209762
20180810,0.00392,27.684,15.454,16.0,9236.594000000001,1.676,0.5541545
20180811,0.00392,23.506999999999998,13.13,16.0,6488.1630000000005,1.305,-0.5290655
20180812,0.00294,28.581999999999997,19.308,14.0,5144.321,1.35,-1.0304585
20180813,0.00294,45.635,30.994,27.0,8616.99,1.555,0.34753257
20180814,0.00294,47.18899999999999,26.921,14.0,9293.773000000001,1.626,0.6010672
20180815,0.00294,44.625,30.214000000000002,10.0,6082.165,1.567,-0.63855803
20180816,0.00294,36.678000000000004,17.06,36.0,9106.209,1.508,0.48600912
20180817,0.00294,37.789,13.988,20.0,9415.03,1.454,0.60244304
20180818,0.00294,42.298,16.27,13.0,7155.188,1.2919999999999998,-0.2787096
20180819,0.00392,46.053999999999995,21.221999999999998,14.0,5358.592,1.411,-0.97611123
20180820,0.00392,57.85,35.376,36.0,8903.448,1.476,0.44499755
20180821,0.00392,40.259,19.625999999999998,75.0,9333.155999999999,1.5830000000000002,0.5466429
20180822,0.00392,43.985,21.336,37.0,9426.545,1.5490000000000002,0.61098707
20180823,0.00392,28.386999999999997,11.058,11.0,8792.493,1.569,0.36160564
20180824,0.00392,17.703,7.196000000000001,16.0,9471.125,1.465,0.62682486
20180825,0.00392,38.295,16.175,15.0,7277.7480000000005,1.2590000000000001,-0.23135628
20180826,0.00196,30.500999999999998,13.960999999999999,18.0,5399.938,1.383,-0.9545439
20180827,0.00196,16.705,6.296,49.0,9001.301,1.474,0.4294677
20180828,0.00196,19.041,6.569,49.0,9349.597,1.6440000000000001,0.56330115
20180829,0.00196,24.891,9.875,17.0,9347.929,1.555,0.58948386
20180830,0.00196,39.484,21.901999999999997,55.0,9722.249,1.626,0.7382553
20180831,0.00196,36.589,18.344,59.0,10041.925,1.632,0.8500919
20180901,0.00196,31.703000000000003,12.095999999999998,18.0,7363.865,1.045,-0.19342592
20180902,0.00392,27.778000000000002,10.883,43.0,5849.185,1.253,-0.81738067
20180903,0.00392,26.069000000000003,9.801,60.0,9217.94,1.51,0.4929487
20180904,0.00392,28.305,10.455,44.0,9856.25,1.455,0.7539341
20180905,0.00392,44.669,12.405999999999999,59.0,10186.72,1.511,0.8520218
20180906,0.00392,41.706,22.863000000000003,60.0,10085.355,1.54,0.86502117
20180907,0.00392,46.842,21.340999999999998,39.0,10208.713,1.551,0.9117537
20180908,0.00392,42.972,11.832,12.0,8014.369000000001,1.3219999999999998,0.031667378
20180909,0.00196,37.749,13.376,38.0,6049.159000000001,1.381,-0.7294896
20180910,0.00196,32.393,12.280999999999999,41.0,9901.1,1.4480000000000002,0.7872582
20180911,0.00196,33.39,10.392999999999999,49.0,10223.391,1.473,0.89779866
20180912,0.00196,27.913,12.095999999999998,52.0,10648.098,1.456,1.0805733
20180913,0.00196,34.204,16.78,67.0,10515.469,1.659,1.0278215
20180914,0.00196,33.459,21.906,19.0,10371.552,1.49,1.0298758
20180915,0.00196,21.935,10.527000000000001,14.0,7683.512,1.29,-0.054141905
20180916,0.00294,43.803999999999995,30.131999999999998,12.0,5780.276,1.3359999999999999,-0.7574769
20180917,0.00294,39.86,22.139,54.0,9996.481,1.454,0.8407604
20180918,0.00294,56.333,28.212,76.0,10466.636999999999,1.5290000000000001,1.0075846
20180919,0.00294,63.961999999999996,35.459,54.0,10706.825,1.462,1.1366374
20180920,0.00294,25.31,16.59,48.0,10678.187,1.5230000000000001,1.1142974
20180921,0.00294,14.682,6.999,20.0,10108.015,1.3980000000000001,0.8853993
20180922,0.00294,53.461999999999996,26.913,15.0,5900.515,1.158,-0.744969
20180923,0.00196,46.848,18.368,15.0,4630.4,1.155,-1.2648581
20180924,0.00196,27.996,13.355,5.0,5941.571999999999,1.26,-0.730691
20180925,0.00196,28.514,13.523,7.0,5797.4130000000005,1.111,-0.78894055
20180926,0.00196,18.338,7.939,10.0,5304.445,1.12,-0.9916639
20180927,0.00196,19.775,8.698,37.0,9045.756,1.395,0.4607277
20180928,0.00196,26.326,12.772,42.0,10006.549,1.386,0.8414728
20180929,0.00196,28.625999999999998,13.537,12.0,7587.844,1.228,-0.088871285
20180930,0.00196,20.328,12.639000000000001,19.0,5767.728,1.193,-0.79796225
20181001,0.00196,12.633,7.602,61.0,9445.885,1.4,0.60931796
20181002,0.00196,22.451,11.967,38.0,10051.837,1.5130000000000001,0.8655415
20181003,0.00196,39.299,22.156999999999996,13.0,6497.725,1.442,-0.4981431
20181004,0.00196,31.388,18.827,82.0,9996.91,1.43,0.8280926
20181005,0.00196,17.686,8.826,22.0,9752.222,1.463,0.75337553
20181006,0.00196,10.389000000000001,3.9560000000000004,4.0,6515.206999999999,1.097,-0.51518583
20181007,0.00196,43.163000000000004,18.465,21.0,5799.7480000000005,1.273,-0.80220515
20181008,0.00196,32.358000000000004,12.251,31.0,9429.66,1.445,0.6089048
20181009,0.00196,40.64,17.879,89.0,6470.592,1.228,-0.584279
20181010,0.00196,33.638000000000005,18.801,76.0,9970.472,1.4069999999999998,0.8176334
20181011,0.00196,31.498,13.95,97.0,9971.366,1.425,0.7849067
20181012,0.00196,38.684,21.404,73.0,10314.067,1.43,0.95742553
20181013,0.00196,55.486999999999995,37.852,15.0,8534.725,1.227,0.34330997
20181014,0.01176,55.842,39.321999999999996,70.0,6345.057,1.274,-0.6135876
20181015,0.01176,77.953,50.325,454.0,9590.273000000001,1.371,0.40218687
20181016,0.01176,74.454,41.306999999999995,400.0,9974.226999999999,1.382,0.55600536
20181017,0.01176,58.93899999999999,29.186,243.0,10197.108,1.393,0.72673476
20181018,0.01176,29.109,13.687999999999999,123.0,10718.555,1.534,0.9997864
20181019,0.01176,27.164,14.11,85.0,10418.313,1.5019999999999998,0.91397655
20181020,0.01176,28.544,16.371,71.0,8509.423,1.327,0.1813625
20181021,0.00882,25.444000000000003,14.665,120.0,6126.91,1.395,-0.77243835
20181022,0.00882,38.08,21.839000000000002,201.0,9709.083,1.431,0.58830154
20181023,0.00882,45.227,25.918000000000003,275.0,9886.658000000001,1.452,0.61171097
20181024,0.00882,40.789,23.31,231.0,10301.625,1.473,0.80190116
20181025,0.00882,28.494,16.315,115.0,8795.124,1.571,0.28174618
20181026,0.00882,30.951999999999998,17.749000000000002,79.0,9709.257,1.469,0.66835135
20181027,0.00882,23.219,13.417,30.0,8850.296,1.171,0.35950413
20181028,0.00588,12.844000000000001,7.672000000000001,71.0,5743.798000000001,1.2790000000000001,-0.8783614
20181029,0.00588,14.241,8.467,85.0,9151.862,1.367,0.4524104
20181030,0.00588,13.017999999999999,7.736000000000001,154.0,10087.355,1.39,0.77058464
