Date,search,pm10,pm25,COUNT_T,TMST,retail,Linearindex
20180401,0.0936,66.041,35.492,234.0,3085.6940000000004,0.856,-0.49167576
20180402,0.0936,61.747,26.122,371.0,3807.172,0.9359999999999999,0.18899772
20180403,0.0936,71.31,22.509,251.0,3892.7670000000003,1.0290000000000001,0.33794087
20180404,0.0936,22.564,12.54,352.0,3847.204,0.96,0.25773856
20180405,0.0936,17.401,9.73,293.0,3771.7070000000003,0.93,0.2117551
20180406,0.0936,94.396,26.252,627.0,3714.768,0.919,-0.14954355
20180407,0.0936,46.217,22.29,207.0,3803.6290000000004,0.792,0.31085613
20180408,0.0672,35.188,17.596,199.0,2957.743,0.853,-0.5617855
20180409,0.0672,51.79,32.153,407.0,3813.757,0.946,0.28327316
20180410,0.0672,53.933,23.585,278.0,3839.3140000000003,0.983,0.3633855
20180411,0.0672,80.137,36.233000000000004,357.0,3880.085,0.9740000000000001,0.3612931
20180412,0.0672,50.919,17.418,236.0,3859.1440000000002,1.035,0.39469856
20180413,0.0672,40.391999999999996,17.64,223.0,3963.006,0.986,0.53908366
20180414,0.0672,30.465,15.183,95.0,3576.8959999999997,0.884,0.20311579
20180416,0.0936,41.644,24.379,318.0,3814.824,0.948,0.2618675
20180417,0.0936,72.128,40.266999999999996,350.0,3761.3959999999997,1.0170000000000001,0.19337228
20180418,0.0936,83.833,44.5,436.0,3822.762,1.0,0.19929257
20180419,0.0936,108.14200000000001,53.331,361.0,3829.645,0.996,0.25484124
20180420,0.0936,138.094,75.556,361.0,3869.058,0.993,0.34002694
20180421,0.0936,96.507,55.778999999999996,159.0,3947.153,0.982,0.5584208
20180422,0.0552,46.747,26.715,198.0,2947.842,0.9390000000000001,-0.5221824
20180423,0.0552,14.568,10.533,179.0,3525.647,0.872,0.12642922
20180424,0.0552,13.523,7.683,259.0,3813.292,0.977,0.38250732
20180425,0.0552,41.446000000000005,23.796999999999997,298.0,3887.2729999999997,1.022,0.4571628
20180426,0.0552,59.607,39.256,258.0,3884.3320000000003,1.065,0.5150625
20180427,0.0552,71.78399999999999,50.74100000000001,165.0,3942.717,1.02,0.6726534
20180428,0.0552,71.373,44.253,159.0,3937.5559999999996,0.871,0.64490104
20180429,0.07200000000000001,77.685,41.983000000000004,196.0,3318.571,0.887,-0.13953866
20180430,0.07200000000000001,104.565,80.355,358.0,3908.982,1.0290000000000001,0.5213849
20180501,0.07200000000000001,98.537,76.758,257.0,3703.382,1.104,0.35734034
20180502,0.07200000000000001,63.108000000000004,48.879,226.0,3730.99,1.053,0.35494375
20180503,0.07200000000000001,34.607,18.961,210.0,4115.57,0.987,0.72174126
20180504,0.07200000000000001,60.16,26.311999999999998,171.0,4472.491,1.003,1.1359688
20180505,0.07200000000000001,59.703,29.322,70.0,3958.018,0.825,0.64370286
20180506,0.0336,21.314,13.927999999999999,38.0,3280.448,0.7440000000000001,0.01075969
20180507,0.0336,45.849,25.165,101.0,3589.4159999999997,0.7909999999999999,0.3174295
20180508,0.0336,25.295,12.876,265.0,4155.835,0.995,0.82101685
20180509,0.0336,30.443,12.696,209.0,3956.663,1.016,0.6276601
20180510,0.0336,57.8,32.48,244.0,3971.4759999999997,0.9790000000000001,0.655
20180511,0.0336,100.682,62.283,192.0,4083.6679999999997,1.028,0.8676248
20180512,0.0336,46.784,31.008000000000003,56.0,3735.8579999999997,0.966,0.5357567
20180513,0.0504,35.922,24.886999999999997,130.0,3101.092,0.872,-0.279034
20180514,0.0504,121.117,86.96600000000001,313.0,3881.223,1.023,0.5785186
20180515,0.0504,102.801,71.234,273.0,3977.1540000000005,1.085,0.68015707
20180516,0.0504,54.608000000000004,36.897,228.0,3671.485,1.022,0.30915588
20180517,0.0504,29.616,17.757,185.0,3726.092,0.9159999999999999,0.3638594
20180518,0.0504,18.227,11.321,107.0,3983.066,1.025,0.69935864
20180519,0.0504,19.393,10.016,91.0,4108.7570000000005,0.9390000000000001,0.844044
20180520,0.0576,18.022000000000002,9.236,104.0,3281.12,0.9079999999999999,-0.112523325
20180521,0.0576,30.2,19.243,148.0,3876.4190000000003,0.945,0.544312
20180522,0.0576,55.16,39.375,94.0,3269.975,0.857,-0.056422316
20180523,0.0576,56.724,18.395,318.0,3985.065,0.99,0.4978674
20180524,0.0576,130.94899999999998,39.51,377.0,3848.203,1.012,0.2639826
20180525,0.0576,116.709,48.771,235.0,3826.639,1.042,0.40224743
20180526,0.0576,95.93700000000001,48.86,119.0,3902.824,0.92,0.604906
20180527,0.0504,82.251,35.288000000000004,116.0,2989.869,0.9520000000000001,-0.42972827
20180528,0.0504,63.751000000000005,32.348,177.0,3845.7490000000003,1.055,0.50581354
20180530,0.0504,57.536,34.501,269.0,3949.5809999999997,1.063,0.57704157
20180531,0.0504,56.163000000000004,32.584,204.0,3875.553,1.126,0.5341572
20180602,0.0504,53.147,25.930999999999997,68.0,3790.6490000000003,1.006,0.51214635
20180603,0.0408,51.101000000000006,25.166999999999998,70.0,3112.112,0.972,-0.22371998
20180604,0.0408,50.34,30.414,120.0,3749.9559999999997,1.089,0.4789119
20180605,0.0408,50.933,35.505,139.0,3720.176,1.149,0.45227882
20180606,0.0408,62.265,37.219,68.0,3103.667,0.9840000000000001,-0.20087273
20180607,0.0408,61.324,42.772,180.0,3746.607,1.111,0.46548358
20180608,0.0408,40.558,22.734,117.0,3815.89,1.047,0.53975606
20180609,0.0408,44.211000000000006,23.485,52.0,3614.9,1.03,0.35709286
20180610,0.0264,12.508,5.62,77.0,2919.597,0.9279999999999999,-0.42124483
20180611,0.0264,17.721,6.856,113.0,3651.04,1.0859999999999999,0.36929503
20180612,0.0264,25.814,11.958,111.0,3811.5890000000004,1.087,0.557941
20180613,0.0264,40.43,20.666999999999998,57.0,3158.18,1.015,-0.12511541
20180614,0.0264,38.391999999999996,22.961,89.0,3621.107,1.0090000000000001,0.3841048
20180615,0.0264,29.66,15.404000000000002,118.0,3794.223,1.032,0.54128534
20180616,0.0264,40.769,17.959,62.0,3672.303,1.021,0.43565995
20180617,0.0336,64.825,37.274,105.0,3104.803,0.99,-0.21058272
20180618,0.0336,65.322,40.225,104.0,3622.288,1.113,0.38135636
20180619,0.0336,57.105,31.046,92.0,3660.07,0.997,0.40809837
20180620,0.0336,57.38399999999999,35.052,81.0,3660.0690000000004,1.0590000000000002,0.4319505
20180621,0.0336,59.095,31.073,103.0,3730.15,1.038,0.4756147
20180622,0.0336,63.843999999999994,33.79,60.0,3788.725,1.015,0.57462174
20180623,0.0336,54.68600000000001,29.808000000000003,64.0,3796.597,1.1,0.5797479
20180624,0.0336,91.99600000000001,49.41,132.0,2854.9109999999996,0.902,-0.5056063
20180625,0.0336,78.517,41.301,116.0,3522.282,0.882,0.24282385
20180626,0.0336,64.169,40.329,116.0,3288.719,0.858,0.0015497068
20180627,0.0336,43.865,28.627,76.0,3604.506,0.986,0.3696325
20180628,0.0336,39.758,24.559,146.0,3487.328,0.88,0.17929612
20180629,0.0336,61.254,39.524,38.0,3633.2709999999997,0.8640000000000001,0.44406638
20180630,0.0336,71.335,47.185,9.0,3412.567,0.9520000000000001,0.23169278
20180701,0.012,20.094,10.472999999999999,26.0,2529.962,0.78,-0.7765332
20180702,0.012,15.7,9.136000000000001,86.0,3259.511,0.713,0.0007423265
20180703,0.012,27.894000000000002,13.949000000000002,53.0,3509.2,0.87,0.30286154
20180704,0.012,40.07,20.451,63.0,3591.592,0.905,0.39433843
20180705,0.012,31.886,20.587,53.0,3494.8520000000003,0.852,0.30748412
20180706,0.012,16.180999999999997,6.324,180.0,3635.401,0.857,0.34342015
20180707,0.012,20.53,8.362,36.0,3761.4359999999997,0.8240000000000001,0.5868481
20180708,0.0144,34.165,15.056,56.0,3015.942,0.8140000000000001,-0.2644445
20180709,0.0144,18.090999999999998,8.111,59.0,3459.199,0.7490000000000001,0.22875956
20180710,0.0144,28.000999999999998,14.447000000000001,62.0,3539.9,0.768,0.32643604
20180711,0.0144,41.728,23.394000000000002,78.0,3564.421,0.833,0.3563384
20180712,0.0144,40.477,23.128,92.0,3721.8,0.831,0.52388036
20180713,0.0144,29.33,17.402,27.0,3762.4,0.905,0.6103227
20180714,0.0144,30.969,19.413,21.0,3778.972,0.87,0.6386461
20180715,0.0144,30.733,19.858,51.0,3237.455,0.823,0.013031038
20180716,0.0144,32.764,21.756999999999998,30.0,3573.1409999999996,0.7959999999999999,0.40833625
20180717,0.0144,38.145,26.669,80.0,3603.6040000000003,0.83,0.41852006
20180718,0.0144,31.006999999999998,18.825,114.0,3620.445,0.823,0.39317
20180719,0.0144,33.606,19.906,83.0,3721.489,0.877,0.5282204
20180720,0.0144,48.346000000000004,31.409000000000002,69.0,3771.265,0.93,0.61636376
20180721,0.0144,51.975,34.713,80.0,3683.048,0.9259999999999999,0.5172889
20180722,0.012,40.235,26.199,26.0,2926.663,0.884,-0.301198
