Date,search,pm10,pm25,COUNT_T,TMST,retail,Linearindex
20180401,0.0741,76.797,36.597,234.0,5768.784000000001,1.013,-0.41090453
20180402,0.0741,70.61399999999999,27.315,371.0,5788.789000000001,0.684,-0.5127494
20180403,0.0741,72.696,24.158,251.0,5998.395,0.627,-0.23221071
20180404,0.0741,24.517,14.834000000000001,352.0,5972.335,0.64,-0.28628272
20180405,0.0741,29.939,16.791,293.0,5686.741999999999,0.634,-0.5351762
20180406,0.0741,70.65,23.55,627.0,5928.715,0.7979999999999999,-0.56550986
20180407,0.0741,64.057,25.169,207.0,6704.571,0.484,0.5313737
20180408,0.0532,38.538000000000004,17.579,199.0,5752.486,0.884,-0.34369302
20180409,0.0532,45.59,29.064,407.0,5749.383000000001,0.611,-0.45964858
20180410,0.0532,76.454,36.302,278.0,6136.849,0.674,0.0001844829
20180411,0.0532,84.917,33.049,357.0,6088.258000000001,0.8270000000000001,-0.13104573
20180412,0.0532,77.055,24.607,236.0,6118.648,0.76,-0.035326377
20180413,0.0532,69.296,25.068,223.0,6314.49,0.691,0.18654852
20180414,0.0532,31.426,14.72,95.0,5485.876,0.7240000000000001,-0.53989345
20180416,0.0741,65.892,39.579,318.0,6050.753000000001,0.778,-0.15492645
20180417,0.0741,85.55799999999999,48.41,350.0,6178.2880000000005,0.988,-0.04637138
20180418,0.0741,88.318,45.078,436.0,6159.045,0.787,-0.14371657
20180419,0.0741,99.515,48.692,361.0,6044.339,0.892,-0.21154943
20180420,0.0741,110.98200000000001,59.282,361.0,6245.389,0.861,0.014222066
20180421,0.0741,106.836,56.342,159.0,6981.839,0.679,0.89648306
20180422,0.0437,62.949,34.364000000000004,198.0,5361.895,1.058,-0.6811927
20180423,0.0437,16.701,12.130999999999998,179.0,5304.210999999999,0.555,-0.73655707
20180424,0.0437,17.02,8.017999999999999,259.0,5827.973000000001,0.8290000000000001,-0.27928656
20180425,0.0437,58.713,41.266999999999996,298.0,6239.701999999999,0.948,0.17071442
20180426,0.0437,75.223,52.053999999999995,258.0,6254.7880000000005,0.71,0.22883569
20180427,0.0437,80.23899999999999,57.927,165.0,6287.976,0.713,0.34227365
20180428,0.0437,102.469,64.764,159.0,7050.161,0.703,1.1076394
20180429,0.057,94.287,55.026,196.0,6228.875,0.6659999999999999,0.18161589
20180430,0.057,115.81700000000001,84.134,358.0,6083.7119999999995,0.731,-0.0010223361
20180501,0.057,95.088,72.808,257.0,6439.691,0.9229999999999999,0.42009285
20180502,0.057,75.593,61.857,226.0,5851.954000000001,0.8740000000000001,-0.16334707
20180503,0.057,46.501000000000005,22.963,210.0,6564.283,0.655,0.46507028
20180504,0.057,85.531,31.392,171.0,6818.531999999999,0.737,0.71813583
20180505,0.057,87.177,41.551,70.0,7242.696999999999,0.727,1.2550446
20180506,0.0266,28.64,15.947000000000001,38.0,5971.784000000001,0.917,0.090380095
20180507,0.0266,59.16,31.15,101.0,6744.166,0.765,0.83657414
20180508,0.0266,43.592,16.535999999999998,265.0,6717.8330000000005,0.8590000000000001,0.663608
20180509,0.0266,47.403,16.797,209.0,6265.549,0.722,0.2399982
20180510,0.0266,69.757,41.881,244.0,6193.526,0.768,0.20342839
20180511,0.0266,98.14,69.227,192.0,6275.79,1.979,0.38287514
20180512,0.0266,53.254,34.047,56.0,6216.279,0.889,0.35505348
20180513,0.0399,58.94,45.303999999999995,130.0,6529.437,1.109,0.60984904
20180514,0.0399,127.34899999999999,102.72,313.0,5947.244000000001,0.9390000000000001,0.0032422887
20180515,0.0399,97.37299999999999,72.258,273.0,6271.644,1.089,0.29029915
20180516,0.0399,51.934,37.049,228.0,5729.451999999999,0.8540000000000001,-0.28895384
20180517,0.0399,43.143,27.436999999999998,185.0,5775.733,0.8,-0.23490688
20180518,0.0399,31.09,21.208000000000002,107.0,6358.626,1.07,0.4052135
20180519,0.0399,24.04,11.815999999999999,91.0,7305.231,1.044,1.3492656
20180520,0.0456,24.77,13.175,104.0,6476.493,1.011,0.48657823
20180521,0.0456,42.615,23.131,148.0,6046.18,0.9590000000000001,0.029661868
20180522,0.0456,62.787,42.498999999999995,94.0,6471.932,1.041,0.5405192
20180523,0.0456,67.233,20.355999999999998,318.0,6244.544,0.92,0.059668075
20180524,0.0456,119.94,32.134,377.0,6237.048000000001,0.904,-0.030377168
20180525,0.0456,116.215,46.559,235.0,6320.11,0.951,0.21564771
20180526,0.0456,101.947,50.15,119.0,6888.476,1.042,0.90964913
20180527,0.0399,89.791,39.258,116.0,6154.121,1.145,0.16546118
20180528,0.0399,76.27199999999999,40.874,177.0,5953.446999999999,0.934,-0.051780436
20180530,0.0399,71.005,50.753,269.0,6255.701999999999,0.845,0.23668325
20180531,0.0399,66.499,40.086999999999996,204.0,6121.1140000000005,1.038,0.11198234
20180602,0.0399,61.865,36.899,68.0,7114.436,1.0859999999999999,1.2076839
20180603,0.0323,59.931000000000004,39.559,70.0,6663.0869999999995,1.083,0.7886549
20180604,0.0323,67.96300000000001,45.185,120.0,6452.505,1.0090000000000001,0.54917467
20180605,0.0323,66.917,48.497,139.0,6461.174,0.975,0.5592469
20180606,0.0323,65.26899999999999,47.021,68.0,6425.795,1.097,0.5702312
20180607,0.0323,64.8,49.078,180.0,6436.835999999999,0.992,0.5116123
20180608,0.0323,48.101000000000006,32.576,117.0,6632.731,0.963,0.7172732
20180609,0.0323,62.431999999999995,43.699,52.0,6922.638000000001,0.9640000000000001,1.0759075
20180610,0.0209,18.680999999999997,12.073,77.0,6217.794,1.171,0.33239657
20180611,0.0209,19.982,10.312999999999999,113.0,6401.141,1.013,0.48364815
20180612,0.0209,31.724,20.906999999999996,111.0,6854.923000000001,0.937,0.9661034
