Date,search,pm10,pm25,COUNT_T,TMST,retail,Linearindex
20180401,0.01755,79.76100000000001,38.195,234.0,729.5160000000001,0.741,-0.9039624
20180402,0.01755,67.793,26.531,371.0,1367.715,0.856,0.55596566
20180403,0.01755,65.571,19.151,251.0,1488.953,0.982,0.9144944
20180404,0.01755,19.773,9.305,352.0,1462.192,1.06,0.81705403
20180405,0.01755,12.210999999999999,7.1339999999999995,293.0,1411.368,0.856,0.7367592
20180406,0.01755,92.319,23.406999999999996,627.0,1397.654,0.924,0.39434007
20180407,0.01755,39.798,18.636,207.0,977.794,0.87,-0.27949727
20180408,0.0126,34.336,16.153,199.0,817.3380000000001,1.107,-0.6023689
20180409,0.0126,43.726000000000006,27.899,407.0,1353.098,0.85,0.6126085
20180410,0.0126,46.099,21.999000000000002,278.0,1514.943,0.863,1.076228
20180411,0.0126,73.083,25.938000000000002,357.0,1492.0639999999999,0.96,0.93276036
20180412,0.0126,42.81,15.300999999999998,236.0,1533.124,1.014,1.128977
20180413,0.0126,31.916999999999998,14.658,223.0,1502.443,1.0170000000000001,1.0785013
20180414,0.0126,29.866999999999997,16.019000000000002,95.0,891.6,0.861,-0.33775806
20180416,0.01755,29.697,17.589000000000002,318.0,1409.954,1.052,0.72808814
20180417,0.01755,48.151,25.385,350.0,1501.723,0.932,0.93299377
20180418,0.01755,56.843999999999994,29.328000000000003,436.0,1480.21,0.8390000000000001,0.8201864
20180419,0.01755,63.558,32.049,361.0,1461.88,0.93,0.82682955
20180420,0.01755,88.494,47.651,361.0,1462.214,1.048,0.8482028
20180421,0.01755,65.788,37.0,159.0,1089.099,1.2690000000000001,0.060451712
20180422,0.01035,41.776,22.006999999999998,198.0,698.914,0.875,-0.8524629
20180423,0.01035,18.616,13.157,179.0,1262.267,0.6859999999999999,0.5626899
20180424,0.01035,10.177,5.7010000000000005,259.0,1452.505,0.769,0.9625012
20180425,0.01035,26.163,18.250999999999998,298.0,1508.066,1.033,1.0966276
20180426,0.01035,38.508,26.569000000000003,258.0,1535.9279999999999,0.904,1.206476
20180427,0.01035,50.224,34.626999999999995,165.0,1537.2820000000002,1.077,1.2878321
20180428,0.01035,56.708,36.12,159.0,1082.806,1.054,0.1593149
20180429,0.0135,53.913000000000004,30.61,196.0,850.279,0.943,-0.50606185
20180430,0.0135,83.235,55.523999999999994,358.0,1079.857,1.5019999999999998,0.00093924534
20180501,0.0135,76.23100000000001,51.854,257.0,1059.085,1.187,0.017538447
20180502,0.0135,62.583999999999996,46.309,226.0,1448.891,1.087,1.0074869
20180503,0.0135,31.434,16.608,210.0,1532.9129999999998,1.177,1.1593591
20180504,0.0135,46.905,20.08,171.0,1783.891,1.251,1.7965211
20180505,0.0135,44.696999999999996,20.581999999999997,70.0,1061.107,1.165,0.08031369
20180506,0.0063,21.997,13.552,38.0,746.448,0.89,-0.5647834
20180507,0.0063,36.328,19.274,101.0,905.699,0.953,-0.21555428
20180508,0.0063,19.875,9.095,265.0,1283.5839999999998,0.988,0.59362054
20180509,0.0063,25.182,9.574,209.0,1352.806,1.124,0.79733837
20180510,0.0063,49.911,27.118000000000002,244.0,1385.6879999999999,1.0490000000000002,0.8832487
20180511,0.0063,78.764,51.151,192.0,1389.491,1.284,0.97767687
20180512,0.0063,36.117,23.275,56.0,964.855,0.965,-0.020292364
20180513,0.00945,30.816999999999997,21.677,130.0,828.8530000000001,0.9890000000000001,-0.45164496
20180514,0.00945,95.07700000000001,73.965,313.0,1193.442,1.034,0.42709222
20180515,0.00945,73.161,53.117,273.0,1325.381,1.207,0.73500544
20180516,0.00945,40.202,26.983,228.0,1220.062,0.972,0.45543107
20180517,0.00945,23.534000000000002,15.062999999999999,185.0,1234.404,0.993,0.5013348
20180518,0.00945,18.386,5.608,107.0,1315.148,1.111,0.7264758
20180519,0.00945,15.834000000000001,7.162999999999999,91.0,1134.94,1.4509999999999998,0.30155462
20180520,0.0108,13.245,6.7829999999999995,104.0,835.595,1.114,-0.4663772
20180521,0.0108,23.62,12.37,148.0,1154.1789999999999,1.181,0.29788506
20180522,0.0108,46.797,27.01,94.0,881.045,1.3969999999999998,-0.32211438
20180523,0.0108,47.703,13.277000000000001,318.0,1216.588,1.112,0.29465544
20180524,0.0108,75.445,18.565,377.0,1299.572,1.3119999999999998,0.43210632
20180525,0.0108,75.203,27.818,235.0,1281.167,1.294,0.5248369
20180526,0.0108,69.751,29.357,119.0,942.9860000000001,1.371,-0.21669883
20180527,0.00945,65.747,26.994,116.0,688.492,1.166,-0.82951593
20180528,0.00945,47.618,22.898000000000003,177.0,1158.878,1.183,0.30956686
20180530,0.00945,59.708999999999996,35.626999999999995,269.0,1267.792,1.245,0.54640716
20180531,0.00945,55.503,31.769000000000002,204.0,1219.617,1.334,0.46403247
20180602,0.00945,38.658,21.64,68.0,955.987,1.4169999999999998,-0.10662738
20180603,0.00765,29.031,17.965,70.0,691.08,1.048,-0.73793256
20180604,0.00765,32.766999999999996,20.357,120.0,1301.246,1.0270000000000001,0.74397665
20180605,0.00765,36.478,23.660999999999998,139.0,1377.1960000000001,1.264,0.9261603
20180606,0.00765,40.556,26.741999999999997,68.0,792.438,1.067,-0.4691124
20180607,0.00765,56.501000000000005,37.147,180.0,1353.112,1.115,0.8580564
20180608,0.00765,41.828,26.364,117.0,1375.162,1.17,0.93831897
20180609,0.00765,47.06399999999999,28.715,52.0,939.618,1.5730000000000002,-0.09604067
20180610,0.00495,11.110999999999999,5.98,77.0,683.78,1.103,-0.7406142
20180611,0.00495,13.405,5.778,113.0,1273.035,1.0,0.6910823
20180612,0.00495,21.142,11.344000000000001,111.0,1375.354,1.073,0.95569426
20180613,0.00495,29.783,18.927,57.0,748.745,1.177,-0.54479045
20180614,0.00495,37.935,24.500999999999998,89.0,1335.93,1.117,0.8981207
20180615,0.00495,23.176,11.96,118.0,1358.785,1.235,0.9086359
20180616,0.00495,29.968000000000004,13.672,62.0,914.095,1.357,-0.16011168
20180617,0.0063,59.553000000000004,36.023,105.0,646.729,1.177,-0.8325435
20180618,0.0063,43.425,28.195,104.0,1268.379,1.251,0.70643914
20180619,0.0063,37.985,24.769000000000002,92.0,1361.48,1.176,0.9412667
20180620,0.0063,42.76,31.186999999999998,81.0,1375.392,1.2409999999999999,1.0016038
20180621,0.0063,40.336,25.52,103.0,1358.87,1.268,0.926028
20180622,0.0063,44.723,28.069000000000003,60.0,1390.129,1.443,1.0365945
20180623,0.0063,38.774,23.093000000000004,64.0,871.471,1.379,-0.2630105
20180624,0.0063,60.161,34.876,132.0,623.039,1.208,-0.91608936
20180625,0.0063,52.225,29.465999999999998,116.0,1166.641,1.216,0.43537828
20180626,0.0063,46.651,29.752,116.0,1114.032,0.9440000000000001,0.3158478
20180627,0.0063,34.797,23.141,76.0,1234.846,1.331,0.63723415
20180628,0.0063,32.041,20.565,146.0,1214.657,1.304,0.53218037
20180629,0.0063,48.058,29.706,38.0,1236.432,1.321,0.67164254
20180630,0.0063,69.53399999999999,46.108000000000004,9.0,788.077,1.4280000000000002,-0.39035478
20180701,0.00225,17.27,10.154,26.0,471.277,0.8690000000000001,-1.1872735
20180702,0.00225,15.984000000000002,9.024,86.0,1036.97,1.0,0.17157286
20180703,0.00225,20.685,11.581,53.0,1179.83,1.253,0.55146056
20180704,0.00225,28.958000000000002,14.842,63.0,1171.185,1.463,0.5218974
20180705,0.00225,26.576,18.245,53.0,1175.264,1.3559999999999999,0.55728036
20180706,0.00225,9.766,3.6889999999999996,180.0,1194.634,1.247,0.48558527
20180707,0.00225,13.520999999999999,5.7139999999999995,36.0,856.0169999999999,1.273,-0.251548
20180708,0.0027,22.749000000000002,10.378,56.0,628.678,1.024,-0.8329578
20180709,0.0027,15.356,7.172000000000001,59.0,1056.4289999999999,1.051,0.22589383
