Date,pm10,pm25,COUNT_T
20180401,55.803,25.662,234.0
20180402,52.873,20.288,371.0
20180403,52.163,15.396,251.0
20180404,13.009,6.118,352.0
20180405,8.197,4.707,293.0
20180406,67.202,15.417,627.0
20180407,30.882,14.494,207.0
20180408,20.403,10.143,199.0
20180409,40.785,26.115,407.0
20180410,33.531,16.948,278.0
20180411,53.156,21.328,357.0
20180412,32.546,11.717,236.0
20180413,25.722,10.96,223.0
20180414,19.48,10.074,95.0
20180416,25.229,15.099,318.0
20180417,45.92,22.993,350.0
20180418,48.601,23.374,436.0
20180419,64.688,29.14,361.0
20180420,82.982,41.536,361.0
20180421,55.493,29.055,159.0
20180422,35.773,18.375,198.0
20180423,10.742,6.02,179.0
20180424,7.835,4.142,259.0
20180425,25.74,18.469,298.0
20180426,37.16,24.372,258.0
20180427,49.486,33.305,165.0
20180428,57.579,35.731,159.0
20180429,56.724,32.316,196.0
20180430,88.899,58.79,358.0
20180501,76.363,51.091,257.0
20180502,57.626,40.428,226.0
20180503,23.356,11.678,210.0
20180504,39.842,15.491,171.0
20180505,37.994,17.362,70.0
20180506,14.31,7.987,38.0
20180507,32.332,16.235,101.0
20180508,15.575,6.6,265.0
20180509,23.202,8.075,209.0
20180510,46.684,23.748,244.0
20180511,80.579,45.824,192.0
20180512,34.979,20.613,56.0
20180513,27.685,17.27,130.0
20180514,100.899,62.888,313.0
20180515,75.849,52.809,273.0
20180516,38.092,25.511,228.0
20180517,19.203,11.267,185.0
20180518,11.508,3.681,107.0
20180519,16.203,7.428,91.0
20180520,10.873,5.658,104.0
20180521,22.556,11.486,148.0
20180522,41.445,24.8,94.0
20180523,36.481,8.674,318.0
20180524,67.773,14.658,377.0
20180525,70.561,26.514,235.0
20180526,65.206,30.34,119.0
20180527,59.069,26.009,116.0
20180528,43.298,21.81,177.0
20180530,56.41,33.053,269.0
20180531,44.971,25.08,204.0
20180602,33.778,19.632,68.0
20180603,26.276,17.226,70.0
20180604,29.238,19.204,120.0
20180605,34.258,22.413,139.0
20180606,37.703,25.484,68.0
20180607,53.71,34.626,180.0
20180608,35.202,22.38,117.0
20180609,41.545,24.524,52.0
20180610,11.603,6.108,77.0
20180611,10.951,4.351,113.0
20180612,16.365,8.867,111.0
20180613,25.392,15.216,57.0
20180614,33.149,20.876,89.0
20180615,16.569,9.067,118.0
20180616,24.801,12.301,62.0
20180617,57.425,34.667,105.0
20180618,35.937,22.803,104.0
20180619,31.151,20.119,92.0
20180620,37.818,25.206,81.0
20180621,38.444,25.079,103.0
20180622,43.328,25.835,60.0
20180623,34.835,19.488,64.0
20180624,71.793,40.703,132.0
20180625,38.982,20.285,116.0
20180626,40.92,24.501,116.0
20180627,19.108,10.28,76.0
20180628,18.087,13.433,146.0
20180629,33.224,20.122,38.0
20180701,10.077,8.385,26.0
20180702,15.53,8.744,86.0
20181010,22.923,12.453,76.0
20181011,24.064,12.065,97.0
20181012,29.1,16.108,73.0
20181013,42.506,26.043,15.0
20181014,39.038,25.44,70.0
20181015,59.301,35.69,454.0
20181016,51.841,27.941,400.0
20181017,38.169,19.524,243.0
20181018,21.941,11.597,123.0
20181019,26.58,13.457,85.0
20181020,41.76,21.501,71.0
20181021,38.268,22.578,120.0
20181022,65.011,39.863,201.0
20181023,70.303,40.8,275.0
20181024,49.378,20.871,231.0
20181025,45.076,22.412,115.0
20181026,42.896,22.373,79.0
20181027,31.605,8.148,30.0
20181028,22.301,10.832,71.0
20181029,22.503,10.263,85.0
20181030,24.627,11.893,154.0
20181031,22.163,11.865,62.0
20181101,31.835,18.024,108.0
20181102,41.674,25.028,90.0
20181103,46.179,28.116,96.0
20181104,40.097,25.78,229.0
20181105,53.878,33.409,390.0
20181106,148.472,95.344,613.0
20181107,71.438,47.431,588.0
20181108,17.401,9.228,435.0
20181109,49.457,24.368,372.0
20181110,96.781,54.717,247.0
20181111,82.248,46.081,351.0
20181112,34.498,17.585,371.0
20181113,40.935,23.44,458.0
20181114,34.493,20.534,341.0
20181115,47.268,30.706,283.0
20181116,54.945,36.077,379.0
20181117,33.525,19.121,120.0
20181118,44.626,25.553,173.0
20181119,61.776,35.117,311.0
20181120,46.56,18.972,288.0
20181121,39.672,18.383,174.0
20181122,26.842,12.385,26.0
20181123,26.01,11.797,106.0
20181124,23.338,12.522,73.0
20181125,46.212,31.842,230.0
20181126,64.457,41.906,442.0
20181127,147.024,66.06,500.0
20181128,159.147,28.414,520.0
20181129,69.324,19.376,403.0
20181130,56.381,17.726,366.0
20181201,44.131,22.145,170.0
20181202,47.672,23.175,163.0
20181203,48.202,21.435,245.0
20181204,42.433,20.963,206.0
20181205,32.472,13.173,187.0
20181206,39.071,17.435,88.0
20181207,24.526,9.205,79.0
20181208,25.837,9.708,40.0
20181209,25.578,10.806,63.0
20181210,32.714,17.44,122.0
20181211,40.549,23.9,166.0
20181212,44.342,21.61,224.0
20181213,38.574,21.967,123.0
20181214,33.184,17.319,73.0
20181215,51.79,33.255,98.0
20181216,45.506,31.578,216.0
20181217,76.633,48.37,482.0
20181218,49.954,26.338,363.0
20181219,55.47,30.552,369.0
20181220,58.349,37.678,422.0
20181221,75.08,47.535,395.0
20181222,89.109,60.808,340.0
20181223,54.886,31.224,242.0
20181224,26.434,12.536,166.0
20181225,33.198,18.927,155.0
20181226,49.054,25.465,210.0
20181227,32.749,10.79,112.0
20181228,40.175,14.301,135.0
