STD_YM,STD_YMD,HDONG_CD,HDONG_NM,TMST_00,TMST_01,TMST_02,TMST_03,TMST_04,TMST_05,TMST_06,TMST_07,TMST_08,TMST_09,TMST_10,TMST_11,TMST_12,TMST_13,TMST_14,TMST_15,TMST_16,TMST_17,TMST_18,TMST_19,TMST_20,TMST_21,TMST_22,TMST_23
201804,20180401,1111051500,청운효자동,609.11,447.82,301.75,217.03,237.07,318.75,519.28,1131.14,1588.58,1881.46,2520.06,2684.31,2721.33,3087.27,3097.34,2550.96,2464.35,2327.44,1933.71,1597.47,1331.83,1231.07,1041.82,624.62
201804,20180401,1111053000,사직동,1904.32,1319.04,951.8,779.08,779.14,1355.75,2473.61,3572.35,6145.07,7703.36,8742.41,9296.29,10060.52,10990.83,10166.17,9179.66,8899.18,8318.59,7009.69,5750.79,5137.36,4532.06,3589.93,2308.88
201804,20180401,1111054000,삼청동,216.3,158.05,91.13,85.3,86.76,146.87,287.34,391.87,784.74,1437.12,1652.25,1985.75,2485.91,2640.2,2361.17,2126.52,1998.35,1794.76,1281.02,1059.5,875.79,691.84,433.89,229.83
201804,20180401,1111055000,부암동,1300.61,904.38,670.74,433.02,571.34,771.25,1031.59,1810.52,2557.06,3311.5,4508.32,4223.61,4491.89,5372.25,5155.72,4888.78,5111.07,5067.47,4148.24,3502.62,3217.3,2925.42,2374.94,1382.12
201804,20180401,1111056000,평창동,2523.88,2168.69,1672.82,1300.87,1400.14,1686.09,2277.03,3703.51,4682.92,7410.61,9315.43,10435.22,10004.64,11152.68,10460.65,9539.91,8973.38,7940.15,6992.54,6460.5,5661.25,5210.5,4416.75,3060.66
201804,20180401,1111057000,무악동,332.06,205.21,124.1,92.93,128.91,195.8,298.89,342.8,618.95,1197.67,1269.95,1006.1,1120.9,1243.1,1385.03,1311.6,1161.81,1207.6,1268.47,881.12,931.12,828.3,649.49,382.69
201804,20180401,1111058000,교남동,528.17,338.88,221.44,187.69,269.92,319.96,543,663.56,1140.63,1568.57,1905.76,1679.05,1982.61,2007.89,2036.69,1961.85,2013.86,2002.11,1590.22,1367.49,1335.09,1299.15,896.6,495.97
201804,20180401,1111060000,가회동,258.39,220.1,104.61,112.24,95.88,143.52,248.11,320,640.94,866.8,1092.78,1361.76,1585.97,1494.6,1603.95,1365.79,1297.3,1097.03,863.5,677.32,642.33,601.22,544.75,269.5
201804,20180401,1111061500,종로1.2.3.4가동,4078.65,2902.11,1919.04,1573.11,1548.67,3222.72,5771.73,7048.05,12956.02,18472.93,21255.5,25061.87,29138.59,31344.98,31372.5,28672.75,27002.54,25465.77,20202.88,16156.87,13840.05,11857.86,8825.83,4928.05
201804,20180401,1111063000,종로5.6가동,1350.9,916.47,639.29,477.45,556.56,1079.32,1684.49,2186.04,3245.31,4802.88,5554.83,6428.63,7163.68,8282.85,7904.96,7076.94,7193.18,7011.83,5527.61,5437.12,4978.15,4222.9,3231.92,2077.32
201804,20180401,1111064000,이화동,741.76,557.45,331.7,270.16,306.95,685.2,978.55,1208.84,2173.47,3262.47,3670.68,4145.55,5206.5,6439.18,5436.04,5391.33,5274.24,4821.74,4351.45,3454.82,2973.6,2729.27,1719.86,1432.93
201804,20180401,1111065000,혜화동,1482.43,991.36,743.47,562.15,718.51,984.35,1431.97,1542.61,3085.81,4295.9,4981.01,5665.18,6692.17,7568.01,7131.57,6916.19,6114.48,6183.05,5663.79,4332.83,3866.36,3574.9,2680,1854.73
201804,20180401,1111067000,창신1동,671.65,478.14,363.97,285.94,333.32,499.6,915.76,1039.23,1758.17,2305.02,2739.39,3466.89,3668.73,3932.94,3433.64,3315.14,3152.89,2810.69,2495.31,2567.4,2395.71,1913.95,1681.43,1728.37
201804,20180401,1111068000,창신2동,178.24,154.7,106.26,86.24,82.55,135.17,255.17,274.73,429.47,606.83,696.35,798.25,870.48,881.58,892.19,886.11,848.87,811.73,746.06,718.81,727.88,545.09,506.99,323.93
201804,20180401,1111069000,창신3동,174.81,102.65,94.27,63.27,65.96,95.17,189.31,175,333.54,275.21,448.1,325.52,341.62,318.96,514.73,391.96,509.78,485.71,487.81,537.8,382.02,653,280.96,272.47
201804,20180401,1111070000,숭인1동,401.32,271.45,211.62,154.83,168.82,267.47,474.23,482.3,847.31,1002.2,1278.32,1468.51,1636.09,1725.09,1614.52,1466.1,1480.79,1375.92,1313.75,1279.09,1169.23,1287.23,827.04,658.22
201804,20180401,1111071000,숭인2동,1075.26,769.93,543.91,449.46,522.65,737.26,1439.79,1532.66,2649.14,3119.98,4023.85,4629.29,5251.35,5698.81,5072.53,4638.34,4303.41,4034.85,3726.27,3398.46,3416.98,2974.06,2334.1,1909.59
201804,20180401,1135056000,월계1동,1662,1089.11,854.97,594.57,650.91,1045.02,1419.65,1742.94,2607.92,3310.85,3957.42,4232.45,4534.62,4786.18,5023.99,5166.13,5433.79,5227.09,4741.15,4486.38,3998.56,3097.22,2424.56,1969.17
201804,20180401,1135057000,월계2동,1326.73,930.07,592.66,510.69,535.75,804.79,1079.09,1394.2,2174.25,2738.31,3204.99,2909.76,3565.5,3712.25,3937.27,4086.43,4112.27,4085.85,3809.83,3270.09,3051.35,2729.12,2243.72,1463.17
201804,20180401,1135058000,월계3동,2242.36,1352.63,1159.4,879.93,890.98,1396.69,1699.3,2296.22,3475.36,4613.28,5135.62,5917.3,6191.02,6712.45,6885.81,7057.92,7399.06,7351.06,6094.38,6155.49,5460.79,4838.47,3481.19,2281.4
201804,20180401,1135059500,공릉1동,4132.87,2917.44,2203.26,1817.76,1834.72,2327.95,3663.48,3864.96,5713.36,7013.81,8737.52,9302.84,9804.95,11344.93,11974.15,11899.08,12310.7,12736.98,11215.19,10853.89,9296.98,8484.84,6643.67,4320.01
201804,20180401,1135060000,공릉2동,3039.81,2170.86,1600.97,1360.46,1437.65,1756.39,2822.8,4504.96,5774.51,7616,9632.36,9509.23,11026.08,12229.5,11702.05,11217.02,11061.01,11367.48,9439.37,8870.76,7744.34,6746.97,5644.98,3777.58
201804,20180401,1135061100,하계1동,1559.78,913.39,689.5,563.03,681.96,765.4,1227.37,1506.54,3792.38,3827.46,5258.56,4499.11,6433.77,6567.84,6775.92,6488.57,6623.68,6642.64,5733.46,4670.51,4207.9,3604.63,2345.26,1600.67
201804,20180401,1135061200,하계2동,1395.21,833.9,640.82,530.24,534.51,740.1,1069.86,1344.72,2431.45,2974.89,3559.37,3453.8,4184.24,4649.12,4760.12,4692.49,4830.77,4971.98,4504.57,3746.18,3286.88,2856.21,2187.82,1375.13
201804,20180401,1135061900,중계본동,805,471.27,303.95,249.77,271.16,314.91,413.89,596.4,1294.9,1772.13,2199.24,2169.69,2454.58,2447.54,2242.54,2298.45,2045.04,2342.82,2130.31,1565.38,1523.82,1598.35,1064.75,753.11
201804,20180401,1135062100,중계1동,895.32,557.97,412.58,298.21,426.23,386.66,612.06,724.49,1770.36,2717.87,2789.54,2582.23,3617.62,3697.74,3441.42,3435.41,3271.09,3751.34,3265.91,2591.96,2420.4,2359.79,1427.9,1037.2
201804,20180401,1135062400,중계4동,867.75,627.59,460.02,327.62,410.28,407.2,672.17,849.24,1463.52,2189.15,2402.35,2498.9,2859.38,2803.87,2745.56,2871.42,2902,2816.65,2762.73,2279.86,2083.92,1822.81,1338.06,929.42
201804,20180401,1135062500,중계2.3동,1834.02,1142.21,676.55,600.46,754.38,977.3,1401.33,2048.67,3583.48,4437.68,6139.19,5721.94,6802.14,7364.4,7772.14,6838.34,7601.24,6645.28,6251.16,5468.77,4759.57,4014.1,2806.47,1921.4
201804,20180401,1135063000,상계1동,2339.24,1699.94,1163.16,1095.4,1144.65,1524.08,2077.51,2728.9,4420.39,6444.59,8466.89,8467.84,9209.1,9498.13,9566.45,9946.06,9982.94,9091.23,8177.55,6591.49,5888.17,4784.02,3590.25,2433.04
201804,20180401,1135064000,상계2동,1625.41,1323.89,888.53,729.69,923.67,897.11,1450.01,1502.95,3437.25,4815.83,6055.25,4921.98,6597.56,6901.16,7148.15,6654.2,7040.7,6470.97,6326.26,5096.45,4435.29,3627.67,3145.05,2008.57
